Frequency(Hz)	Magnitude(dB)
1.000000e+01	-2.357205e+00
1.005776e+01	-2.378337e+00
1.011585e+01	-2.399640e+00
1.017428e+01	-2.420899e+00
1.023305e+01	-2.442274e+00
1.029215e+01	-2.463877e+00
1.035160e+01	-2.485351e+00
1.041139e+01	-2.507439e+00
1.047153e+01	-2.529656e+00
1.053201e+01	-2.551499e+00
1.059284e+01	-2.573732e+00
1.065403e+01	-2.596442e+00
1.071556e+01	-2.618902e+00
1.077746e+01	-2.641633e+00
1.083971e+01	-2.664213e+00
1.090232e+01	-2.687268e+00
1.096529e+01	-2.710596e+00
1.102862e+01	-2.733921e+00
1.109232e+01	-2.757270e+00
1.115639e+01	-2.780900e+00
1.122083e+01	-2.804809e+00
1.128564e+01	-2.828581e+00
1.135083e+01	-2.852733e+00
1.141639e+01	-2.876714e+00
1.148233e+01	-2.901026e+00
1.154865e+01	-2.925569e+00
1.161536e+01	-2.950255e+00
1.168245e+01	-2.974776e+00
1.174992e+01	-2.999626e+00
1.181779e+01	-3.024545e+00
1.188605e+01	-3.049786e+00
1.195470e+01	-3.075136e+00
1.202375e+01	-3.100619e+00
1.209320e+01	-3.126336e+00
1.216305e+01	-3.152096e+00
1.223330e+01	-3.177702e+00
1.230396e+01	-3.203829e+00
1.237503e+01	-3.230005e+00
1.244651e+01	-3.256320e+00
1.251840e+01	-3.282828e+00
1.259070e+01	-3.309511e+00
1.266343e+01	-3.336395e+00
1.273657e+01	-3.363132e+00
1.281014e+01	-3.390122e+00
1.288413e+01	-3.417158e+00
1.295855e+01	-3.444591e+00
1.303339e+01	-3.472223e+00
1.310867e+01	-3.499619e+00
1.318439e+01	-3.527305e+00
1.326054e+01	-3.555507e+00
1.333713e+01	-3.583605e+00
1.341417e+01	-3.611830e+00
1.349165e+01	-3.639590e+00
1.356958e+01	-3.668276e+00
1.364795e+01	-3.696929e+00
1.372678e+01	-3.725658e+00
1.380607e+01	-3.754854e+00
1.388581e+01	-3.783399e+00
1.396602e+01	-3.812838e+00
1.404668e+01	-3.841994e+00
1.412782e+01	-3.871381e+00
1.420942e+01	-3.901021e+00
1.429149e+01	-3.930875e+00
1.437404e+01	-3.960456e+00
