Frequency(Hz)	Magnitude(dB)
1.000000e+01	-2.192029e+00
1.005776e+01	-2.211775e+00
1.011585e+01	-2.231674e+00
1.017428e+01	-2.252064e+00
1.023305e+01	-2.272148e+00
1.029215e+01	-2.292587e+00
1.035160e+01	-2.313107e+00
1.041139e+01	-2.334146e+00
1.047153e+01	-2.354781e+00
1.053201e+01	-2.376041e+00
1.059284e+01	-2.397186e+00
1.065403e+01	-2.418454e+00
1.071556e+01	-2.439784e+00
1.077746e+01	-2.461406e+00
1.083971e+01	-2.482999e+00
1.090232e+01	-2.504912e+00
1.096529e+01	-2.527070e+00
1.102862e+01	-2.548994e+00
1.109232e+01	-2.571261e+00
1.115639e+01	-2.593779e+00
1.122083e+01	-2.616243e+00
1.128564e+01	-2.639064e+00
1.135083e+01	-2.661747e+00
1.141639e+01	-2.685051e+00
1.148233e+01	-2.708085e+00
1.154865e+01	-2.731068e+00
1.161536e+01	-2.754566e+00
1.168245e+01	-2.778243e+00
1.174992e+01	-2.802111e+00
1.181779e+01	-2.825784e+00
1.188605e+01	-2.849718e+00
1.195470e+01	-2.874164e+00
1.202375e+01	-2.898376e+00
1.209320e+01	-2.922736e+00
1.216305e+01	-2.947175e+00
1.223330e+01	-2.972025e+00
1.230396e+01	-2.997035e+00
1.237503e+01	-3.021706e+00
1.244651e+01	-3.046996e+00
1.251840e+01	-3.072353e+00
1.259070e+01	-3.097724e+00
1.266343e+01	-3.123326e+00
1.273657e+01	-3.149151e+00
1.281014e+01	-3.174926e+00
1.288413e+01	-3.200991e+00
1.295855e+01	-3.227247e+00
1.303339e+01	-3.253638e+00
1.310867e+01	-3.280102e+00
1.318439e+01	-3.306650e+00
1.326054e+01	-3.333349e+00
1.333713e+01	-3.360313e+00
1.341417e+01	-3.387458e+00
1.349165e+01	-3.414290e+00
1.356958e+01	-3.441364e+00
1.364795e+01	-3.468962e+00
1.372678e+01	-3.496633e+00
1.380607e+01	-3.524461e+00
1.388581e+01	-3.552112e+00
1.396602e+01	-3.580204e+00
1.404668e+01	-3.608209e+00
1.412782e+01	-3.636838e+00
1.420942e+01	-3.665236e+00
1.429149e+01	-3.693778e+00
1.437404e+01	-3.722479e+00
1.445706e+01	-3.751424e+00
1.454057e+01	-3.780112e+00
1.462455e+01	-3.809493e+00
1.470902e+01	-3.838648e+00
1.479398e+01	-3.868264e+00
1.487943e+01	-3.897832e+00
1.496537e+01	-3.927454e+00
1.505181e+01	-3.957253e+00
1.513875e+01	-3.987345e+00
1.522619e+01	-4.017594e+00
1.531414e+01	-4.047618e+00
1.540259e+01	-4.078106e+00
1.549156e+01	-4.108517e+00
1.558103e+01	-4.139130e+00
1.567103e+01	-4.169950e+00
1.576155e+01	-4.201171e+00
1.585258e+01	-4.231988e+00
1.594415e+01	-4.263446e+00
1.603624e+01	-4.294699e+00
1.612886e+01	-4.325978e+00
1.622202e+01	-4.357590e+00
1.631572e+01	-4.389503e+00
1.640996e+01	-4.421505e+00
1.650474e+01	-4.453496e+00
1.660008e+01	-4.485610e+00
1.669596e+01	-4.517880e+00
1.679239e+01	-4.550236e+00
1.688938e+01	-4.582894e+00
1.698694e+01	-4.615610e+00
1.708505e+01	-4.648396e+00
1.718373e+01	-4.681195e+00
1.728299e+01	-4.714114e+00
1.738281e+01	-4.747515e+00
1.748322e+01	-4.780628e+00
1.758420e+01	-4.814193e+00
1.768576e+01	-4.847849e+00
1.778792e+01	-4.881448e+00
1.789066e+01	-4.915527e+00
1.799399e+01	-4.949152e+00
1.809793e+01	-4.983531e+00
1.820246e+01	-5.017586e+00
1.830760e+01	-5.052100e+00
1.841334e+01	-5.086422e+00
1.851969e+01	-5.120981e+00
1.862666e+01	-5.155726e+00
1.873425e+01	-5.190738e+00
1.884246e+01	-5.225546e+00
1.895129e+01	-5.260403e+00
1.906075e+01	-5.295849e+00
1.917085e+01	-5.331020e+00
1.928158e+01	-5.366301e+00
1.939295e+01	-5.401986e+00
1.950496e+01	-5.437830e+00
1.961762e+01	-5.473294e+00
