Frequency(Hz)	Magnitude(dB)
1.000000e+01	-2.151479e+00
1.005776e+01	-2.171096e+00
1.011585e+01	-2.190712e+00
1.017428e+01	-2.210593e+00
1.023305e+01	-2.230567e+00
1.029215e+01	-2.250937e+00
1.035160e+01	-2.271172e+00
1.041139e+01	-2.291553e+00
1.047153e+01	-2.312045e+00
1.053201e+01	-2.332742e+00
1.059284e+01	-2.353574e+00
1.065403e+01	-2.374862e+00
1.071556e+01	-2.395831e+00
1.077746e+01	-2.417065e+00
1.083971e+01	-2.438638e+00
1.090232e+01	-2.460092e+00
1.096529e+01	-2.481856e+00
1.102862e+01	-2.503568e+00
1.109232e+01	-2.525766e+00
1.115639e+01	-2.547719e+00
1.122083e+01	-2.570201e+00
1.128564e+01	-2.592445e+00
1.135083e+01	-2.614860e+00
1.141639e+01	-2.637865e+00
1.148233e+01	-2.660622e+00
1.154865e+01	-2.683656e+00
1.161536e+01	-2.706543e+00
1.168245e+01	-2.729964e+00
1.174992e+01	-2.753717e+00
1.181779e+01	-2.776903e+00
1.188605e+01	-2.800529e+00
1.195470e+01	-2.824795e+00
1.202375e+01	-2.848612e+00
1.209320e+01	-2.872546e+00
1.216305e+01	-2.896684e+00
1.223330e+01	-2.921457e+00
1.230396e+01	-2.946025e+00
1.237503e+01	-2.970572e+00
1.244651e+01	-2.995626e+00
1.251840e+01	-3.020390e+00
1.259070e+01	-3.045732e+00
1.266343e+01	-3.070943e+00
1.273657e+01	-3.096439e+00
1.281014e+01	-3.121911e+00
1.288413e+01	-3.147609e+00
1.295855e+01	-3.173446e+00
1.303339e+01	-3.199639e+00
1.310867e+01	-3.225470e+00
1.318439e+01	-3.252190e+00
1.326054e+01	-3.278328e+00
1.333713e+01	-3.304902e+00
1.341417e+01	-3.331612e+00
1.349165e+01	-3.358400e+00
1.356958e+01	-3.385426e+00
1.364795e+01	-3.412775e+00
1.372678e+01	-3.440026e+00
1.380607e+01	-3.467315e+00
1.388581e+01	-3.494749e+00
1.396602e+01	-3.522687e+00
1.404668e+01	-3.550859e+00
1.412782e+01	-3.578526e+00
1.420942e+01	-3.606841e+00
1.429149e+01	-3.635385e+00
1.437404e+01	-3.663570e+00
1.445706e+01	-3.692475e+00
1.454057e+01	-3.720752e+00
1.462455e+01	-3.749559e+00
1.470902e+01	-3.778656e+00
1.479398e+01	-3.807848e+00
1.487943e+01	-3.837260e+00
1.496537e+01	-3.866630e+00
1.505181e+01	-3.895995e+00
1.513875e+01	-3.925709e+00
1.522619e+01	-3.955731e+00
1.531414e+01	-3.985499e+00
1.540259e+01	-4.015601e+00
1.549156e+01	-4.046056e+00
1.558103e+01	-4.076237e+00
1.567103e+01	-4.106821e+00
1.576155e+01	-4.137645e+00
1.585258e+01	-4.168160e+00
1.594415e+01	-4.199225e+00
1.603624e+01	-4.230195e+00
1.612886e+01	-4.261623e+00
1.622202e+01	-4.292604e+00
1.631572e+01	-4.324423e+00
1.640996e+01	-4.355971e+00
1.650474e+01	-4.387833e+00
1.660008e+01	-4.419643e+00
1.669596e+01	-4.451601e+00
1.679239e+01	-4.483350e+00
1.688938e+01	-4.516157e+00
1.698694e+01	-4.548347e+00
1.708505e+01	-4.581173e+00
1.718373e+01	-4.613659e+00
1.728299e+01	-4.645982e+00
1.738281e+01	-4.679318e+00
1.748322e+01	-4.712447e+00
1.758420e+01	-4.745735e+00
1.768576e+01	-4.779234e+00
1.778792e+01	-4.812188e+00
1.789066e+01	-4.845945e+00
1.799399e+01	-4.879536e+00
1.809793e+01	-4.913524e+00
1.820246e+01	-4.947417e+00
1.830760e+01	-4.981431e+00
1.841334e+01	-5.015696e+00
1.851969e+01	-5.049717e+00
1.862666e+01	-5.084020e+00
1.873425e+01	-5.119053e+00
1.884246e+01	-5.153788e+00
1.895129e+01	-5.188621e+00
1.906075e+01	-5.223395e+00
1.917085e+01	-5.258589e+00
1.928158e+01	-5.293507e+00
1.939295e+01	-5.329195e+00
1.950496e+01	-5.364626e+00
1.961762e+01	-5.400204e+00
1.973093e+01	-5.435800e+00
1.984490e+01	-5.471177e+00
1.995952e+01	-5.507357e+00
2.007480e+01	-5.543468e+00
2.019076e+01	-5.579470e+00
2.030738e+01	-5.615714e+00
2.042467e+01	-5.651920e+00
2.054264e+01	-5.688489e+00
2.066130e+01	-5.725110e+00
2.078064e+01	-5.761512e+00
2.090066e+01	-5.798609e+00
2.102139e+01	-5.835545e+00
2.114280e+01	-5.872341e+00
2.126492e+01	-5.909696e+00
2.138775e+01	-5.947004e+00
2.151128e+01	-5.984114e+00
2.163553e+01	-6.021613e+00
2.176050e+01	-6.059333e+00
2.188619e+01	-6.096774e+00
2.201260e+01	-6.134599e+00
2.213974e+01	-6.172693e+00
2.226762e+01	-6.210734e+00
2.239624e+01	-6.248865e+00
2.252560e+01	-6.286900e+00
2.265571e+01	-6.325286e+00
2.278656e+01	-6.363641e+00
2.291818e+01	-6.402373e+00
2.305055e+01	-6.440915e+00
2.318369e+01	-6.479944e+00
2.331760e+01	-6.518576e+00
2.345228e+01	-6.557302e+00
2.358774e+01	-6.596274e+00
2.372398e+01	-6.635538e+00
2.386101e+01	-6.674661e+00
2.399883e+01	-6.713931e+00
2.413745e+01	-6.753635e+00
2.427686e+01	-6.792902e+00
2.441709e+01	-6.832635e+00
2.455812e+01	-6.872070e+00
2.469997e+01	-6.912225e+00
2.484263e+01	-6.951663e+00
2.498612e+01	-6.992103e+00
2.513044e+01	-7.031698e+00
2.527559e+01	-7.072325e+00
2.542158e+01	-7.111910e+00
2.556842e+01	-7.152578e+00
2.571610e+01	-7.193074e+00
2.586463e+01	-7.233726e+00
2.601403e+01	-7.274189e+00
2.616428e+01	-7.315325e+00
2.631541e+01	-7.355448e+00
2.646740e+01	-7.396635e+00
2.662028e+01	-7.437525e+00
2.677404e+01	-7.479063e+00
2.692868e+01	-7.519457e+00
2.708422e+01	-7.561051e+00
2.724066e+01	-7.602295e+00
2.739800e+01	-7.643664e+00
2.755625e+01	-7.684900e+00
2.771541e+01	-7.726263e+00
2.787550e+01	-7.768493e+00
2.803650e+01	-7.810085e+00
2.819844e+01	-7.852006e+00
2.836131e+01	-7.893432e+00
2.852513e+01	-7.935216e+00
2.868989e+01	-7.977572e+00
2.885560e+01	-8.019463e+00
2.902227e+01	-8.062292e+00
2.918990e+01	-8.104046e+00
2.935850e+01	-8.146542e+00
2.952807e+01	-8.189167e+00
2.969863e+01	-8.231076e+00
2.987016e+01	-8.273689e+00
3.004269e+01	-8.316731e+00
3.021622e+01	-8.358809e+00
3.039075e+01	-8.402309e+00
3.056628e+01	-8.444621e+00
3.074283e+01	-8.487535e+00
3.092040e+01	-8.530168e+00
3.109900e+01	-8.573480e+00
3.127862e+01	-8.616921e+00
