Frequency(Hz)	Magnitude(dB)
1.000000e+01	-1.990010e+00
1.005776e+01	-2.008518e+00
1.011585e+01	-2.027000e+00
1.017428e+01	-2.045805e+00
1.023305e+01	-2.064722e+00
1.029215e+01	-2.083690e+00
1.035160e+01	-2.102878e+00
1.041139e+01	-2.122045e+00
1.047153e+01	-2.141371e+00
1.053201e+01	-2.161054e+00
1.059284e+01	-2.180723e+00
1.065403e+01	-2.200623e+00
1.071556e+01	-2.220438e+00
1.077746e+01	-2.240471e+00
1.083971e+01	-2.260821e+00
1.090232e+01	-2.281169e+00
1.096529e+01	-2.301563e+00
1.102862e+01	-2.322463e+00
1.109232e+01	-2.343259e+00
1.115639e+01	-2.363881e+00
1.122083e+01	-2.385227e+00
1.128564e+01	-2.406497e+00
1.135083e+01	-2.427507e+00
1.141639e+01	-2.449151e+00
1.148233e+01	-2.470762e+00
1.154865e+01	-2.492523e+00
1.161536e+01	-2.514473e+00
1.168245e+01	-2.536451e+00
1.174992e+01	-2.558559e+00
1.181779e+01	-2.581025e+00
1.188605e+01	-2.603549e+00
1.195470e+01	-2.626220e+00
1.202375e+01	-2.649066e+00
1.209320e+01	-2.671949e+00
1.216305e+01	-2.694725e+00
1.223330e+01	-2.718167e+00
1.230396e+01	-2.741575e+00
1.237503e+01	-2.764653e+00
1.244651e+01	-2.788662e+00
1.251840e+01	-2.812436e+00
1.259070e+01	-2.836371e+00
1.266343e+01	-2.860245e+00
1.273657e+01	-2.884592e+00
1.281014e+01	-2.908929e+00
1.288413e+01	-2.933606e+00
1.295855e+01	-2.958123e+00
1.303339e+01	-2.982908e+00
1.310867e+01	-3.007572e+00
1.318439e+01	-3.032975e+00
1.326054e+01	-3.057811e+00
1.333713e+01	-3.083464e+00
1.341417e+01	-3.108960e+00
1.349165e+01	-3.134782e+00
1.356958e+01	-3.160116e+00
1.364795e+01	-3.186337e+00
1.372678e+01	-3.212451e+00
1.380607e+01	-3.238624e+00
1.388581e+01	-3.265055e+00
1.396602e+01	-3.291501e+00
1.404668e+01	-3.318241e+00
1.412782e+01	-3.344869e+00
1.420942e+01	-3.372111e+00
1.429149e+01	-3.399041e+00
1.437404e+01	-3.426333e+00
1.445706e+01	-3.453546e+00
1.454057e+01	-3.481049e+00
1.462455e+01	-3.508757e+00
1.470902e+01	-3.536327e+00
1.479398e+01	-3.564445e+00
1.487943e+01	-3.592474e+00
1.496537e+01	-3.620614e+00
1.505181e+01	-3.649179e+00
1.513875e+01	-3.677524e+00
1.522619e+01	-3.706112e+00
1.531414e+01	-3.735145e+00
1.540259e+01	-3.763989e+00
1.549156e+01	-3.793140e+00
1.558103e+01	-3.822146e+00
1.567103e+01	-3.851490e+00
1.576155e+01	-3.881081e+00
1.585258e+01	-3.911110e+00
1.594415e+01	-3.940439e+00
1.603624e+01	-3.970097e+00
1.612886e+01	-4.000347e+00
1.622202e+01	-4.030456e+00
1.631572e+01	-4.060548e+00
1.640996e+01	-4.091193e+00
1.650474e+01	-4.122201e+00
1.660008e+01	-4.152735e+00
1.669596e+01	-4.183425e+00
1.679239e+01	-4.214425e+00
1.688938e+01	-4.245684e+00
1.698694e+01	-4.276783e+00
1.708505e+01	-4.308446e+00
1.718373e+01	-4.340131e+00
1.728299e+01	-4.371534e+00
1.738281e+01	-4.403595e+00
1.748322e+01	-4.435297e+00
1.758420e+01	-4.467489e+00
1.768576e+01	-4.499338e+00
1.778792e+01	-4.532011e+00
1.789066e+01	-4.564683e+00
1.799399e+01	-4.596993e+00
1.809793e+01	-4.629655e+00
1.820246e+01	-4.662740e+00
1.830760e+01	-4.695665e+00
1.841334e+01	-4.728802e+00
1.851969e+01	-4.762118e+00
1.862666e+01	-4.795453e+00
1.873425e+01	-4.828971e+00
1.884246e+01	-4.862268e+00
1.895129e+01	-4.896322e+00
1.906075e+01	-4.930295e+00
1.917085e+01	-4.964233e+00
1.928158e+01	-4.998400e+00
1.939295e+01	-5.032767e+00
1.950496e+01	-5.066832e+00
1.961762e+01	-5.101302e+00
1.973093e+01	-5.136005e+00
1.984490e+01	-5.171043e+00
1.995952e+01	-5.205545e+00
2.007480e+01	-5.240685e+00
2.019076e+01	-5.275833e+00
2.030738e+01	-5.311106e+00
2.042467e+01	-5.346431e+00
2.054264e+01	-5.382173e+00
2.066130e+01	-5.417294e+00
2.078064e+01	-5.453577e+00
2.090066e+01	-5.489167e+00
2.102139e+01	-5.525271e+00
2.114280e+01	-5.561367e+00
2.126492e+01	-5.597514e+00
2.138775e+01	-5.633506e+00
2.151128e+01	-5.670417e+00
2.163553e+01	-5.706470e+00
2.176050e+01	-5.742811e+00
2.188619e+01	-5.779641e+00
2.201260e+01	-5.816750e+00
2.213974e+01	-5.853871e+00
2.226762e+01	-5.890899e+00
2.239624e+01	-5.927973e+00
2.252560e+01	-5.965192e+00
2.265571e+01	-6.002613e+00
2.278656e+01	-6.040082e+00
2.291818e+01	-6.077897e+00
2.305055e+01	-6.115854e+00
2.318369e+01	-6.153445e+00
2.331760e+01	-6.191465e+00
2.345228e+01	-6.229311e+00
2.358774e+01	-6.267471e+00
2.372398e+01	-6.306154e+00
2.386101e+01	-6.344541e+00
2.399883e+01	-6.382686e+00
2.413745e+01	-6.421082e+00
2.427686e+01	-6.459740e+00
2.441709e+01	-6.498472e+00
2.455812e+01	-6.537285e+00
2.469997e+01	-6.576519e+00
2.484263e+01	-6.615462e+00
2.498612e+01	-6.654709e+00
2.513044e+01	-6.694047e+00
2.527559e+01	-6.733507e+00
2.542158e+01	-6.772986e+00
2.556842e+01	-6.812636e+00
2.571610e+01	-6.852306e+00
2.586463e+01	-6.891433e+00
2.601403e+01	-6.931879e+00
2.616428e+01	-6.971766e+00
2.631541e+01	-7.011441e+00
2.646740e+01	-7.051532e+00
2.662028e+01	-7.091953e+00
2.677404e+01	-7.132455e+00
2.692868e+01	-7.172593e+00
2.708422e+01	-7.212990e+00
2.724066e+01	-7.254057e+00
2.739800e+01	-7.294341e+00
2.755625e+01	-7.334848e+00
2.771541e+01	-7.375601e+00
2.787550e+01	-7.416653e+00
2.803650e+01	-7.457673e+00
2.819844e+01	-7.498404e+00
2.836131e+01	-7.540086e+00
2.852513e+01	-7.581321e+00
2.868989e+01	-7.622703e+00
2.885560e+01	-7.663985e+00
2.902227e+01	-7.705473e+00
2.918990e+01	-7.746820e+00
2.935850e+01	-7.788360e+00
2.952807e+01	-7.830312e+00
2.969863e+01	-7.872292e+00
2.987016e+01	-7.914301e+00
3.004269e+01	-7.956292e+00
3.021622e+01	-7.998259e+00
3.039075e+01	-8.040545e+00
3.056628e+01	-8.082937e+00
3.074283e+01	-8.124793e+00
3.092040e+01	-8.167225e+00
3.109900e+01	-8.209803e+00
3.127862e+01	-8.252302e+00
3.145929e+01	-8.295164e+00
3.164099e+01	-8.337389e+00
3.182375e+01	-8.380013e+00
3.200756e+01	-8.423577e+00
3.219244e+01	-8.465710e+00
3.237838e+01	-8.508582e+00
3.256540e+01	-8.551862e+00
3.275349e+01	-8.594792e+00
3.294268e+01	-8.637729e+00
3.313295e+01	-8.681336e+00
3.332433e+01	-8.724512e+00
3.351681e+01	-8.768051e+00
3.371040e+01	-8.811443e+00
3.390511e+01	-8.854944e+00
3.410094e+01	-8.898540e+00
3.429791e+01	-8.941869e+00
3.449601e+01	-8.985527e+00
3.469526e+01	-9.029360e+00
3.489566e+01	-9.073190e+00
3.509721e+01	-9.117113e+00
3.529993e+01	-9.161162e+00
3.550382e+01	-9.204634e+00
3.570889e+01	-9.249226e+00
3.591515e+01	-9.293488e+00
3.612259e+01	-9.337696e+00
3.633123e+01	-9.381830e+00
3.654108e+01	-9.425765e+00
3.675214e+01	-9.469877e+00
3.696442e+01	-9.514548e+00
3.717792e+01	-9.559289e+00
3.739266e+01	-9.603614e+00
3.760864e+01	-9.648045e+00
3.782587e+01	-9.692352e+00
3.804435e+01	-9.737309e+00
3.826409e+01	-9.782533e+00
3.848510e+01	-9.827158e+00
3.870739e+01	-9.871854e+00
3.893096e+01	-9.917001e+00
3.915583e+01	-9.961497e+00
3.938199e+01	-1.000667e+01
3.960946e+01	-1.005220e+01
3.983824e+01	-1.009631e+01
4.006834e+01	-1.014135e+01
4.029978e+01	-1.018736e+01
4.053255e+01	-1.023227e+01
4.076666e+01	-1.027749e+01
4.100213e+01	-1.032310e+01
4.123896e+01	-1.036853e+01
4.147715e+01	-1.041418e+01
4.171672e+01	-1.045980e+01
4.195767e+01	-1.050533e+01
4.220002e+01	-1.055114e+01
4.244377e+01	-1.059605e+01
4.268892e+01	-1.064256e+01
4.293549e+01	-1.068763e+01
4.318348e+01	-1.073340e+01
4.343291e+01	-1.077992e+01
4.368377e+01	-1.082567e+01
4.393609e+01	-1.087153e+01
4.418986e+01	-1.091706e+01
4.444510e+01	-1.096341e+01
4.470182e+01	-1.100921e+01
4.496001e+01	-1.105486e+01
4.521970e+01	-1.110178e+01
4.548089e+01	-1.114711e+01
4.574358e+01	-1.119399e+01
4.600779e+01	-1.124009e+01
4.627353e+01	-1.128630e+01
4.654081e+01	-1.133240e+01
4.680963e+01	-1.137868e+01
4.708000e+01	-1.142553e+01
4.735193e+01	-1.147141e+01
4.762543e+01	-1.151769e+01
4.790051e+01	-1.156493e+01
4.817719e+01	-1.161126e+01
4.845545e+01	-1.165847e+01
4.873533e+01	-1.170435e+01
4.901682e+01	-1.175119e+01
4.929994e+01	-1.179864e+01
4.958470e+01	-1.184440e+01
4.987110e+01	-1.189133e+01
5.015915e+01	-1.193773e+01
5.044887e+01	-1.198504e+01
5.074026e+01	-1.203181e+01
5.103333e+01	-1.207902e+01
5.132810e+01	-1.212551e+01
5.162457e+01	-1.217316e+01
5.192275e+01	-1.221950e+01
5.222265e+01	-1.226637e+01
5.252429e+01	-1.231397e+01
5.282767e+01	-1.236163e+01
5.313280e+01	-1.240862e+01
5.343969e+01	-1.245461e+01
5.374836e+01	-1.250233e+01
5.405880e+01	-1.254966e+01
5.437105e+01	-1.259663e+01
5.468509e+01	-1.264421e+01
5.500095e+01	-1.269133e+01
5.531863e+01	-1.273965e+01
5.563815e+01	-1.278628e+01
5.595951e+01	-1.283422e+01
5.628273e+01	-1.288124e+01
5.660782e+01	-1.292839e+01
5.693479e+01	-1.297565e+01
5.726364e+01	-1.302341e+01
5.759439e+01	-1.307123e+01
5.792705e+01	-1.311891e+01
5.826164e+01	-1.316651e+01
5.859815e+01	-1.321370e+01
5.893662e+01	-1.326128e+01
5.927703e+01	-1.330929e+01
5.961941e+01	-1.335707e+01
5.996377e+01	-1.340514e+01
6.031012e+01	-1.345285e+01
6.065847e+01	-1.350062e+01
6.100883e+01	-1.354823e+01
6.136121e+01	-1.359607e+01
6.171563e+01	-1.364352e+01
6.207210e+01	-1.369163e+01
6.243063e+01	-1.373916e+01
6.279122e+01	-1.378689e+01
6.315390e+01	-1.383564e+01
6.351868e+01	-1.388293e+01
6.388556e+01	-1.393106e+01
6.425456e+01	-1.397969e+01
6.462569e+01	-1.402705e+01
6.499897e+01	-1.407596e+01
6.537440e+01	-1.412255e+01
6.575200e+01	-1.417132e+01
6.613178e+01	-1.421965e+01
6.651375e+01	-1.426787e+01
6.689793e+01	-1.431690e+01
6.728433e+01	-1.436467e+01
6.767297e+01	-1.441302e+01
6.806384e+01	-1.446045e+01
6.845698e+01	-1.450858e+01
6.885238e+01	-1.455766e+01
6.925007e+01	-1.460591e+01
6.965005e+01	-1.465365e+01
7.005235e+01	-1.470252e+01
7.045697e+01	-1.475044e+01
7.086393e+01	-1.479851e+01
7.127323e+01	-1.484725e+01
7.168490e+01	-1.489458e+01
7.209895e+01	-1.494401e+01
7.251539e+01	-1.499298e+01
7.293424e+01	-1.504048e+01
7.335551e+01	-1.508983e+01
7.377920e+01	-1.513773e+01
7.420535e+01	-1.518622e+01
7.463396e+01	-1.523443e+01
7.506504e+01	-1.528288e+01
7.549861e+01	-1.533244e+01
7.593469e+01	-1.538076e+01
7.637328e+01	-1.542826e+01
7.681441e+01	-1.547725e+01
7.725809e+01	-1.552638e+01
7.770433e+01	-1.557524e+01
7.815315e+01	-1.562377e+01
7.860456e+01	-1.567257e+01
7.905857e+01	-1.572121e+01
7.951521e+01	-1.576965e+01
7.997449e+01	-1.581799e+01
8.043642e+01	-1.586730e+01
8.090102e+01	-1.591558e+01
8.136830e+01	-1.596521e+01
8.183828e+01	-1.601278e+01
8.231097e+01	-1.606222e+01
8.278640e+01	-1.611130e+01
8.326457e+01	-1.615971e+01
8.374550e+01	-1.620865e+01
8.422921e+01	-1.625754e+01
8.471572e+01	-1.630609e+01
8.520503e+01	-1.635440e+01
8.569717e+01	-1.640293e+01
8.619215e+01	-1.645285e+01
8.669000e+01	-1.650214e+01
8.719071e+01	-1.655157e+01
8.769432e+01	-1.659874e+01
8.820084e+01	-1.664908e+01
8.871029e+01	-1.669825e+01
8.922267e+01	-1.674558e+01
8.973802e+01	-1.679525e+01
9.025634e+01	-1.684504e+01
9.077766e+01	-1.689490e+01
9.130199e+01	-1.694191e+01
9.182935e+01	-1.699211e+01
9.235975e+01	-1.704094e+01
9.289321e+01	-1.708966e+01
9.342976e+01	-1.713955e+01
9.396941e+01	-1.718878e+01
9.451217e+01	-1.723779e+01
9.505807e+01	-1.728584e+01
9.560712e+01	-1.733334e+01
9.615934e+01	-1.738474e+01
9.671476e+01	-1.743382e+01
9.727338e+01	-1.748262e+01
9.783522e+01	-1.753173e+01
9.840032e+01	-1.758149e+01
9.896867e+01	-1.763029e+01
9.954031e+01	-1.767866e+01
1.001153e+02	-1.772737e+01
1.006935e+02	-1.777688e+01
1.012751e+02	-1.782617e+01
1.018601e+02	-1.787645e+01
1.024484e+02	-1.792536e+01
1.030402e+02	-1.797416e+01
1.036353e+02	-1.802420e+01
1.042339e+02	-1.807191e+01
1.048360e+02	-1.812251e+01
1.054415e+02	-1.817082e+01
1.060505e+02	-1.822078e+01
1.066631e+02	-1.827067e+01
1.072791e+02	-1.832036e+01
1.078988e+02	-1.836860e+01
1.085220e+02	-1.841950e+01
1.091488e+02	-1.846647e+01
1.097793e+02	-1.851654e+01
1.104133e+02	-1.856649e+01
1.110511e+02	-1.861338e+01
1.116925e+02	-1.866396e+01
1.123376e+02	-1.871569e+01
1.129865e+02	-1.876300e+01
1.136391e+02	-1.881215e+01
1.142955e+02	-1.886264e+01
1.149556e+02	-1.891131e+01
1.156196e+02	-1.896129e+01
1.162874e+02	-1.901072e+01
1.169591e+02	-1.905929e+01
1.176347e+02	-1.910951e+01
1.183141e+02	-1.915863e+01
1.189975e+02	-1.920713e+01
