Frequency(Hz)	Magnitude(dB)
1.000000e+01	-2.150916e+00
1.005776e+01	-2.170500e+00
1.011585e+01	-2.190440e+00
1.017428e+01	-2.210329e+00
1.023305e+01	-2.229950e+00
1.029215e+01	-2.250331e+00
1.035160e+01	-2.270609e+00
1.041139e+01	-2.290979e+00
1.047153e+01	-2.311831e+00
1.053201e+01	-2.332390e+00
1.059284e+01	-2.353305e+00
1.065403e+01	-2.374221e+00
1.071556e+01	-2.395539e+00
1.077746e+01	-2.416757e+00
1.083971e+01	-2.438191e+00
1.090232e+01	-2.459606e+00
1.096529e+01	-2.481249e+00
1.102862e+01	-2.502976e+00
1.109232e+01	-2.525191e+00
1.115639e+01	-2.547451e+00
1.122083e+01	-2.569454e+00
1.128564e+01	-2.591883e+00
1.135083e+01	-2.614324e+00
1.141639e+01	-2.636997e+00
1.148233e+01	-2.660145e+00
1.154865e+01	-2.682953e+00
1.161536e+01	-2.706102e+00
1.168245e+01	-2.729365e+00
1.174992e+01	-2.752751e+00
1.181779e+01	-2.776260e+00
1.188605e+01	-2.800166e+00
1.195470e+01	-2.824113e+00
1.202375e+01	-2.848003e+00
1.209320e+01	-2.871726e+00
1.216305e+01	-2.896397e+00
1.223330e+01	-2.920693e+00
1.230396e+01	-2.945480e+00
1.237503e+01	-2.969979e+00
1.244651e+01	-2.994947e+00
1.251840e+01	-3.019808e+00
1.259070e+01	-3.045115e+00
1.266343e+01	-3.070302e+00
1.273657e+01	-3.095706e+00
1.281014e+01	-3.121243e+00
1.288413e+01	-3.146981e+00
1.295855e+01	-3.173122e+00
1.303339e+01	-3.198754e+00
1.310867e+01	-3.225153e+00
1.318439e+01	-3.251291e+00
1.326054e+01	-3.277798e+00
1.333713e+01	-3.304145e+00
1.341417e+01	-3.330977e+00
1.349165e+01	-3.357870e+00
1.356958e+01	-3.384801e+00
1.364795e+01	-3.412107e+00
1.372678e+01	-3.439404e+00
1.380607e+01	-3.466918e+00
1.388581e+01	-3.494379e+00
1.396602e+01	-3.522030e+00
1.404668e+01	-3.549907e+00
1.412782e+01	-3.578108e+00
1.420942e+01	-3.606169e+00
1.429149e+01	-3.634410e+00
1.437404e+01	-3.662763e+00
1.445706e+01	-3.691336e+00
1.454057e+01	-3.720191e+00
1.462455e+01	-3.748970e+00
1.470902e+01	-3.778333e+00
1.479398e+01	-3.807238e+00
1.487943e+01	-3.836350e+00
1.496537e+01	-3.866025e+00
1.505181e+01	-3.895346e+00
1.513875e+01	-3.925223e+00
1.522619e+01	-3.954723e+00
1.531414e+01	-3.984777e+00
1.540259e+01	-4.014906e+00
1.549156e+01	-4.045322e+00
1.558103e+01	-4.075793e+00
1.567103e+01	-4.106200e+00
1.576155e+01	-4.136752e+00
1.585258e+01	-4.167761e+00
1.594415e+01	-4.198545e+00
1.603624e+01	-4.229421e+00
1.612886e+01	-4.260702e+00
1.622202e+01	-4.291847e+00
1.631572e+01	-4.323873e+00
1.640996e+01	-4.355081e+00
1.650474e+01	-4.386999e+00
1.660008e+01	-4.418789e+00
1.669596e+01	-4.451018e+00
1.679239e+01	-4.483009e+00
1.688938e+01	-4.515470e+00
1.698694e+01	-4.547733e+00
1.708505e+01	-4.580317e+00
1.718373e+01	-4.612941e+00
1.728299e+01	-4.645560e+00
1.738281e+01	-4.678404e+00
1.748322e+01	-4.711770e+00
1.758420e+01	-4.744702e+00
1.768576e+01	-4.778124e+00
1.778792e+01	-4.811867e+00
1.789066e+01	-4.845145e+00
1.799399e+01	-4.878846e+00
1.809793e+01	-4.912566e+00
1.820246e+01	-4.946474e+00
1.830760e+01	-4.980830e+00
1.841334e+01	-5.014863e+00
1.851969e+01	-5.049285e+00
1.862666e+01	-5.083487e+00
1.873425e+01	-5.117982e+00
1.884246e+01	-5.152700e+00
1.895129e+01	-5.187931e+00
1.906075e+01	-5.222794e+00
1.917085e+01	-5.257998e+00
1.928158e+01	-5.293013e+00
1.939295e+01	-5.328434e+00
1.950496e+01	-5.363778e+00
1.961762e+01	-5.399307e+00
1.973093e+01	-5.434914e+00
1.984490e+01	-5.470494e+00
1.995952e+01	-5.506386e+00
2.007480e+01	-5.542381e+00
2.019076e+01	-5.578405e+00
2.030738e+01	-5.615116e+00
2.042467e+01	-5.651323e+00
2.054264e+01	-5.687841e+00
2.066130e+01	-5.724221e+00
2.078064e+01	-5.761039e+00
2.090066e+01	-5.797680e+00
2.102139e+01	-5.834545e+00
2.114280e+01	-5.871862e+00
2.126492e+01	-5.908485e+00
2.138775e+01	-5.945775e+00
