Frequency(Hz)	Magnitude(dB)
1.000000e+01	-2.212159e+00
1.005776e+01	-2.232042e+00
1.011585e+01	-2.252444e+00
1.017428e+01	-2.272654e+00
1.023305e+01	-2.293217e+00
1.029215e+01	-2.313660e+00
1.035160e+01	-2.334144e+00
1.041139e+01	-2.355164e+00
1.047153e+01	-2.376302e+00
1.053201e+01	-2.397269e+00
1.059284e+01	-2.418625e+00
1.065403e+01	-2.439934e+00
1.071556e+01	-2.461597e+00
1.077746e+01	-2.483421e+00
1.083971e+01	-2.505361e+00
1.090232e+01	-2.527372e+00
1.096529e+01	-2.549302e+00
1.102862e+01	-2.571600e+00
1.109232e+01	-2.594153e+00
1.115639e+01	-2.616793e+00
1.122083e+01	-2.639224e+00
1.128564e+01	-2.662384e+00
1.135083e+01	-2.685252e+00
1.141639e+01	-2.708181e+00
1.148233e+01	-2.731718e+00
1.154865e+01	-2.755081e+00
1.161536e+01	-2.778673e+00
1.168245e+01	-2.802185e+00
1.174992e+01	-2.826046e+00
1.181779e+01	-2.850274e+00
1.188605e+01	-2.874409e+00
1.195470e+01	-2.898561e+00
1.202375e+01	-2.922995e+00
1.209320e+01	-2.947641e+00
1.216305e+01	-2.972454e+00
1.223330e+01	-2.997131e+00
1.230396e+01	-3.022097e+00
1.237503e+01	-3.047394e+00
1.244651e+01	-3.072717e+00
1.251840e+01	-3.098144e+00
1.259070e+01	-3.123649e+00
1.266343e+01	-3.149576e+00
1.273657e+01	-3.175152e+00
1.281014e+01	-3.201317e+00
1.288413e+01	-3.227560e+00
1.295855e+01	-3.253783e+00
1.303339e+01	-3.280497e+00
1.310867e+01	-3.306853e+00
1.318439e+01	-3.333394e+00
1.326054e+01	-3.360526e+00
1.333713e+01	-3.387518e+00
1.341417e+01	-3.414570e+00
1.349165e+01	-3.441630e+00
1.356958e+01	-3.469296e+00
1.364795e+01	-3.496806e+00
1.372678e+01	-3.524648e+00
1.380607e+01	-3.552632e+00
1.388581e+01	-3.580666e+00
1.396602e+01	-3.609057e+00
1.404668e+01	-3.636957e+00
1.412782e+01	-3.665435e+00
1.420942e+01	-3.694160e+00
1.429149e+01	-3.722955e+00
1.437404e+01	-3.751806e+00
1.445706e+01	-3.780656e+00
1.454057e+01	-3.809938e+00
1.462455e+01	-3.839236e+00
1.470902e+01	-3.868405e+00
1.479398e+01	-3.898094e+00
1.487943e+01	-3.927795e+00
1.496537e+01	-3.957852e+00
1.505181e+01	-3.987686e+00
1.513875e+01	-4.017950e+00
1.522619e+01	-4.048107e+00
1.531414e+01	-4.078277e+00
1.540259e+01	-4.109033e+00
1.549156e+01	-4.139674e+00
1.558103e+01	-4.170486e+00
1.567103e+01	-4.201467e+00
1.576155e+01	-4.232353e+00
1.585258e+01	-4.263597e+00
1.594415e+01	-4.295224e+00
1.603624e+01	-4.326661e+00
1.612886e+01	-4.358174e+00
1.622202e+01	-4.390026e+00
1.631572e+01	-4.422073e+00
1.640996e+01	-4.453759e+00
1.650474e+01	-4.486319e+00
1.660008e+01	-4.518048e+00
1.669596e+01	-4.550786e+00
1.679239e+01	-4.583272e+00
1.688938e+01	-4.616174e+00
1.698694e+01	-4.648677e+00
1.708505e+01	-4.681720e+00
1.718373e+01	-4.714770e+00
1.728299e+01	-4.748287e+00
1.738281e+01	-4.780948e+00
1.748322e+01	-4.814596e+00
1.758420e+01	-4.848124e+00
1.768576e+01	-4.882199e+00
1.778792e+01	-4.915762e+00
1.789066e+01	-4.949865e+00
1.799399e+01	-4.983749e+00
1.809793e+01	-5.017928e+00
1.820246e+01	-5.052445e+00
1.830760e+01	-5.086927e+00
1.841334e+01	-5.121531e+00
1.851969e+01	-5.156343e+00
1.862666e+01	-5.191150e+00
1.873425e+01	-5.225866e+00
1.884246e+01	-5.261307e+00
1.895129e+01	-5.296236e+00
1.906075e+01	-5.331466e+00
1.917085e+01	-5.366853e+00
1.928158e+01	-5.402433e+00
1.939295e+01	-5.438259e+00
1.950496e+01	-5.473836e+00
1.961762e+01	-5.509838e+00
1.973093e+01	-5.545549e+00
1.984490e+01	-5.581950e+00
1.995952e+01	-5.618026e+00
2.007480e+01	-5.654435e+00
2.019076e+01	-5.690937e+00
2.030738e+01	-5.727433e+00
2.042467e+01	-5.764161e+00
2.054264e+01	-5.801030e+00
2.066130e+01	-5.837813e+00
2.078064e+01	-5.875148e+00
2.090066e+01	-5.912170e+00
2.102139e+01	-5.949521e+00
2.114280e+01	-5.986450e+00
2.126492e+01	-6.024541e+00
2.138775e+01	-6.062251e+00
2.151128e+01	-6.099669e+00
2.163553e+01	-6.137615e+00
2.176050e+01	-6.175151e+00
2.188619e+01	-6.213081e+00
2.201260e+01	-6.251647e+00
2.213974e+01	-6.289582e+00
2.226762e+01	-6.327587e+00
2.239624e+01	-6.366555e+00
2.252560e+01	-6.405035e+00
2.265571e+01	-6.443637e+00
2.278656e+01	-6.482585e+00
2.291818e+01	-6.521011e+00
2.305055e+01	-6.559824e+00
2.318369e+01	-6.599363e+00
2.331760e+01	-6.638070e+00
2.345228e+01	-6.677619e+00
2.358774e+01	-6.716509e+00
2.372398e+01	-6.756238e+00
2.386101e+01	-6.795617e+00
2.399883e+01	-6.835182e+00
2.413745e+01	-6.874963e+00
2.427686e+01	-6.914626e+00
