Frequency(Hz)	Magnitude(dB)
1.000000e+01	-2.158801e+00
1.005776e+01	-2.178380e+00
1.011585e+01	-2.197947e+00
1.017428e+01	-2.218014e+00
1.023305e+01	-2.238002e+00
1.029215e+01	-2.258208e+00
1.035160e+01	-2.278728e+00
1.041139e+01	-2.299289e+00
1.047153e+01	-2.319879e+00
1.053201e+01	-2.340788e+00
1.059284e+01	-2.361553e+00
1.065403e+01	-2.382378e+00
1.071556e+01	-2.403757e+00
1.077746e+01	-2.425140e+00
1.083971e+01	-2.446534e+00
1.090232e+01	-2.468154e+00
1.096529e+01	-2.490092e+00
1.102862e+01	-2.511908e+00
1.109232e+01	-2.533770e+00
1.115639e+01	-2.556069e+00
1.122083e+01	-2.578644e+00
1.128564e+01	-2.600750e+00
1.135083e+01	-2.623192e+00
1.141639e+01	-2.646402e+00
1.148233e+01	-2.669198e+00
1.154865e+01	-2.692199e+00
1.161536e+01	-2.715553e+00
1.168245e+01	-2.738447e+00
1.174992e+01	-2.762094e+00
1.181779e+01	-2.785774e+00
1.188605e+01	-2.809564e+00
1.195470e+01	-2.833262e+00
1.202375e+01	-2.857305e+00
1.209320e+01	-2.881391e+00
1.216305e+01	-2.905952e+00
1.223330e+01	-2.930661e+00
1.230396e+01	-2.955067e+00
1.237503e+01	-2.979801e+00
1.244651e+01	-3.004720e+00
1.251840e+01	-3.029844e+00
1.259070e+01	-3.055104e+00
1.266343e+01	-3.080208e+00
1.273657e+01	-3.105724e+00
1.281014e+01	-3.131498e+00
1.288413e+01	-3.157156e+00
1.295855e+01	-3.183124e+00
1.303339e+01	-3.209152e+00
1.310867e+01	-3.235502e+00
1.318439e+01	-3.261815e+00
1.326054e+01	-3.288300e+00
1.333713e+01	-3.314782e+00
1.341417e+01	-3.341524e+00
1.349165e+01	-3.368560e+00
1.356958e+01	-3.395730e+00
1.364795e+01	-3.422837e+00
1.372678e+01	-3.450277e+00
1.380607e+01	-3.477764e+00
1.388581e+01	-3.505458e+00
1.396602e+01	-3.532876e+00
1.404668e+01	-3.560946e+00
1.412782e+01	-3.589020e+00
1.420942e+01	-3.617460e+00
1.429149e+01	-3.645772e+00
1.437404e+01	-3.673985e+00
1.445706e+01	-3.702885e+00
1.454057e+01	-3.731377e+00
1.462455e+01	-3.760190e+00
1.470902e+01	-3.789373e+00
1.479398e+01	-3.818640e+00
1.487943e+01	-3.847979e+00
1.496537e+01	-3.877630e+00
1.505181e+01	-3.907096e+00
1.513875e+01	-3.936738e+00
1.522619e+01	-3.966657e+00
1.531414e+01	-3.996791e+00
1.540259e+01	-4.026845e+00
1.549156e+01	-4.056717e+00
1.558103e+01	-4.087491e+00
1.567103e+01	-4.118194e+00
1.576155e+01	-4.148939e+00
1.585258e+01	-4.179952e+00
1.594415e+01	-4.210829e+00
