Frequency(Hz)	Magnitude(dB)
1.000000e+01	-1.967919e+00
1.005776e+01	-1.986279e+00
1.011585e+01	-2.004817e+00
1.017428e+01	-2.023254e+00
1.023305e+01	-2.041873e+00
1.029215e+01	-2.060860e+00
1.035160e+01	-2.079936e+00
1.041139e+01	-2.098856e+00
1.047153e+01	-2.118180e+00
1.053201e+01	-2.137613e+00
1.059284e+01	-2.157099e+00
1.065403e+01	-2.176369e+00
1.071556e+01	-2.196401e+00
1.077746e+01	-2.216319e+00
1.083971e+01	-2.236310e+00
1.090232e+01	-2.256468e+00
1.096529e+01	-2.277081e+00
1.102862e+01	-2.297624e+00
1.109232e+01	-2.318251e+00
1.115639e+01	-2.338788e+00
1.122083e+01	-2.359595e+00
1.128564e+01	-2.380725e+00
1.135083e+01	-2.401986e+00
1.141639e+01	-2.423302e+00
1.148233e+01	-2.444830e+00
1.154865e+01	-2.466213e+00
1.161536e+01	-2.488053e+00
1.168245e+01	-2.509702e+00
1.174992e+01	-2.531996e+00
1.181779e+01	-2.553991e+00
1.188605e+01	-2.576478e+00
1.195470e+01	-2.599123e+00
1.202375e+01	-2.621387e+00
1.209320e+01	-2.644302e+00
1.216305e+01	-2.667240e+00
1.223330e+01	-2.690213e+00
1.230396e+01	-2.713537e+00
1.237503e+01	-2.736734e+00
1.244651e+01	-2.760132e+00
1.251840e+01	-2.783865e+00
1.259070e+01	-2.807736e+00
1.266343e+01	-2.831341e+00
1.273657e+01	-2.855624e+00
1.281014e+01	-2.879531e+00
1.288413e+01	-2.903833e+00
1.295855e+01	-2.928543e+00
1.303339e+01	-2.952892e+00
1.310867e+01	-2.977777e+00
1.318439e+01	-3.002671e+00
1.326054e+01	-3.027515e+00
1.333713e+01	-3.052994e+00
1.341417e+01	-3.078141e+00
1.349165e+01	-3.103605e+00
1.356958e+01	-3.129297e+00
1.364795e+01	-3.155025e+00
1.372678e+01	-3.180850e+00
1.380607e+01	-3.206895e+00
1.388581e+01	-3.233129e+00
1.396602e+01	-3.259451e+00
1.404668e+01	-3.286055e+00
1.412782e+01	-3.312724e+00
1.420942e+01	-3.339603e+00
1.429149e+01	-3.366557e+00
1.437404e+01	-3.393433e+00
1.445706e+01	-3.420491e+00
1.454057e+01	-3.447739e+00
1.462455e+01	-3.475352e+00
1.470902e+01	-3.502778e+00
1.479398e+01	-3.530519e+00
1.487943e+01	-3.558783e+00
1.496537e+01	-3.586672e+00
1.505181e+01	-3.614847e+00
1.513875e+01	-3.643419e+00
1.522619e+01	-3.671843e+00
1.531414e+01	-3.700376e+00
1.540259e+01	-3.728918e+00
1.549156e+01	-3.757956e+00
1.558103e+01	-3.787033e+00
1.567103e+01	-3.816093e+00
1.576155e+01	-3.845533e+00
