Frequency(Hz)	Magnitude(dB)
1.000000e+01	-2.215547e+00
1.005776e+01	-2.235733e+00
1.011585e+01	-2.255593e+00
1.017428e+01	-2.276026e+00
1.023305e+01	-2.296644e+00
1.029215e+01	-2.317326e+00
1.035160e+01	-2.338026e+00
1.041139e+01	-2.359037e+00
1.047153e+01	-2.379894e+00
1.053201e+01	-2.400945e+00
1.059284e+01	-2.422410e+00
1.065403e+01	-2.443768e+00
1.071556e+01	-2.465453e+00
1.077746e+01	-2.487277e+00
1.083971e+01	-2.509168e+00
1.090232e+01	-2.531058e+00
1.096529e+01	-2.553224e+00
1.102862e+01	-2.575644e+00
1.109232e+01	-2.598079e+00
1.115639e+01	-2.620592e+00
1.122083e+01	-2.643526e+00
1.128564e+01	-2.666338e+00
1.135083e+01	-2.689491e+00
1.141639e+01	-2.712495e+00
1.148233e+01	-2.735926e+00
1.154865e+01	-2.759174e+00
1.161536e+01	-2.782700e+00
1.168245e+01	-2.806608e+00
1.174992e+01	-2.830444e+00
1.181779e+01	-2.854548e+00
1.188605e+01	-2.878698e+00
1.195470e+01	-2.902977e+00
1.202375e+01	-2.927273e+00
1.209320e+01	-2.952014e+00
1.216305e+01	-2.976873e+00
1.223330e+01	-3.001668e+00
1.230396e+01	-3.026650e+00
1.237503e+01	-3.051788e+00
1.244651e+01	-3.077365e+00
1.251840e+01	-3.102628e+00
1.259070e+01	-3.128280e+00
1.266343e+01	-3.154077e+00
1.273657e+01	-3.179884e+00
1.281014e+01	-3.206175e+00
1.288413e+01	-3.232306e+00
1.295855e+01	-3.258442e+00
1.303339e+01	-3.284800e+00
1.310867e+01	-3.311391e+00
1.318439e+01	-3.338220e+00
1.326054e+01	-3.364991e+00
1.333713e+01	-3.392435e+00
1.341417e+01	-3.419367e+00
1.349165e+01	-3.447020e+00
1.356958e+01	-3.474344e+00
1.364795e+01	-3.501942e+00
1.372678e+01	-3.529550e+00
1.380607e+01	-3.557404e+00
1.388581e+01	-3.585435e+00
1.396602e+01	-3.613751e+00
1.404668e+01	-3.642066e+00
1.412782e+01	-3.670292e+00
1.420942e+01	-3.699245e+00
1.429149e+01	-3.727961e+00
1.437404e+01	-3.756940e+00
1.445706e+01	-3.785621e+00
1.454057e+01	-3.815079e+00
1.462455e+01	-3.844262e+00
1.470902e+01	-3.873768e+00
1.479398e+01	-3.903501e+00
1.487943e+01	-3.933190e+00
1.496537e+01	-3.962913e+00
1.505181e+01	-3.993113e+00
1.513875e+01	-4.023100e+00
1.522619e+01	-4.053415e+00
1.531414e+01	-4.083931e+00
1.540259e+01	-4.114039e+00
1.549156e+01	-4.144972e+00
1.558103e+01	-4.175952e+00
1.567103e+01	-4.206832e+00
1.576155e+01	-4.238019e+00
1.585258e+01	-4.269103e+00
1.594415e+01	-4.300654e+00
1.603624e+01	-4.332091e+00
1.612886e+01	-4.363784e+00
1.622202e+01	-4.395394e+00
1.631572e+01	-4.427322e+00
1.640996e+01	-4.459459e+00
1.650474e+01	-4.491510e+00
1.660008e+01	-4.523803e+00
1.669596e+01	-4.556031e+00
1.679239e+01	-4.589006e+00
1.688938e+01	-4.621706e+00
1.698694e+01	-4.654443e+00
1.708505e+01	-4.687383e+00
1.718373e+01	-4.720590e+00
1.728299e+01	-4.753776e+00
1.738281e+01	-4.787361e+00
1.748322e+01	-4.820684e+00
1.758420e+01	-4.854241e+00
1.768576e+01	-4.888096e+00
1.778792e+01	-4.922151e+00
1.789066e+01	-4.955899e+00
1.799399e+01	-4.989735e+00
1.809793e+01	-5.024171e+00
1.820246e+01	-5.058520e+00
1.830760e+01	-5.093030e+00
1.841334e+01	-5.127378e+00
1.851969e+01	-5.161989e+00
1.862666e+01	-5.197466e+00
1.873425e+01	-5.232110e+00
1.884246e+01	-5.266907e+00
1.895129e+01	-5.302525e+00
1.906075e+01	-5.337645e+00
1.917085e+01	-5.372983e+00
1.928158e+01	-5.408927e+00
1.939295e+01	-5.444163e+00
1.950496e+01	-5.479965e+00
1.961762e+01	-5.516353e+00
1.973093e+01	-5.552039e+00
1.984490e+01	-5.588396e+00
1.995952e+01	-5.624538e+00
2.007480e+01	-5.661088e+00
2.019076e+01	-5.697472e+00
2.030738e+01	-5.734131e+00
2.042467e+01	-5.770772e+00
2.054264e+01	-5.807486e+00
