Frequency(Hz)	Magnitude(dB)
1.000000e+01	-2.106420e+00
1.005776e+01	-2.125845e+00
1.011585e+01	-2.145345e+00
1.017428e+01	-2.164884e+00
1.023305e+01	-2.184638e+00
1.029215e+01	-2.204350e+00
1.035160e+01	-2.224312e+00
1.041139e+01	-2.244540e+00
1.047153e+01	-2.264503e+00
1.053201e+01	-2.285179e+00
1.059284e+01	-2.305570e+00
1.065403e+01	-2.326285e+00
1.071556e+01	-2.347181e+00
1.077746e+01	-2.367851e+00
1.083971e+01	-2.389059e+00
1.090232e+01	-2.410471e+00
1.096529e+01	-2.431823e+00
1.102862e+01	-2.453173e+00
1.109232e+01	-2.474984e+00
1.115639e+01	-2.496876e+00
1.122083e+01	-2.518697e+00
1.128564e+01	-2.540860e+00
1.135083e+01	-2.562865e+00
1.141639e+01	-2.585303e+00
1.148233e+01	-2.607908e+00
1.154865e+01	-2.630416e+00
1.161536e+01	-2.653508e+00
1.168245e+01	-2.676280e+00
1.174992e+01	-2.699384e+00
1.181779e+01	-2.722771e+00
1.188605e+01	-2.745850e+00
1.195470e+01	-2.769688e+00
1.202375e+01	-2.793125e+00
1.209320e+01	-2.817120e+00
1.216305e+01	-2.841043e+00
1.223330e+01	-2.865105e+00
1.230396e+01	-2.889208e+00
1.237503e+01	-2.913640e+00
1.244651e+01	-2.938309e+00
1.251840e+01	-2.962886e+00
1.259070e+01	-2.987535e+00
1.266343e+01	-3.012683e+00
1.273657e+01	-3.037610e+00
1.281014e+01	-3.062996e+00
1.288413e+01	-3.088325e+00
1.295855e+01	-3.113681e+00
1.303339e+01	-3.139516e+00
1.310867e+01	-3.165305e+00
1.318439e+01	-3.191305e+00
1.326054e+01	-3.217350e+00
1.333713e+01	-3.243499e+00
1.341417e+01	-3.270028e+00
1.349165e+01	-3.296657e+00
1.356958e+01	-3.323283e+00
1.364795e+01	-3.350364e+00
1.372678e+01	-3.377209e+00
1.380607e+01	-3.404275e+00
1.388581e+01	-3.431349e+00
1.396602e+01	-3.458888e+00
1.404668e+01	-3.486375e+00
1.412782e+01	-3.513995e+00
1.420942e+01	-3.541807e+00
1.429149e+01	-3.569969e+00
1.437404e+01	-3.597835e+00
1.445706e+01	-3.626157e+00
1.454057e+01	-3.654455e+00
1.462455e+01	-3.683079e+00
1.470902e+01	-3.711598e+00
1.479398e+01	-3.740606e+00
1.487943e+01	-3.769577e+00
1.496537e+01	-3.798626e+00
1.505181e+01	-3.827760e+00
1.513875e+01	-3.857201e+00
1.522619e+01	-3.886728e+00
