Frequency(Hz)	Magnitude(dB)
1.000000e+01	-2.120593e+00
1.005776e+01	-2.139941e+00
1.011585e+01	-2.159324e+00
1.017428e+01	-2.179050e+00
1.023305e+01	-2.198763e+00
1.029215e+01	-2.218744e+00
1.035160e+01	-2.238875e+00
1.041139e+01	-2.258885e+00
1.047153e+01	-2.279361e+00
1.053201e+01	-2.299923e+00
1.059284e+01	-2.320464e+00
1.065403e+01	-2.341312e+00
1.071556e+01	-2.362236e+00
1.077746e+01	-2.383435e+00
1.083971e+01	-2.404553e+00
1.090232e+01	-2.425926e+00
1.096529e+01	-2.447596e+00
1.102862e+01	-2.469143e+00
1.109232e+01	-2.490686e+00
1.115639e+01	-2.512718e+00
1.122083e+01	-2.534889e+00
1.128564e+01	-2.557021e+00
1.135083e+01	-2.579141e+00
1.141639e+01	-2.601893e+00
1.148233e+01	-2.624526e+00
1.154865e+01	-2.647209e+00
1.161536e+01	-2.670014e+00
1.168245e+01	-2.693119e+00
1.174992e+01	-2.716229e+00
1.181779e+01	-2.739717e+00
1.188605e+01	-2.763147e+00
1.195470e+01	-2.786568e+00
1.202375e+01	-2.810384e+00
1.209320e+01	-2.834445e+00
1.216305e+01	-2.858278e+00
1.223330e+01	-2.882642e+00
1.230396e+01	-2.907034e+00
1.237503e+01	-2.931192e+00
1.244651e+01	-2.955806e+00
1.251840e+01	-2.981048e+00
1.259070e+01	-3.005649e+00
1.266343e+01	-3.030683e+00
1.273657e+01	-3.055939e+00
1.281014e+01	-3.081027e+00
1.288413e+01	-3.106858e+00
1.295855e+01	-3.132468e+00
1.303339e+01	-3.158163e+00
1.310867e+01	-3.184130e+00
1.318439e+01	-3.210053e+00
1.326054e+01	-3.236473e+00
1.333713e+01	-3.262607e+00
1.341417e+01	-3.289252e+00
1.349165e+01	-3.315972e+00
1.356958e+01	-3.342612e+00
1.364795e+01	-3.369638e+00
1.372678e+01	-3.396444e+00
1.380607e+01	-3.424036e+00
1.388581e+01	-3.451384e+00
1.396602e+01	-3.478949e+00
1.404668e+01	-3.506381e+00
1.412782e+01	-3.534228e+00
1.420942e+01	-3.562074e+00
1.429149e+01	-3.590223e+00
1.437404e+01	-3.618411e+00
1.445706e+01	-3.646745e+00
1.454057e+01	-3.675217e+00
1.462455e+01	-3.704058e+00
1.470902e+01	-3.732873e+00
1.479398e+01	-3.761522e+00
1.487943e+01	-3.790441e+00
1.496537e+01	-3.819821e+00
1.505181e+01	-3.849060e+00
1.513875e+01	-3.878302e+00
1.522619e+01	-3.908376e+00
1.531414e+01	-3.937736e+00
1.540259e+01	-3.967960e+00
1.549156e+01	-3.997673e+00
1.558103e+01	-4.028075e+00
1.567103e+01	-4.058202e+00
1.576155e+01	-4.088857e+00
1.585258e+01	-4.119223e+00
1.594415e+01	-4.150140e+00
1.603624e+01	-4.181249e+00
1.612886e+01	-4.212143e+00
1.622202e+01	-4.243038e+00
1.631572e+01	-4.274689e+00
1.640996e+01	-4.305723e+00
1.650474e+01	-4.337250e+00
1.660008e+01	-4.368930e+00
1.669596e+01	-4.400879e+00
1.679239e+01	-4.432908e+00
1.688938e+01	-4.464690e+00
1.698694e+01	-4.496981e+00
1.708505e+01	-4.529218e+00
1.718373e+01	-4.561592e+00
1.728299e+01	-4.594354e+00
1.738281e+01	-4.627171e+00
1.748322e+01	-4.659750e+00
1.758420e+01	-4.692765e+00
1.768576e+01	-4.726021e+00
1.778792e+01	-4.759224e+00
1.789066e+01	-4.792770e+00
1.799399e+01	-4.825933e+00
1.809793e+01	-4.859950e+00
1.820246e+01	-4.893116e+00
1.830760e+01	-4.927418e+00
1.841334e+01	-4.961447e+00
1.851969e+01	-4.995426e+00
1.862666e+01	-5.029727e+00
1.873425e+01	-5.064098e+00
1.884246e+01	-5.098684e+00
1.895129e+01	-5.132892e+00
1.906075e+01	-5.167984e+00
1.917085e+01	-5.202773e+00
1.928158e+01	-5.238036e+00
1.939295e+01	-5.272904e+00
1.950496e+01	-5.307983e+00
1.961762e+01	-5.343585e+00
1.973093e+01	-5.378851e+00
1.984490e+01	-5.414663e+00
1.995952e+01	-5.450099e+00
2.007480e+01	-5.485936e+00
2.019076e+01	-5.522184e+00
