Frequency(Hz)	Magnitude(dB)
1.000000e+01	-2.415724e+00
1.005776e+01	-2.437098e+00
1.011585e+01	-2.458851e+00
1.017428e+01	-2.480480e+00
1.023305e+01	-2.502537e+00
1.029215e+01	-2.524406e+00
1.035160e+01	-2.546436e+00
1.041139e+01	-2.568822e+00
1.047153e+01	-2.591162e+00
1.053201e+01	-2.613801e+00
1.059284e+01	-2.636430e+00
1.065403e+01	-2.659308e+00
1.071556e+01	-2.682014e+00
1.077746e+01	-2.705287e+00
1.083971e+01	-2.728788e+00
1.090232e+01	-2.751928e+00
1.096529e+01	-2.775542e+00
1.102862e+01	-2.799495e+00
1.109232e+01	-2.822996e+00
1.115639e+01	-2.847119e+00
1.122083e+01	-2.871422e+00
1.128564e+01	-2.895726e+00
1.135083e+01	-2.919916e+00
1.141639e+01	-2.944419e+00
1.148233e+01	-2.969111e+00
1.154865e+01	-2.994024e+00
1.161536e+01	-3.018850e+00
1.168245e+01	-3.044034e+00
1.174992e+01	-3.069450e+00
1.181779e+01	-3.094963e+00
1.188605e+01	-3.120356e+00
1.195470e+01	-3.146162e+00
1.202375e+01	-3.172212e+00
1.209320e+01	-3.197942e+00
1.216305e+01	-3.224199e+00
1.223330e+01	-3.250318e+00
1.230396e+01	-3.276746e+00
1.237503e+01	-3.303360e+00
1.244651e+01	-3.330000e+00
1.251840e+01	-3.356687e+00
1.259070e+01	-3.383993e+00
1.266343e+01	-3.410760e+00
1.273657e+01	-3.438492e+00
1.281014e+01	-3.465963e+00
1.288413e+01	-3.493129e+00
1.295855e+01	-3.520949e+00
1.303339e+01	-3.549041e+00
1.310867e+01	-3.576954e+00
1.318439e+01	-3.605190e+00
1.326054e+01	-3.633530e+00
1.333713e+01	-3.661889e+00
1.341417e+01	-3.690318e+00
1.349165e+01	-3.718917e+00
1.356958e+01	-3.747981e+00
1.364795e+01	-3.776906e+00
1.372678e+01	-3.806280e+00
1.380607e+01	-3.835596e+00
1.388581e+01	-3.864558e+00
1.396602e+01	-3.894505e+00
1.404668e+01	-3.923902e+00
1.412782e+01	-3.953717e+00
1.420942e+01	-3.983887e+00
1.429149e+01	-4.013750e+00
1.437404e+01	-4.044085e+00
1.445706e+01	-4.074621e+00
1.454057e+01	-4.105074e+00
1.462455e+01	-4.135623e+00
1.470902e+01	-4.166364e+00
1.479398e+01	-4.197332e+00
1.487943e+01	-4.228703e+00
1.496537e+01	-4.259678e+00
1.505181e+01	-4.290639e+00
1.513875e+01	-4.322544e+00
1.522619e+01	-4.354016e+00
1.531414e+01	-4.385955e+00
1.540259e+01	-4.417618e+00
1.549156e+01	-4.449589e+00
1.558103e+01	-4.482005e+00
