Frequency(Hz)	Magnitude(dB)
1.000000e+01	-2.240756e+00
1.005776e+01	-2.261182e+00
1.011585e+01	-2.281685e+00
1.017428e+01	-2.302130e+00
1.023305e+01	-2.322899e+00
1.029215e+01	-2.343482e+00
1.035160e+01	-2.364441e+00
1.041139e+01	-2.385524e+00
1.047153e+01	-2.406890e+00
1.053201e+01	-2.428183e+00
1.059284e+01	-2.449741e+00
1.065403e+01	-2.471237e+00
1.071556e+01	-2.493049e+00
1.077746e+01	-2.514848e+00
1.083971e+01	-2.537087e+00
1.090232e+01	-2.559244e+00
1.096529e+01	-2.581811e+00
1.102862e+01	-2.604086e+00
1.109232e+01	-2.626816e+00
1.115639e+01	-2.649399e+00
1.122083e+01	-2.672475e+00
1.128564e+01	-2.695385e+00
1.135083e+01	-2.718784e+00
1.141639e+01	-2.742218e+00
1.148233e+01	-2.765628e+00
1.154865e+01	-2.789108e+00
1.161536e+01	-2.812932e+00
1.168245e+01	-2.836935e+00
1.174992e+01	-2.860743e+00
1.181779e+01	-2.885037e+00
1.188605e+01	-2.909397e+00
1.195470e+01	-2.934098e+00
1.202375e+01	-2.958750e+00
1.209320e+01	-2.983575e+00
1.216305e+01	-3.008204e+00
1.223330e+01	-3.033638e+00
1.230396e+01	-3.058494e+00
1.237503e+01	-3.083922e+00
1.244651e+01	-3.109610e+00
1.251840e+01	-3.135376e+00
1.259070e+01	-3.161044e+00
1.266343e+01	-3.186801e+00
1.273657e+01	-3.213127e+00
1.281014e+01	-3.239071e+00
1.288413e+01	-3.265479e+00
1.295855e+01	-3.291930e+00
1.303339e+01	-3.318864e+00
1.310867e+01	-3.345646e+00
1.318439e+01	-3.372546e+00
1.326054e+01	-3.399524e+00
1.333713e+01	-3.426823e+00
1.341417e+01	-3.454070e+00
1.349165e+01	-3.481738e+00
1.356958e+01	-3.509173e+00
1.364795e+01	-3.536987e+00
1.372678e+01	-3.564895e+00
1.380607e+01	-3.593119e+00
1.388581e+01	-3.621394e+00
1.396602e+01	-3.649760e+00
1.404668e+01	-3.678076e+00
1.412782e+01	-3.706894e+00
1.420942e+01	-3.735784e+00
1.429149e+01	-3.764698e+00
1.437404e+01	-3.793715e+00
1.445706e+01	-3.822924e+00
1.454057e+01	-3.852125e+00
1.462455e+01	-3.881605e+00
1.470902e+01	-3.911071e+00
1.479398e+01	-3.941049e+00
1.487943e+01	-3.970888e+00
1.496537e+01	-4.000987e+00
1.505181e+01	-4.031315e+00
1.513875e+01	-4.061447e+00
1.522619e+01	-4.092042e+00
1.531414e+01	-4.122729e+00
1.540259e+01	-4.153192e+00
1.549156e+01	-4.184093e+00
1.558103e+01	-4.215144e+00
1.567103e+01	-4.246382e+00
1.576155e+01	-4.277481e+00
1.585258e+01	-4.309141e+00
1.594415e+01	-4.340560e+00
1.603624e+01	-4.372414e+00
1.612886e+01	-4.404090e+00
1.622202e+01	-4.436041e+00
1.631572e+01	-4.467994e+00
1.640996e+01	-4.500399e+00
1.650474e+01	-4.532674e+00
1.660008e+01	-4.565153e+00
1.669596e+01	-4.597652e+00
1.679239e+01	-4.630547e+00
1.688938e+01	-4.663318e+00
1.698694e+01	-4.696429e+00
1.708505e+01	-4.729647e+00
1.718373e+01	-4.762905e+00
1.728299e+01	-4.796263e+00
1.738281e+01	-4.829481e+00
1.748322e+01	-4.863173e+00
1.758420e+01	-4.896864e+00
1.768576e+01	-4.930913e+00
1.778792e+01	-4.964849e+00
1.789066e+01	-4.998951e+00
1.799399e+01	-5.033310e+00
1.809793e+01	-5.067569e+00
1.820246e+01	-5.102350e+00
1.830760e+01	-5.136759e+00
1.841334e+01	-5.171528e+00
1.851969e+01	-5.206368e+00
1.862666e+01	-5.241315e+00
1.873425e+01	-5.276525e+00
1.884246e+01	-5.311739e+00
1.895129e+01	-5.347305e+00
1.906075e+01	-5.382739e+00
1.917085e+01	-5.418348e+00
1.928158e+01	-5.454320e+00
1.939295e+01	-5.490081e+00
1.950496e+01	-5.525774e+00
1.961762e+01	-5.561884e+00
1.973093e+01	-5.597940e+00
1.984490e+01	-5.634058e+00
1.995952e+01	-5.670777e+00
2.007480e+01	-5.707359e+00
2.019076e+01	-5.744091e+00
2.030738e+01	-5.780892e+00
2.042467e+01	-5.817760e+00
2.054264e+01	-5.854465e+00
2.066130e+01	-5.891745e+00
2.078064e+01	-5.928912e+00
2.090066e+01	-5.966111e+00
2.102139e+01	-6.003710e+00
2.114280e+01	-6.041136e+00
2.126492e+01	-6.078688e+00
2.138775e+01	-6.116465e+00
2.151128e+01	-6.154237e+00
2.163553e+01	-6.192127e+00
2.176050e+01	-6.230227e+00
2.188619e+01	-6.268335e+00
2.201260e+01	-6.306899e+00
2.213974e+01	-6.344973e+00
2.226762e+01	-6.383540e+00
2.239624e+01	-6.422032e+00
2.252560e+01	-6.460669e+00
2.265571e+01	-6.499603e+00
2.278656e+01	-6.538536e+00
2.291818e+01	-6.577506e+00
2.305055e+01	-6.616314e+00
2.318369e+01	-6.655610e+00
2.331760e+01	-6.694856e+00
2.345228e+01	-6.734173e+00
2.358774e+01	-6.773584e+00
2.372398e+01	-6.813309e+00
2.386101e+01	-6.853502e+00
2.399883e+01	-6.892770e+00
2.413745e+01	-6.932589e+00
2.427686e+01	-6.972137e+00
2.441709e+01	-7.012482e+00
2.455812e+01	-7.053018e+00
2.469997e+01	-7.092807e+00
2.484263e+01	-7.133211e+00
2.498612e+01	-7.173678e+00
2.513044e+01	-7.214075e+00
2.527559e+01	-7.254753e+00
2.542158e+01	-7.295069e+00
2.556842e+01	-7.336425e+00
2.571610e+01	-7.376789e+00
2.586463e+01	-7.417858e+00
2.601403e+01	-7.459140e+00
2.616428e+01	-7.499709e+00
2.631541e+01	-7.541328e+00
2.646740e+01	-7.582199e+00
2.662028e+01	-7.623965e+00
2.677404e+01	-7.665163e+00
2.692868e+01	-7.706298e+00
2.708422e+01	-7.748407e+00
2.724066e+01	-7.789906e+00
2.739800e+01	-7.831318e+00
2.755625e+01	-7.873723e+00
2.771541e+01	-7.915063e+00
2.787550e+01	-7.956815e+00
2.803650e+01	-7.999254e+00
2.819844e+01	-8.041596e+00
2.836131e+01	-8.083718e+00
2.852513e+01	-8.126028e+00
2.868989e+01	-8.168598e+00
2.885560e+01	-8.210853e+00
2.902227e+01	-8.253622e+00
2.918990e+01	-8.296240e+00
2.935850e+01	-8.338513e+00
2.952807e+01	-8.381332e+00
2.969863e+01	-8.423534e+00
2.987016e+01	-8.466897e+00
3.004269e+01	-8.509574e+00
3.021622e+01	-8.552865e+00
3.039075e+01	-8.595601e+00
3.056628e+01	-8.639070e+00
3.074283e+01	-8.681944e+00
3.092040e+01	-8.725314e+00
3.109900e+01	-8.768936e+00
3.127862e+01	-8.812569e+00
3.145929e+01	-8.855701e+00
3.164099e+01	-8.899463e+00
3.182375e+01	-8.943319e+00
3.200756e+01	-8.986686e+00
3.219244e+01	-9.030794e+00
3.237838e+01	-9.074585e+00
3.256540e+01	-9.117971e+00
3.275349e+01	-9.162282e+00
3.294268e+01	-9.206074e+00
3.313295e+01	-9.249814e+00
3.332433e+01	-9.294011e+00
3.351681e+01	-9.337823e+00
3.371040e+01	-9.382674e+00
3.390511e+01	-9.426904e+00
3.410094e+01	-9.471079e+00
3.429791e+01	-9.515305e+00
3.449601e+01	-9.559868e+00
3.469526e+01	-9.604593e+00
3.489566e+01	-9.649143e+00
3.509721e+01	-9.693504e+00
3.529993e+01	-9.738237e+00
3.550382e+01	-9.783260e+00
3.570889e+01	-9.828120e+00
3.591515e+01	-9.872537e+00
3.612259e+01	-9.917460e+00
3.633123e+01	-9.962463e+00
3.654108e+01	-1.000696e+01
3.675214e+01	-1.005268e+01
3.696442e+01	-1.009831e+01
3.717792e+01	-1.014307e+01
3.739266e+01	-1.018788e+01
3.760864e+01	-1.023401e+01
3.782587e+01	-1.027891e+01
3.804435e+01	-1.032440e+01
3.826409e+01	-1.036906e+01
3.848510e+01	-1.041511e+01
3.870739e+01	-1.046029e+01
3.893096e+01	-1.050554e+01
3.915583e+01	-1.055095e+01
3.938199e+01	-1.059705e+01
3.960946e+01	-1.064306e+01
3.983824e+01	-1.068890e+01
4.006834e+01	-1.073460e+01
4.029978e+01	-1.078055e+01
4.053255e+01	-1.082619e+01
4.076666e+01	-1.087200e+01
4.100213e+01	-1.091806e+01
4.123896e+01	-1.096393e+01
4.147715e+01	-1.101006e+01
4.171672e+01	-1.105604e+01
4.195767e+01	-1.110241e+01
4.220002e+01	-1.114835e+01
4.244377e+01	-1.119447e+01
4.268892e+01	-1.124046e+01
4.293549e+01	-1.128750e+01
4.318348e+01	-1.133329e+01
4.343291e+01	-1.138019e+01
4.368377e+01	-1.142608e+01
4.393609e+01	-1.147247e+01
4.418986e+01	-1.151963e+01
4.444510e+01	-1.156585e+01
4.470182e+01	-1.161276e+01
