Frequency(Hz)	Magnitude(dB)
1.000000e+01	-2.155121e+00
1.005776e+01	-2.174643e+00
1.011585e+01	-2.194674e+00
1.017428e+01	-2.214362e+00
1.023305e+01	-2.234428e+00
1.029215e+01	-2.254576e+00
1.035160e+01	-2.275152e+00
1.041139e+01	-2.295603e+00
1.047153e+01	-2.316158e+00
1.053201e+01	-2.336893e+00
1.059284e+01	-2.357741e+00
1.065403e+01	-2.378942e+00
1.071556e+01	-2.400023e+00
1.077746e+01	-2.421078e+00
1.083971e+01	-2.442592e+00
1.090232e+01	-2.464199e+00
1.096529e+01	-2.485867e+00
1.102862e+01	-2.507975e+00
1.109232e+01	-2.529915e+00
1.115639e+01	-2.552033e+00
1.122083e+01	-2.574238e+00
1.128564e+01	-2.596836e+00
1.135083e+01	-2.619457e+00
1.141639e+01	-2.642261e+00
1.148233e+01	-2.664986e+00
1.154865e+01	-2.687858e+00
1.161536e+01	-2.711164e+00
1.168245e+01	-2.734455e+00
1.174992e+01	-2.758102e+00
1.181779e+01	-2.781473e+00
1.188605e+01	-2.805074e+00
1.195470e+01	-2.829229e+00
1.202375e+01	-2.853023e+00
1.209320e+01	-2.877269e+00
1.216305e+01	-2.901669e+00
1.223330e+01	-2.925939e+00
1.230396e+01	-2.950776e+00
1.237503e+01	-2.975485e+00
1.244651e+01	-3.000260e+00
1.251840e+01	-3.025182e+00
1.259070e+01	-3.050444e+00
1.266343e+01	-3.075767e+00
1.273657e+01	-3.101202e+00
1.281014e+01	-3.126707e+00
1.288413e+01	-3.152405e+00
1.295855e+01	-3.178684e+00
1.303339e+01	-3.204475e+00
1.310867e+01	-3.230661e+00
1.318439e+01	-3.257067e+00
1.326054e+01	-3.283456e+00
1.333713e+01	-3.310027e+00
1.341417e+01	-3.336786e+00
1.349165e+01	-3.363584e+00
1.356958e+01	-3.390811e+00
1.364795e+01	-3.417907e+00
1.372678e+01	-3.445171e+00
1.380607e+01	-3.472575e+00
1.388581e+01	-3.500293e+00
1.396602e+01	-3.527928e+00
1.404668e+01	-3.555900e+00
1.412782e+01	-3.584057e+00
1.420942e+01	-3.612135e+00
1.429149e+01	-3.640372e+00
1.437404e+01	-3.668802e+00
1.445706e+01	-3.697487e+00
1.454057e+01	-3.726362e+00
1.462455e+01	-3.755297e+00
1.470902e+01	-3.784281e+00
1.479398e+01	-3.813447e+00
1.487943e+01	-3.842744e+00
1.496537e+01	-3.872254e+00
1.505181e+01	-3.901883e+00
1.513875e+01	-3.931691e+00
1.522619e+01	-3.961305e+00
1.531414e+01	-3.991108e+00
1.540259e+01	-4.021250e+00
1.549156e+01	-4.051776e+00
1.558103e+01	-4.082077e+00
1.567103e+01	-4.112743e+00
1.576155e+01	-4.143412e+00
1.585258e+01	-4.174095e+00
1.594415e+01	-4.205328e+00
1.603624e+01	-4.236240e+00
1.612886e+01	-4.267654e+00
1.622202e+01	-4.298739e+00
1.631572e+01	-4.330277e+00
1.640996e+01	-4.361913e+00
1.650474e+01	-4.394124e+00
1.660008e+01	-4.425451e+00
1.669596e+01	-4.457681e+00
1.679239e+01	-4.489923e+00
1.688938e+01	-4.522335e+00
1.698694e+01	-4.554308e+00
1.708505e+01	-4.587235e+00
1.718373e+01	-4.619834e+00
1.728299e+01	-4.652665e+00
1.738281e+01	-4.685868e+00
1.748322e+01	-4.718675e+00
1.758420e+01	-4.751854e+00
1.768576e+01	-4.785187e+00
1.778792e+01	-4.818818e+00
1.789066e+01	-4.852445e+00
1.799399e+01	-4.886280e+00
1.809793e+01	-4.920058e+00
1.820246e+01	-4.953957e+00
1.830760e+01	-4.988143e+00
1.841334e+01	-5.021967e+00
1.851969e+01	-5.056407e+00
1.862666e+01	-5.090988e+00
1.873425e+01	-5.125595e+00
1.884246e+01	-5.160333e+00
1.895129e+01	-5.195375e+00
1.906075e+01	-5.230439e+00
1.917085e+01	-5.265185e+00
1.928158e+01	-5.300699e+00
1.939295e+01	-5.335703e+00
1.950496e+01	-5.371055e+00
1.961762e+01	-5.406760e+00
1.973093e+01	-5.442326e+00
1.984490e+01	-5.478200e+00
1.995952e+01	-5.513999e+00
2.007480e+01	-5.550334e+00
2.019076e+01	-5.586224e+00
2.030738e+01	-5.622660e+00
2.042467e+01	-5.659025e+00
2.054264e+01	-5.695302e+00
2.066130e+01	-5.731892e+00
