Frequency(Hz)	Magnitude(dB)
1.000000e+01	-2.055653e+00
1.005776e+01	-2.074695e+00
1.011585e+01	-2.093498e+00
1.017428e+01	-2.112693e+00
1.023305e+01	-2.132209e+00
1.029215e+01	-2.151552e+00
1.035160e+01	-2.171358e+00
1.041139e+01	-2.191033e+00
1.047153e+01	-2.210978e+00
1.053201e+01	-2.231054e+00
1.059284e+01	-2.251004e+00
1.065403e+01	-2.271413e+00
1.071556e+01	-2.292020e+00
1.077746e+01	-2.312372e+00
1.083971e+01	-2.333256e+00
1.090232e+01	-2.353955e+00
1.096529e+01	-2.375080e+00
1.102862e+01	-2.395951e+00
1.109232e+01	-2.417572e+00
1.115639e+01	-2.438932e+00
1.122083e+01	-2.460482e+00
1.128564e+01	-2.482094e+00
1.135083e+01	-2.503957e+00
1.141639e+01	-2.526140e+00
1.148233e+01	-2.547946e+00
1.154865e+01	-2.570575e+00
1.161536e+01	-2.592940e+00
1.168245e+01	-2.615383e+00
1.174992e+01	-2.638280e+00
1.181779e+01	-2.661022e+00
1.188605e+01	-2.684205e+00
1.195470e+01	-2.706941e+00
1.202375e+01	-2.730179e+00
1.209320e+01	-2.753894e+00
1.216305e+01	-2.777479e+00
1.223330e+01	-2.800868e+00
1.230396e+01	-2.825084e+00
1.237503e+01	-2.848979e+00
1.244651e+01	-2.873006e+00
1.251840e+01	-2.897230e+00
1.259070e+01	-2.921766e+00
1.266343e+01	-2.946404e+00
1.273657e+01	-2.971062e+00
1.281014e+01	-2.995915e+00
1.288413e+01	-3.020853e+00
1.295855e+01	-3.046050e+00
1.303339e+01	-3.071450e+00
1.310867e+01	-3.096768e+00
1.318439e+01	-3.122346e+00
1.326054e+01	-3.148252e+00
1.333713e+01	-3.173999e+00
1.341417e+01	-3.199886e+00
1.349165e+01	-3.225893e+00
1.356958e+01	-3.252375e+00
1.364795e+01	-3.278837e+00
1.372678e+01	-3.305122e+00
1.380607e+01	-3.332019e+00
1.388581e+01	-3.358960e+00
1.396602e+01	-3.386014e+00
1.404668e+01	-3.413199e+00
1.412782e+01	-3.440389e+00
1.420942e+01	-3.467928e+00
1.429149e+01	-3.495300e+00
1.437404e+01	-3.523351e+00
1.445706e+01	-3.551291e+00
1.454057e+01	-3.578955e+00
1.462455e+01	-3.607302e+00
1.470902e+01	-3.635489e+00
1.479398e+01	-3.664104e+00
1.487943e+01	-3.692591e+00
1.496537e+01	-3.721360e+00
1.505181e+01	-3.750093e+00
1.513875e+01	-3.779063e+00
1.522619e+01	-3.808433e+00
1.531414e+01	-3.837581e+00
1.540259e+01	-3.867085e+00
1.549156e+01	-3.896668e+00
1.558103e+01	-3.926066e+00
1.567103e+01	-3.956106e+00
1.576155e+01	-3.986475e+00
1.585258e+01	-4.016211e+00
1.594415e+01	-4.046512e+00
1.603624e+01	-4.076825e+00
1.612886e+01	-4.107535e+00
1.622202e+01	-4.138051e+00
1.631572e+01	-4.168849e+00
1.640996e+01	-4.199710e+00
1.650474e+01	-4.230748e+00
1.660008e+01	-4.261911e+00
1.669596e+01	-4.293421e+00
1.679239e+01	-4.325013e+00
1.688938e+01	-4.356605e+00
1.698694e+01	-4.388082e+00
1.708505e+01	-4.420307e+00
1.718373e+01	-4.452077e+00
1.728299e+01	-4.484104e+00
1.738281e+01	-4.516210e+00
1.748322e+01	-4.548725e+00
1.758420e+01	-4.581410e+00
1.768576e+01	-4.614266e+00
1.778792e+01	-4.647151e+00
1.789066e+01	-4.679812e+00
1.799399e+01	-4.712761e+00
1.809793e+01	-4.745841e+00
1.820246e+01	-4.779281e+00
1.830760e+01	-4.813098e+00
1.841334e+01	-4.846602e+00
