Frequency(Hz)	Magnitude(dB)
1.000000e+01	-2.176180e+00
1.005776e+01	-2.195760e+00
1.011585e+01	-2.215695e+00
1.017428e+01	-2.235535e+00
1.023305e+01	-2.255885e+00
1.029215e+01	-2.276394e+00
1.035160e+01	-2.296879e+00
1.041139e+01	-2.317379e+00
1.047153e+01	-2.338153e+00
1.053201e+01	-2.359204e+00
1.059284e+01	-2.380215e+00
1.065403e+01	-2.401261e+00
1.071556e+01	-2.422572e+00
1.077746e+01	-2.443999e+00
1.083971e+01	-2.465624e+00
1.090232e+01	-2.487526e+00
1.096529e+01	-2.509286e+00
1.102862e+01	-2.531539e+00
1.109232e+01	-2.553424e+00
1.115639e+01	-2.575892e+00
1.122083e+01	-2.598114e+00
1.128564e+01	-2.620755e+00
1.135083e+01	-2.643486e+00
1.141639e+01	-2.666611e+00
1.148233e+01	-2.689727e+00
1.154865e+01	-2.712782e+00
1.161536e+01	-2.736274e+00
1.168245e+01	-2.759321e+00
1.174992e+01	-2.782940e+00
1.181779e+01	-2.806852e+00
1.188605e+01	-2.830536e+00
1.195470e+01	-2.854638e+00
1.202375e+01	-2.878850e+00
1.209320e+01	-2.903116e+00
1.216305e+01	-2.927473e+00
1.223330e+01	-2.952225e+00
1.230396e+01	-2.976870e+00
1.237503e+01	-3.001741e+00
1.244651e+01	-3.026817e+00
1.251840e+01	-3.051840e+00
1.259070e+01	-3.077430e+00
1.266343e+01	-3.102719e+00
1.273657e+01	-3.128611e+00
1.281014e+01	-3.154250e+00
1.288413e+01	-3.180110e+00
1.295855e+01	-3.205963e+00
1.303339e+01	-3.232243e+00
1.310867e+01	-3.258687e+00
1.318439e+01	-3.285289e+00
1.326054e+01	-3.311771e+00
1.333713e+01	-3.338337e+00
1.341417e+01	-3.365409e+00
1.349165e+01	-3.392492e+00
1.356958e+01	-3.419785e+00
1.364795e+01	-3.446852e+00
1.372678e+01	-3.474793e+00
1.380607e+01	-3.501986e+00
1.388581e+01	-3.529888e+00
1.396602e+01	-3.558055e+00
1.404668e+01	-3.585631e+00
1.412782e+01	-3.614131e+00
1.420942e+01	-3.642464e+00
1.429149e+01	-3.670744e+00
1.437404e+01	-3.699437e+00
1.445706e+01	-3.728223e+00
1.454057e+01	-3.757129e+00
1.462455e+01	-3.786184e+00
1.470902e+01	-3.815267e+00
1.479398e+01	-3.844479e+00
1.487943e+01	-3.874028e+00
1.496537e+01	-3.903634e+00
1.505181e+01	-3.933367e+00
1.513875e+01	-3.963416e+00
1.522619e+01	-3.993026e+00
1.531414e+01	-4.023264e+00
1.540259e+01	-4.053679e+00
1.549156e+01	-4.084370e+00
1.558103e+01	-4.114686e+00
1.567103e+01	-4.145238e+00
1.576155e+01	-4.175924e+00
1.585258e+01	-4.207276e+00
1.594415e+01	-4.238313e+00
1.603624e+01	-4.269335e+00
1.612886e+01	-4.300811e+00
1.622202e+01	-4.332522e+00
1.631572e+01	-4.363996e+00
1.640996e+01	-4.395918e+00
1.650474e+01	-4.427835e+00
1.660008e+01	-4.459948e+00
1.669596e+01	-4.491974e+00
1.679239e+01	-4.524401e+00
1.688938e+01	-4.556929e+00
1.698694e+01	-4.589120e+00
1.708505e+01	-4.622142e+00
1.718373e+01	-4.654632e+00
1.728299e+01	-4.688044e+00
1.738281e+01	-4.721056e+00
1.748322e+01	-4.754174e+00
1.758420e+01	-4.787502e+00
1.768576e+01	-4.820810e+00
1.778792e+01	-4.854457e+00
1.789066e+01	-4.888323e+00
1.799399e+01	-4.922082e+00
1.809793e+01	-4.956281e+00
1.820246e+01	-4.990310e+00
1.830760e+01	-5.024620e+00
1.841334e+01	-5.058798e+00
1.851969e+01	-5.093253e+00
1.862666e+01	-5.127988e+00
1.873425e+01	-5.162733e+00
1.884246e+01	-5.197512e+00
1.895129e+01	-5.232257e+00
1.906075e+01	-5.267683e+00
1.917085e+01	-5.303089e+00
1.928158e+01	-5.338203e+00
1.939295e+01	-5.373643e+00
1.950496e+01	-5.409185e+00
1.961762e+01	-5.444695e+00
1.973093e+01	-5.480643e+00
1.984490e+01	-5.516735e+00
1.995952e+01	-5.552325e+00
2.007480e+01	-5.588828e+00
2.019076e+01	-5.624994e+00
2.030738e+01	-5.661471e+00
2.042467e+01	-5.697873e+00
2.054264e+01	-5.734882e+00
2.066130e+01	-5.771159e+00
2.078064e+01	-5.807831e+00
2.090066e+01	-5.844852e+00
2.102139e+01	-5.882096e+00
2.114280e+01	-5.919277e+00
2.126492e+01	-5.956463e+00
2.138775e+01	-5.994014e+00
2.151128e+01	-6.030929e+00
2.163553e+01	-6.068766e+00
2.176050e+01	-6.106480e+00
2.188619e+01	-6.144327e+00
2.201260e+01	-6.182068e+00
2.213974e+01	-6.220383e+00
