Frequency(Hz)	Magnitude(dB)
1.000000e+01	6.159362e-06
1.005776e+01	-1.181931e-04
1.011585e+01	6.676811e-05
1.017428e+01	-4.091599e-05
1.023305e+01	1.427428e-04
1.029215e+01	-1.005147e-04
1.035160e+01	-4.001092e-06
1.041139e+01	-6.098232e-05
1.047153e+01	1.050654e-04
1.053201e+01	7.833733e-05
1.059284e+01	-1.895029e-05
1.065403e+01	-5.171476e-05
1.071556e+01	-1.126723e-04
1.077746e+01	1.916538e-05
1.083971e+01	-1.948780e-04
1.090232e+01	5.065109e-05
1.096529e+01	-7.029024e-06
1.102862e+01	-2.599838e-05
1.109232e+01	7.056188e-05
1.115639e+01	4.536213e-05
1.122083e+01	2.026041e-05
1.128564e+01	-1.967801e-04
1.135083e+01	3.230418e-05
1.141639e+01	-7.757851e-05
1.148233e+01	1.100454e-04
1.154865e+01	-1.226891e-04
1.161536e+01	-1.647444e-04
1.168245e+01	-1.195877e-04
1.174992e+01	1.081038e-06
1.181779e+01	8.746054e-05
1.188605e+01	-2.502375e-05
1.195470e+01	-6.294443e-05
1.202375e+01	-4.504013e-05
1.209320e+01	-1.353403e-04
1.216305e+01	2.554743e-05
1.223330e+01	-2.750603e-05
1.230396e+01	2.900630e-05
1.237503e+01	9.382889e-06
1.244651e+01	4.988042e-05
1.251840e+01	-1.312528e-04
1.259070e+01	1.507352e-05
1.266343e+01	1.696188e-05
1.273657e+01	-4.294278e-05
1.281014e+01	-3.079725e-05
1.288413e+01	-7.008644e-05
1.295855e+01	-8.326784e-05
1.303339e+01	-1.091124e-04
1.310867e+01	-3.573963e-05
1.318439e+01	-2.840653e-05
1.326054e+01	1.950707e-05
1.333713e+01	5.046866e-05
1.341417e+01	1.248081e-04
1.349165e+01	-6.347802e-05
1.356958e+01	-1.259861e-04
1.364795e+01	-8.120037e-06
1.372678e+01	2.180186e-05
1.380607e+01	-1.913112e-04
1.388581e+01	4.154663e-05
1.396602e+01	-9.192833e-05
1.404668e+01	9.019773e-05
1.412782e+01	8.095942e-05
1.420942e+01	-2.650894e-05
1.429149e+01	-9.643478e-05
1.437404e+01	-6.785382e-05
1.445706e+01	-6.415779e-05
1.454057e+01	-1.044772e-04
1.462455e+01	-1.559815e-04
1.470902e+01	-5.413378e-05
1.479398e+01	-3.623841e-05
1.487943e+01	-9.925398e-05
1.496537e+01	-1.079478e-04
1.505181e+01	-5.023961e-05
1.513875e+01	-5.220395e-05
1.522619e+01	8.739684e-05
1.531414e+01	1.000608e-04
1.540259e+01	2.045568e-04
1.549156e+01	-3.225333e-05
1.558103e+01	1.605510e-05
1.567103e+01	-1.042998e-04
1.576155e+01	-1.634341e-04
1.585258e+01	-5.622260e-05
1.594415e+01	-1.608765e-04
1.603624e+01	-6.526268e-05
1.612886e+01	-9.577225e-05
1.622202e+01	-1.994721e-05
1.631572e+01	-1.035218e-04
1.640996e+01	3.829312e-05
1.650474e+01	-1.368083e-04
1.660008e+01	-1.544760e-06
1.669596e+01	6.093903e-06
1.679239e+01	-1.205987e-05
1.688938e+01	4.770143e-05
1.698694e+01	-8.900787e-05
1.708505e+01	-8.630403e-05
1.718373e+01	-4.510943e-06
1.728299e+01	-3.561580e-05
1.738281e+01	-1.004231e-04
1.748322e+01	7.104296e-05
1.758420e+01	-1.439894e-04
1.768576e+01	-9.497512e-05
1.778792e+01	-1.202510e-04
1.789066e+01	9.528055e-05
1.799399e+01	-1.063694e-04
1.809793e+01	-5.604233e-05
1.820246e+01	-1.503466e-04
1.830760e+01	-1.074602e-04
1.841334e+01	-1.711485e-05
1.851969e+01	6.948515e-05
1.862666e+01	-5.467815e-05
1.873425e+01	-1.049373e-04
1.884246e+01	-3.846451e-06
1.895129e+01	1.782894e-06
1.906075e+01	-1.417513e-05
1.917085e+01	-1.780155e-04
1.928158e+01	-1.501966e-04
1.939295e+01	1.364907e-05
1.950496e+01	-6.466073e-05
1.961762e+01	-2.487150e-05
1.973093e+01	-1.055991e-04
1.984490e+01	5.600146e-05
1.995952e+01	2.039996e-05
2.007480e+01	-6.201642e-05
2.019076e+01	-7.195235e-05
2.030738e+01	-4.871335e-05
2.042467e+01	5.605877e-05
2.054264e+01	-2.398865e-05
2.066130e+01	-1.263308e-04
2.078064e+01	-4.899626e-05
2.090066e+01	-8.565439e-05
2.102139e+01	-6.717000e-05
2.114280e+01	-1.256495e-04
2.126492e+01	-9.575082e-05
2.138775e+01	3.251638e-05
2.151128e+01	-1.728401e-04
2.163553e+01	-2.468173e-05
2.176050e+01	-8.592537e-05
2.188619e+01	8.896157e-06
2.201260e+01	-1.025578e-04
2.213974e+01	-4.254313e-06
2.226762e+01	-5.530824e-05
2.239624e+01	-2.500147e-04
2.252560e+01	-9.981510e-05
2.265571e+01	-1.200708e-04
2.278656e+01	-1.260888e-04
2.291818e+01	-1.439885e-05
2.305055e+01	-1.207912e-04
2.318369e+01	-1.260169e-04
2.331760e+01	-2.378280e-04
2.345228e+01	-1.533307e-04
2.358774e+01	-3.497768e-06
2.372398e+01	-1.964764e-05
2.386101e+01	-6.440368e-05
2.399883e+01	-1.038699e-04
2.413745e+01	-2.433829e-05
2.427686e+01	-1.799764e-05
2.441709e+01	1.746169e-06
2.455812e+01	-1.339719e-04
2.469997e+01	-6.129154e-05
2.484263e+01	-1.302770e-04
2.498612e+01	-8.474752e-05
2.513044e+01	-4.682521e-06
2.527559e+01	-1.069403e-04
2.542158e+01	-1.495070e-04
2.556842e+01	-6.709517e-05
2.571610e+01	-1.234736e-04
2.586463e+01	-3.698022e-05
2.601403e+01	-8.392237e-05
2.616428e+01	-2.100136e-04
2.631541e+01	-3.085176e-06
2.646740e+01	-5.039015e-05
2.662028e+01	-8.237461e-05
