Frequency(Hz)	Magnitude(dB)
1.000000e+01	-9.724586e-05
1.005776e+01	-8.484570e-05
1.011585e+01	-2.656996e-05
1.017428e+01	-1.211941e-04
1.023305e+01	-1.140613e-04
1.029215e+01	7.105813e-05
1.035160e+01	-3.881812e-05
1.041139e+01	1.219745e-04
1.047153e+01	-7.789958e-05
1.053201e+01	1.023554e-04
1.059284e+01	-5.562055e-05
1.065403e+01	-1.328400e-04
1.071556e+01	-2.291861e-06
1.077746e+01	1.283749e-04
1.083971e+01	-2.386654e-05
1.090232e+01	6.888629e-05
1.096529e+01	2.274979e-05
1.102862e+01	1.123141e-04
1.109232e+01	-1.221680e-04
1.115639e+01	4.796694e-05
1.122083e+01	1.169667e-04
1.128564e+01	7.310937e-05
1.135083e+01	2.431076e-05
1.141639e+01	2.039234e-05
1.148233e+01	-9.846387e-05
1.154865e+01	2.395209e-05
1.161536e+01	8.216893e-05
1.168245e+01	1.445435e-05
1.174992e+01	3.171500e-05
1.181779e+01	5.851219e-05
1.188605e+01	-7.234737e-05
1.195470e+01	-1.490211e-04
1.202375e+01	-9.235334e-05
1.209320e+01	-1.458001e-04
1.216305e+01	-4.462692e-05
1.223330e+01	1.501566e-04
1.230396e+01	8.450970e-05
1.237503e+01	-2.085967e-05
1.244651e+01	-6.636452e-05
1.251840e+01	-1.268818e-04
1.259070e+01	1.200909e-04
1.266343e+01	-1.060476e-04
1.273657e+01	2.462503e-05
1.281014e+01	1.076353e-04
1.288413e+01	2.929336e-06
1.295855e+01	-3.442813e-05
1.303339e+01	5.637317e-05
1.310867e+01	-1.883278e-04
1.318439e+01	-2.084472e-05
1.326054e+01	-2.558207e-05
1.333713e+01	7.380811e-05
1.341417e+01	1.407155e-05
1.349165e+01	-9.952767e-05
1.356958e+01	6.248323e-06
1.364795e+01	3.364949e-05
1.372678e+01	-3.291675e-05
1.380607e+01	1.733377e-05
1.388581e+01	-1.123240e-04
1.396602e+01	-5.952020e-05
1.404668e+01	-1.055014e-04
1.412782e+01	-1.265998e-04
1.420942e+01	8.758193e-05
1.429149e+01	-2.848306e-05
1.437404e+01	-5.073151e-06
1.445706e+01	-1.106521e-04
1.454057e+01	-6.651143e-05
1.462455e+01	-6.865187e-05
1.470902e+01	5.560767e-05
1.479398e+01	-7.467096e-05
1.487943e+01	-7.133476e-05
1.496537e+01	-9.973051e-05
1.505181e+01	-1.911905e-04
1.513875e+01	-1.619222e-04
1.522619e+01	-4.743336e-05
1.531414e+01	-1.076932e-04
1.540259e+01	-1.449491e-04
1.549156e+01	7.454322e-05
1.558103e+01	-3.224589e-05
1.567103e+01	-6.151768e-05
1.576155e+01	2.425949e-05
1.585258e+01	4.754431e-05
1.594415e+01	-7.462778e-05
1.603624e+01	-6.941945e-06
1.612886e+01	-1.393891e-05
1.622202e+01	1.304748e-05
1.631572e+01	8.660012e-05
1.640996e+01	6.917022e-06
1.650474e+01	-1.398901e-04
1.660008e+01	-2.782271e-05
1.669596e+01	-8.496735e-05
1.679239e+01	-5.775586e-05
1.688938e+01	6.986126e-05
1.698694e+01	-6.265953e-05
1.708505e+01	1.686737e-04
1.718373e+01	-1.142038e-05
1.728299e+01	-3.277690e-05
1.738281e+01	-8.395555e-06
1.748322e+01	-9.213734e-05
1.758420e+01	1.205341e-04
1.768576e+01	-1.139424e-05
1.778792e+01	-5.321666e-06
1.789066e+01	-2.271475e-05
