Frequency(Hz)	Magnitude(dB)
1.000000e+01	-4.621249e-05
1.005776e+01	-8.403054e-05
1.011585e+01	1.416636e-04
1.017428e+01	-4.340677e-05
1.023305e+01	3.456783e-05
1.029215e+01	-6.928918e-05
1.035160e+01	-7.091888e-05
1.041139e+01	-2.744334e-05
1.047153e+01	2.084133e-04
1.053201e+01	-4.536808e-05
1.059284e+01	3.585706e-05
1.065403e+01	-8.572845e-05
1.071556e+01	-7.435371e-05
1.077746e+01	1.128843e-04
1.083971e+01	-1.120585e-04
1.090232e+01	2.120862e-05
1.096529e+01	-1.078019e-05
1.102862e+01	-1.350266e-04
1.109232e+01	-1.471570e-04
1.115639e+01	-1.241668e-04
1.122083e+01	1.347721e-04
1.128564e+01	3.403852e-05
1.135083e+01	-4.452931e-05
1.141639e+01	-8.912326e-05
1.148233e+01	-1.293971e-04
1.154865e+01	-4.314008e-05
1.161536e+01	-1.569403e-05
1.168245e+01	-1.924621e-04
1.174992e+01	2.979216e-05
1.181779e+01	-9.542447e-05
1.188605e+01	-1.793905e-04
1.195470e+01	-2.040341e-05
1.202375e+01	1.536592e-04
1.209320e+01	-1.454744e-04
1.216305e+01	1.340986e-04
1.223330e+01	-3.731480e-06
1.230396e+01	7.327695e-05
1.237503e+01	-1.566105e-04
1.244651e+01	-2.373948e-04
1.251840e+01	-2.483700e-04
1.259070e+01	6.335440e-05
1.266343e+01	6.784198e-05
1.273657e+01	-1.853294e-04
1.281014e+01	3.781366e-05
1.288413e+01	-3.291122e-05
1.295855e+01	-6.608415e-05
1.303339e+01	-6.308889e-05
1.310867e+01	7.850052e-07
1.318439e+01	-2.128903e-04
1.326054e+01	-8.249977e-05
1.333713e+01	-1.619662e-04
1.341417e+01	6.739110e-05
1.349165e+01	-1.028233e-04
1.356958e+01	-9.898174e-05
1.364795e+01	2.367132e-05
1.372678e+01	8.321441e-05
1.380607e+01	-1.822695e-05
1.388581e+01	-7.061299e-05
1.396602e+01	8.799896e-05
1.404668e+01	1.227232e-04
1.412782e+01	-1.321876e-05
1.420942e+01	-1.696279e-05
1.429149e+01	1.204165e-04
1.437404e+01	-8.593620e-05
1.445706e+01	2.454541e-05
1.454057e+01	1.149570e-04
1.462455e+01	6.215275e-05
1.470902e+01	-4.459080e-05
1.479398e+01	3.600319e-05
1.487943e+01	-6.318637e-05
1.496537e+01	-1.224984e-05
1.505181e+01	-3.299989e-05
1.513875e+01	-1.094492e-05
1.522619e+01	-1.249877e-04
1.531414e+01	1.111001e-04
1.540259e+01	2.457507e-05
1.549156e+01	-1.203666e-04
1.558103e+01	3.471579e-05
1.567103e+01	-1.227094e-04
1.576155e+01	-1.414256e-04
1.585258e+01	-3.909087e-05
1.594415e+01	-1.391474e-04
1.603624e+01	-1.226228e-04
1.612886e+01	-7.469300e-05
1.622202e+01	-9.180358e-05
1.631572e+01	8.216263e-05
1.640996e+01	6.576515e-05
1.650474e+01	-2.832477e-05
1.660008e+01	-1.141571e-04
1.669596e+01	-3.998406e-06
1.679239e+01	-9.537650e-06
1.688938e+01	-6.854781e-05
1.698694e+01	-1.408193e-05
1.708505e+01	-8.065275e-05
1.718373e+01	-5.918639e-05
1.728299e+01	-5.881431e-05
1.738281e+01	5.663378e-05
1.748322e+01	-4.562719e-07
1.758420e+01	-4.298862e-05
1.768576e+01	-1.212485e-04
1.778792e+01	-1.336926e-04
1.789066e+01	-4.532134e-05
1.799399e+01	-2.058967e-04
1.809793e+01	-2.052322e-04
1.820246e+01	-1.569703e-04
1.830760e+01	-1.641912e-04
1.841334e+01	9.116058e-05
1.851969e+01	-3.285499e-05
1.862666e+01	-5.454051e-06
1.873425e+01	-1.236370e-04
1.884246e+01	-9.806941e-05
1.895129e+01	-2.761330e-05
1.906075e+01	-7.559548e-06
1.917085e+01	-6.287747e-05
1.928158e+01	-1.742584e-06
1.939295e+01	-9.747177e-05
1.950496e+01	-2.023738e-05
1.961762e+01	1.193147e-04
1.973093e+01	3.063229e-05
1.984490e+01	3.287226e-05
1.995952e+01	-1.780736e-04
2.007480e+01	4.714555e-05
2.019076e+01	2.422340e-06
2.030738e+01	-4.049916e-05
2.042467e+01	-3.025253e-05
2.054264e+01	-1.182882e-04
2.066130e+01	-6.245500e-05
2.078064e+01	-5.043433e-05
2.090066e+01	2.885835e-05
2.102139e+01	-9.718042e-05
2.114280e+01	-3.811186e-05
2.126492e+01	-9.508554e-05
2.138775e+01	-4.291570e-05
2.151128e+01	-1.195026e-04
2.163553e+01	-2.102887e-05
2.176050e+01	-5.581138e-05
2.188619e+01	-4.333662e-05
2.201260e+01	-2.521023e-04
2.213974e+01	-2.957193e-05
2.226762e+01	-5.540501e-05
2.239624e+01	-9.673674e-05
2.252560e+01	-2.609429e-04
2.265571e+01	-9.629594e-05
2.278656e+01	-6.385029e-05
2.291818e+01	-2.082834e-04
2.305055e+01	-1.122057e-04
2.318369e+01	-3.547073e-04
2.331760e+01	-1.553190e-04
2.345228e+01	-2.327356e-04
2.358774e+01	-6.862790e-05
2.372398e+01	-8.047050e-05
2.386101e+01	4.995660e-05
2.399883e+01	-4.331380e-05
2.413745e+01	-1.720739e-04
2.427686e+01	-1.263879e-05
2.441709e+01	-8.017073e-06
2.455812e+01	-5.711094e-05
2.469997e+01	-1.614048e-04
2.484263e+01	-5.724760e-05
