Frequency(Hz)	Magnitude(dB)
1.000000e+01	-8.286041e-06
1.005776e+01	-1.701893e-06
1.011585e+01	-4.548107e-05
1.017428e+01	-1.126326e-04
1.023305e+01	-5.321916e-05
1.029215e+01	-1.244935e-04
1.035160e+01	2.146500e-05
1.041139e+01	-1.647448e-04
1.047153e+01	-1.003574e-04
1.053201e+01	-1.380707e-04
1.059284e+01	4.190393e-05
1.065403e+01	-1.393546e-04
1.071556e+01	-1.201076e-04
1.077746e+01	-4.903083e-05
1.083971e+01	-1.040755e-04
1.090232e+01	-2.497121e-04
1.096529e+01	-5.192657e-05
1.102862e+01	-3.700996e-05
1.109232e+01	7.676767e-05
1.115639e+01	-6.720902e-05
1.122083e+01	-2.074147e-05
1.128564e+01	-5.728021e-05
1.135083e+01	-1.798664e-04
1.141639e+01	-6.639700e-05
1.148233e+01	-2.232162e-05
1.154865e+01	8.464491e-05
1.161536e+01	-1.042488e-04
1.168245e+01	-4.576980e-05
1.174992e+01	4.312593e-05
1.181779e+01	-1.589708e-04
1.188605e+01	9.539326e-05
1.195470e+01	4.967738e-05
1.202375e+01	-1.805439e-04
1.209320e+01	-7.570860e-05
1.216305e+01	-3.677644e-05
1.223330e+01	-2.442778e-05
1.230396e+01	-9.943901e-05
1.237503e+01	-6.103731e-05
1.244651e+01	-8.342708e-05
1.251840e+01	-1.023619e-04
1.259070e+01	5.565231e-05
1.266343e+01	-3.279903e-05
1.273657e+01	-1.465489e-04
1.281014e+01	-6.766134e-05
1.288413e+01	8.969086e-05
1.295855e+01	-4.737042e-05
1.303339e+01	1.237336e-06
1.310867e+01	1.395254e-05
1.318439e+01	2.784534e-06
1.326054e+01	-1.378911e-04
1.333713e+01	-7.744975e-05
1.341417e+01	-1.129603e-04
1.349165e+01	1.197495e-05
1.356958e+01	-7.482658e-06
1.364795e+01	-5.264829e-05
1.372678e+01	-3.413782e-05
1.380607e+01	-7.174608e-05
1.388581e+01	-1.999374e-04
1.396602e+01	9.773795e-05
1.404668e+01	-1.131135e-04
1.412782e+01	7.415579e-05
1.420942e+01	-1.066627e-04
1.429149e+01	-1.544198e-04
1.437404e+01	-8.862841e-05
1.445706e+01	-1.002324e-05
1.454057e+01	3.092639e-06
1.462455e+01	-6.494205e-06
1.470902e+01	3.412124e-05
1.479398e+01	-1.147156e-04
1.487943e+01	2.081218e-05
1.496537e+01	1.290744e-04
1.505181e+01	1.127637e-05
1.513875e+01	-7.614987e-05
1.522619e+01	-4.367721e-05
1.531414e+01	-1.737716e-04
1.540259e+01	-7.430808e-05
1.549156e+01	-1.931203e-04
1.558103e+01	-6.506013e-05
1.567103e+01	-7.702981e-05
1.576155e+01	-5.668007e-05
1.585258e+01	-5.844036e-05
1.594415e+01	-1.235904e-04
1.603624e+01	-2.159324e-04
1.612886e+01	-7.680265e-05
1.622202e+01	3.200339e-05
1.631572e+01	4.357671e-05
1.640996e+01	3.818546e-05
1.650474e+01	-8.816103e-05
1.660008e+01	-7.225415e-05
1.669596e+01	-9.489345e-05
1.679239e+01	-1.059107e-04
1.688938e+01	4.273630e-05
1.698694e+01	-6.656527e-05
1.708505e+01	1.467143e-06
1.718373e+01	1.551390e-04
1.728299e+01	-5.512142e-05
1.738281e+01	-6.559539e-05
1.748322e+01	1.539138e-05
1.758420e+01	-2.000419e-04
1.768576e+01	1.828261e-05
1.778792e+01	-8.845319e-05
1.789066e+01	-8.557024e-05
1.799399e+01	-6.640621e-05
1.809793e+01	-1.812695e-04
1.820246e+01	7.651693e-05
1.830760e+01	3.178931e-05
1.841334e+01	-2.967815e-05
1.851969e+01	-7.558992e-05
1.862666e+01	-8.191338e-06
1.873425e+01	4.902045e-05
1.884246e+01	-1.074763e-04
1.895129e+01	-4.781821e-05
1.906075e+01	-1.579994e-04
1.917085e+01	-9.467079e-05
1.928158e+01	-1.193435e-04
1.939295e+01	9.199197e-06
1.950496e+01	-3.743513e-05
1.961762e+01	-1.123237e-04
1.973093e+01	-4.097613e-05
1.984490e+01	-1.175283e-05
1.995952e+01	-1.751113e-06
2.007480e+01	-4.539088e-05
2.019076e+01	5.637835e-05
2.030738e+01	-9.687870e-06
2.042467e+01	-9.583887e-05
2.054264e+01	-1.633639e-05
2.066130e+01	9.640847e-05
2.078064e+01	5.999643e-05
2.090066e+01	8.056821e-06
2.102139e+01	-1.876087e-04
2.114280e+01	-8.273809e-05
2.126492e+01	-3.435955e-05
2.138775e+01	9.967206e-05
2.151128e+01	-2.085546e-04
2.163553e+01	-1.477691e-04
2.176050e+01	-3.689554e-05
2.188619e+01	-5.946124e-05
2.201260e+01	-5.037865e-06
2.213974e+01	5.080069e-05
2.226762e+01	-5.125428e-05
2.239624e+01	7.632676e-06
2.252560e+01	-1.352775e-04
2.265571e+01	-8.718391e-05
2.278656e+01	-4.331834e-05
2.291818e+01	-1.412227e-04
2.305055e+01	-1.322509e-04
2.318369e+01	-1.185008e-04
2.331760e+01	-1.904448e-05
2.345228e+01	-2.063783e-05
2.358774e+01	-1.414221e-04
2.372398e+01	-4.557510e-05
2.386101e+01	-1.400774e-04
2.399883e+01	1.564861e-05
2.413745e+01	-2.552797e-04
2.427686e+01	-7.626872e-05
2.441709e+01	4.225470e-05
2.455812e+01	-1.669947e-04
2.469997e+01	7.613011e-05
2.484263e+01	-1.524309e-04
2.498612e+01	-2.376825e-05
2.513044e+01	2.036575e-05
2.527559e+01	-7.567687e-05
2.542158e+01	-1.397283e-04
2.556842e+01	-1.873157e-05
2.571610e+01	-1.643925e-04
2.586463e+01	-1.701513e-04
2.601403e+01	2.594559e-05
2.616428e+01	-5.631867e-05
2.631541e+01	-2.052327e-04
2.646740e+01	-4.348064e-05
2.662028e+01	2.002403e-05
2.677404e+01	-1.433656e-04
2.692868e+01	-2.468483e-05
2.708422e+01	-8.414450e-05
2.724066e+01	-2.124963e-04
2.739800e+01	-7.232658e-05
2.755625e+01	-1.957894e-04
2.771541e+01	-1.295018e-04
2.787550e+01	-2.967852e-04
2.803650e+01	-1.512951e-04
2.819844e+01	-2.583999e-05
2.836131e+01	-2.237426e-04
2.852513e+01	3.945053e-06
2.868989e+01	-6.855994e-06
2.885560e+01	-1.379822e-04
2.902227e+01	-5.659921e-05
2.918990e+01	-8.098528e-05
2.935850e+01	-1.404838e-04
2.952807e+01	-9.954395e-05
2.969863e+01	-9.177095e-05
2.987016e+01	-2.232372e-04
3.004269e+01	-1.444001e-04
3.021622e+01	8.364594e-05
3.039075e+01	-4.973250e-05
3.056628e+01	-2.621089e-04
3.074283e+01	-1.066538e-04
3.092040e+01	-7.304383e-05
3.109900e+01	3.633613e-05
3.127862e+01	-4.828796e-05
3.145929e+01	-1.622879e-04
3.164099e+01	-9.804777e-05
3.182375e+01	-1.271768e-04
3.200756e+01	-1.853887e-04
3.219244e+01	-1.152567e-04
3.237838e+01	-9.715509e-05
3.256540e+01	-3.038591e-04
3.275349e+01	-3.541867e-04
3.294268e+01	-1.126788e-04
3.313295e+01	-2.541408e-04
3.332433e+01	-1.310640e-04
3.351681e+01	-1.748496e-04
3.371040e+01	-2.094122e-04
3.390511e+01	-1.266955e-04
3.410094e+01	-1.527399e-04
3.429791e+01	-2.242636e-04
3.449601e+01	-3.521557e-04
3.469526e+01	-3.811776e-04
3.489566e+01	-3.376896e-04
3.509721e+01	-3.377003e-04
3.529993e+01	-1.701492e-04
3.550382e+01	-3.279608e-04
3.570889e+01	-1.686030e-04
3.591515e+01	-8.172947e-05
3.612259e+01	-1.435183e-04
3.633123e+01	-2.511113e-04
3.654108e+01	-3.381996e-04
3.675214e+01	-2.195131e-04
3.696442e+01	-1.167867e-04
3.717792e+01	-1.416063e-04
3.739266e+01	-2.297593e-04
3.760864e+01	-2.059136e-04
3.782587e+01	-2.516292e-04
3.804435e+01	-2.908078e-04
3.826409e+01	-3.508142e-04
3.848510e+01	-7.677350e-05
3.870739e+01	-3.394170e-04
3.893096e+01	-2.858431e-04
3.915583e+01	-2.318903e-04
3.938199e+01	-1.373870e-04
3.960946e+01	-2.387648e-04
3.983824e+01	-2.450321e-04
4.006834e+01	-9.572043e-05
4.029978e+01	-2.969456e-04
4.053255e+01	-2.925178e-04
4.076666e+01	-9.948441e-05
4.100213e+01	-2.902068e-04
4.123896e+01	-1.087066e-04
4.147715e+01	-2.189253e-04
4.171672e+01	-3.286258e-04
4.195767e+01	-3.377065e-04
4.220002e+01	-3.226055e-04
4.244377e+01	-2.078607e-04
4.268892e+01	-2.360887e-04
4.293549e+01	-4.261686e-04
4.318348e+01	-4.494690e-04
4.343291e+01	-2.857889e-04
4.368377e+01	-4.336294e-04
4.393609e+01	-3.366825e-04
4.418986e+01	-2.274990e-04
4.444510e+01	-4.293999e-04
4.470182e+01	-3.903714e-04
4.496001e+01	-2.527732e-04
4.521970e+01	-3.279741e-04
4.548089e+01	-2.460026e-04
4.574358e+01	-3.698337e-04
4.600779e+01	-2.294980e-04
4.627353e+01	-2.649941e-04
4.654081e+01	-5.088141e-04
4.680963e+01	-3.212010e-04
4.708000e+01	-2.636440e-04
4.735193e+01	-3.335988e-04
4.762543e+01	-3.561365e-04
4.790051e+01	-3.418800e-04
4.817719e+01	-4.609448e-04
4.845545e+01	-4.236055e-04
4.873533e+01	-3.301661e-04
4.901682e+01	-1.788390e-04
4.929994e+01	-4.490900e-04
4.958470e+01	-4.895476e-04
4.987110e+01	-5.013193e-04
5.015915e+01	-4.498024e-04
5.044887e+01	-4.324960e-04
5.074026e+01	-4.343411e-04
5.103333e+01	-4.418553e-04
5.132810e+01	-3.285522e-04
5.162457e+01	-5.784349e-04
5.192275e+01	-4.307231e-04
5.222265e+01	-3.194185e-04
5.252429e+01	-4.049993e-04
5.282767e+01	-3.568853e-04
5.313280e+01	-2.685479e-04
5.343969e+01	-4.281956e-04
5.374836e+01	-4.626564e-04
5.405880e+01	-4.397968e-04
5.437105e+01	-4.555192e-04
5.468509e+01	-5.429994e-04
5.500095e+01	-3.863343e-04
5.531863e+01	-5.383384e-04
5.563815e+01	-4.679381e-04
5.595951e+01	-6.004366e-04
5.628273e+01	-4.637331e-04
5.660782e+01	-5.289185e-04
5.693479e+01	-4.512744e-04
5.726364e+01	-3.811133e-04
5.759439e+01	-6.027684e-04
5.792705e+01	-5.894793e-04
5.826164e+01	-5.270818e-04
5.859815e+01	-4.909994e-04
5.893662e+01	-4.948800e-04
5.927703e+01	-4.923121e-04
5.961941e+01	-5.562053e-04
5.996377e+01	-6.456426e-04
6.031012e+01	-4.213128e-04
6.065847e+01	-5.608136e-04
6.100883e+01	-7.395828e-04
6.136121e+01	-5.885948e-04
6.171563e+01	-6.019697e-04
6.207210e+01	-6.518428e-04
6.243063e+01	-5.613478e-04
6.279122e+01	-6.856207e-04
6.315390e+01	-6.469623e-04
6.351868e+01	-5.497304e-04
6.388556e+01	-5.996947e-04
6.425456e+01	-6.531221e-04
6.462569e+01	-7.832492e-04
6.499897e+01	-5.810630e-04
6.537440e+01	-4.753638e-04
6.575200e+01	-6.391095e-04
6.613178e+01	-6.677375e-04
6.651375e+01	-7.344798e-04
6.689793e+01	-6.856212e-04
6.728433e+01	-8.921987e-04
6.767297e+01	-7.427938e-04
6.806384e+01	-7.905697e-04
6.845698e+01	-6.188205e-04
6.885238e+01	-7.243478e-04
6.925007e+01	-7.039823e-04
6.965005e+01	-6.039818e-04
7.005235e+01	-7.196899e-04
7.045697e+01	-6.160687e-04
7.086393e+01	-8.509156e-04
7.127323e+01	-8.243164e-04
7.168490e+01	-8.632873e-04
7.209895e+01	-8.384841e-04
7.251539e+01	-7.368811e-04
7.293424e+01	-8.765739e-04
7.335551e+01	-8.166475e-04
7.377920e+01	-7.237808e-04
7.420535e+01	-7.231753e-04
7.463396e+01	-9.016910e-04
7.506504e+01	-8.865805e-04
7.549861e+01	-7.866980e-04
7.593469e+01	-9.611490e-04
7.637328e+01	-9.045124e-04
7.681441e+01	-8.543474e-04
7.725809e+01	-8.548737e-04
7.770433e+01	-8.290355e-04
7.815315e+01	-9.608731e-04
7.860456e+01	-1.016572e-03
7.905857e+01	-8.830065e-04
7.951521e+01	-1.040851e-03
