Frequency(Hz)	Magnitude(dB)
1.000000e+01	1.309984e-04
1.005776e+01	-1.355138e-04
1.011585e+01	5.866466e-05
1.017428e+01	6.662607e-05
1.023305e+01	3.869847e-06
1.029215e+01	1.649152e-04
1.035160e+01	-1.147315e-04
1.041139e+01	1.441944e-04
1.047153e+01	1.700121e-04
1.053201e+01	-1.082377e-04
1.059284e+01	1.039432e-04
1.065403e+01	-1.188436e-05
1.071556e+01	1.588853e-05
1.077746e+01	-6.223210e-05
1.083971e+01	-1.805184e-05
1.090232e+01	-6.069353e-05
1.096529e+01	7.367701e-05
1.102862e+01	-1.073828e-04
1.109232e+01	-1.505942e-04
1.115639e+01	-1.477609e-04
1.122083e+01	1.344406e-05
1.128564e+01	-8.311139e-05
1.135083e+01	-1.998226e-05
1.141639e+01	-3.311643e-06
1.148233e+01	-5.020467e-05
1.154865e+01	-7.649417e-05
1.161536e+01	2.108658e-04
1.168245e+01	-5.623418e-05
1.174992e+01	2.082360e-04
1.181779e+01	-7.090267e-05
1.188605e+01	3.402868e-05
1.195470e+01	6.849526e-05
1.202375e+01	1.446187e-05
1.209320e+01	-1.098609e-04
1.216305e+01	-7.658868e-05
1.223330e+01	-9.309768e-05
1.230396e+01	-4.551450e-05
1.237503e+01	8.385923e-05
1.244651e+01	-1.434046e-04
1.251840e+01	-2.088066e-05
1.259070e+01	-4.146530e-05
1.266343e+01	1.332029e-04
1.273657e+01	-1.223570e-04
1.281014e+01	1.344827e-04
1.288413e+01	4.674746e-05
1.295855e+01	9.802652e-05
1.303339e+01	-9.377116e-05
1.310867e+01	-1.109461e-04
1.318439e+01	-1.662681e-04
1.326054e+01	1.429593e-04
1.333713e+01	-5.663108e-05
1.341417e+01	-1.903861e-04
1.349165e+01	-1.500105e-04
1.356958e+01	2.264835e-06
1.364795e+01	-1.448215e-06
1.372678e+01	-5.759087e-05
1.380607e+01	-5.532360e-05
1.388581e+01	-2.749515e-04
1.396602e+01	9.928238e-05
1.404668e+01	-1.346263e-04
1.412782e+01	-1.569389e-04
1.420942e+01	2.940814e-06
1.429149e+01	-1.271028e-04
1.437404e+01	-5.798774e-05
1.445706e+01	1.399501e-04
1.454057e+01	-8.620786e-05
1.462455e+01	-1.570852e-04
1.470902e+01	8.166812e-07
1.479398e+01	-4.097851e-05
1.487943e+01	4.546278e-05
1.496537e+01	-1.233270e-04
1.505181e+01	4.067200e-05
1.513875e+01	-1.006845e-04
1.522619e+01	-1.073264e-04
1.531414e+01	1.278421e-04
1.540259e+01	-1.185106e-04
1.549156e+01	-1.809840e-05
1.558103e+01	-9.721282e-05
1.567103e+01	-1.335890e-04
1.576155e+01	1.195155e-04
1.585258e+01	1.971924e-05
1.594415e+01	-7.907475e-05
1.603624e+01	5.448638e-05
1.612886e+01	-1.198266e-04
1.622202e+01	1.224637e-04
1.631572e+01	-1.037350e-04
1.640996e+01	-1.855785e-04
1.650474e+01	3.054540e-06
1.660008e+01	-8.438443e-05
1.669596e+01	-9.320127e-05
1.679239e+01	1.705387e-05
1.688938e+01	-4.080072e-07
1.698694e+01	4.055530e-05
1.708505e+01	1.408600e-05
1.718373e+01	-1.313519e-05
1.728299e+01	-9.625694e-05
1.738281e+01	-1.913397e-04
1.748322e+01	-1.103968e-04
1.758420e+01	-7.354177e-05
1.768576e+01	-1.459402e-04
1.778792e+01	-1.588665e-04
1.789066e+01	-3.513484e-05
1.799399e+01	8.414420e-05
1.809793e+01	-7.203022e-05
1.820246e+01	4.802837e-05
1.830760e+01	-1.669847e-04
1.841334e+01	-1.962857e-05
1.851969e+01	-1.674755e-05
1.862666e+01	-1.562528e-04
1.873425e+01	-2.865112e-05
1.884246e+01	-1.390188e-04
1.895129e+01	-1.092299e-04
1.906075e+01	-1.559433e-05
1.917085e+01	-1.322976e-04
1.928158e+01	-1.159533e-04
1.939295e+01	-1.008125e-04
1.950496e+01	-1.220982e-04
1.961762e+01	-1.433897e-04
1.973093e+01	-1.926077e-04
1.984490e+01	-1.998484e-04
1.995952e+01	-1.916672e-04
2.007480e+01	-3.851316e-05
2.019076e+01	-1.907047e-04
2.030738e+01	-1.703690e-04
2.042467e+01	-1.484917e-04
2.054264e+01	-8.117739e-06
2.066130e+01	-1.628031e-04
2.078064e+01	-1.013442e-04
2.090066e+01	-5.425802e-07
2.102139e+01	-1.171280e-04
2.114280e+01	-5.082982e-05
2.126492e+01	-3.930415e-05
2.138775e+01	4.149636e-05
2.151128e+01	-3.630203e-05
2.163553e+01	-1.643884e-04
2.176050e+01	-5.916449e-05
2.188619e+01	-1.871539e-04
2.201260e+01	-6.047452e-05
2.213974e+01	2.556032e-05
2.226762e+01	-6.775637e-05
2.239624e+01	-3.234155e-04
2.252560e+01	4.940237e-05
2.265571e+01	-1.008562e-04
2.278656e+01	-2.626627e-04
2.291818e+01	-7.311512e-05
2.305055e+01	-6.474972e-05
2.318369e+01	6.785828e-05
2.331760e+01	-1.234749e-04
2.345228e+01	4.449960e-05
2.358774e+01	-1.987688e-04
2.372398e+01	-1.865519e-04
2.386101e+01	-2.119097e-04
2.399883e+01	5.343375e-05
2.413745e+01	-6.120295e-05
2.427686e+01	-1.281781e-06
2.441709e+01	-1.929356e-04
2.455812e+01	-1.138981e-04
2.469997e+01	-9.678617e-05
2.484263e+01	-1.695067e-04
2.498612e+01	-5.106751e-05
2.513044e+01	-8.807467e-05
2.527559e+01	-1.258723e-04
2.542158e+01	-1.162748e-04
2.556842e+01	-1.901766e-04
2.571610e+01	-3.097894e-04
2.586463e+01	-2.220863e-04
2.601403e+01	-1.904283e-04
2.616428e+01	-9.288147e-05
2.631541e+01	-2.486453e-04
2.646740e+01	-2.510181e-04
2.662028e+01	-1.398262e-04
2.677404e+01	-1.188570e-05
2.692868e+01	-1.784243e-04
2.708422e+01	-2.090690e-04
2.724066e+01	2.326544e-05
2.739800e+01	-5.557731e-05
2.755625e+01	-1.499336e-04
2.771541e+01	-1.262027e-04
2.787550e+01	-1.361714e-04
2.803650e+01	-7.156421e-05
2.819844e+01	-5.583661e-05
2.836131e+01	-1.902487e-04
2.852513e+01	-1.144006e-04
2.868989e+01	-2.860778e-04
2.885560e+01	-2.749601e-04
2.902227e+01	-1.738450e-04
2.918990e+01	-1.468732e-04
2.935850e+01	-1.803915e-04
2.952807e+01	-2.447304e-04
2.969863e+01	-1.893691e-04
2.987016e+01	1.978569e-05
3.004269e+01	-3.849543e-04
3.021622e+01	-9.784415e-05
3.039075e+01	-2.322540e-04
3.056628e+01	-9.450448e-05
3.074283e+01	-2.011082e-04
3.092040e+01	-2.407482e-04
3.109900e+01	-5.873417e-05
3.127862e+01	-1.462818e-04
3.145929e+01	-1.871493e-04
3.164099e+01	-2.257989e-04
3.182375e+01	-2.872431e-04
3.200756e+01	-1.562159e-04
3.219244e+01	-2.091005e-04
3.237838e+01	-2.289270e-04
3.256540e+01	-8.603606e-05
3.275349e+01	-2.564879e-04
3.294268e+01	-3.499948e-04
3.313295e+01	-2.664048e-04
3.332433e+01	-2.451395e-04
3.351681e+01	-1.404920e-04
3.371040e+01	-2.371699e-04
3.390511e+01	-3.482156e-04
3.410094e+01	-2.838010e-04
3.429791e+01	-4.222870e-04
3.449601e+01	-2.443161e-04
3.469526e+01	-2.420485e-04
3.489566e+01	-3.661698e-04
3.509721e+01	-8.054183e-05
3.529993e+01	-3.382054e-04
3.550382e+01	-2.346392e-04
3.570889e+01	-2.016696e-04
3.591515e+01	-1.862495e-04
3.612259e+01	-2.905908e-04
3.633123e+01	-2.112053e-04
3.654108e+01	-4.161931e-04
3.675214e+01	-1.392262e-04
3.696442e+01	-1.295542e-04
3.717792e+01	-4.302375e-04
3.739266e+01	-1.987537e-04
3.760864e+01	-3.373673e-04
3.782587e+01	-2.366457e-04
3.804435e+01	-3.534849e-04
3.826409e+01	-2.121234e-04
3.848510e+01	-1.829547e-04
3.870739e+01	-1.946046e-04
3.893096e+01	-1.764685e-04
3.915583e+01	-3.053685e-04
3.938199e+01	-3.014878e-04
3.960946e+01	-2.666181e-04
3.983824e+01	-2.129187e-04
4.006834e+01	-2.820490e-04
4.029978e+01	-8.646698e-05
4.053255e+01	-2.434006e-04
4.076666e+01	-3.582249e-04
4.100213e+01	-2.048449e-04
4.123896e+01	-3.262920e-04
4.147715e+01	-3.538645e-04
4.171672e+01	-3.222090e-04
4.195767e+01	-2.641418e-04
4.220002e+01	-1.770609e-04
4.244377e+01	-3.005701e-04
4.268892e+01	-2.722941e-04
4.293549e+01	-3.236907e-04
4.318348e+01	-4.198374e-04
4.343291e+01	-4.212516e-04
4.368377e+01	-4.773863e-04
4.393609e+01	-3.584665e-04
4.418986e+01	-4.574126e-04
4.444510e+01	-3.684015e-04
4.470182e+01	-3.141944e-04
4.496001e+01	-4.207191e-04
4.521970e+01	-3.779743e-04
4.548089e+01	-2.776057e-04
4.574358e+01	-1.847049e-04
4.600779e+01	-5.212056e-04
4.627353e+01	-3.710812e-04
4.654081e+01	-3.613793e-04
4.680963e+01	-3.539018e-04
4.708000e+01	-2.671021e-04
4.735193e+01	-2.472573e-04
4.762543e+01	-3.969599e-04
4.790051e+01	-3.812623e-04
4.817719e+01	-2.596882e-04
4.845545e+01	-5.709243e-04
4.873533e+01	-4.147425e-04
