Frequency(Hz)	Magnitude(dB)
1.000000e+01	6.195978e-05
1.005776e+01	-1.905726e-05
1.011585e+01	1.556827e-04
1.017428e+01	-1.674270e-04
1.023305e+01	8.775998e-05
1.029215e+01	1.313957e-05
1.035160e+01	-1.822125e-05
1.041139e+01	-1.366592e-04
1.047153e+01	-7.742564e-05
1.053201e+01	1.022346e-05
1.059284e+01	8.225363e-07
1.065403e+01	-1.156227e-04
1.071556e+01	7.915117e-05
1.077746e+01	5.267640e-05
1.083971e+01	5.992516e-06
1.090232e+01	6.315724e-06
1.096529e+01	4.930926e-05
1.102862e+01	-1.320703e-04
1.109232e+01	-1.408836e-04
1.115639e+01	8.429103e-05
1.122083e+01	6.488320e-05
1.128564e+01	4.341098e-06
1.135083e+01	-8.813965e-05
1.141639e+01	-7.268709e-05
1.148233e+01	-8.753902e-07
1.154865e+01	-1.435153e-04
1.161536e+01	-1.119528e-04
1.168245e+01	-1.013661e-04
1.174992e+01	-5.175203e-06
1.181779e+01	-9.354190e-05
1.188605e+01	3.707237e-05
1.195470e+01	-4.686748e-05
1.202375e+01	6.577829e-05
1.209320e+01	5.512848e-06
1.216305e+01	3.911797e-05
1.223330e+01	-7.345358e-05
1.230396e+01	7.921172e-05
1.237503e+01	1.035178e-04
1.244651e+01	-1.568221e-04
1.251840e+01	-1.400167e-04
1.259070e+01	-2.701968e-05
1.266343e+01	-2.557608e-04
1.273657e+01	1.429758e-05
1.281014e+01	-9.511509e-05
1.288413e+01	-1.094901e-04
1.295855e+01	4.167708e-05
1.303339e+01	1.995908e-06
1.310867e+01	-7.264375e-05
1.318439e+01	1.460753e-04
1.326054e+01	-1.155677e-04
1.333713e+01	-1.179582e-04
1.341417e+01	1.119824e-04
1.349165e+01	-1.203415e-06
1.356958e+01	-5.242555e-05
1.364795e+01	1.481076e-04
1.372678e+01	-5.992470e-06
1.380607e+01	1.403438e-05
1.388581e+01	-4.416110e-05
1.396602e+01	-1.067954e-04
1.404668e+01	-2.850697e-04
1.412782e+01	-1.790242e-04
1.420942e+01	-3.003185e-05
1.429149e+01	-1.178193e-04
1.437404e+01	9.252833e-05
1.445706e+01	-9.900869e-05
1.454057e+01	-6.977117e-05
1.462455e+01	-6.189715e-05
