Frequency(Hz)	Magnitude(dB)
1.000000e+01	-6.960324e-05
1.005776e+01	-4.545394e-05
1.011585e+01	8.138949e-05
1.017428e+01	6.161939e-05
1.023305e+01	-9.682437e-06
1.029215e+01	-9.895240e-05
1.035160e+01	-4.353939e-05
1.041139e+01	9.119270e-05
1.047153e+01	7.464600e-05
1.053201e+01	4.458375e-05
1.059284e+01	-9.177559e-05
1.065403e+01	4.467487e-06
1.071556e+01	8.195876e-05
1.077746e+01	-3.468625e-05
1.083971e+01	-3.425130e-05
1.090232e+01	6.881233e-05
1.096529e+01	-3.696613e-05
1.102862e+01	4.309752e-05
1.109232e+01	-1.120725e-04
1.115639e+01	-8.278857e-05
1.122083e+01	-7.917924e-05
1.128564e+01	-1.756758e-04
1.135083e+01	7.199701e-05
1.141639e+01	-1.546630e-04
1.148233e+01	-9.914465e-05
1.154865e+01	-5.076111e-05
1.161536e+01	4.319101e-05
1.168245e+01	-1.083768e-04
1.174992e+01	3.974882e-05
1.181779e+01	4.122864e-05
1.188605e+01	-1.047082e-04
1.195470e+01	-4.010567e-05
1.202375e+01	-1.030127e-04
1.209320e+01	-8.341457e-05
1.216305e+01	-2.191326e-05
1.223330e+01	-1.059551e-04
1.230396e+01	2.465545e-05
1.237503e+01	5.103056e-05
1.244651e+01	-5.960844e-05
1.251840e+01	-1.889684e-04
1.259070e+01	-8.629782e-05
1.266343e+01	-6.842161e-05
1.273657e+01	-1.866670e-04
1.281014e+01	-1.315205e-04
1.288413e+01	1.357376e-05
1.295855e+01	-4.696360e-05
1.303339e+01	-1.135345e-04
1.310867e+01	9.092546e-05
1.318439e+01	8.680408e-05
1.326054e+01	-3.561703e-06
1.333713e+01	-1.465969e-04
1.341417e+01	2.822728e-05
1.349165e+01	-2.933061e-05
1.356958e+01	6.184503e-05
1.364795e+01	-1.279857e-04
1.372678e+01	-1.679580e-06
1.380607e+01	-6.290959e-05
1.388581e+01	-6.379823e-05
1.396602e+01	-4.108296e-05
1.404668e+01	-4.757775e-06
1.412782e+01	2.194951e-05
1.420942e+01	-3.944949e-05
1.429149e+01	-1.895903e-04
1.437404e+01	-7.690871e-05
1.445706e+01	-1.101830e-04
1.454057e+01	4.695432e-05
1.462455e+01	6.036817e-05
1.470902e+01	-1.349046e-04
1.479398e+01	3.074325e-05
1.487943e+01	3.935643e-05
1.496537e+01	-6.810045e-06
1.505181e+01	-6.006531e-05
1.513875e+01	-9.742172e-05
1.522619e+01	-4.006954e-05
1.531414e+01	-8.090532e-05
1.540259e+01	-1.433227e-04
1.549156e+01	-2.248413e-04
1.558103e+01	4.076971e-05
1.567103e+01	-1.367890e-04
1.576155e+01	-2.605248e-05
1.585258e+01	4.428196e-05
1.594415e+01	-1.139873e-06
1.603624e+01	1.772773e-04
1.612886e+01	-5.377107e-06
1.622202e+01	-1.828851e-04
1.631572e+01	1.332625e-04
1.640996e+01	-2.034334e-04
1.650474e+01	-2.593376e-05
1.660008e+01	6.725874e-05
1.669596e+01	-4.116543e-05
1.679239e+01	2.284387e-05
1.688938e+01	-2.369847e-05
1.698694e+01	-1.622821e-04
1.708505e+01	-5.413352e-05
1.718373e+01	-1.011466e-04
1.728299e+01	6.221518e-06
1.738281e+01	-1.481614e-04
1.748322e+01	8.096357e-05
1.758420e+01	6.011732e-05
1.768576e+01	-1.245551e-04
1.778792e+01	1.287520e-05
1.789066e+01	5.876623e-05
1.799399e+01	-5.806893e-05
1.809793e+01	5.456037e-05
1.820246e+01	-7.524722e-05
1.830760e+01	-2.116715e-04
1.841334e+01	-1.078362e-04
1.851969e+01	-7.210211e-05
1.862666e+01	6.695512e-05
1.873425e+01	-7.019780e-05
1.884246e+01	-1.034627e-05
1.895129e+01	-1.531329e-04
1.906075e+01	-1.542507e-04
1.917085e+01	-2.232873e-05
1.928158e+01	9.180306e-05
1.939295e+01	-5.299504e-05
1.950496e+01	4.564645e-05
1.961762e+01	3.928616e-05
1.973093e+01	1.566844e-04
1.984490e+01	2.281696e-04
1.995952e+01	5.789704e-05
2.007480e+01	-3.228492e-05
2.019076e+01	-2.110406e-04
2.030738e+01	-6.208233e-05
2.042467e+01	-9.293539e-05
2.054264e+01	5.404050e-05
2.066130e+01	6.834931e-05
2.078064e+01	-1.272177e-04
2.090066e+01	-8.913001e-05
2.102139e+01	-6.875840e-05
2.114280e+01	-1.139458e-04
2.126492e+01	-1.229326e-04
2.138775e+01	-4.182476e-05
2.151128e+01	7.795669e-05
2.163553e+01	2.882547e-05
2.176050e+01	-6.124091e-05
2.188619e+01	-7.690621e-05
2.201260e+01	6.377542e-06
2.213974e+01	-9.792638e-05
2.226762e+01	-1.872947e-04
2.239624e+01	-2.066022e-04
2.252560e+01	-1.152583e-04
2.265571e+01	8.746021e-05
2.278656e+01	-1.436690e-04
2.291818e+01	2.033219e-05
2.305055e+01	-1.463081e-04
2.318369e+01	-4.616689e-05
2.331760e+01	-5.236723e-05
2.345228e+01	-1.234411e-04
2.358774e+01	-6.302365e-05
2.372398e+01	-2.012464e-04
2.386101e+01	-1.147893e-04
2.399883e+01	-1.645199e-04
2.413745e+01	-1.312370e-04
2.427686e+01	8.238972e-05
2.441709e+01	-3.075962e-05
2.455812e+01	-1.411026e-04
2.469997e+01	-1.014041e-04
2.484263e+01	-1.257087e-06
2.498612e+01	-7.992067e-05
2.513044e+01	-1.579062e-04
2.527559e+01	-1.445224e-04
2.542158e+01	1.403161e-05
2.556842e+01	-1.158829e-04
2.571610e+01	-2.118441e-04
2.586463e+01	-1.905226e-04
2.601403e+01	-2.040005e-04
2.616428e+01	-1.816710e-04
2.631541e+01	-7.549937e-05
2.646740e+01	-1.503474e-04
2.662028e+01	-2.754254e-04
2.677404e+01	-3.582489e-05
2.692868e+01	-1.743225e-04
2.708422e+01	-7.198555e-05
2.724066e+01	-1.745783e-04
2.739800e+01	-1.519588e-04
2.755625e+01	-4.907974e-05
2.771541e+01	-1.522547e-04
2.787550e+01	-2.012206e-04
2.803650e+01	-3.440754e-05
2.819844e+01	-2.438692e-04
2.836131e+01	4.706708e-05
2.852513e+01	3.167920e-05
2.868989e+01	-2.625549e-04
2.885560e+01	-1.622008e-04
2.902227e+01	-1.183764e-04
2.918990e+01	-1.190891e-04
2.935850e+01	-2.132197e-04
2.952807e+01	-2.036614e-04
2.969863e+01	-2.004498e-04
2.987016e+01	-1.114642e-04
3.004269e+01	-6.742350e-05
3.021622e+01	-7.617533e-05
3.039075e+01	-1.158798e-04
3.056628e+01	-2.427947e-04
3.074283e+01	-1.226293e-04
3.092040e+01	-9.305702e-05
3.109900e+01	-1.434742e-04
3.127862e+01	-7.426776e-05
3.145929e+01	-1.610882e-04
3.164099e+01	-2.100993e-04
3.182375e+01	-2.444913e-04
3.200756e+01	-1.768612e-04
3.219244e+01	-6.000268e-05
3.237838e+01	-2.164822e-04
3.256540e+01	-1.648647e-04
3.275349e+01	-8.058946e-05
3.294268e+01	-1.862406e-04
3.313295e+01	-2.707695e-04
3.332433e+01	-1.057507e-04
3.351681e+01	-1.399440e-04
3.371040e+01	-1.144085e-04
3.390511e+01	-2.976753e-04
3.410094e+01	-3.279344e-05
3.429791e+01	-2.032308e-04
3.449601e+01	-1.579626e-04
3.469526e+01	-1.051757e-04
3.489566e+01	-1.643439e-04
3.509721e+01	-1.213122e-04
3.529993e+01	-2.567389e-04
3.550382e+01	-1.298240e-04
3.570889e+01	-3.238043e-04
3.591515e+01	-3.013541e-04
3.612259e+01	-1.057247e-04
3.633123e+01	-9.549432e-05
3.654108e+01	-3.619810e-04
3.675214e+01	-2.078481e-04
3.696442e+01	-1.241583e-04
3.717792e+01	-3.443777e-04
3.739266e+01	-2.322785e-04
3.760864e+01	-2.798800e-04
3.782587e+01	-2.458724e-04
3.804435e+01	-2.188989e-04
3.826409e+01	-1.478919e-04
3.848510e+01	-2.208001e-04
3.870739e+01	-2.292030e-04
3.893096e+01	-1.712229e-04
3.915583e+01	-1.613831e-04
3.938199e+01	-4.924830e-04
3.960946e+01	-2.310781e-04
3.983824e+01	-2.296847e-04
4.006834e+01	-2.139415e-04
4.029978e+01	-2.474597e-04
4.053255e+01	-1.132520e-04
4.076666e+01	-1.955523e-04
4.100213e+01	-3.649404e-04
4.123896e+01	-2.752402e-04
4.147715e+01	-2.823655e-04
4.171672e+01	-4.610319e-04
4.195767e+01	-1.688950e-04
4.220002e+01	-2.408889e-04
4.244377e+01	-3.620561e-04
4.268892e+01	-4.138513e-04
4.293549e+01	-4.100741e-04
4.318348e+01	-2.036295e-04
4.343291e+01	-2.609681e-04
4.368377e+01	-2.532640e-04
4.393609e+01	-3.043691e-04
4.418986e+01	-4.194081e-04
4.444510e+01	-2.408692e-04
4.470182e+01	-4.087461e-04
4.496001e+01	-2.601494e-04
4.521970e+01	-2.799527e-04
4.548089e+01	-2.301848e-04
4.574358e+01	-3.100564e-04
4.600779e+01	-2.996930e-04
4.627353e+01	-2.406654e-04
4.654081e+01	-2.554352e-04
4.680963e+01	-5.104612e-04
4.708000e+01	-3.692384e-04
4.735193e+01	-2.933492e-04
4.762543e+01	-3.886477e-04
4.790051e+01	-3.742159e-04
4.817719e+01	-4.101689e-04
4.845545e+01	-3.095759e-04
4.873533e+01	-4.408981e-04
4.901682e+01	-4.177877e-04
4.929994e+01	-4.564422e-04
4.958470e+01	-5.553096e-04
4.987110e+01	-3.619872e-04
5.015915e+01	-5.641356e-04
5.044887e+01	-3.232782e-04
5.074026e+01	-4.266244e-04
5.103333e+01	-3.821556e-04
5.132810e+01	-3.632392e-04
5.162457e+01	-4.908151e-04
5.192275e+01	-3.218581e-04
5.222265e+01	-3.840531e-04
5.252429e+01	-4.348815e-04
5.282767e+01	-3.977676e-04
5.313280e+01	-3.351509e-04
5.343969e+01	-4.802902e-04
5.374836e+01	-3.352926e-04
5.405880e+01	-5.583606e-04
5.437105e+01	-4.560522e-04
5.468509e+01	-4.090754e-04
5.500095e+01	-4.306932e-04
5.531863e+01	-4.706570e-04
5.563815e+01	-5.184708e-04
5.595951e+01	-5.593684e-04
5.628273e+01	-4.540085e-04
5.660782e+01	-4.513297e-04
5.693479e+01	-5.364657e-04
5.726364e+01	-5.010054e-04
5.759439e+01	-4.385597e-04
5.792705e+01	-5.451834e-04
5.826164e+01	-4.922393e-04
5.859815e+01	-5.966007e-04
5.893662e+01	-6.670514e-04
5.927703e+01	-5.600375e-04
5.961941e+01	-5.066564e-04
5.996377e+01	-5.870886e-04
6.031012e+01	-6.189107e-04
6.065847e+01	-6.042052e-04
6.100883e+01	-6.272924e-04
6.136121e+01	-5.507054e-04
6.171563e+01	-7.189130e-04
6.207210e+01	-6.268614e-04
6.243063e+01	-6.640893e-04
6.279122e+01	-6.928796e-04
6.315390e+01	-5.423532e-04
6.351868e+01	-6.158422e-04
6.388556e+01	-4.692212e-04
6.425456e+01	-6.692802e-04
6.462569e+01	-5.544020e-04
6.499897e+01	-6.114824e-04
6.537440e+01	-6.942940e-04
6.575200e+01	-6.149008e-04
6.613178e+01	-7.720287e-04
6.651375e+01	-5.657321e-04
6.689793e+01	-5.644309e-04
6.728433e+01	-7.577466e-04
6.767297e+01	-8.296876e-04
6.806384e+01	-6.910764e-04
6.845698e+01	-6.522907e-04
6.885238e+01	-7.308849e-04
6.925007e+01	-7.181112e-04
6.965005e+01	-9.076812e-04
7.005235e+01	-7.435752e-04
7.045697e+01	-7.621699e-04
7.086393e+01	-8.445832e-04
7.127323e+01	-8.666036e-04
7.168490e+01	-8.054474e-04
7.209895e+01	-6.870569e-04
7.251539e+01	-7.319124e-04
7.293424e+01	-8.249224e-04
7.335551e+01	-8.470731e-04
7.377920e+01	-9.004061e-04
7.420535e+01	-7.207695e-04
7.463396e+01	-9.049360e-04
7.506504e+01	-8.168420e-04
7.549861e+01	-8.127360e-04
7.593469e+01	-1.081739e-03
7.637328e+01	-1.055505e-03
7.681441e+01	-8.734500e-04
7.725809e+01	-7.243266e-04
7.770433e+01	-9.234560e-04
7.815315e+01	-8.648994e-04
7.860456e+01	-1.087872e-03
7.905857e+01	-1.004616e-03
7.951521e+01	-9.333776e-04
7.997449e+01	-1.002148e-03
8.043642e+01	-1.033624e-03
8.090102e+01	-9.752871e-04
8.136830e+01	-9.824056e-04
8.183828e+01	-1.128725e-03
8.231097e+01	-1.180345e-03
8.278640e+01	-1.085124e-03
8.326457e+01	-1.089365e-03
8.374550e+01	-1.056478e-03
8.422921e+01	-1.140678e-03
8.471572e+01	-1.261993e-03
8.520503e+01	-1.092710e-03
8.569717e+01	-1.012751e-03
8.619215e+01	-1.199691e-03
8.669000e+01	-1.222041e-03
8.719071e+01	-1.177240e-03
8.769432e+01	-1.155608e-03
8.820084e+01	-1.235693e-03
8.871029e+01	-1.316828e-03
8.922267e+01	-1.316119e-03
8.973802e+01	-1.346667e-03
9.025634e+01	-1.275690e-03
9.077766e+01	-1.074988e-03
9.130199e+01	-1.236072e-03
9.182935e+01	-1.354892e-03
9.235975e+01	-1.314807e-03
9.289321e+01	-1.384100e-03
9.342976e+01	-1.357792e-03
9.396941e+01	-1.394539e-03
9.451217e+01	-1.430208e-03
9.505807e+01	-1.400017e-03
9.560712e+01	-1.446058e-03
