Frequency(Hz)	Magnitude(dB)
1.000000e+01	2.718290e-05
1.005776e+01	-1.079927e-05
1.011585e+01	-3.463124e-05
1.017428e+01	3.671524e-05
1.023305e+01	-1.111037e-04
1.029215e+01	-2.738409e-05
1.035160e+01	8.440046e-05
1.041139e+01	-3.516460e-05
1.047153e+01	1.385313e-04
1.053201e+01	-1.590663e-04
1.059284e+01	-1.085291e-04
1.065403e+01	3.896815e-05
1.071556e+01	9.381811e-05
1.077746e+01	-1.231923e-04
1.083971e+01	1.334715e-05
1.090232e+01	-1.859244e-04
1.096529e+01	-9.236638e-05
1.102862e+01	-4.226395e-05
1.109232e+01	-4.814997e-05
1.115639e+01	-1.905223e-04
1.122083e+01	8.330393e-05
1.128564e+01	1.518340e-04
1.135083e+01	-1.525160e-04
1.141639e+01	-3.039041e-05
1.148233e+01	2.141690e-05
1.154865e+01	5.200798e-05
1.161536e+01	4.160297e-05
1.168245e+01	-6.772846e-06
1.174992e+01	-4.339725e-06
1.181779e+01	5.520221e-05
1.188605e+01	-3.882177e-05
1.195470e+01	-5.921136e-05
1.202375e+01	-6.593649e-05
1.209320e+01	-7.334761e-05
1.216305e+01	4.949636e-05
1.223330e+01	1.368147e-04
1.230396e+01	-2.244332e-07
1.237503e+01	-3.481650e-06
1.244651e+01	-1.285253e-06
1.251840e+01	-2.503235e-05
1.259070e+01	-1.973857e-04
1.266343e+01	4.599859e-05
1.273657e+01	8.975988e-05
1.281014e+01	-1.446807e-04
1.288413e+01	7.366810e-05
1.295855e+01	7.792293e-05
1.303339e+01	-7.003490e-05
1.310867e+01	1.280277e-06
1.318439e+01	-1.605469e-05
1.326054e+01	-1.152600e-04
1.333713e+01	-1.446550e-04
1.341417e+01	9.786044e-05
1.349165e+01	-6.702066e-05
1.356958e+01	-6.738327e-05
1.364795e+01	-1.059205e-04
1.372678e+01	-1.338641e-04
1.380607e+01	-1.121115e-04
1.388581e+01	-5.658208e-05
1.396602e+01	2.477525e-05
1.404668e+01	1.876119e-05
1.412782e+01	1.277177e-04
1.420942e+01	-2.305636e-04
1.429149e+01	4.966265e-05
1.437404e+01	-5.494446e-05
1.445706e+01	1.057965e-04
1.454057e+01	-5.193726e-05
1.462455e+01	-1.441332e-04
1.470902e+01	-3.544974e-05
1.479398e+01	-1.923998e-04
1.487943e+01	1.398654e-04
1.496537e+01	-2.024573e-04
1.505181e+01	-1.380263e-04
1.513875e+01	-5.359861e-05
1.522619e+01	-7.767720e-05
1.531414e+01	5.999075e-05
1.540259e+01	4.895152e-05
1.549156e+01	3.143868e-05
1.558103e+01	-4.297544e-05
1.567103e+01	2.433726e-06
1.576155e+01	-9.787065e-05
1.585258e+01	-1.821697e-04
1.594415e+01	4.282292e-05
1.603624e+01	-3.426599e-06
1.612886e+01	-1.143126e-04
1.622202e+01	-1.004750e-04
1.631572e+01	-1.063735e-04
1.640996e+01	-1.735091e-04
1.650474e+01	-8.253465e-05
1.660008e+01	5.505212e-05
1.669596e+01	-5.094848e-05
1.679239e+01	-1.312401e-04
1.688938e+01	-1.523232e-04
1.698694e+01	-2.124222e-04
1.708505e+01	-5.084562e-05
1.718373e+01	-2.782067e-04
1.728299e+01	-1.002661e-04
1.738281e+01	-1.422330e-04
1.748322e+01	-4.835069e-05
1.758420e+01	-1.293933e-04
1.768576e+01	-8.529264e-05
1.778792e+01	-1.508297e-04
1.789066e+01	4.575387e-05
1.799399e+01	-9.507266e-06
1.809793e+01	1.476740e-05
1.820246e+01	3.657269e-05
1.830760e+01	-2.363899e-04
1.841334e+01	-9.466416e-05
1.851969e+01	-7.044069e-05
1.862666e+01	-1.594764e-05
1.873425e+01	7.931496e-05
1.884246e+01	-1.851906e-04
1.895129e+01	-5.431261e-05
1.906075e+01	4.177194e-06
1.917085e+01	5.340997e-05
1.928158e+01	-4.363720e-05
1.939295e+01	-5.480151e-05
1.950496e+01	-1.448636e-04
1.961762e+01	2.154420e-05
1.973093e+01	-1.864357e-04
1.984490e+01	1.581040e-05
1.995952e+01	-1.448114e-04
2.007480e+01	-6.809767e-06
2.019076e+01	3.376359e-05
2.030738e+01	-7.560036e-05
2.042467e+01	5.169445e-06
2.054264e+01	-1.738523e-04
2.066130e+01	-8.397056e-05
2.078064e+01	-9.009466e-06
2.090066e+01	-8.943415e-05
2.102139e+01	-2.501158e-04
2.114280e+01	-8.047888e-05
2.126492e+01	-1.525112e-04
2.138775e+01	-8.182878e-05
2.151128e+01	-8.196057e-05
2.163553e+01	-9.684021e-05
2.176050e+01	-8.090500e-05
2.188619e+01	-1.253538e-04
2.201260e+01	-6.056018e-05
2.213974e+01	-1.372401e-04
2.226762e+01	-6.142431e-05
2.239624e+01	-2.282165e-04
2.252560e+01	-5.797175e-05
2.265571e+01	4.826205e-05
2.278656e+01	-8.355892e-05
2.291818e+01	-3.189621e-04
2.305055e+01	-7.551832e-05
2.318369e+01	-1.590645e-05
2.331760e+01	-1.370595e-04
2.345228e+01	-2.418417e-04
2.358774e+01	-7.429281e-05
2.372398e+01	-3.654242e-05
2.386101e+01	-6.876596e-05
2.399883e+01	3.573556e-05
2.413745e+01	-1.485568e-04
2.427686e+01	-6.458585e-05
2.441709e+01	-8.710118e-05
2.455812e+01	-1.365726e-04
2.469997e+01	-2.429309e-05
2.484263e+01	-1.468267e-04
2.498612e+01	-5.417981e-05
2.513044e+01	-1.342869e-04
2.527559e+01	-1.173059e-04
2.542158e+01	-1.411333e-04
2.556842e+01	-1.584218e-04
2.571610e+01	-2.614215e-05
2.586463e+01	-6.568781e-05
2.601403e+01	-1.717122e-04
2.616428e+01	-1.417563e-04
2.631541e+01	-2.095705e-04
2.646740e+01	-2.161466e-04
2.662028e+01	-9.573997e-05
2.677404e+01	1.036874e-04
2.692868e+01	-2.913030e-04
2.708422e+01	-2.094499e-04
2.724066e+01	-2.698279e-04
2.739800e+01	-1.154012e-04
2.755625e+01	-1.571654e-04
2.771541e+01	-1.969013e-04
2.787550e+01	-1.537093e-04
2.803650e+01	-9.400659e-05
2.819844e+01	-1.611533e-04
2.836131e+01	-1.752556e-04
2.852513e+01	-1.035462e-04
2.868989e+01	-1.771429e-04
2.885560e+01	-1.720011e-04
2.902227e+01	-5.873103e-05
2.918990e+01	-2.552825e-04
2.935850e+01	-2.971944e-04
2.952807e+01	-3.809603e-05
2.969863e+01	-2.150639e-04
2.987016e+01	-3.092695e-04
3.004269e+01	-5.861500e-05
3.021622e+01	-7.707469e-05
3.039075e+01	5.463823e-06
3.056628e+01	-1.068751e-04
3.074283e+01	-1.028250e-04
3.092040e+01	-1.520760e-04
3.109900e+01	-1.305911e-04
3.127862e+01	-4.464358e-05
3.145929e+01	-9.169573e-05
3.164099e+01	-2.295636e-04
3.182375e+01	-3.653613e-05
3.200756e+01	-1.341136e-04
