Frequency(Hz)	Magnitude(dB)
1.000000e+01	-1.402909e-04
1.005776e+01	-1.026124e-05
1.011585e+01	-1.479160e-04
1.017428e+01	-1.069074e-04
1.023305e+01	-3.017329e-05
1.029215e+01	-1.277202e-05
1.035160e+01	8.368654e-05
1.041139e+01	-4.093137e-05
1.047153e+01	-1.123439e-04
1.053201e+01	6.585218e-05
1.059284e+01	-6.092796e-05
1.065403e+01	-2.920268e-05
1.071556e+01	-5.219875e-05
1.077746e+01	-3.679252e-05
1.083971e+01	-1.640225e-04
1.090232e+01	-1.840323e-04
1.096529e+01	8.064326e-05
1.102862e+01	-2.433705e-04
1.109232e+01	8.576488e-05
1.115639e+01	-1.189771e-04
1.122083e+01	-5.474875e-05
1.128564e+01	3.148052e-05
1.135083e+01	-9.621161e-05
1.141639e+01	-5.769572e-05
1.148233e+01	-3.416612e-05
1.154865e+01	-1.522295e-04
1.161536e+01	-3.739316e-06
1.168245e+01	8.497723e-05
1.174992e+01	-1.330302e-04
1.181779e+01	5.397355e-05
1.188605e+01	-4.400444e-05
1.195470e+01	-2.007681e-04
1.202375e+01	-4.869761e-06
1.209320e+01	-7.558635e-05
1.216305e+01	3.117367e-05
1.223330e+01	-8.890465e-06
1.230396e+01	2.476491e-05
1.237503e+01	5.887930e-05
1.244651e+01	-6.767897e-05
1.251840e+01	1.566996e-05
1.259070e+01	1.411763e-05
1.266343e+01	-7.037077e-05
1.273657e+01	-1.968396e-05
1.281014e+01	-5.946971e-05
1.288413e+01	5.084767e-05
1.295855e+01	1.603379e-05
1.303339e+01	-1.655415e-05
1.310867e+01	3.385368e-05
1.318439e+01	-2.029779e-05
1.326054e+01	-7.986043e-05
1.333713e+01	4.932575e-06
1.341417e+01	6.273592e-06
1.349165e+01	-4.858816e-06
1.356958e+01	-5.767944e-05
1.364795e+01	1.252277e-04
1.372678e+01	-4.965201e-05
1.380607e+01	-1.939677e-04
1.388581e+01	-4.951313e-05
1.396602e+01	-5.303580e-05
1.404668e+01	-1.242011e-04
1.412782e+01	1.488158e-04
1.420942e+01	-1.202897e-04
1.429149e+01	6.210546e-05
1.437404e+01	-8.761365e-05
1.445706e+01	1.108063e-04
1.454057e+01	7.212579e-05
1.462455e+01	-2.004121e-04
1.470902e+01	6.892142e-05
1.479398e+01	-1.178699e-04
1.487943e+01	-2.044576e-04
1.496537e+01	1.027321e-04
1.505181e+01	4.912146e-05
1.513875e+01	1.098466e-04
1.522619e+01	-7.747664e-05
1.531414e+01	-1.912735e-04
