Frequency(Hz)	Magnitude(dB)
1.000000e+01	5.470331e-05
1.005776e+01	1.356674e-04
1.011585e+01	-6.676412e-05
1.017428e+01	4.295709e-05
1.023305e+01	-9.755232e-06
1.029215e+01	-7.866952e-05
1.035160e+01	-3.873675e-05
1.041139e+01	1.436090e-06
1.047153e+01	7.231788e-05
1.053201e+01	-4.512842e-05
1.059284e+01	3.800771e-05
1.065403e+01	8.332333e-05
1.071556e+01	-7.501500e-05
1.077746e+01	1.604869e-05
1.083971e+01	-5.327518e-05
1.090232e+01	-7.885672e-05
1.096529e+01	4.911682e-05
1.102862e+01	1.472266e-05
1.109232e+01	-7.237245e-05
1.115639e+01	3.896457e-06
1.122083e+01	-9.182940e-05
1.128564e+01	1.049037e-04
1.135083e+01	1.417108e-06
1.141639e+01	1.219088e-05
1.148233e+01	-5.425615e-05
1.154865e+01	3.111782e-05
1.161536e+01	-2.497406e-04
1.168245e+01	-8.528705e-05
1.174992e+01	4.507066e-05
1.181779e+01	-1.174922e-04
1.188605e+01	2.426355e-05
1.195470e+01	-5.726115e-05
1.202375e+01	-2.151977e-05
1.209320e+01	1.234472e-04
1.216305e+01	3.539667e-05
1.223330e+01	-1.484203e-04
1.230396e+01	-1.576966e-04
1.237503e+01	7.364532e-06
1.244651e+01	-1.374950e-04
1.251840e+01	-1.239322e-04
1.259070e+01	5.944658e-05
1.266343e+01	-2.095597e-04
1.273657e+01	-2.792660e-05
1.281014e+01	-3.847998e-05
1.288413e+01	3.517072e-05
1.295855e+01	-1.085024e-04
1.303339e+01	6.243813e-05
1.310867e+01	2.528013e-05
1.318439e+01	1.192339e-04
1.326054e+01	-8.740360e-05
1.333713e+01	-9.560725e-05
1.341417e+01	-1.875728e-05
1.349165e+01	-7.550723e-05
1.356958e+01	-3.434469e-05
1.364795e+01	-2.403581e-05
1.372678e+01	4.076411e-05
1.380607e+01	-3.093058e-05
1.388581e+01	6.416720e-05
1.396602e+01	7.071996e-05
1.404668e+01	-1.146150e-04
1.412782e+01	-1.321046e-04
1.420942e+01	-9.045868e-05
1.429149e+01	4.461044e-06
1.437404e+01	-1.495782e-04
1.445706e+01	-7.730494e-05
1.454057e+01	1.230848e-04
1.462455e+01	-1.759562e-04
1.470902e+01	-1.527922e-05
1.479398e+01	-6.373849e-05
1.487943e+01	-1.391810e-04
1.496537e+01	-1.779046e-04
1.505181e+01	1.839849e-05
1.513875e+01	-1.615398e-04
1.522619e+01	-8.140027e-05
1.531414e+01	1.226348e-04
1.540259e+01	-6.578800e-05
1.549156e+01	-1.376463e-04
1.558103e+01	-1.031629e-04
1.567103e+01	-1.762291e-04
1.576155e+01	2.738534e-05
1.585258e+01	-1.206715e-04
1.594415e+01	-5.196364e-05
1.603624e+01	3.988094e-06
1.612886e+01	-1.951165e-04
1.622202e+01	-1.767997e-04
1.631572e+01	-3.742250e-05
1.640996e+01	-4.180116e-05
1.650474e+01	-1.907299e-04
1.660008e+01	-8.350534e-05
1.669596e+01	-1.438701e-04
1.679239e+01	-1.544715e-05
1.688938e+01	-2.443185e-05
1.698694e+01	-7.670334e-05
1.708505e+01	-1.826426e-05
1.718373e+01	-4.002935e-05
1.728299e+01	-6.771873e-05
1.738281e+01	8.812205e-07
1.748322e+01	1.164202e-04
1.758420e+01	-9.799161e-06
1.768576e+01	-1.056897e-04
1.778792e+01	-3.461719e-05
1.789066e+01	-2.790038e-05
1.799399e+01	-5.301576e-05
1.809793e+01	-1.232496e-04
1.820246e+01	2.030221e-05
1.830760e+01	-1.066511e-04
1.841334e+01	-2.113054e-04
1.851969e+01	-1.904770e-04
1.862666e+01	-1.052417e-04
1.873425e+01	-7.440424e-05
1.884246e+01	4.326884e-05
1.895129e+01	-1.920865e-04
1.906075e+01	-1.590944e-04
1.917085e+01	-9.401684e-05
1.928158e+01	-9.502208e-05
1.939295e+01	4.044268e-05
1.950496e+01	8.358058e-05
1.961762e+01	-7.130496e-05
1.973093e+01	-2.550473e-05
1.984490e+01	-9.419013e-05
1.995952e+01	-1.528703e-04
2.007480e+01	-3.100326e-05
2.019076e+01	-7.363059e-05
2.030738e+01	-1.079148e-04
2.042467e+01	4.102101e-05
2.054264e+01	-8.210734e-05
2.066130e+01	9.739734e-06
2.078064e+01	4.375327e-05
2.090066e+01	-8.940118e-05
2.102139e+01	-1.192671e-05
2.114280e+01	-1.270519e-04
2.126492e+01	-1.396533e-04
2.138775e+01	-7.473453e-05
2.151128e+01	-8.429302e-05
2.163553e+01	-1.255201e-04
2.176050e+01	-9.080158e-05
2.188619e+01	-1.247936e-04
2.201260e+01	-1.387755e-04
2.213974e+01	-8.469460e-05
