Frequency(Hz)	Magnitude(dB)
1.000000e+01	1.375660e-04
1.005776e+01	-8.791042e-05
1.011585e+01	-5.327631e-05
1.017428e+01	1.313942e-05
1.023305e+01	1.332541e-04
1.029215e+01	7.518200e-05
1.035160e+01	-5.626321e-05
1.041139e+01	2.526779e-05
1.047153e+01	-7.920975e-05
1.053201e+01	-4.419596e-05
1.059284e+01	6.912133e-05
1.065403e+01	-4.752822e-05
1.071556e+01	1.058153e-05
1.077746e+01	1.244216e-05
1.083971e+01	-1.580167e-04
1.090232e+01	8.486738e-05
1.096529e+01	-6.345938e-05
1.102862e+01	-7.414035e-05
1.109232e+01	1.568034e-04
1.115639e+01	-6.534670e-06
1.122083e+01	-8.839145e-05
1.128564e+01	-7.054505e-05
1.135083e+01	1.191154e-04
1.141639e+01	7.120888e-05
1.148233e+01	-5.235376e-05
1.154865e+01	-1.166586e-04
1.161536e+01	-1.234574e-04
1.168245e+01	-7.948318e-05
1.174992e+01	-8.481030e-05
1.181779e+01	-8.269599e-05
1.188605e+01	-7.552127e-05
1.195470e+01	5.796908e-05
1.202375e+01	-1.399852e-04
1.209320e+01	1.115106e-04
1.216305e+01	-1.990577e-05
1.223330e+01	-1.064342e-04
1.230396e+01	-8.481773e-05
1.237503e+01	-1.189081e-05
1.244651e+01	-3.741379e-05
1.251840e+01	-1.701583e-04
1.259070e+01	-2.730259e-05
1.266343e+01	2.813423e-05
1.273657e+01	-2.892732e-05
1.281014e+01	8.186874e-05
1.288413e+01	-7.811007e-05
1.295855e+01	-1.171432e-04
1.303339e+01	-3.461031e-05
1.310867e+01	-3.599904e-05
1.318439e+01	1.449672e-04
1.326054e+01	-6.874423e-05
1.333713e+01	4.368335e-06
1.341417e+01	2.898696e-05
1.349165e+01	4.094914e-06
1.356958e+01	4.703958e-06
1.364795e+01	-1.029787e-04
1.372678e+01	-9.991455e-05
1.380607e+01	-2.503933e-04
1.388581e+01	-2.825345e-05
1.396602e+01	-4.185173e-05
1.404668e+01	4.194828e-05
1.412782e+01	-1.457100e-04
1.420942e+01	-9.752587e-05
1.429149e+01	-4.822796e-05
1.437404e+01	1.913314e-05
1.445706e+01	8.879035e-05
1.454057e+01	-1.619410e-07
1.462455e+01	5.678591e-07
1.470902e+01	-2.198986e-04
1.479398e+01	-1.186250e-04
1.487943e+01	3.974131e-05
