Frequency(Hz)	Magnitude(dB)
1.000000e+01	-2.642128e-05
1.005776e+01	1.622322e-05
1.011585e+01	2.306924e-05
1.017428e+01	-6.176095e-05
1.023305e+01	-5.572916e-05
1.029215e+01	6.995179e-05
1.035160e+01	-7.641038e-06
1.041139e+01	6.323529e-05
1.047153e+01	-1.275825e-04
1.053201e+01	-1.583677e-04
1.059284e+01	1.872711e-05
1.065403e+01	-1.334245e-04
1.071556e+01	-4.055424e-05
1.077746e+01	6.676535e-05
1.083971e+01	-1.051106e-04
1.090232e+01	-2.102185e-04
1.096529e+01	-3.947041e-05
1.102862e+01	-3.775780e-07
1.109232e+01	8.223345e-05
1.115639e+01	-2.043447e-04
1.122083e+01	-8.878886e-05
1.128564e+01	5.260481e-05
1.135083e+01	-7.642346e-05
1.141639e+01	2.670150e-05
1.148233e+01	3.600406e-05
1.154865e+01	2.934470e-05
1.161536e+01	2.919890e-05
1.168245e+01	-1.278053e-04
1.174992e+01	7.466254e-05
1.181779e+01	-3.451550e-05
1.188605e+01	1.932169e-05
1.195470e+01	-1.245765e-05
1.202375e+01	3.099086e-05
1.209320e+01	8.739694e-05
1.216305e+01	4.637786e-06
1.223330e+01	7.102743e-05
1.230396e+01	-6.123211e-05
1.237503e+01	-6.357305e-05
1.244651e+01	-8.770823e-05
1.251840e+01	-6.883703e-05
1.259070e+01	1.960332e-04
1.266343e+01	2.622267e-05
1.273657e+01	-1.903818e-04
1.281014e+01	-1.725799e-04
1.288413e+01	-1.412077e-04
1.295855e+01	4.882299e-05
1.303339e+01	-3.094039e-05
1.310867e+01	-6.845981e-05
1.318439e+01	9.138533e-05
1.326054e+01	-2.071877e-04
1.333713e+01	-4.447210e-05
1.341417e+01	8.314958e-05
1.349165e+01	-1.436750e-04
1.356958e+01	2.537391e-06
1.364795e+01	4.777183e-05
1.372678e+01	-4.690263e-05
1.380607e+01	-2.577116e-05
1.388581e+01	-1.284067e-04
1.396602e+01	-2.592600e-04
1.404668e+01	7.662448e-05
1.412782e+01	6.803566e-06
1.420942e+01	-1.077678e-05
1.429149e+01	-7.893898e-05
1.437404e+01	-4.488598e-07
1.445706e+01	-1.399791e-04
1.454057e+01	-1.428793e-04
1.462455e+01	-6.640977e-05
1.470902e+01	-1.263494e-04
1.479398e+01	-7.815539e-05
1.487943e+01	-3.209256e-05
1.496537e+01	-2.750236e-05
1.505181e+01	5.673879e-05
1.513875e+01	1.136334e-04
1.522619e+01	-5.865779e-05
1.531414e+01	-8.182903e-06
1.540259e+01	6.494825e-06
1.549156e+01	1.375490e-04
1.558103e+01	-1.082977e-04
1.567103e+01	7.778806e-05
1.576155e+01	-1.177928e-04
1.585258e+01	6.355154e-06
1.594415e+01	9.516427e-05
1.603624e+01	7.757101e-05
1.612886e+01	-1.664259e-04
1.622202e+01	-4.756977e-06
1.631572e+01	-8.866382e-07
1.640996e+01	-1.627588e-04
1.650474e+01	-6.156581e-05
1.660008e+01	-3.655816e-05
1.669596e+01	-2.221276e-05
1.679239e+01	-4.651889e-05
1.688938e+01	8.025761e-06
1.698694e+01	-1.936762e-05
1.708505e+01	9.861849e-05
1.718373e+01	3.318161e-05
1.728299e+01	-1.634432e-04
1.738281e+01	5.158532e-05
1.748322e+01	-4.192346e-05
1.758420e+01	-1.269201e-04
1.768576e+01	-7.293896e-06
1.778792e+01	-3.056745e-05
1.789066e+01	-3.978389e-05
1.799399e+01	-4.930077e-06
1.809793e+01	-1.537011e-04
1.820246e+01	-1.302553e-04
1.830760e+01	-4.958312e-05
1.841334e+01	-3.055839e-05
1.851969e+01	-5.344271e-05
1.862666e+01	-5.832595e-05
1.873425e+01	-7.605918e-05
1.884246e+01	-5.542819e-05
1.895129e+01	-7.446119e-05
1.906075e+01	-1.156753e-04
1.917085e+01	-1.069953e-04
1.928158e+01	-2.076476e-04
1.939295e+01	-9.035561e-05
1.950496e+01	-1.659886e-04
1.961762e+01	-8.250416e-05
1.973093e+01	1.390013e-05
1.984490e+01	-9.621400e-05
1.995952e+01	-2.077410e-04
2.007480e+01	-1.056706e-04
2.019076e+01	-1.729197e-05
2.030738e+01	-1.083857e-04
2.042467e+01	-8.922206e-05
2.054264e+01	-1.175083e-04
2.066130e+01	-4.141374e-05
2.078064e+01	-2.220929e-06
2.090066e+01	-2.081183e-04
2.102139e+01	-1.440522e-04
2.114280e+01	-2.171952e-05
2.126492e+01	-2.547998e-04
2.138775e+01	4.700516e-05
2.151128e+01	-1.441143e-04
2.163553e+01	2.196955e-05
2.176050e+01	-2.095942e-04
2.188619e+01	-1.411494e-04
2.201260e+01	7.190633e-05
2.213974e+01	-6.529395e-05
2.226762e+01	5.218216e-05
2.239624e+01	-3.053375e-05
2.252560e+01	-9.027446e-05
2.265571e+01	-6.839777e-05
2.278656e+01	-1.000898e-04
2.291818e+01	-2.544045e-05
2.305055e+01	-1.273426e-04
2.318369e+01	-1.339393e-04
2.331760e+01	-7.460553e-05
2.345228e+01	-1.156632e-05
2.358774e+01	-1.229965e-04
2.372398e+01	-1.670904e-04
2.386101e+01	-3.721800e-05
2.399883e+01	-2.476794e-04
2.413745e+01	-9.095118e-05
2.427686e+01	2.407709e-05
