Frequency(Hz)	Magnitude(dB)
1.000000e+01	-1.305329e-04
1.005776e+01	1.045360e-04
1.011585e+01	4.996026e-05
1.017428e+01	-2.964781e-05
1.023305e+01	-1.545470e-04
1.029215e+01	3.571826e-05
1.035160e+01	-1.157434e-04
1.041139e+01	-7.794411e-05
1.047153e+01	-1.011186e-04
1.053201e+01	-1.652363e-05
1.059284e+01	2.026635e-04
1.065403e+01	3.217898e-05
1.071556e+01	-1.221051e-05
1.077746e+01	-1.418207e-07
1.083971e+01	-3.994264e-05
1.090232e+01	-1.164080e-04
1.096529e+01	-5.723340e-05
1.102862e+01	-1.577714e-04
1.109232e+01	5.877774e-05
1.115639e+01	5.572262e-05
1.122083e+01	2.180635e-06
1.128564e+01	4.819397e-05
1.135083e+01	-1.350759e-04
1.141639e+01	-9.297140e-05
1.148233e+01	3.970292e-05
1.154865e+01	3.057155e-05
1.161536e+01	-1.922095e-04
1.168245e+01	-5.634391e-05
1.174992e+01	-4.847035e-05
1.181779e+01	3.279478e-05
1.188605e+01	8.110375e-06
1.195470e+01	-3.939887e-05
1.202375e+01	6.674276e-05
1.209320e+01	1.073300e-04
1.216305e+01	-7.327968e-05
1.223330e+01	2.526375e-06
1.230396e+01	7.091034e-06
1.237503e+01	8.354418e-05
1.244651e+01	1.125673e-04
1.251840e+01	-9.789345e-05
1.259070e+01	1.245548e-04
1.266343e+01	6.497680e-05
1.273657e+01	-2.382953e-05
1.281014e+01	1.732619e-04
1.288413e+01	-1.206683e-04
1.295855e+01	-6.520429e-05
1.303339e+01	-5.325067e-05
1.310867e+01	-1.907525e-06
1.318439e+01	2.199473e-04
1.326054e+01	-5.401675e-05
1.333713e+01	-6.544931e-05
1.341417e+01	-1.491280e-04
1.349165e+01	-8.055038e-05
1.356958e+01	9.115352e-05
1.364795e+01	-1.310435e-04
1.372678e+01	1.171546e-04
1.380607e+01	-1.305114e-04
1.388581e+01	-1.762361e-06
1.396602e+01	2.630352e-05
1.404668e+01	-3.693039e-05
1.412782e+01	-5.913668e-05
1.420942e+01	-1.853898e-05
1.429149e+01	-1.471303e-04
