Freq.	V(n028)
Step Information: Run=1  (Step: 1/100)
1.00000000000000e+00	(-1.38287318007241e-01dB,-5.58838750604358e-01°)
1.04712854805090e+00	(-1.38327176768085e-01dB,-5.85174219281034e-01°)
1.09647819614319e+00	(-1.38370880609930e-01dB,-6.12750575152858e-01°)
1.14815362149688e+00	(-1.38418800413918e-01dB,-6.41626260145810e-01°)
1.20226443461741e+00	(-1.38471342826631e-01dB,-6.71862464652269e-01°)
1.25892541179417e+00	(-1.38528953705859e-01dB,-7.03523256196889e-01°)
1.31825673855641e+00	(-1.38592121900411e-01dB,-7.36675714045118e-01°)
1.38038426460289e+00	(-1.38661383392477e-01dB,-7.71390070005280e-01°)
1.44543977074593e+00	(-1.38737325838754e-01dB,-8.07739855700313e-01°)
1.51356124843621e+00	(-1.38820593548922e-01dB,-8.45802056587219e-01°)
1.58489319246111e+00	(-1.38911892942592e-01dB,-8.85657273010292e-01°)
1.65958690743756e+00	(-1.39011998531207e-01dB,-9.27389888597114e-01°)
1.73780082874938e+00	(-1.39121759474357e-01dB,-9.71088246293092e-01°)
1.81970085860999e+00	(-1.39242106766936e-01dB,-1.01684483235904e+00°)
1.90546071796325e+00	(-1.39374061116173e-01dB,-1.06475646865719e+00°)
1.99526231496888e+00	(-1.39518741575247e-01dB,-1.11492451355720e+00°)
2.08929613085404e+00	(-1.39677375004171e-01dB,-1.16745507180446e+00°)
2.18776162394956e+00	(-1.39851306440659e-01dB,-1.22245921369750e+00°)
2.29086765276778e+00	(-1.40042010462314e-01dB,-1.28005320392904e+00°)
2.39883291901949e+00	(-1.40251103639638e-01dB,-1.34035874044769e+00°)
2.51188643150958e+00	(-1.40480358179326e-01dB,-1.40350320369589e+00°)
2.63026799189539e+00	(-1.40731716874792e-01dB,-1.46961991659103e+00°)
2.75422870333817e+00	(-1.41007309483727e-01dB,-1.53884841559935e+00°)
2.88403150312661e+00	(-1.41309470671077e-01dB,-1.61133473326285e+00°)
3.01995172040202e+00	(-1.41640759663254e-01dB,-1.68723169251751e+00°)
3.16227766016839e+00	(-1.42003981775857e-01dB,-1.76669921314117e+00°)
3.31131121482592e+00	(-1.42402211990068e-01dB,-1.84990463063961e+00°)
3.46736850452532e+00	(-1.42838820770483e-01dB,-1.93702302786932e+00°)
3.63078054770102e+00	(-1.43317502333569e-01dB,-2.02823757965874e+00°)
3.80189396320562e+00	(-1.43842305596074e-01dB,-2.12373991065303e+00°)
3.98107170553498e+00	(-1.44417668049571e-01dB,-2.22373046656743e+00°)
4.16869383470336e+00	(-1.45048452835813e-01dB,-2.32841889897199e+00°)
4.36515832240167e+00	(-1.45739989313920e-01dB,-2.43802446367280e+00°)
4.57088189614876e+00	(-1.46498117442347e-01dB,-2.55277643266156e+00°)
4.78630092322640e+00	(-1.47329236321772e-01dB,-2.67291451951938e+00°)
5.01187233627274e+00	(-1.48240357277153e-01dB,-2.79868931804439e+00°)
5.24807460249774e+00	(-1.49239161888282e-01dB,-2.93036275372997e+00°)
5.49540873857626e+00	(-1.50334065410390e-01dB,-3.06820854757748e+00°)
5.75439937337159e+00	(-1.51534286064522e-01dB,-3.21251269152306e+00°)
6.02559586074359e+00	(-1.52849920713669e-01dB,-3.36357393456002e+00°)
6.30957344480195e+00	(-1.54292027481540e-01dB,-3.52170427837075e+00°)
6.60693448007598e+00	(-1.55872715911590e-01dB,-3.68722948100737e+00°)
6.91830970918939e+00	(-1.57605245309951e-01dB,-3.86048956680557e+00°)
7.24435960074992e+00	(-1.59504131958447e-01dB,-4.04183934034626e+00°)
7.58577575029186e+00	(-1.61585265930541e-01dB,-4.23164890182420e+00°)
7.94328234724284e+00	(-1.63866038294333e-01dB,-4.43030416067406e+00°)
8.31763771102674e+00	(-1.66365479525149e-01dB,-4.63820734372398e+00°)
8.70963589956084e+00	(-1.69104410006434e-01dB,-4.85577749348106e+00°)
9.12010839355913e+00	(-1.72105603532057e-01dB,-5.08345095140091e+00°)
9.54992586021439e+00	(-1.75393964773073e-01dB,-5.32168182013318e+00°)
1.00000000000000e+01	(-1.78996721699698e-01dB,-5.57094239777317e+00°)
1.04712854805090e+01	(-1.82943633985395e-01dB,-5.83172357606111e+00°)
1.09647819614319e+01	(-1.87267218434261e-01dB,-6.10453519324818e+00°)
1.14815362149689e+01	(-1.92002992484443e-01dB,-6.38990633098584e+00°)
1.20226443461742e+01	(-1.97189736828614e-01dB,-6.68838554307325e+00°)
1.25892541179417e+01	(-2.02869778164495e-01dB,-7.00054100222125e+00°)
1.31825673855641e+01	(-2.09089293039072e-01dB,-7.32696054912391e+00°)
1.38038426460289e+01	(-2.15898633656711e-01dB,-7.66825162611450e+00°)
1.44543977074593e+01	(-2.23352676408914e-01dB,-8.02504107545137e+00°)
1.51356124843621e+01	(-2.31511193709023e-01dB,-8.39797477990593e+00°)
1.58489319246112e+01	(-2.40439249498109e-01dB,-8.78771712075844e+00°)
1.65958690743757e+01	(-2.50207618498819e-01dB,-9.19495022560972e+00°)
1.73780082874938e+01	(-2.60893228937224e-01dB,-9.62037297558338e+00°)
1.81970085860999e+01	(-2.72579628002591e-01dB,-1.00646997385938e+01°)
