Freq.	V(n028)
Step Information: Run=1  (Step: 1/100)
1.00000000000000e+00	(-1.38289488479761e-01dB,-5.60304697797998e-01°)
1.04712854805090e+00	(-1.38329556622167e-01dB,-5.86709240312136e-01°)
1.09647819614319e+00	(-1.38373490041584e-01dB,-6.14357923278627e-01°)
1.14815362149688e+00	(-1.38421661567288e-01dB,-6.43309341635719e-01°)
1.20226443461741e+00	(-1.38474479980794e-01dB,-6.73624845951255e-01°)
1.25892541179417e+00	(-1.38532393481279e-01dB,-7.05368671422903e-01°)
1.31825673855641e+00	(-1.38595893484106e-01dB,-7.38608072830964e-01°)
1.38038426460289e+00	(-1.38665518785693e-01dB,-7.73413465700728e-01°)
1.44543977074593e+00	(-1.38741860127690e-01dB,-8.09858573951538e-01°)
1.51356124843621e+00	(-1.38825565202345e-01dB,-8.48020584304269e-01°)
1.58489319246111e+00	(-1.38917344137352e-01dB,-8.87980307753262e-01°)
1.65958690743756e+00	(-1.39017975509172e-01dB,-9.29822348378136e-01°)
1.73780082874938e+00	(-1.39128312934392e-01dB,-9.73635279829757e-01°)
1.81970085860999e+00	(-1.39249292293275e-01dB,-1.01951182978806e+00°)
1.90546071796325e+00	(-1.39381939649129e-01dB,-1.06754907272980e+00°)
1.99526231496888e+00	(-1.39527379926223e-01dB,-1.11784863133436e+00°)
2.08929613085404e+00	(-1.39686846420778e-01dB,-1.17051688687353e+00°)
2.18776162394956e+00	(-1.39861691225463e-01dB,-1.22566519892847e+00°)
2.29086765276778e+00	(-1.40053396651202e-01dB,-1.28341013479195e+00°)
2.39883291901949e+00	(-1.40263587744753e-01dB,-1.34387370891010e+00°)
2.51188643150958e+00	(-1.40494046004040e-01dB,-1.40718363272229e+00°)
2.63026799189539e+00	(-1.40746724405221e-01dB,-1.47347357526198e+00°)
2.75422870333817e+00	(-1.41023763866691e-01dB,-1.54288343487596e+00°)
2.88403150312661e+00	(-1.41327511284636e-01dB,-1.61555962241064e+00°)
3.01995172040202e+00	(-1.41660539289774e-01dB,-1.69165535621304e+00°)
3.16227766016839e+00	(-1.42025667886664e-01dB,-1.77133096927454e+00°)
3.31131121482592e+00	(-1.42425988151615e-01dB,-1.85475422883973e+00°)
3.46736850452532e+00	(-1.42864888185438e-01dB,-1.94210066875789e+00°)
3.63078054770102e+00	(-1.43346081527326e-01dB,-2.03355393485058e+00°)
3.80189396320562e+00	(-1.43873638262328e-01dB,-2.12930614351698e+00°)
3.98107170553498e+00	(-1.44452019071968e-01dB,-2.22955825375189e+00°)
4.16869383470336e+00	(-1.45086112498329e-01dB,-2.33452045270640e+00°)
4.36515832240167e+00	(-1.45781275720799e-01dB,-2.44441255484039e+00°)
4.57088189614876e+00	(-1.46543379164656e-01dB,-2.55946441463974e+00°)
4.78630092322640e+00	(-1.47378855291924e-01dB,-2.67991635278374e+00°)
5.01187233627274e+00	(-1.48294751953210e-01dB,-2.80601959551244e+00°)
5.24807460249774e+00	(-1.49298790713330e-01dB,-2.93803672682307e+00°)
5.49540873857626e+00	(-1.50399430592398e-01dB,-3.07624215296367e+00°)
5.75439937337159e+00	(-1.51605937704921e-01dB,-3.22092257849875e+00°)
6.02559586074359e+00	(-1.52928461316337e-01dB,-3.37237749300157e+00°)
6.30957344480195e+00	(-1.54378116873610e-01dB,-3.53091966719025e+00°)
6.60693448007598e+00	(-1.55967076612449e-01dB,-3.69687565701376e+00°)
6.91830970918939e+00	(-1.57708668386348e-01dB,-3.87058631385822e+00°)
7.24435960074992e+00	(-1.59617483404728e-01dB,-4.05240729866542e+00°)
7.58577575029186e+00	(-1.61709493620107e-01dB,-4.24270959729051e+00°)
7.94328234724284e+00	(-1.64002179544416e-01dB,-4.44188003392278e+00°)
8.31763771102674e+00	(-1.66514669326950e-01dB,-4.65032177880280e+00°)
8.70963589956084e+00	(-1.69267889968590e-01dB,-4.86845484580032e+00°)
