Freq.	V(n028)
Step Information: Run=1  (Step: 1/100)
1.00000000000000e+00	(-1.38288233550165e-01dB,-5.59457575345685e-01°)
1.04712854805090e+00	(-1.38328180631846e-01dB,-5.85822202379786e-01°)
1.09647819614319e+00	(-1.38371981313442e-01dB,-6.13429089918580e-01°)
1.14815362149688e+00	(-1.38420007298098e-01dB,-6.42336744479838e-01°)
1.20226443461741e+00	(-1.38472666132731e-01dB,-6.72606424070290e-01°)
1.25892541179417e+00	(-1.38530404662790e-01dB,-7.04302266996824e-01°)
1.31825673855641e+00	(-1.38593712819988e-01dB,-7.37491426614859e-01°)
1.38038426460289e+00	(-1.38663127773197e-01dB,-7.72244212286720e-01°)
1.44543977074593e+00	(-1.38739238480711e-01dB,-8.08634236810483e-01°)
1.51356124843621e+00	(-1.38822690678829e-01dB,-8.46738570604027e-01°)
1.58489319246111e+00	(-1.38914192351639e-01dB,-8.86637902934288e-01°)
1.65958690743756e+00	(-1.39014519724727e-01dB,-9.28416710490732e-01°)
1.73780082874938e+00	(-1.39124523838141e-01dB,-9.72163433607648e-01°)
1.81970085860999e+00	(-1.39245137747497e-01dB,-1.01797066045750e+00°)
1.90546071796325e+00	(-1.39377384419243e-01dB,-1.06593531954122e+00°)
1.99526231496888e+00	(-1.39522385382976e-01dB,-1.11615888080383e+00°)
2.08929613085404e+00	(-1.39681370213886e-01dB,-1.16874756572282e+00°)
2.18776162394956e+00	(-1.39855686925277e-01dB,-1.22381256671535e+00°)
2.29086765276778e+00	(-1.40046813357150e-01dB,-1.28147027621359e+00°)
2.39883291901949e+00	(-1.40256369655186e-01dB,-1.34184252577297e+00°)
2.51188643150958e+00	(-1.40486131945476e-01dB,-1.40505683556234e+00°)
2.63026799189539e+00	(-1.40738047316728e-01dB,-1.47124667461133e+00°)
2.75422870333817e+00	(-1.41014250234230e-01dB,-1.54055173215133e+00°)
2.88403150312661e+00	(-1.41317080522641e-01dB,-1.61311820042319e+00°)
3.01995172040202e+00	(-1.41649103062478e-01dB,-1.68909906928408e+00°)
3.16227766016839e+00	(-1.42013129365260e-01dB,-1.76865443294971e+00°)
3.31131121482592e+00	(-1.42412241201567e-01dB,-1.85195180918330e+00°)
3.46736850452532e+00	(-1.42849816475343e-01dB,-1.93916647122815e+00°)
3.63078054770102e+00	(-1.43329557554205e-01dB,-2.03048179274364e+00°)
3.80189396320562e+00	(-1.43855522283591e-01dB,-2.12608960597054e+00°)
3.98107170553498e+00	(-1.44432157937341e-01dB,-2.22619057330935e+00°)
4.16869383470336e+00	(-1.45064338371791e-01dB,-2.33099457242901e+00°)
4.36515832240167e+00	(-1.45757404681576e-01dB,-2.44072109497722e+00°)
4.57088189614876e+00	(-1.46517209676267e-01dB,-2.55559965885495e+00°)
4.78630092322640e+00	(-1.47350166529696e-01dB,-2.67587023393933e+00°)
5.01187233627274e+00	(-1.48263301974194e-01dB,-2.80178368102629e+00°)
5.24807460249774e+00	(-1.49264314456733e-01dB,-2.93360220361268e+00°)
5.49540873857626e+00	(-1.50361637693314e-01dB,-3.07159981199677e+00°)
5.75439937337159e+00	(-1.51564510108283e-01dB,-3.21606279897360e+00°)
6.02559586074359e+00	(-1.52883050669887e-01dB,-3.36729022619905e+00°)
6.30957344480195e+00	(-1.54328341682357e-01dB,-3.52559442003931e+00°)
6.60693448007598e+00	(-1.55912519135277e-01dB,-3.69130147541715e+00°)
6.91830970918939e+00	(-1.57648871250668e-01dB,-3.86475176585467e+00°)
7.24435960074992e+00	(-1.59551945917484e-01dB,-4.04630045750089e+00°)
7.58577575029186e+00	(-1.61637667749529e-01dB,-4.23631802449676e+00°)
7.94328234724284e+00	(-1.63923465545920e-01dB,-4.43519076251613e+00°)
8.31763771102674e+00	(-1.66428410985911e-01dB,-4.64332129673623e+00°)
8.70963589956084e+00	(-1.69173369429213e-01dB,-4.86112907982780e+00°)
9.12010839355913e+00	(-1.72181163744103e-01dB,-5.08905087479128e+00°)
9.54992586021439e+00	(-1.75476752120904e-01dB,-5.32754121661565e+00°)
1.00000000000000e+01	(-1.79087420866505e-01dB,-5.57707284576400e+00°)
1.04712854805090e+01	(-1.83042993205151e-01dB,-5.83813710539528e+00°)
1.09647819614319e+01	(-1.87376055127654e-01dB,-6.11124429301815e+00°)
1.14815362149689e+01	(-1.92122199342570e-01dB,-6.39692395588907e+00°)
1.20226443461742e+01	(-1.97320288368496e-01dB,-6.69572511796025e+00°)
1.25892541179417e+01	(-2.03012737780403e-01dB,-7.00821642448744e+00°)
1.31825673855641e+01	(-2.09245820572408e-01dB,-7.33498618854359e+00°)
1.38038426460289e+01	(-2.16069993503166e-01dB,-7.67664232166471e+00°)
1.44543977074593e+01	(-2.23540246179681e-01dB,-8.03381212861832e+00°)
1.51356124843621e+01	(-2.31716473458227e-01dB,-8.40714194390356e+00°)
1.58489319246112e+01	(-2.40663871520755e-01dB,-8.79729658503192e+00°)
1.65958690743757e+01	(-2.50453357697808e-01dB,-9.20495859492382e+00°)
1.73780082874938e+01	(-2.61162013747771e-01dB,-9.63082724292941e+00°)
1.81970085860999e+01	(-2.72873551849205e-01dB,-1.00756172510788e+01°)
1.90546071796326e+01	(-2.85678802017093e-01dB,-1.05400572092372e+01°)
1.99526231496889e+01	(-2.99676218987033e-01dB,-1.10248876399853e+01°)
2.08929613085405e+01	(-3.14972405821183e-01dB,-1.15308586713441e+01°)
2.18776162394956e+01	(-3.31682650556974e-01dB,-1.20587272730776e+01°)
2.29086765276778e+01	(-3.49931471134700e-01dB,-1.26092540103693e+01°)
2.39883291901950e+01	(-3.69853162587917e-01dB,-1.31831992674219e+01°)
2.51188643150959e+01	(-3.91592339061847e-01dB,-1.37813188931793e+01°)
2.63026799189540e+01	(-4.15304461631371e-01dB,-1.44043592222304e+01°)
2.75422870333818e+01	(-4.41156341129305e-01dB,-1.50530514263471e+01°)
2.88403150312662e+01	(-4.69326603284419e-01dB,-1.57281051563954e+01°)
