Freq.	V(n028)
Step Information: Run=1  (Step: 1/100)
1.00000000000000e+00	(-1.38288957013118e-01dB,-5.59946090919112e-01°)
1.04712854805090e+00	(-1.38328973885852e-01dB,-5.86333736273852e-01°)
1.09647819614319e+00	(-1.38372851090344e-01dB,-6.13964726255382e-01°)
1.14815362149688e+00	(-1.38420960978981e-01dB,-6.42897618371222e-01°)
1.20226443461741e+00	(-1.38473711810325e-01dB,-6.73193724006579e-01°)
1.25892541179417e+00	(-1.38531551210283e-01dB,-7.04917237343602e-01°)
1.31825673855641e+00	(-1.38594969965915e-01dB,-7.38135370226147e-01°)
1.38038426460289e+00	(-1.38664506184211e-01dB,-7.72918493238613e-01°)
1.44543977074593e+00	(-1.38740749851811e-01dB,-8.09340283260269e-01°)
1.51356124843621e+00	(-1.38824347832519e-01dB,-8.47477877779286e-01°)
1.58489319246111e+00	(-1.38916009346114e-01dB,-8.87412036258324e-01°)
1.65958690743756e+00	(-1.39016511973578e-01dB,-9.29227308852233e-01°)
1.73780082874938e+00	(-1.39126708240120e-01dB,-9.73012212774697e-01°)
1.81970085860999e+00	(-1.39247532830052e-01dB,-1.01885941664959e+00°)
1.90546071796325e+00	(-1.39380010494981e-01dB,-1.06686593315956e+00°)
1.99526231496888e+00	(-1.39525264721548e-01dB,-1.11713332032753e+00°)
2.08929613085404e+00	(-1.39684527230161e-01dB,-1.16976789178191e+00°)
2.18776162394956e+00	(-1.39859148385879e-01dB,-1.22488093634001e+00°)
2.29086765276778e+00	(-1.40050608605989e-01dB,-1.28258894727253e+00°)
2.39883291901949e+00	(-1.40260530861685e-01dB,-1.34301386160462e+00°)
2.51188643150958e+00	(-1.40490694376257e-01dB,-1.40628330980669e+00°)
2.63026799189539e+00	(-1.40743049632086e-01dB,-1.47253087624839e+00°)
2.75422870333817e+00	(-1.41019734814922e-01dB,-1.54189637075306e+00°)
2.88403150312661e+00	(-1.41323093825995e-01dB,-1.61452611162866e+00°)
3.01995172040202e+00	(-1.41655696013947e-01dB,-1.69057322049810e+00°)
3.16227766016839e+00	(-1.42020357786282e-01dB,-1.77019792927640e+00°)
3.31131121482592e+00	(-1.42420166278802e-01dB,-1.85356789959742e+00°)
3.46736850452532e+00	(-1.42858505273534e-01dB,-1.94085855499416e+00°)
