Freq.	V(n028)/V(n012)
1.00000000000000e+01	(-2.79598735499523e-03dB,-1.13723633143231e-01°)
1.00577306300174e+01	(-2.79618359487588e-03dB,-1.14380165120099e-01°)
1.01157945425990e+01	(-2.79638210753100e-03dB,-1.15040487266876e-01°)
1.01741936618061e+01	(-2.79658291807799e-03dB,-1.15704621465293e-01°)
1.02329299228075e+01	(-2.79678605481369e-03dB,-1.16372589720480e-01°)
1.02920052719443e+01	(-2.79699154333881e-03dB,-1.17044414167085e-01°)
1.03514216667934e+01	(-2.79719941108395e-03dB,-1.17720117066683e-01°)
1.04111810762334e+01	(-2.79740968592636e-03dB,-1.18399720808894e-01°)
1.04712854805090e+01	(-2.79762239574619e-03dB,-1.19083247912881e-01°)
1.05317368712972e+01	(-2.79783756854031e-03dB,-1.19770721028287e-01°)
1.05925372517729e+01	(-2.79805523268084e-03dB,-1.20462162934827e-01°)
1.06536886366756e+01	(-2.79827541754409e-03dB,-1.21157596543882e-01°)
1.07151930523761e+01	(-2.79849815188034e-03dB,-1.21857044899368e-01°)
1.07770525369432e+01	(-2.79872346575369e-03dB,-1.22560531177578e-01°)
1.08392691402120e+01	(-2.79895138855495e-03dB,-1.23268078689770e-01°)
1.09018449238513e+01	(-2.79918194973762e-03dB,-1.23979710881446e-01°)
1.09647819614319e+01	(-2.79941518116198e-03dB,-1.24695451331903e-01°)
1.10280823384955e+01	(-2.79965111372658e-03dB,-1.25415323757732e-01°)
1.10917481526240e+01	(-2.79988977789974e-03dB,-1.26139352013311e-01°)
1.11557815135085e+01	(-2.80013120584563e-03dB,-1.26867560089193e-01°)
1.12201845430196e+01	(-2.80037542905028e-03dB,-1.27599972115412e-01°)
1.12849593752776e+01	(-2.80062248057497e-03dB,-1.28336612360588e-01°)
1.13501081567232e+01	(-2.80087239241990e-03dB,-1.29077505234169e-01°)
1.14156330461885e+01	(-2.80112519802933e-03dB,-1.29822675286004e-01°)
1.14815362149688e+01	(-2.80138093135300e-03dB,-1.30572147207380e-01°)
1.15478198468946e+01	(-2.80163962581493e-03dB,-1.31325945832709e-01°)
1.16144861384034e+01	(-2.80190131620026e-03dB,-1.32084096139080e-01°)
1.16815372986133e+01	(-2.80216603585488e-03dB,-1.32846623249854e-01°)
1.17489755493953e+01	(-2.80243382138904e-03dB,-1.33613552430051e-01°)
1.18168031254479e+01	(-2.80270470733419e-03dB,-1.34384909093180e-01°)
1.18850222743702e+01	(-2.80297873091121e-03dB,-1.35160718797531e-01°)
1.19536352567372e+01	(-2.80325592626281e-03dB,-1.35941007251729e-01°)
1.20226443461742e+01	(-2.80353633222663e-03dB,-1.36725800309248e-01°)
1.20920518294321e+01	(-2.80381998477820e-03dB,-1.37515123975538e-01°)
1.21618600064637e+01	(-2.80410692210212e-03dB,-1.38309004404787e-01°)
1.22320711904993e+01	(-2.80439718193056e-03dB,-1.39107467902801e-01°)
1.23026877081238e+01	(-2.80469080217223e-03dB,-1.39910540927351e-01°)
1.23737118993535e+01	(-2.80498782270661e-03dB,-1.40718250087942e-01°)
1.24451461177139e+01	(-2.80528828321543e-03dB,-1.41530622147986e-01°)
1.25169927303173e+01	(-2.80559222207819e-03dB,-1.42347684026916e-01°)
1.25892541179417e+01	(-2.80589968066475e-03dB,-1.43169462797425e-01°)
1.26619326751095e+01	(-2.80621069959259e-03dB,-1.43995985689664e-01°)
1.27350308101666e+01	(-2.80652531978207e-03dB,-1.44827280090824e-01°)
1.28085509453628e+01	(-2.80684358291951e-03dB,-1.45663373546305e-01°)
1.28824955169314e+01	(-2.80716553151598e-03dB,-1.46504293759765e-01°)
1.29568669751702e+01	(-2.80749120794657e-03dB,-1.47350068595655e-01°)
1.30316677845230e+01	(-2.80782065560214e-03dB,-1.48200726078746e-01°)
1.31069004236608e+01	(-2.80815391796423e-03dB,-1.49056294395921e-01°)
1.31825673855641e+01	(-2.80849103976263e-03dB,-1.49916801896112e-01°)
1.32586711776056e+01	(-2.80883206477314e-03dB,-1.50782277093118e-01°)
1.33352143216333e+01	(-2.80917703834778e-03dB,-1.51652748664484e-01°)
1.34121993540537e+01	(-2.80952600702217e-03dB,-1.52528245452766e-01°)
1.34896288259166e+01	(-2.80987901631622e-03dB,-1.53408796468201e-01°)
1.35675053029987e+01	(-2.81023611354308e-03dB,-1.54294430887407e-01°)
1.36458313658893e+01	(-2.81059734508989e-03dB,-1.55185178056808e-01°)
1.37246096100757e+01	(-2.81096276015474e-03dB,-1.56081067490351e-01°)
1.38038426460289e+01	(-2.81133240586467e-03dB,-1.56982128874293e-01°)
1.38835330992905e+01	(-2.81170633220013e-03dB,-1.57888392064520e-01°)
1.39636836105594e+01	(-2.81208458859849e-03dB,-1.58799887089996e-01°)
1.40442968357795e+01	(-2.81246722470646e-03dB,-1.59716644153788e-01°)
1.41253754462276e+01	(-2.81285429155119e-03dB,-1.60638693632070e-01°)
1.42069221286019e+01	(-2.81324584032477e-03dB,-1.61566066076992e-01°)
1.42889395851111e+01	(-2.81364192284729e-03dB,-1.62498792217102e-01°)
1.43714305335640e+01	(-2.81404259197393e-03dB,-1.63436902957683e-01°)
1.44543977074593e+01	(-2.81444790041228e-03dB,-1.64380429383391e-01°)
1.45378438560767e+01	(-2.81485790215004e-03dB,-1.65329402757419e-01°)
1.46217717445672e+01	(-2.81527265182413e-03dB,-1.66283854523651e-01°)
1.47061841540457e+01	(-2.81569220348400e-03dB,-1.67243816308361e-01°)
1.47910838816821e+01	(-2.81611661354059e-03dB,-1.68209319918911e-01°)
1.48764737407951e+01	(-2.81654593763120e-03dB,-1.69180397347419e-01°)
1.49623565609444e+01	(-2.81698023358287e-03dB,-1.70157080769726e-01°)
1.50487351880252e+01	(-2.81741955796961e-03dB,-1.71139402548443e-01°)
1.51356124843621e+01	(-2.81786396964490e-03dB,-1.72127395232005e-01°)
1.52229913288043e+01	(-2.81831352711978e-03dB,-1.73121091557559e-01°)
1.53108746168204e+01	(-2.81876829022881e-03dB,-1.74120524450518e-01°)
1.53992652605950e+01	(-2.81922831960142e-03dB,-1.75125727026372e-01°)
1.54881661891249e+01	(-2.81969367530951e-03dB,-1.76136732592724e-01°)
1.55775803483161e+01	(-2.82016441971120e-03dB,-1.77153574648245e-01°)
1.56675107010816e+01	(-2.82064061542316e-03dB,-1.78176286885377e-01°)
1.57579602274393e+01	(-2.82112232472252e-03dB,-1.79204903191411e-01°)
1.58489319246112e+01	(-2.82160961178294e-03dB,-1.80239457649014e-01°)
1.59404288071222e+01	(-2.82210254158933e-03dB,-1.81279984537002e-01°)
1.60324539069005e+01	(-2.82260117896172e-03dB,-1.82326518333156e-01°)
1.61250102733775e+01	(-2.82310559025776e-03dB,-1.83379093713098e-01°)
1.62181009735894e+01	(-2.82361584260012e-03dB,-1.84437745553297e-01°)
1.63117290922785e+01	(-2.82413200296774e-03dB,-1.85502508931759e-01°)
1.64058977319955e+01	(-2.82465414017339e-03dB,-1.86573419128260e-01°)
1.65006100132024e+01	(-2.82518232350833e-03dB,-1.87650511626520e-01°)
1.65958690743757e+01	(-2.82571662300467e-03dB,-1.88733822115018e-01°)
1.66916780721107e+01	(-2.82625710925793e-03dB,-1.89823386488501e-01°)
1.67880401812257e+01	(-2.82680385341927e-03dB,-1.90919240849016e-01°)
1.68849585948676e+01	(-2.82735692927242e-03dB,-1.92021421505764e-01°)
1.69824365246175e+01	(-2.82791640898630e-03dB,-1.93129964979233e-01°)
1.70804772005972e+01	(-2.82848236724084e-03dB,-1.94244907999494e-01°)
1.71790838715760e+01	(-2.82905487900635e-03dB,-1.95366287509031e-01°)
1.72782598050787e+01	(-2.82963401947217e-03dB,-1.96494140664009e-01°)
1.73780082874938e+01	(-2.83021986660003e-03dB,-1.97628504833790e-01°)
1.74783326241823e+01	(-2.83081249736489e-03dB,-1.98769417604756e-01°)
1.75792361395870e+01	(-2.83141199052438e-03dB,-1.99916916779497e-01°)
1.76807221773433e+01	(-2.83201842503009e-03dB,-2.01071040379258e-01°)
1.77827941003893e+01	(-2.83263188170985e-03dB,-2.02231826644299e-01°)
1.78854552910778e+01	(-2.83325244169542e-03dB,-2.03399314035854e-01°)
1.79887091512880e+01	(-2.83388018740348e-03dB,-2.04573541236937e-01°)
1.80925591025383e+01	(-2.83451520206588e-03dB,-2.05754547153815e-01°)
1.81970085860999e+01	(-2.83515757006726e-03dB,-2.06942370917601e-01°)
1.83020610631107e+01	(-2.83580737588492e-03dB,-2.08137051885237e-01°)
1.84077200146897e+01	(-2.83646470604414e-03dB,-2.09338629640617e-01°)
1.85139889420528e+01	(-2.83712964760656e-03dB,-2.10547143996163e-01°)
1.86208713666288e+01	(-2.83780228847313e-03dB,-2.11762634994279e-01°)
1.87283708301756e+01	(-2.83848271821078e-03dB,-2.12985142908051e-01°)
1.88364908948981e+01	(-2.83917102689969e-03dB,-2.14214708243204e-01°)
1.89452351435660e+01	(-2.83986730598310e-03dB,-2.15451371739333e-01°)
1.90546071796326e+01	(-2.84057164714839e-03dB,-2.16695174371419e-01°)
1.91646106273540e+01	(-2.84128414442319e-03dB,-2.17946157350255e-01°)
1.92752491319095e+01	(-2.84200489143680e-03dB,-2.19204362125536e-01°)
1.93865263595222e+01	(-2.84273398445784e-03dB,-2.20469830384736e-01°)
1.94984459975806e+01	(-2.84347151986976e-03dB,-2.21742604057171e-01°)
1.96110117547606e+01	(-2.84421759513746e-03dB,-2.23022725313729e-01°)
1.97242273611487e+01	(-2.84497231013748e-03dB,-2.24310236568231e-01°)
1.98380965683652e+01	(-2.84573576333710e-03dB,-2.25605180480431e-01°)
1.99526231496889e+01	(-2.84650805719147e-03dB,-2.26907599955032e-01°)
2.00678109001820e+01	(-2.84728929360213e-03dB,-2.28217538145137e-01°)
2.01836636368157e+01	(-2.84807957639513e-03dB,-2.29535038452513e-01°)
2.03001851985970e+01	(-2.84887900938017e-03dB,-2.30860144530146e-01°)
2.04173794466954e+01	(-2.84968770009444e-03dB,-2.32192900281419e-01°)
2.05352502645716e+01	(-2.85050575432820e-03dB,-2.33533349864971e-01°)
2.06538015581054e+01	(-2.85133328120850e-03dB,-2.34881537692995e-01°)
2.07730372557258e+01	(-2.85217038990489e-03dB,-2.36237508434643e-01°)
2.08929613085405e+01	(-2.85301719185295e-03dB,-2.37601307016445e-01°)
