Freq.	V(n028)
1.00000000000000e+01	(-2.79598825045897e-03dB,-1.13723632187822e-01°)
1.00577306300174e+01	(-2.79618450049053e-03dB,-1.14380164159200e-01°)
1.01157945425990e+01	(-2.79638302359945e-03dB,-1.15040486300528e-01°)
1.01741936618061e+01	(-2.79658384512018e-03dB,-1.15704620493076e-01°)
1.02329299228075e+01	(-2.79678699211098e-03dB,-1.16372588742853e-01°)
1.02920052719443e+01	(-2.79699249119697e-03dB,-1.17044413184278e-01°)
1.03514216667934e+01	(-2.79720037035766e-03dB,-1.17720116077780e-01°)
1.04111810762334e+01	(-2.79741065627897e-03dB,-1.18399719814209e-01°)
1.04712854805090e+01	(-2.79762337737351e-03dB,-1.19083246912327e-01°)
1.05317368712972e+01	(-2.79783856149637e-03dB,-1.19770720021863e-01°)
1.05925372517729e+01	(-2.79805623718653e-03dB,-1.20462161922626e-01°)
1.06536886366756e+01	(-2.79827643410393e-03dB,-1.21157595525404e-01°)
1.07151930523761e+01	(-2.79849917975059e-03dB,-1.21857043875357e-01°)
1.07770525369432e+01	(-2.79872450543307e-03dB,-1.22560530147864e-01°)
1.08392691402120e+01	(-2.79895244036564e-03dB,-1.23268077653878e-01°)
1.09018449238513e+01	(-2.79918301413494e-03dB,-1.23979709839133e-01°)
1.09647819614319e+01	(-2.79941625782856e-03dB,-1.24695450283559e-01°)
1.10280823384955e+01	(-2.79965220244249e-03dB,-1.25415322703733e-01°)
1.10917481526240e+01	(-2.79989087928717e-03dB,-1.26139350953059e-01°)
1.11557815135085e+01	(-2.80013231950330e-03dB,-1.26867559023187e-01°)
1.12201845430196e+01	(-2.80037655606918e-03dB,-1.27599971042817e-01°)
1.12849593752776e+01	(-2.80062362052199e-03dB,-1.28336611281823e-01°)
1.13501081567232e+01	(-2.80087354574841e-03dB,-1.29077504148976e-01°)
1.14156330461885e+01	(-2.80112636512905e-03dB,-1.29822674194120e-01°)
1.14815362149688e+01	(-2.80138211148985e-03dB,-1.30572146109488e-01°)
1.15478198468946e+01	(-2.80164081967670e-03dB,-1.31325944728438e-01°)
1.16144861384034e+01	(-2.80190252340205e-03dB,-1.32084095028909e-01°)
1.16815372986133e+01	(-2.80216725755523e-03dB,-1.32846622132586e-01°)
1.17489755493953e+01	(-2.80243505674003e-03dB,-1.33613551306891e-01°)
1.18168031254479e+01	(-2.80270595733904e-03dB,-1.34384907963109e-01°)
1.18850222743702e+01	(-2.80297999538471e-03dB,-1.35160717660795e-01°)
1.19536352567372e+01	(-2.80325720600466e-03dB,-1.35941006107861e-01°)
1.20226443461742e+01	(-2.80353762624324e-03dB,-1.36725799159225e-01°)
1.20920518294321e+01	(-2.80382129373518e-03dB,-1.37515122818809e-01°)
1.21618600064637e+01	(-2.80410824578339e-03dB,-1.38309003241578e-01°)
1.22320711904993e+01	(-2.80439852135381e-03dB,-1.39107466732455e-01°)
1.23026877081238e+01	(-2.80469215716673e-03dB,-1.39910539750112e-01°)
