Freq.	V(n028)/V(n012)
1.00000000000000e+01	(-2.79598019338623e-03dB,-1.13723640782459e-01°)
1.00577306300174e+01	(-2.79617635015545e-03dB,-1.14380172803776e-01°)
1.01157945425990e+01	(-2.79637477885410e-03dB,-1.15040494995355e-01°)
1.01741936618061e+01	(-2.79657550492178e-03dB,-1.15704629238427e-01°)
1.02329299228075e+01	(-2.79677855529520e-03dB,-1.16372597539095e-01°)
1.02920052719443e+01	(-2.79698395672779e-03dB,-1.17044422031604e-01°)
1.03514216667934e+01	(-2.79719173706497e-03dB,-1.17720124976547e-01°)
1.04111810762334e+01	(-2.79740192301676e-03dB,-1.18399728764715e-01°)
1.04712854805090e+01	(-2.79761454298904e-03dB,-1.19083255914885e-01°)
1.05317368712972e+01	(-2.79782962482530e-03dB,-1.19770729076741e-01°)
1.05925372517729e+01	(-2.79804719698160e-03dB,-1.20462171030202e-01°)
1.06536886366756e+01	(-2.79826728924324e-03dB,-1.21157604685944e-01°)
1.07151930523761e+01	(-2.79848992901387e-03dB,-1.21857053089162e-01°)
1.07770525369432e+01	(-2.79871514763477e-03dB,-1.22560539415196e-01°)
1.08392691402120e+01	(-2.79894297414369e-03dB,-1.23268086975173e-01°)
1.09018449238513e+01	(-2.79917343830667e-03dB,-1.23979719214631e-01°)
1.09647819614319e+01	(-2.79940657113898e-03dB,-1.24695459713601e-01°)
1.10280823384955e+01	(-2.79964240356713e-03dB,-1.25415332188698e-01°)
1.10917481526240e+01	(-2.79988096694982e-03dB,-1.26139360493186e-01°)
1.11557815135085e+01	(-2.80012229241132e-03dB,-1.26867568618821e-01°)
1.12201845430196e+01	(-2.80036641285278e-03dB,-1.27599980694335e-01°)
1.12849593752776e+01	(-2.80061335985960e-03dB,-1.28336620989496e-01°)
1.13501081567232e+01	(-2.80086316626542e-03dB,-1.29077513913175e-01°)
1.14156330461885e+01	(-2.80111586542865e-03dB,-1.29822684015216e-01°)
1.14815362149688e+01	(-2.80137149025723e-03dB,-1.30572155987705e-01°)
1.15478198468946e+01	(-2.80163007541568e-03dB,-1.31325954664202e-01°)
