Frequency(Hz)	Magnitude(dB)
1.000000e+01	-1.696035e-05
1.005776e+01	-1.715684e-05
1.011585e+01	-1.735560e-05
1.017428e+01	-1.755667e-05
1.023305e+01	-1.776007e-05
1.029215e+01	-1.796583e-05
1.035160e+01	-1.817397e-05
1.041139e+01	-1.838452e-05
1.047153e+01	-1.859751e-05
1.053201e+01	-1.881296e-05
1.059284e+01	-1.903092e-05
1.065403e+01	-1.925139e-05
1.071556e+01	-1.947443e-05
1.077746e+01	-1.970004e-05
1.083971e+01	-1.992827e-05
1.090232e+01	-2.015915e-05
1.096529e+01	-2.039269e-05
1.102862e+01	-2.062895e-05
1.109232e+01	-2.086794e-05
1.115639e+01	-2.110970e-05
1.122083e+01	-2.135426e-05
1.128564e+01	-2.160166e-05
1.135083e+01	-2.185192e-05
1.141639e+01	-2.210508e-05
1.148233e+01	-2.236117e-05
1.154865e+01	-2.262023e-05
1.161536e+01	-2.288229e-05
1.168245e+01	-2.314739e-05
1.174992e+01	-2.341556e-05
1.181779e+01	-2.368683e-05
1.188605e+01	-2.396125e-05
1.195470e+01	-2.423885e-05
1.202375e+01	-2.451966e-05
1.209320e+01	-2.480373e-05
1.216305e+01	-2.509108e-05
1.223330e+01	-2.538177e-05
1.230396e+01	-2.567582e-05
1.237503e+01	-2.597328e-05
1.244651e+01	-2.627419e-05
1.251840e+01	-2.657858e-05
1.259070e+01	-2.688650e-05
1.266343e+01	-2.719799e-05
1.273657e+01	-2.751308e-05
1.281014e+01	-2.783183e-05
1.288413e+01	-2.815427e-05
1.295855e+01	-2.848044e-05
1.303339e+01	-2.881040e-05
1.310867e+01	-2.914417e-05
1.318439e+01	-2.948181e-05
1.326054e+01	-2.982337e-05
1.333713e+01	-3.016888e-05
1.341417e+01	-3.051839e-05
1.349165e+01	-3.087195e-05
1.356958e+01	-3.122961e-05
1.364795e+01	-3.159142e-05
1.372678e+01	-3.195741e-05
1.380607e+01	-3.232764e-05
1.388581e+01	-3.270217e-05
1.396602e+01	-3.308103e-05
1.404668e+01	-3.346428e-05
1.412782e+01	-3.385197e-05
1.420942e+01	-3.424416e-05
1.429149e+01	-3.464088e-05
1.437404e+01	-3.504221e-05
1.445706e+01	-3.544818e-05
1.454057e+01	-3.585885e-05
1.462455e+01	-3.627429e-05
1.470902e+01	-3.669453e-05
1.479398e+01	-3.711965e-05
1.487943e+01	-3.754969e-05
1.496537e+01	-3.798471e-05
1.505181e+01	-3.842477e-05
1.513875e+01	-3.886993e-05
1.522619e+01	-3.932025e-05
1.531414e+01	-3.977578e-05
1.540259e+01	-4.023659e-05
1.549156e+01	-4.070274e-05
1.558103e+01	-4.117429e-05
1.567103e+01	-4.165131e-05
1.576155e+01	-4.213385e-05
1.585258e+01	-4.262198e-05
1.594415e+01	-4.311576e-05
1.603624e+01	-4.361527e-05
1.612886e+01	-4.412056e-05
1.622202e+01	-4.463171e-05
1.631572e+01	-4.514877e-05
1.640996e+01	-4.567183e-05
1.650474e+01	-4.620095e-05
1.660008e+01	-4.673620e-05
1.669596e+01	-4.727765e-05
1.679239e+01	-4.782537e-05
1.688938e+01	-4.837944e-05
1.698694e+01	-4.893992e-05
1.708505e+01	-4.950690e-05
1.718373e+01	-5.008045e-05
1.728299e+01	-5.066064e-05
1.738281e+01	-5.124756e-05
1.748322e+01	-5.184127e-05
1.758420e+01	-5.244186e-05
1.768576e+01	-5.304941e-05
1.778792e+01	-5.366400e-05
1.789066e+01	-5.428571e-05
1.799399e+01	-5.491462e-05
1.809793e+01	-5.555082e-05
1.820246e+01	-5.619438e-05
1.830760e+01	-5.684541e-05
1.841334e+01	-5.750397e-05
1.851969e+01	-5.817017e-05
1.862666e+01	-5.884408e-05
1.873425e+01	-5.952580e-05
1.884246e+01	-6.021542e-05
1.895129e+01	-6.091303e-05
1.906075e+01	-6.161872e-05
1.917085e+01	-6.233258e-05
1.928158e+01	-6.305472e-05
1.939295e+01	-6.378522e-05
1.950496e+01	-6.452418e-05
1.961762e+01	-6.527171e-05
1.973093e+01	-6.602789e-05
1.984490e+01	-6.679284e-05
1.995952e+01	-6.756665e-05
2.007480e+01	-6.834942e-05
2.019076e+01	-6.914126e-05
2.030738e+01	-6.994228e-05
2.042467e+01	-7.075257e-05
2.054264e+01	-7.157225e-05
2.066130e+01	-7.240143e-05
2.078064e+01	-7.324021e-05
2.090066e+01	-7.408871e-05
2.102139e+01	-7.494704e-05
2.114280e+01	-7.581532e-05
2.126492e+01	-7.669365e-05
2.138775e+01	-7.758216e-05
2.151128e+01	-7.848097e-05
2.163553e+01	-7.939018e-05
2.176050e+01	-8.030993e-05
2.188619e+01	-8.124033e-05
2.201260e+01	-8.218152e-05
2.213974e+01	-8.313360e-05
2.226762e+01	-8.409672e-05
2.239624e+01	-8.507100e-05
2.252560e+01	-8.605656e-05
2.265571e+01	-8.705354e-05
2.278656e+01	-8.806207e-05
2.291818e+01	-8.908228e-05
2.305055e+01	-9.011431e-05
2.318369e+01	-9.115830e-05
2.331760e+01	-9.221438e-05
2.345228e+01	-9.328270e-05
2.358774e+01	-9.436340e-05
2.372398e+01	-9.545661e-05
2.386101e+01	-9.656249e-05
2.399883e+01	-9.768118e-05
2.413745e+01	-9.881283e-05
2.427686e+01	-9.995759e-05
2.441709e+01	-1.011156e-04
2.455812e+01	-1.022871e-04
2.469997e+01	-1.034721e-04
2.484263e+01	-1.046708e-04
2.498612e+01	-1.058834e-04
2.513044e+01	-1.071101e-04
2.527559e+01	-1.083510e-04
2.542158e+01	-1.096062e-04
2.556842e+01	-1.108761e-04
2.571610e+01	-1.121606e-04
2.586463e+01	-1.134600e-04
2.601403e+01	-1.147744e-04
