Frequency(Hz)	Magnitude(dB)
1.000000e+01	8.590760e-04
1.005776e+01	-1.014942e-02
1.011585e+01	6.041959e-03
1.017428e+01	1.058425e-02
1.023305e+01	1.097112e-02
1.029215e+01	1.085763e-02
1.035160e+01	1.874846e-02
1.041139e+01	1.525663e-02
1.047153e+01	-7.230320e-03
1.053201e+01	-1.162003e-02
1.059284e+01	-1.830120e-02
1.065403e+01	1.012673e-02
1.071556e+01	4.440182e-03
1.077746e+01	1.351914e-03
1.083971e+01	4.055614e-03
1.090232e+01	3.867052e-03
1.096529e+01	7.151540e-03
1.102862e+01	-8.392253e-03
1.109232e+01	1.420274e-03
1.115639e+01	-5.603325e-03
1.122083e+01	3.126312e-02
1.128564e+01	2.088304e-02
1.135083e+01	-1.123027e-02
1.141639e+01	1.089468e-02
1.148233e+01	-1.597694e-02
1.154865e+01	-3.986518e-03
1.161536e+01	1.057910e-02
1.168245e+01	1.252862e-02
1.174992e+01	9.515052e-03
1.181779e+01	-5.826521e-03
1.188605e+01	4.153576e-03
1.195470e+01	4.080065e-03
1.202375e+01	7.408109e-03
1.209320e+01	3.887152e-03
1.216305e+01	2.340598e-02
1.223330e+01	1.962486e-02
1.230396e+01	-6.217138e-03
1.237503e+01	-5.307949e-03
1.244651e+01	1.357034e-02
1.251840e+01	-1.685663e-02
1.259070e+01	8.652829e-03
1.266343e+01	3.481091e-03
1.273657e+01	-2.643486e-02
1.281014e+01	-9.459216e-03
1.288413e+01	2.865377e-02
1.295855e+01	-3.912216e-04
1.303339e+01	-1.159744e-02
1.310867e+01	-2.224673e-02
1.318439e+01	-5.570482e-03
1.326054e+01	3.824349e-03
1.333713e+01	9.941195e-03
1.341417e+01	2.408758e-02
1.349165e+01	7.622679e-03
1.356958e+01	1.117689e-02
1.364795e+01	5.543014e-03
1.372678e+01	-1.314948e-02
1.380607e+01	1.996750e-03
1.388581e+01	1.624509e-02
1.396602e+01	1.119796e-02
1.404668e+01	-1.002731e-02
1.412782e+01	-1.679398e-03
1.420942e+01	-2.041246e-03
1.429149e+01	-1.083459e-02
1.437404e+01	-3.551311e-03
1.445706e+01	1.215548e-02
1.454057e+01	6.618118e-03
1.462455e+01	-6.969965e-03
1.470902e+01	-7.809103e-03
1.479398e+01	5.761270e-03
1.487943e+01	2.275090e-03
1.496537e+01	1.535667e-02
1.505181e+01	3.417650e-03
1.513875e+01	-7.795980e-03
1.522619e+01	6.996491e-03
1.531414e+01	9.265662e-03
1.540259e+01	-5.962641e-03
1.549156e+01	3.880945e-03
1.558103e+01	3.695660e-03
1.567103e+01	-1.958818e-03
1.576155e+01	1.806807e-02
1.585258e+01	8.004585e-04
1.594415e+01	5.885220e-03
1.603624e+01	3.638272e-04
1.612886e+01	-5.947509e-03
1.622202e+01	2.551883e-05
1.631572e+01	1.908873e-02
1.640996e+01	-5.470509e-03
1.650474e+01	2.383683e-03
1.660008e+01	2.983353e-03
1.669596e+01	6.453952e-03
1.679239e+01	-9.519402e-03
1.688938e+01	1.266696e-02
1.698694e+01	-1.229693e-02
1.708505e+01	1.125292e-03
1.718373e+01	-6.180260e-03
1.728299e+01	1.676640e-02
1.738281e+01	-1.281400e-02
1.748322e+01	-1.141414e-02
1.758420e+01	-2.064130e-02
1.768576e+01	1.281716e-02
1.778792e+01	-3.560014e-04
1.789066e+01	-1.918406e-03
1.799399e+01	-1.191133e-02
1.809793e+01	1.010107e-02
1.820246e+01	9.894109e-03
1.830760e+01	-3.929920e-03
1.841334e+01	-9.976532e-03
1.851969e+01	-6.882985e-03
1.862666e+01	2.713639e-03
1.873425e+01	5.339256e-03
1.884246e+01	6.168734e-03
1.895129e+01	7.776934e-04
1.906075e+01	8.800625e-03
1.917085e+01	8.041292e-03
1.928158e+01	-1.060514e-02
1.939295e+01	-8.760876e-03
1.950496e+01	1.262716e-02
1.961762e+01	-7.308152e-03
1.973093e+01	-2.060473e-03
1.984490e+01	1.279014e-02
1.995952e+01	-3.522749e-03
2.007480e+01	8.009145e-03
2.019076e+01	-2.349713e-02
2.030738e+01	3.351656e-03
2.042467e+01	2.281882e-02
2.054264e+01	-1.410787e-02
2.066130e+01	1.244890e-02
2.078064e+01	-1.202436e-02
2.090066e+01	2.843562e-03
2.102139e+01	-5.465743e-03
2.114280e+01	1.319204e-02
2.126492e+01	-9.658446e-03
2.138775e+01	-3.643825e-03
2.151128e+01	-6.643866e-03
2.163553e+01	1.980574e-02
2.176050e+01	1.551770e-02
2.188619e+01	2.827045e-03
2.201260e+01	-7.255013e-03
2.213974e+01	1.202788e-03
2.226762e+01	4.667175e-03
2.239624e+01	-2.168768e-03
2.252560e+01	-2.106253e-02
2.265571e+01	6.392220e-03
2.278656e+01	-1.570455e-03
2.291818e+01	-4.495680e-04
2.305055e+01	-5.905885e-03
2.318369e+01	4.641565e-03
2.331760e+01	2.692704e-03
2.345228e+01	-1.006658e-02
2.358774e+01	-1.376055e-03
2.372398e+01	-1.483561e-02
2.386101e+01	9.644108e-03
2.399883e+01	-9.944819e-03
2.413745e+01	1.021591e-02
2.427686e+01	-2.483834e-02
2.441709e+01	-5.564972e-03
2.455812e+01	1.949902e-02
2.469997e+01	-1.535878e-02
2.484263e+01	-4.640763e-03
2.498612e+01	-1.841312e-02
2.513044e+01	-7.072759e-03
2.527559e+01	-2.210769e-03
2.542158e+01	-1.196114e-02
2.556842e+01	-1.081373e-02
2.571610e+01	-6.945477e-03
2.586463e+01	8.523532e-03
2.601403e+01	2.205439e-02
2.616428e+01	5.050469e-03
2.631541e+01	1.383539e-02
2.646740e+01	9.357087e-03
2.662028e+01	-5.283820e-03
2.677404e+01	1.638517e-03
2.692868e+01	-1.655063e-02
2.708422e+01	1.190463e-02
2.724066e+01	-1.799824e-02
2.739800e+01	1.344551e-02
2.755625e+01	-5.647595e-04
2.771541e+01	-1.991974e-02
2.787550e+01	-1.951790e-03
2.803650e+01	-4.065825e-03
2.819844e+01	-1.208149e-02
2.836131e+01	-8.555511e-04
2.852513e+01	-2.377810e-03
2.868989e+01	9.479458e-03
2.885560e+01	-7.127571e-03
2.902227e+01	4.979929e-03
2.918990e+01	-1.400110e-02
2.935850e+01	7.710642e-03
2.952807e+01	1.840497e-04
2.969863e+01	-8.802003e-03
2.987016e+01	2.383207e-03
3.004269e+01	-5.518789e-03
3.021622e+01	-1.728238e-02
3.039075e+01	1.669654e-03
3.056628e+01	5.217133e-03
3.074283e+01	-1.778839e-02
3.092040e+01	2.652884e-02
3.109900e+01	-7.767777e-03
3.127862e+01	8.108654e-03
3.145929e+01	9.543341e-03
3.164099e+01	-9.986011e-03
3.182375e+01	-5.743221e-03
3.200756e+01	1.604133e-02
3.219244e+01	-6.030594e-05
3.237838e+01	-2.686307e-03
3.256540e+01	8.752989e-03
3.275349e+01	1.103301e-02
3.294268e+01	9.407495e-04
3.313295e+01	1.736522e-02
3.332433e+01	3.725606e-03
3.351681e+01	-1.323896e-02
3.371040e+01	1.252856e-02
3.390511e+01	1.662776e-02
3.410094e+01	-2.434662e-04
3.429791e+01	2.198883e-02
3.449601e+01	1.037419e-02
3.469526e+01	1.254263e-02
3.489566e+01	3.259673e-03
3.509721e+01	-9.334123e-03
3.529993e+01	-6.051376e-03
3.550382e+01	1.307252e-02
3.570889e+01	-4.122004e-03
3.591515e+01	-8.162359e-03
3.612259e+01	4.764351e-03
3.633123e+01	1.767639e-03
3.654108e+01	5.935159e-03
3.675214e+01	7.339386e-03
3.696442e+01	2.664274e-03
3.717792e+01	-4.243640e-03
3.739266e+01	-8.193254e-03
3.760864e+01	-9.248996e-03
3.782587e+01	1.685024e-02
3.804435e+01	-5.506586e-03
3.826409e+01	1.235355e-02
3.848510e+01	-1.054579e-02
3.870739e+01	6.089207e-03
3.893096e+01	-9.732003e-04
3.915583e+01	-2.618090e-03
3.938199e+01	2.037536e-02
3.960946e+01	-7.255934e-03
3.983824e+01	6.066793e-03
4.006834e+01	-6.454590e-03
4.029978e+01	8.297123e-03
4.053255e+01	3.787095e-03
4.076666e+01	-3.190836e-03
4.100213e+01	-5.923305e-03
4.123896e+01	1.775474e-02
4.147715e+01	-2.090355e-02
4.171672e+01	-1.064267e-02
4.195767e+01	8.017113e-03
4.220002e+01	-5.167496e-04
4.244377e+01	1.457687e-02
4.268892e+01	-3.464227e-03
4.293549e+01	9.721094e-03
4.318348e+01	-1.445505e-02
4.343291e+01	3.217764e-03
4.368377e+01	-3.067585e-03
4.393609e+01	-8.279068e-03
4.418986e+01	-1.689574e-02
4.444510e+01	2.947862e-03
4.470182e+01	1.288671e-03
4.496001e+01	-4.544991e-03
4.521970e+01	-7.315519e-03
4.548089e+01	-4.548854e-03
4.574358e+01	-1.610814e-02
4.600779e+01	5.855904e-03
4.627353e+01	-5.095173e-03
4.654081e+01	3.682325e-03
4.680963e+01	1.022171e-02
4.708000e+01	-2.733493e-03
4.735193e+01	-9.440362e-03
4.762543e+01	4.558427e-03
4.790051e+01	9.052321e-03
4.817719e+01	-1.539648e-02
4.845545e+01	-1.016614e-02
4.873533e+01	-7.451253e-05
4.901682e+01	-3.411483e-03
4.929994e+01	-4.181179e-03
4.958470e+01	-1.389272e-02
4.987110e+01	-5.395979e-03
5.015915e+01	1.148011e-03
5.044887e+01	-4.036308e-03
5.074026e+01	-5.400850e-03
5.103333e+01	8.494517e-03
5.132810e+01	-1.985797e-02
5.162457e+01	9.300548e-04
5.192275e+01	-1.708300e-03
5.222265e+01	-2.523787e-03
5.252429e+01	-3.071449e-03
5.282767e+01	1.620601e-02
5.313280e+01	-2.200229e-02
5.343969e+01	5.860363e-03
5.374836e+01	-1.463820e-02
5.405880e+01	-1.167220e-03
5.437105e+01	-5.674363e-03
5.468509e+01	1.387745e-02
5.500095e+01	-1.446873e-02
5.531863e+01	5.810487e-03
5.563815e+01	-1.011598e-02
5.595951e+01	8.341362e-03
5.628273e+01	1.868679e-02
5.660782e+01	-5.536264e-03
5.693479e+01	5.278390e-03
5.726364e+01	1.991883e-03
5.759439e+01	5.435113e-03
5.792705e+01	3.638090e-03
5.826164e+01	-2.790002e-04
5.859815e+01	-7.735551e-03
5.893662e+01	-5.845812e-03
5.927703e+01	-7.844036e-03
5.961941e+01	-1.314812e-02
5.996377e+01	1.772564e-02
6.031012e+01	5.805315e-03
6.065847e+01	-1.567223e-02
6.100883e+01	-5.537783e-03
6.136121e+01	1.522246e-02
6.171563e+01	3.097340e-03
6.207210e+01	-9.643498e-04
6.243063e+01	-7.795942e-03
6.279122e+01	-4.877814e-03
6.315390e+01	-1.452214e-02
6.351868e+01	2.023236e-03
6.388556e+01	2.971183e-03
6.425456e+01	-7.613747e-03
6.462569e+01	-7.751061e-03
6.499897e+01	1.288553e-02
6.537440e+01	1.059715e-02
6.575200e+01	7.917519e-03
6.613178e+01	-4.278739e-03
6.651375e+01	2.615076e-03
6.689793e+01	-4.963704e-03
6.728433e+01	-1.180274e-02
6.767297e+01	-1.090676e-02
6.806384e+01	1.710408e-03
6.845698e+01	2.680827e-06
6.885238e+01	-3.048351e-04
6.925007e+01	-9.659209e-04
6.965005e+01	4.744079e-03
7.005235e+01	-1.574512e-02
7.045697e+01	-4.440871e-03
7.086393e+01	-4.637543e-03
7.127323e+01	2.147423e-02
7.168490e+01	7.983350e-03
7.209895e+01	-1.514991e-02
7.251539e+01	-2.442447e-03
7.293424e+01	6.548226e-03
7.335551e+01	2.276779e-03
7.377920e+01	-6.539469e-03
7.420535e+01	1.447350e-02
7.463396e+01	-2.486843e-02
7.506504e+01	1.256793e-02
7.549861e+01	3.241499e-03
7.593469e+01	9.611374e-03
7.637328e+01	-4.049610e-03
7.681441e+01	-1.539740e-02
7.725809e+01	-1.230575e-02
7.770433e+01	-5.716538e-03
7.815315e+01	-1.249308e-02
7.860456e+01	-1.583227e-02
7.905857e+01	-1.532802e-03
7.951521e+01	-1.217680e-02
7.997449e+01	-1.677656e-02
8.043642e+01	-1.415180e-02
8.090102e+01	7.022564e-03
8.136830e+01	1.139058e-03
8.183828e+01	9.157175e-03
8.231097e+01	4.050954e-03
8.278640e+01	-1.227675e-04
8.326457e+01	1.695967e-03
8.374550e+01	1.782082e-02
8.422921e+01	-1.035244e-02
8.471572e+01	3.505719e-03
8.520503e+01	-4.529878e-03
8.569717e+01	1.555058e-03
8.619215e+01	5.434688e-03
8.669000e+01	2.265825e-03
8.719071e+01	-2.028016e-03
8.769432e+01	7.653570e-03
8.820084e+01	2.710960e-03
8.871029e+01	-1.340206e-02
8.922267e+01	-1.346976e-03
8.973802e+01	1.414504e-02
9.025634e+01	-7.805975e-03
9.077766e+01	4.239266e-03
9.130199e+01	-2.268136e-02
9.182935e+01	1.901953e-03
9.235975e+01	1.138827e-05
9.289321e+01	-2.091850e-02
9.342976e+01	1.080748e-03
9.396941e+01	-1.004613e-04
9.451217e+01	-6.894522e-03
9.505807e+01	-3.411813e-03
9.560712e+01	-5.991100e-03
9.615934e+01	-1.916645e-02
9.671476e+01	-1.112276e-02
9.727338e+01	1.527587e-02
9.783522e+01	7.327014e-03
9.840032e+01	1.064875e-04
9.896867e+01	3.907288e-03
9.954031e+01	8.346255e-03
1.001153e+02	-4.602363e-03
1.006935e+02	8.557030e-03
1.012751e+02	-1.044102e-02
1.018601e+02	-4.545614e-03
1.024484e+02	-1.115237e-02
1.030402e+02	1.756312e-02
1.036353e+02	1.908663e-03
1.042339e+02	-1.117435e-03
1.048360e+02	-5.304360e-03
1.054415e+02	4.577058e-03
1.060505e+02	2.378888e-03
1.066631e+02	6.441848e-03
1.072791e+02	-2.764877e-04
1.078988e+02	5.683119e-03
1.085220e+02	-4.968528e-03
1.091488e+02	1.443045e-03
1.097793e+02	-2.997929e-03
1.104133e+02	-1.018801e-02
1.110511e+02	-8.704542e-03
1.116925e+02	3.962025e-04
1.123376e+02	-1.703374e-02
1.129865e+02	-1.000446e-02
1.136391e+02	6.140648e-03
1.142955e+02	-2.433216e-02
1.149556e+02	-5.704613e-03
1.156196e+02	2.421908e-02
1.162874e+02	1.682596e-02
1.169591e+02	2.364018e-03
1.176347e+02	-1.025496e-02
1.183141e+02	2.077053e-02
1.189975e+02	1.539850e-03
1.196848e+02	3.247824e-03
1.203761e+02	-1.914534e-02
1.210714e+02	2.365916e-02
1.217707e+02	-1.147546e-02
1.224740e+02	2.722087e-03
1.231814e+02	-2.774027e-04
1.238929e+02	-1.939247e-03
1.246085e+02	6.699921e-03
1.253283e+02	1.099026e-02
1.260522e+02	-1.774808e-03
1.267802e+02	1.408670e-04
1.275125e+02	2.311791e-02
1.282490e+02	-1.280365e-02
1.289898e+02	3.440632e-03
1.297348e+02	1.101573e-02
1.304842e+02	6.490865e-03
1.312378e+02	-5.327338e-03
1.319959e+02	8.768605e-03
1.327583e+02	-4.433839e-03
1.335251e+02	8.229302e-03
1.342963e+02	-1.387248e-02
1.350720e+02	-9.781960e-03
1.358522e+02	8.684235e-03
1.366368e+02	-6.778606e-03
1.374260e+02	-3.240017e-03
1.382198e+02	9.933709e-04
1.390182e+02	1.939881e-04
1.398211e+02	-2.597752e-02
1.406287e+02	-2.781881e-03
1.414410e+02	3.318318e-03
1.422579e+02	9.619113e-03
1.430796e+02	1.358620e-03
1.439060e+02	2.743785e-04
1.447372e+02	-1.492680e-02
1.455732e+02	3.987105e-04
1.464141e+02	-1.055740e-02
1.472597e+02	-5.557511e-03
1.481103e+02	-2.598374e-03
1.489658e+02	-7.358819e-03
1.498262e+02	-1.554005e-02
1.506916e+02	-1.130964e-02
1.515620e+02	5.935335e-03
1.524374e+02	-1.809776e-04
1.533179e+02	-6.753496e-03
1.542034e+02	3.471219e-04
1.550941e+02	-5.904973e-03
1.559899e+02	6.730434e-04
1.568909e+02	-4.788093e-03
1.577971e+02	-1.505892e-02
1.587085e+02	-1.180878e-02
1.596252e+02	-1.471322e-02
1.605472e+02	2.962196e-03
1.614745e+02	-1.054933e-02
1.624072e+02	-2.055806e-02
1.633453e+02	-2.072204e-02
1.642887e+02	-1.388818e-02
1.652377e+02	5.484114e-03
1.661921e+02	-1.196662e-02
1.671520e+02	-8.648290e-03
1.681175e+02	6.320276e-03
