Frequency(Hz)	Magnitude(dB)
1.000000e+01	-3.436571e-03
1.005776e+01	-5.494150e-03
1.011585e+01	2.582758e-03
1.017428e+01	-2.821340e-03
1.023305e+01	1.003347e-03
1.029215e+01	2.642149e-02
1.035160e+01	-1.192509e-02
1.041139e+01	-3.599059e-03
1.047153e+01	1.071889e-02
1.053201e+01	-4.522409e-03
1.059284e+01	-9.658559e-03
1.065403e+01	1.754402e-02
1.071556e+01	1.028871e-03
1.077746e+01	4.427346e-03
1.083971e+01	-1.584547e-02
1.090232e+01	-4.423965e-03
1.096529e+01	-2.192437e-02
1.102862e+01	2.035765e-02
1.109232e+01	5.666282e-04
1.115639e+01	-1.256756e-02
1.122083e+01	2.296585e-03
1.128564e+01	1.086780e-02
1.135083e+01	9.971053e-03
1.141639e+01	1.883409e-02
1.148233e+01	-1.761914e-03
1.154865e+01	2.923222e-02
1.161536e+01	-5.812963e-04
1.168245e+01	-5.907093e-03
1.174992e+01	4.837218e-03
1.181779e+01	-1.160153e-02
1.188605e+01	2.384520e-03
1.195470e+01	3.618814e-03
1.202375e+01	-1.190066e-02
1.209320e+01	6.691689e-03
1.216305e+01	-6.483201e-03
1.223330e+01	-1.048152e-02
1.230396e+01	-1.512825e-02
1.237503e+01	-7.313245e-03
1.244651e+01	-6.370364e-03
1.251840e+01	-1.438107e-03
1.259070e+01	7.787167e-03
1.266343e+01	1.243072e-02
1.273657e+01	-3.505786e-03
1.281014e+01	-3.363181e-03
1.288413e+01	-2.767372e-03
1.295855e+01	-1.213120e-02
1.303339e+01	-1.211205e-02
1.310867e+01	1.249703e-02
1.318439e+01	8.692680e-03
1.326054e+01	-1.493470e-02
1.333713e+01	-3.367839e-03
1.341417e+01	-3.529953e-03
1.349165e+01	8.648416e-03
1.356958e+01	-7.663093e-03
1.364795e+01	9.966987e-03
1.372678e+01	2.529887e-04
1.380607e+01	-7.709153e-03
1.388581e+01	2.296552e-02
1.396602e+01	1.832424e-04
1.404668e+01	-2.026736e-02
1.412782e+01	1.244163e-02
1.420942e+01	1.027358e-03
1.429149e+01	-1.095022e-03
1.437404e+01	8.820893e-03
1.445706e+01	-1.668388e-03
1.454057e+01	4.920047e-03
1.462455e+01	-6.607100e-03
1.470902e+01	9.362466e-03
1.479398e+01	-1.590362e-02
1.487943e+01	-2.099742e-03
1.496537e+01	-3.821361e-03
1.505181e+01	6.953761e-04
1.513875e+01	-7.760012e-03
1.522619e+01	6.084273e-03
1.531414e+01	1.831467e-02
1.540259e+01	-1.667216e-04
1.549156e+01	-8.735895e-03
1.558103e+01	1.912375e-03
1.567103e+01	-2.014201e-03
1.576155e+01	-7.625032e-03
1.585258e+01	2.925612e-03
1.594415e+01	-3.430391e-03
1.603624e+01	2.391638e-04
1.612886e+01	7.893926e-03
1.622202e+01	-8.521859e-04
1.631572e+01	1.530914e-03
1.640996e+01	9.122782e-03
1.650474e+01	-3.799010e-03
1.660008e+01	-7.154049e-03
1.669596e+01	3.355573e-03
1.679239e+01	9.273974e-03
1.688938e+01	-1.136860e-02
1.698694e+01	7.208553e-03
1.708505e+01	-1.560884e-03
1.718373e+01	-1.429561e-02
1.728299e+01	-6.798978e-03
1.738281e+01	-1.361309e-02
1.748322e+01	4.070668e-04
1.758420e+01	-3.343910e-02
1.768576e+01	4.403139e-03
1.778792e+01	-1.944958e-03
1.789066e+01	7.691011e-03
1.799399e+01	-2.300485e-02
1.809793e+01	-1.845743e-02
1.820246e+01	-7.553654e-03
1.830760e+01	-1.198887e-03
1.841334e+01	1.579999e-02
1.851969e+01	7.327332e-03
1.862666e+01	-4.377778e-03
1.873425e+01	3.718382e-03
1.884246e+01	5.608900e-03
1.895129e+01	-9.186137e-03
1.906075e+01	1.040553e-02
1.917085e+01	1.551457e-02
1.928158e+01	-1.960925e-02
1.939295e+01	-2.123907e-02
1.950496e+01	8.585353e-05
1.961762e+01	1.227515e-02
1.973093e+01	1.121318e-02
1.984490e+01	7.714140e-03
1.995952e+01	-7.416681e-03
2.007480e+01	8.574754e-03
2.019076e+01	4.628285e-03
2.030738e+01	-4.823768e-03
2.042467e+01	8.645272e-03
2.054264e+01	-5.667886e-03
2.066130e+01	-6.576725e-03
2.078064e+01	-3.776269e-03
2.090066e+01	8.630642e-03
2.102139e+01	-9.779901e-03
2.114280e+01	-1.381347e-02
2.126492e+01	-2.912321e-03
2.138775e+01	3.970934e-03
