Frequency(Hz)	Magnitude(dB)
1.000000e+01	1.232503e-02
1.005776e+01	-5.047200e-03
1.011585e+01	9.022203e-04
1.017428e+01	6.701185e-03
1.023305e+01	-5.642376e-04
1.029215e+01	1.976247e-03
1.035160e+01	-5.812029e-03
1.041139e+01	1.002487e-02
1.047153e+01	5.758729e-04
1.053201e+01	2.692607e-03
1.059284e+01	3.392946e-03
1.065403e+01	9.041800e-04
1.071556e+01	5.520145e-03
1.077746e+01	1.300577e-02
1.083971e+01	-2.303071e-03
1.090232e+01	-2.643061e-03
1.096529e+01	-6.137106e-03
1.102862e+01	-1.490658e-02
1.109232e+01	1.039717e-02
1.115639e+01	-1.190405e-03
1.122083e+01	1.371652e-02
1.128564e+01	5.337556e-03
1.135083e+01	5.237418e-03
1.141639e+01	-1.283360e-02
1.148233e+01	-2.969679e-03
1.154865e+01	2.590752e-02
1.161536e+01	-4.094189e-03
1.168245e+01	3.881406e-04
1.174992e+01	2.884476e-03
1.181779e+01	6.286559e-03
1.188605e+01	5.569072e-03
1.195470e+01	1.428487e-03
1.202375e+01	1.462338e-02
1.209320e+01	-9.636900e-03
1.216305e+01	3.252410e-03
1.223330e+01	-2.138719e-02
1.230396e+01	-9.997159e-04
1.237503e+01	-3.301210e-04
1.244651e+01	-9.795923e-03
1.251840e+01	1.596180e-02
1.259070e+01	1.389885e-02
1.266343e+01	4.647674e-03
1.273657e+01	2.257632e-03
1.281014e+01	-1.008850e-02
1.288413e+01	3.432562e-03
1.295855e+01	-1.039403e-04
1.303339e+01	-2.775844e-02
1.310867e+01	2.024830e-02
1.318439e+01	-2.551770e-03
1.326054e+01	-7.463051e-03
1.333713e+01	-4.890500e-03
1.341417e+01	4.821114e-03
1.349165e+01	-4.361249e-03
1.356958e+01	1.123699e-02
1.364795e+01	8.210065e-03
1.372678e+01	-7.849039e-03
1.380607e+01	-1.151971e-03
1.388581e+01	7.841517e-03
1.396602e+01	2.181312e-02
1.404668e+01	2.462171e-02
1.412782e+01	1.876932e-04
1.420942e+01	-3.919975e-04
1.429149e+01	1.983184e-02
1.437404e+01	-3.277374e-03
1.445706e+01	-2.871235e-03
1.454057e+01	-1.171986e-02
1.462455e+01	-6.653850e-03
1.470902e+01	2.480567e-02
1.479398e+01	7.323775e-04
1.487943e+01	1.291400e-02
1.496537e+01	-2.318102e-02
1.505181e+01	2.536154e-03
1.513875e+01	1.907260e-02
1.522619e+01	4.524764e-03
1.531414e+01	-5.704253e-03
1.540259e+01	-1.302567e-02
1.549156e+01	7.883874e-03
1.558103e+01	-5.040477e-03
1.567103e+01	-4.935206e-03
1.576155e+01	4.181721e-03
1.585258e+01	2.010651e-03
1.594415e+01	6.228919e-03
1.603624e+01	-4.363215e-03
1.612886e+01	-2.288916e-02
1.622202e+01	1.491165e-02
1.631572e+01	5.559214e-03
1.640996e+01	-7.593269e-03
1.650474e+01	2.182540e-03
1.660008e+01	-5.259058e-03
1.669596e+01	2.610714e-03
1.679239e+01	-1.469992e-02
1.688938e+01	-7.340012e-03
1.698694e+01	-4.206904e-03
1.708505e+01	-6.153968e-04
1.718373e+01	2.854539e-02
1.728299e+01	1.902845e-03
1.738281e+01	-3.884725e-04
1.748322e+01	1.187681e-02
1.758420e+01	1.251872e-02
1.768576e+01	-5.676986e-03
1.778792e+01	-4.046207e-03
1.789066e+01	-8.949772e-03
1.799399e+01	-9.791997e-03
1.809793e+01	2.064745e-02
1.820246e+01	6.926578e-03
1.830760e+01	8.401715e-03
1.841334e+01	4.291542e-03
1.851969e+01	-4.679591e-03
1.862666e+01	2.138528e-02
1.873425e+01	-1.525281e-03
1.884246e+01	5.240647e-03
1.895129e+01	1.846850e-04
1.906075e+01	1.088887e-02
1.917085e+01	-1.173254e-02
1.928158e+01	-2.270519e-02
1.939295e+01	-1.028179e-02
1.950496e+01	1.252987e-02
1.961762e+01	1.168370e-02
1.973093e+01	4.471073e-03
1.984490e+01	4.366508e-03
1.995952e+01	-5.622384e-05
2.007480e+01	-9.947223e-03
2.019076e+01	-3.414272e-04
2.030738e+01	-2.606914e-03
2.042467e+01	3.349490e-03
2.054264e+01	-2.975946e-04
2.066130e+01	7.468102e-04
2.078064e+01	-3.783651e-03
2.090066e+01	1.024538e-03
2.102139e+01	3.468426e-03
2.114280e+01	-6.241594e-03
2.126492e+01	-2.881685e-03
2.138775e+01	1.501805e-02
2.151128e+01	4.384894e-03
2.163553e+01	-6.418948e-03
2.176050e+01	6.537384e-04
2.188619e+01	-2.409554e-03
2.201260e+01	1.374471e-03
2.213974e+01	-7.597224e-03
2.226762e+01	9.121029e-03
2.239624e+01	-1.078218e-02
2.252560e+01	1.783587e-03
2.265571e+01	2.097075e-02
2.278656e+01	-9.392816e-03
2.291818e+01	6.372715e-03
2.305055e+01	6.673622e-03
2.318369e+01	6.765405e-03
2.331760e+01	-1.145770e-02
2.345228e+01	1.595741e-02
2.358774e+01	1.273959e-04
2.372398e+01	2.992827e-03
2.386101e+01	1.856217e-02
2.399883e+01	2.018838e-02
2.413745e+01	3.168967e-03
2.427686e+01	-1.023336e-03
2.441709e+01	7.906949e-03
2.455812e+01	8.052740e-03
2.469997e+01	1.640890e-02
2.484263e+01	1.618389e-03
2.498612e+01	-1.199463e-02
2.513044e+01	-9.040613e-03
2.527559e+01	-6.246687e-03
2.542158e+01	-6.766229e-03
2.556842e+01	-6.908794e-04
2.571610e+01	-8.685491e-03
2.586463e+01	-7.277316e-03
2.601403e+01	1.310559e-02
2.616428e+01	1.105400e-02
2.631541e+01	3.922938e-04
2.646740e+01	2.029154e-03
2.662028e+01	-9.206684e-03
2.677404e+01	3.110907e-02
2.692868e+01	1.487749e-02
2.708422e+01	-1.629107e-03
2.724066e+01	-2.148385e-02
2.739800e+01	2.491552e-03
2.755625e+01	2.168559e-02
2.771541e+01	-6.911000e-03
2.787550e+01	-7.291195e-03
2.803650e+01	-9.594397e-03
2.819844e+01	1.388627e-02
2.836131e+01	-1.192758e-02
2.852513e+01	-4.950459e-04
2.868989e+01	3.303769e-04
2.885560e+01	2.255031e-03
2.902227e+01	3.632436e-03
2.918990e+01	2.806155e-03
2.935850e+01	-1.316677e-02
2.952807e+01	-5.451912e-04
2.969863e+01	7.423857e-03
2.987016e+01	9.506943e-03
3.004269e+01	6.731903e-03
3.021622e+01	-1.708730e-03
3.039075e+01	-5.902978e-03
3.056628e+01	8.388103e-03
3.074283e+01	2.279126e-02
3.092040e+01	4.536544e-05
3.109900e+01	1.057371e-02
3.127862e+01	1.127030e-02
3.145929e+01	3.981385e-03
3.164099e+01	-1.464605e-02
3.182375e+01	1.096689e-02
3.200756e+01	-8.194185e-03
3.219244e+01	4.442580e-03
3.237838e+01	7.386806e-04
3.256540e+01	-2.709767e-03
3.275349e+01	7.641329e-03
3.294268e+01	-3.136501e-03
3.313295e+01	2.241410e-03
3.332433e+01	4.173214e-03
3.351681e+01	-1.661065e-03
3.371040e+01	-1.489764e-03
3.390511e+01	2.955751e-03
3.410094e+01	1.325281e-02
3.429791e+01	1.699287e-02
3.449601e+01	-3.090525e-03
3.469526e+01	5.513401e-03
3.489566e+01	-5.103029e-03
3.509721e+01	3.811350e-03
3.529993e+01	-1.062061e-02
3.550382e+01	-8.967134e-03
3.570889e+01	-6.484200e-03
3.591515e+01	-9.409976e-03
3.612259e+01	-2.997790e-03
3.633123e+01	-6.067255e-03
3.654108e+01	1.293897e-02
3.675214e+01	-1.039627e-03
3.696442e+01	2.172903e-02
3.717792e+01	1.039290e-03
3.739266e+01	3.103359e-03
3.760864e+01	-1.831887e-03
3.782587e+01	-6.872682e-03
3.804435e+01	4.028639e-03
3.826409e+01	7.645018e-05
3.848510e+01	-1.813984e-02
3.870739e+01	9.640196e-03
3.893096e+01	-5.578553e-03
3.915583e+01	1.683602e-02
3.938199e+01	4.246400e-03
3.960946e+01	7.142685e-03
3.983824e+01	-6.888406e-03
4.006834e+01	-7.212425e-03
4.029978e+01	3.845269e-03
4.053255e+01	8.615497e-03
4.076666e+01	-1.704597e-03
4.100213e+01	4.463516e-03
4.123896e+01	-1.973809e-04
4.147715e+01	7.751116e-03
4.171672e+01	-5.806641e-04
4.195767e+01	-8.971986e-03
4.220002e+01	-1.495019e-02
4.244377e+01	6.308863e-03
4.268892e+01	-1.552264e-03
4.293549e+01	5.275418e-03
4.318348e+01	1.072444e-02
4.343291e+01	-1.297101e-02
4.368377e+01	-2.149989e-02
4.393609e+01	-1.653373e-02
4.418986e+01	-5.921318e-03
4.444510e+01	5.336692e-03
4.470182e+01	1.172599e-02
4.496001e+01	7.209500e-03
4.521970e+01	-8.361402e-03
4.548089e+01	-9.653259e-03
4.574358e+01	-1.419615e-02
4.600779e+01	-2.127148e-03
4.627353e+01	4.732869e-03
4.654081e+01	-3.413569e-03
4.680963e+01	-9.870290e-04
4.708000e+01	9.198658e-03
4.735193e+01	1.582954e-02
4.762543e+01	6.819589e-03
4.790051e+01	1.716262e-02
4.817719e+01	6.436705e-03
