Frequency(Hz)	Magnitude(dB)
1.000000e+01	-2.099169e-03
1.005776e+01	1.020252e-02
1.011585e+01	-9.283998e-03
1.017428e+01	-3.851414e-03
1.023305e+01	-2.861715e-03
1.029215e+01	1.840014e-03
1.035160e+01	-4.483711e-03
1.041139e+01	-1.514230e-02
1.047153e+01	3.021893e-03
1.053201e+01	5.562549e-03
1.059284e+01	1.694896e-03
1.065403e+01	-1.234473e-02
1.071556e+01	-1.863864e-03
1.077746e+01	2.015427e-02
1.083971e+01	-1.615878e-02
1.090232e+01	3.101256e-03
1.096529e+01	1.818748e-02
1.102862e+01	-1.663540e-02
1.109232e+01	-9.795077e-03
1.115639e+01	1.004739e-02
1.122083e+01	-2.362972e-03
1.128564e+01	1.250141e-02
1.135083e+01	4.653456e-03
1.141639e+01	2.088204e-04
1.148233e+01	-7.532019e-03
1.154865e+01	-6.050660e-03
1.161536e+01	2.522719e-02
1.168245e+01	-1.801263e-02
1.174992e+01	-2.737047e-04
1.181779e+01	-6.092715e-03
1.188605e+01	-9.065261e-03
1.195470e+01	-7.126627e-03
1.202375e+01	-1.118336e-02
1.209320e+01	5.430112e-03
1.216305e+01	4.224963e-03
1.223330e+01	8.321791e-03
1.230396e+01	-1.629838e-02
1.237503e+01	-2.226639e-02
1.244651e+01	1.149273e-02
1.251840e+01	3.103013e-03
1.259070e+01	5.357485e-03
1.266343e+01	-7.363934e-03
1.273657e+01	-1.838642e-02
1.281014e+01	-1.803867e-02
1.288413e+01	7.295397e-03
1.295855e+01	-1.606264e-02
1.303339e+01	9.408797e-03
1.310867e+01	8.829551e-03
1.318439e+01	-1.447925e-02
1.326054e+01	7.763490e-03
1.333713e+01	-9.170439e-03
1.341417e+01	-7.102654e-03
1.349165e+01	-2.918941e-02
1.356958e+01	2.127969e-02
1.364795e+01	2.871370e-03
1.372678e+01	-3.899384e-03
1.380607e+01	-9.932033e-03
1.388581e+01	-4.409862e-03
1.396602e+01	7.622929e-03
1.404668e+01	7.621265e-03
1.412782e+01	-8.535189e-04
1.420942e+01	1.067978e-03
1.429149e+01	1.590042e-02
1.437404e+01	7.836932e-03
1.445706e+01	-1.343011e-02
1.454057e+01	1.316364e-02
1.462455e+01	2.040580e-04
1.470902e+01	-9.050923e-03
1.479398e+01	9.341174e-05
1.487943e+01	-2.663730e-03
1.496537e+01	-1.335774e-02
1.505181e+01	-1.740356e-02
1.513875e+01	1.998856e-02
1.522619e+01	-1.263843e-02
1.531414e+01	-3.576282e-03
1.540259e+01	-4.823934e-03
1.549156e+01	1.874561e-02
1.558103e+01	9.996918e-03
1.567103e+01	7.257536e-03
1.576155e+01	3.768004e-03
1.585258e+01	5.564190e-03
1.594415e+01	5.751582e-03
1.603624e+01	-6.997577e-03
1.612886e+01	5.945195e-03
1.622202e+01	-6.142132e-03
1.631572e+01	-6.818386e-03
1.640996e+01	-1.618770e-03
