Frequency(Hz)	Magnitude(dB)
1.000000e+01	2.855472e-03
1.005776e+01	5.198496e-03
1.011585e+01	3.053715e-03
1.017428e+01	3.649980e-03
1.023305e+01	-1.440816e-02
1.029215e+01	-1.548258e-02
1.035160e+01	-2.141384e-02
1.041139e+01	-1.779392e-03
1.047153e+01	1.489515e-03
1.053201e+01	-7.395633e-03
1.059284e+01	-4.127516e-03
1.065403e+01	-6.598094e-03
1.071556e+01	2.327436e-02
1.077746e+01	-6.355043e-03
1.083971e+01	-1.206054e-03
1.090232e+01	1.406213e-02
1.096529e+01	1.322847e-02
1.102862e+01	-7.813959e-03
1.109232e+01	-3.888237e-03
1.115639e+01	-1.154466e-02
1.122083e+01	-8.050383e-03
1.128564e+01	2.728238e-02
1.135083e+01	9.069620e-03
1.141639e+01	-1.166673e-02
1.148233e+01	-1.629297e-03
1.154865e+01	7.163902e-03
1.161536e+01	7.463759e-03
1.168245e+01	3.240289e-03
1.174992e+01	9.336765e-03
1.181779e+01	7.552941e-03
1.188605e+01	-4.982591e-03
1.195470e+01	1.877079e-02
1.202375e+01	3.972694e-03
1.209320e+01	2.633093e-03
1.216305e+01	-8.276695e-03
1.223330e+01	1.199117e-03
1.230396e+01	-1.325810e-02
1.237503e+01	1.961906e-03
1.244651e+01	-5.041943e-03
1.251840e+01	-3.443563e-03
1.259070e+01	6.643901e-03
1.266343e+01	-7.636897e-03
1.273657e+01	-5.599103e-03
1.281014e+01	-1.791762e-02
1.288413e+01	-5.753117e-04
1.295855e+01	-1.962392e-02
1.303339e+01	3.507486e-04
1.310867e+01	-7.185876e-04
1.318439e+01	1.256314e-03
1.326054e+01	1.328176e-02
1.333713e+01	-2.611453e-03
1.341417e+01	4.689879e-03
1.349165e+01	2.579077e-04
1.356958e+01	-9.766970e-03
1.364795e+01	1.861932e-03
1.372678e+01	-1.595744e-02
1.380607e+01	1.689575e-02
1.388581e+01	-1.607472e-02
1.396602e+01	-1.115026e-02
1.404668e+01	-3.559297e-03
1.412782e+01	-2.792047e-03
1.420942e+01	-1.697989e-03
1.429149e+01	-1.443559e-03
1.437404e+01	1.690864e-02
1.445706e+01	-8.180438e-03
1.454057e+01	4.858825e-04
1.462455e+01	-3.361517e-03
1.470902e+01	-8.358342e-03
1.479398e+01	4.326639e-03
1.487943e+01	8.197588e-03
1.496537e+01	-1.439441e-02
1.505181e+01	1.477172e-02
1.513875e+01	9.390982e-04
1.522619e+01	-8.626955e-03
1.531414e+01	-2.116560e-03
1.540259e+01	-4.969147e-03
1.549156e+01	3.692242e-03
1.558103e+01	4.722229e-03
1.567103e+01	9.568213e-03
1.576155e+01	-4.090244e-03
1.585258e+01	3.791882e-03
1.594415e+01	1.824460e-02
1.603624e+01	3.250059e-03
1.612886e+01	4.478486e-03
1.622202e+01	-7.115665e-03
1.631572e+01	1.000560e-02
1.640996e+01	-8.483010e-03
1.650474e+01	6.072487e-03
1.660008e+01	3.051102e-03
1.669596e+01	-2.057295e-02
1.679239e+01	-1.737832e-03
1.688938e+01	6.406348e-03
1.698694e+01	9.001662e-04
1.708505e+01	8.926036e-03
1.718373e+01	-1.774709e-02
1.728299e+01	6.841438e-03
1.738281e+01	8.139996e-03
1.748322e+01	1.305032e-03
1.758420e+01	1.562055e-02
1.768576e+01	1.985747e-02
1.778792e+01	-2.021891e-02
1.789066e+01	-3.203037e-03
1.799399e+01	-3.854107e-03
1.809793e+01	-5.805394e-03
1.820246e+01	-1.314276e-02
1.830760e+01	-1.262571e-02
1.841334e+01	4.329789e-03
1.851969e+01	-8.917483e-03
1.862666e+01	-1.591824e-02
1.873425e+01	4.784999e-03
1.884246e+01	1.403949e-02
1.895129e+01	-1.091823e-03
1.906075e+01	5.845067e-03
1.917085e+01	2.011820e-04
1.928158e+01	-1.208922e-03
1.939295e+01	1.255925e-02
1.950496e+01	-1.075993e-02
1.961762e+01	-1.749186e-03
1.973093e+01	-1.513871e-02
1.984490e+01	-3.861232e-03
1.995952e+01	2.291546e-03
2.007480e+01	4.512190e-03
2.019076e+01	-8.163205e-03
2.030738e+01	-8.200902e-03
2.042467e+01	1.576642e-02
2.054264e+01	1.482079e-03
2.066130e+01	2.305862e-02
2.078064e+01	-9.986095e-03
2.090066e+01	5.674440e-03
2.102139e+01	2.208251e-02
2.114280e+01	-1.044166e-02
2.126492e+01	4.843648e-03
2.138775e+01	2.450644e-03
2.151128e+01	-4.511397e-04
2.163553e+01	2.503393e-03
2.176050e+01	9.739714e-03
2.188619e+01	1.032987e-02
2.201260e+01	-1.561563e-02
2.213974e+01	-1.109699e-02
2.226762e+01	-6.251844e-04
2.239624e+01	1.022607e-02
2.252560e+01	-1.014171e-02
2.265571e+01	-7.084246e-03
2.278656e+01	-1.213583e-02
2.291818e+01	7.669238e-03
2.305055e+01	1.782787e-02
2.318369e+01	-8.690723e-04
2.331760e+01	2.724980e-03
2.345228e+01	7.013355e-03
2.358774e+01	-9.596066e-03
2.372398e+01	2.910466e-03
2.386101e+01	9.488127e-03
2.399883e+01	-2.171892e-03
2.413745e+01	-8.231608e-03
2.427686e+01	1.158985e-02
2.441709e+01	-8.259088e-04
2.455812e+01	6.177002e-03
2.469997e+01	-9.777972e-03
2.484263e+01	5.362848e-03
2.498612e+01	-2.132136e-02
2.513044e+01	-1.029577e-02
2.527559e+01	-1.755003e-02
2.542158e+01	1.303616e-02
2.556842e+01	8.914419e-03
2.571610e+01	8.275923e-03
2.586463e+01	1.144145e-04
2.601403e+01	7.518996e-03
2.616428e+01	-4.820418e-03
2.631541e+01	-1.019379e-02
2.646740e+01	-1.894400e-02
2.662028e+01	1.974414e-02
2.677404e+01	-9.508923e-03
2.692868e+01	7.673058e-03
2.708422e+01	3.669805e-03
2.724066e+01	-1.905109e-02
2.739800e+01	6.633885e-03
2.755625e+01	1.198082e-02
2.771541e+01	2.329824e-03
2.787550e+01	8.078095e-03
2.803650e+01	4.600113e-03
2.819844e+01	2.496543e-03
2.836131e+01	1.760521e-02
2.852513e+01	1.223702e-02
2.868989e+01	2.195097e-02
2.885560e+01	1.346923e-02
2.902227e+01	5.759722e-04
2.918990e+01	-1.486687e-03
2.935850e+01	8.159127e-03
2.952807e+01	-5.637376e-03
2.969863e+01	-7.766605e-03
2.987016e+01	-2.456359e-03
3.004269e+01	1.218439e-02
3.021622e+01	-9.256146e-03
3.039075e+01	-1.557222e-02
3.056628e+01	4.363605e-03
3.074283e+01	2.291503e-03
3.092040e+01	-5.904416e-03
3.109900e+01	-1.351120e-02
3.127862e+01	-1.225220e-03
3.145929e+01	-2.893864e-03
3.164099e+01	4.036047e-03
3.182375e+01	6.466892e-03
3.200756e+01	-5.897213e-03
3.219244e+01	-3.471070e-03
3.237838e+01	7.818390e-03
3.256540e+01	1.318786e-02
3.275349e+01	1.331466e-02
3.294268e+01	-1.542254e-02
3.313295e+01	-2.699554e-03
3.332433e+01	3.731545e-03
3.351681e+01	4.338224e-03
3.371040e+01	-1.443598e-02
3.390511e+01	1.797969e-02
3.410094e+01	-1.175526e-02
3.429791e+01	1.177351e-02
3.449601e+01	-4.076845e-03
3.469526e+01	-2.159127e-03
3.489566e+01	1.750647e-02
3.509721e+01	-1.064294e-02
3.529993e+01	1.904275e-04
3.550382e+01	-7.523611e-03
3.570889e+01	-9.965545e-03
3.591515e+01	2.299502e-03
3.612259e+01	8.673362e-03
3.633123e+01	4.122815e-03
3.654108e+01	3.233873e-03
3.675214e+01	9.975486e-03
3.696442e+01	-2.732435e-03
3.717792e+01	-8.323893e-03
3.739266e+01	-3.934390e-03
3.760864e+01	2.386380e-02
3.782587e+01	-2.741733e-03
3.804435e+01	7.378962e-04
3.826409e+01	-1.079337e-04
3.848510e+01	-5.790254e-03
3.870739e+01	-1.046614e-02
3.893096e+01	-1.586193e-02
3.915583e+01	1.487280e-02
3.938199e+01	6.178224e-03
3.960946e+01	-5.102669e-03
3.983824e+01	-9.116546e-03
4.006834e+01	-1.551946e-02
4.029978e+01	-1.199373e-02
4.053255e+01	-1.132738e-02
4.076666e+01	-1.325530e-02
4.100213e+01	8.599565e-03
4.123896e+01	8.690319e-03
4.147715e+01	-1.069797e-03
4.171672e+01	-5.587801e-03
4.195767e+01	1.606320e-02
4.220002e+01	-6.599274e-03
4.244377e+01	2.158431e-03
4.268892e+01	-6.380294e-03
4.293549e+01	-2.330109e-02
4.318348e+01	5.217918e-03
4.343291e+01	-1.679762e-02
4.368377e+01	-1.608431e-02
4.393609e+01	-1.535914e-03
4.418986e+01	6.344956e-03
4.444510e+01	-1.492552e-02
4.470182e+01	-2.643272e-03
4.496001e+01	-1.868606e-04
4.521970e+01	5.717184e-03
4.548089e+01	-4.720050e-03
4.574358e+01	-1.524884e-02
4.600779e+01	-7.766610e-03
4.627353e+01	1.211299e-02
4.654081e+01	1.776913e-03
4.680963e+01	-6.509293e-03
4.708000e+01	6.045334e-03
4.735193e+01	7.201627e-04
4.762543e+01	-1.143087e-02
4.790051e+01	9.532994e-03
4.817719e+01	-2.105511e-02
4.845545e+01	4.314400e-03
4.873533e+01	7.241989e-03
4.901682e+01	-5.555961e-03
4.929994e+01	9.740926e-03
4.958470e+01	-1.160997e-02
4.987110e+01	-2.976369e-02
5.015915e+01	-1.085881e-02
5.044887e+01	2.077555e-02
5.074026e+01	-9.561792e-03
5.103333e+01	-1.464195e-02
5.132810e+01	1.408572e-02
5.162457e+01	-7.986321e-03
5.192275e+01	5.383020e-03
5.222265e+01	-2.030125e-03
5.252429e+01	-2.429848e-03
5.282767e+01	2.222804e-02
5.313280e+01	-1.157479e-02
5.343969e+01	-7.474457e-03
5.374836e+01	-5.302060e-04
5.405880e+01	8.964446e-03
5.437105e+01	-5.647144e-03
5.468509e+01	9.300714e-03
5.500095e+01	1.946844e-02
5.531863e+01	1.644686e-03
5.563815e+01	-1.959108e-03
5.595951e+01	1.616090e-02
5.628273e+01	7.324198e-03
5.660782e+01	-1.564171e-03
5.693479e+01	2.121008e-02
5.726364e+01	1.016690e-02
5.759439e+01	2.798400e-03
5.792705e+01	-7.893717e-03
5.826164e+01	1.117455e-03
5.859815e+01	-7.583388e-03
5.893662e+01	-1.785037e-02
5.927703e+01	-2.812376e-03
5.961941e+01	-1.232033e-02
5.996377e+01	4.156810e-03
6.031012e+01	-7.990275e-03
6.065847e+01	-5.955547e-03
6.100883e+01	1.631463e-02
6.136121e+01	-1.643397e-03
6.171563e+01	9.162733e-03
6.207210e+01	7.388089e-03
6.243063e+01	8.564150e-03
6.279122e+01	-2.179682e-02
6.315390e+01	6.267441e-03
6.351868e+01	-5.598808e-03
6.388556e+01	1.400380e-02
6.425456e+01	1.267939e-03
6.462569e+01	-2.062330e-02
6.499897e+01	9.496188e-03
6.537440e+01	1.331790e-02
6.575200e+01	-1.331666e-02
6.613178e+01	6.519666e-03
6.651375e+01	3.014942e-03
6.689793e+01	3.188266e-04
6.728433e+01	5.212419e-03
6.767297e+01	1.234431e-02
6.806384e+01	2.127690e-02
6.845698e+01	3.183488e-03
6.885238e+01	-2.210376e-03
6.925007e+01	6.646866e-03
6.965005e+01	-2.399836e-02
7.005235e+01	7.239054e-04
7.045697e+01	1.921890e-02
7.086393e+01	4.593563e-03
7.127323e+01	-3.999555e-03
7.168490e+01	-1.991909e-03
7.209895e+01	3.533599e-03
7.251539e+01	-1.824022e-02
7.293424e+01	-3.860188e-03
7.335551e+01	-3.194403e-03
7.377920e+01	-1.310857e-02
7.420535e+01	8.223044e-03
7.463396e+01	-3.065945e-04
7.506504e+01	6.669528e-03
7.549861e+01	1.529942e-03
7.593469e+01	-2.914865e-03
7.637328e+01	5.044967e-04
7.681441e+01	2.109968e-03
7.725809e+01	1.740097e-02
7.770433e+01	1.601344e-02
7.815315e+01	1.175458e-02
7.860456e+01	1.326711e-02
7.905857e+01	6.320078e-03
7.951521e+01	2.121777e-02
7.997449e+01	-5.146562e-03
8.043642e+01	9.991443e-03
8.090102e+01	4.099778e-04
8.136830e+01	2.966064e-03
8.183828e+01	7.596499e-03
8.231097e+01	1.154471e-02
8.278640e+01	2.627405e-03
8.326457e+01	6.234462e-04
8.374550e+01	-1.981069e-02
8.422921e+01	1.063988e-02
8.471572e+01	-2.219609e-02
8.520503e+01	-7.305551e-03
8.569717e+01	-8.692465e-03
8.619215e+01	6.096215e-03
8.669000e+01	-2.930401e-03
8.719071e+01	-1.925332e-03
8.769432e+01	6.754855e-03
8.820084e+01	8.972104e-03
8.871029e+01	5.257934e-03
8.922267e+01	-1.527835e-02
8.973802e+01	3.712737e-03
9.025634e+01	-1.829906e-02
9.077766e+01	-1.281850e-02
9.130199e+01	-2.747603e-04
9.182935e+01	4.142162e-03
9.235975e+01	-1.729113e-02
9.289321e+01	7.419858e-03
9.342976e+01	1.928005e-02
9.396941e+01	-4.224271e-03
9.451217e+01	-9.298993e-04
9.505807e+01	1.613629e-03
9.560712e+01	5.252191e-04
9.615934e+01	-1.410991e-02
9.671476e+01	-7.951125e-03
9.727338e+01	-1.117271e-02
9.783522e+01	3.034546e-03
9.840032e+01	5.297766e-04
9.896867e+01	3.942692e-03
9.954031e+01	1.701180e-02
1.001153e+02	-1.317416e-02
1.006935e+02	6.696142e-03
1.012751e+02	1.279576e-02
1.018601e+02	-1.152700e-02
1.024484e+02	1.584710e-03
1.030402e+02	2.331928e-02
1.036353e+02	-4.168937e-03
1.042339e+02	-2.997809e-03
1.048360e+02	-2.745649e-04
1.054415e+02	9.480219e-03
1.060505e+02	3.598013e-03
1.066631e+02	-3.150822e-03
1.072791e+02	-9.229421e-03
1.078988e+02	-7.184852e-03
1.085220e+02	-8.075263e-05
1.091488e+02	9.867017e-04
1.097793e+02	1.919109e-02
1.104133e+02	8.690910e-03
