Frequency(Hz)	Magnitude(dB)
1.000000e+01	-3.083539e-04
1.005776e+01	1.693865e-02
1.011585e+01	1.262884e-02
1.017428e+01	1.323785e-02
1.023305e+01	9.306868e-03
1.029215e+01	8.172142e-03
1.035160e+01	5.784891e-03
1.041139e+01	8.780970e-03
1.047153e+01	1.690217e-03
1.053201e+01	2.833840e-02
1.059284e+01	1.452723e-02
1.065403e+01	-1.252669e-02
1.071556e+01	-3.692628e-03
1.077746e+01	-4.673098e-03
1.083971e+01	8.073201e-03
1.090232e+01	6.632781e-04
1.096529e+01	6.681325e-03
1.102862e+01	1.138220e-02
1.109232e+01	-6.873023e-03
1.115639e+01	4.042406e-03
1.122083e+01	-7.095092e-03
1.128564e+01	3.713416e-03
1.135083e+01	2.142289e-03
1.141639e+01	-1.250744e-03
1.148233e+01	7.357904e-03
1.154865e+01	1.858462e-03
1.161536e+01	-1.962290e-03
1.168245e+01	1.781386e-03
1.174992e+01	-5.773602e-03
1.181779e+01	1.557019e-02
1.188605e+01	-4.315008e-03
1.195470e+01	1.646567e-03
1.202375e+01	-2.231357e-03
1.209320e+01	-1.744317e-03
1.216305e+01	-1.505403e-02
1.223330e+01	2.458586e-03
1.230396e+01	-1.612674e-03
1.237503e+01	-1.478864e-02
1.244651e+01	1.045148e-02
1.251840e+01	-1.632498e-02
1.259070e+01	-1.685680e-02
1.266343e+01	4.095802e-03
1.273657e+01	6.893982e-03
1.281014e+01	8.106205e-03
1.288413e+01	7.939316e-03
1.295855e+01	7.261034e-03
1.303339e+01	5.430115e-03
1.310867e+01	1.099664e-03
1.318439e+01	-1.206014e-02
1.326054e+01	-4.454594e-03
1.333713e+01	-9.529154e-03
1.341417e+01	8.297539e-04
1.349165e+01	3.853405e-03
1.356958e+01	-1.318894e-03
1.364795e+01	3.340114e-03
1.372678e+01	-8.827044e-03
1.380607e+01	8.191407e-03
1.388581e+01	3.387022e-03
1.396602e+01	-8.362324e-03
1.404668e+01	1.067090e-02
1.412782e+01	-6.909478e-03
1.420942e+01	3.444036e-03
