Frequency(Hz)	Magnitude(dB)
1.000000e+01	4.975929e-04
1.005776e+01	-2.402434e-03
1.011585e+01	5.687457e-03
1.017428e+01	-6.339804e-03
1.023305e+01	-1.395562e-02
1.029215e+01	-3.122893e-03
1.035160e+01	5.964886e-03
1.041139e+01	-1.314398e-03
1.047153e+01	1.568226e-03
1.053201e+01	-4.681092e-03
1.059284e+01	-7.952155e-03
1.065403e+01	2.161750e-03
1.071556e+01	-1.456633e-03
1.077746e+01	-3.984730e-03
1.083971e+01	-1.061582e-02
1.090232e+01	8.109798e-03
1.096529e+01	1.194576e-02
1.102862e+01	-2.260328e-03
1.109232e+01	7.145521e-04
1.115639e+01	5.108597e-03
1.122083e+01	-3.655550e-03
1.128564e+01	-1.947629e-02
1.135083e+01	-5.985968e-03
1.141639e+01	-5.828918e-03
1.148233e+01	-3.909421e-03
1.154865e+01	4.692040e-03
1.161536e+01	4.066741e-03
1.168245e+01	-1.511104e-02
1.174992e+01	-8.200799e-03
1.181779e+01	1.231500e-03
1.188605e+01	-2.516049e-03
1.195470e+01	-1.472029e-02
1.202375e+01	8.485287e-03
1.209320e+01	8.647562e-03
1.216305e+01	-3.105227e-03
1.223330e+01	9.217077e-03
1.230396e+01	-3.757167e-04
1.237503e+01	-1.378205e-02
1.244651e+01	9.210567e-04
1.251840e+01	-3.476036e-04
1.259070e+01	-2.358099e-02
1.266343e+01	2.856873e-03
1.273657e+01	1.991923e-02
1.281014e+01	-2.965412e-03
1.288413e+01	6.482922e-03
1.295855e+01	-8.118444e-03
1.303339e+01	5.773111e-03
1.310867e+01	-1.671120e-03
1.318439e+01	2.122816e-04
1.326054e+01	2.118426e-02
1.333713e+01	-7.831689e-03
1.341417e+01	4.450227e-04
1.349165e+01	-2.147036e-03
1.356958e+01	1.462286e-02
1.364795e+01	-2.798586e-04
1.372678e+01	-4.880655e-03
1.380607e+01	1.141989e-02
1.388581e+01	-1.588720e-02
1.396602e+01	4.538669e-03
1.404668e+01	4.594341e-03
1.412782e+01	-8.539308e-03
1.420942e+01	3.719628e-03
1.429149e+01	-8.257000e-03
1.437404e+01	-1.401648e-02
1.445706e+01	-1.514751e-02
1.454057e+01	-6.356305e-03
1.462455e+01	5.461109e-03
1.470902e+01	-1.579642e-02
1.479398e+01	9.954719e-03
1.487943e+01	-2.992260e-03
1.496537e+01	-1.242583e-02
1.505181e+01	9.069069e-03
1.513875e+01	-3.067195e-03
1.522619e+01	-6.397003e-03
1.531414e+01	2.894562e-03
1.540259e+01	2.696708e-03
1.549156e+01	2.110016e-02
1.558103e+01	8.959326e-03
1.567103e+01	2.234039e-03
1.576155e+01	1.611457e-02
1.585258e+01	9.861475e-03
1.594415e+01	-1.126285e-02
1.603624e+01	-7.558091e-03
1.612886e+01	-1.597883e-03
1.622202e+01	-7.811538e-03
1.631572e+01	2.021534e-03
1.640996e+01	-1.827797e-03
1.650474e+01	8.242505e-03
1.660008e+01	1.184187e-02
1.669596e+01	-2.567749e-03
1.679239e+01	2.919504e-03
1.688938e+01	-6.111655e-03
1.698694e+01	-9.000534e-03
1.708505e+01	6.579381e-03
1.718373e+01	-2.273365e-04
1.728299e+01	-5.723667e-03
1.738281e+01	4.409453e-03
1.748322e+01	8.098933e-03
1.758420e+01	1.446483e-02
1.768576e+01	-5.180972e-03
1.778792e+01	-8.620697e-03
1.789066e+01	-1.572861e-02
1.799399e+01	-1.855285e-03
1.809793e+01	1.000431e-02
1.820246e+01	-6.098526e-03
1.830760e+01	-2.404504e-03
1.841334e+01	-1.879752e-03
1.851969e+01	6.423817e-03
1.862666e+01	5.193435e-03
1.873425e+01	-2.007257e-02
1.884246e+01	-6.514932e-03
1.895129e+01	2.285225e-04
1.906075e+01	-4.599277e-03
1.917085e+01	-7.891147e-03
1.928158e+01	-3.364350e-03
1.939295e+01	-6.295621e-03
1.950496e+01	-1.742551e-03
1.961762e+01	8.779830e-04
1.973093e+01	5.324507e-03
1.984490e+01	-1.109852e-02
1.995952e+01	-9.670117e-03
2.007480e+01	-1.031949e-02
2.019076e+01	-1.200716e-03
2.030738e+01	5.110946e-03
2.042467e+01	-1.382380e-02
2.054264e+01	7.762767e-03
2.066130e+01	8.640552e-03
2.078064e+01	2.517701e-03
2.090066e+01	4.819233e-03
2.102139e+01	7.357258e-03
2.114280e+01	-3.448694e-05
2.126492e+01	-1.506778e-03
2.138775e+01	-6.239663e-03
2.151128e+01	-4.574753e-03
2.163553e+01	-1.698701e-02
2.176050e+01	1.831313e-03
2.188619e+01	1.153356e-02
2.201260e+01	-1.977136e-03
2.213974e+01	-8.845063e-03
2.226762e+01	4.037393e-03
2.239624e+01	4.936415e-03
2.252560e+01	4.663959e-03
2.265571e+01	5.589757e-03
2.278656e+01	-1.988444e-03
2.291818e+01	1.599793e-02
2.305055e+01	-1.457229e-02
2.318369e+01	-5.775516e-03
2.331760e+01	9.173053e-03
2.345228e+01	-6.777317e-03
2.358774e+01	-5.356031e-04
2.372398e+01	7.214713e-04
2.386101e+01	1.345807e-02
2.399883e+01	1.543908e-03
2.413745e+01	-8.382711e-03
2.427686e+01	-1.071945e-02
2.441709e+01	-7.622557e-03
2.455812e+01	1.017638e-02
2.469997e+01	-3.094214e-03
2.484263e+01	-1.239397e-02
2.498612e+01	6.709581e-03
2.513044e+01	-1.255504e-02
2.527559e+01	1.213514e-03
2.542158e+01	1.228316e-02
2.556842e+01	-1.821838e-02
2.571610e+01	-7.521441e-03
2.586463e+01	-2.127373e-04
2.601403e+01	-2.328380e-03
2.616428e+01	6.123380e-03
2.631541e+01	1.659742e-03
2.646740e+01	-4.103570e-03
2.662028e+01	1.087218e-02
2.677404e+01	1.074570e-02
2.692868e+01	-2.893305e-03
2.708422e+01	-1.101526e-02
2.724066e+01	-7.913296e-03
2.739800e+01	1.284683e-02
2.755625e+01	-8.550688e-03
2.771541e+01	1.196205e-02
2.787550e+01	-7.664734e-03
2.803650e+01	2.380957e-02
2.819844e+01	-2.366162e-03
2.836131e+01	-2.512846e-03
2.852513e+01	-1.795503e-02
2.868989e+01	-2.970578e-03
2.885560e+01	-1.644294e-02
2.902227e+01	7.519389e-03
2.918990e+01	3.858327e-03
2.935850e+01	8.834709e-03
2.952807e+01	-7.597324e-03
2.969863e+01	1.469293e-02
2.987016e+01	-1.247014e-02
3.004269e+01	-2.048876e-03
3.021622e+01	1.531619e-02
3.039075e+01	1.300847e-02
3.056628e+01	3.646197e-03
3.074283e+01	3.966927e-03
3.092040e+01	1.603295e-02
3.109900e+01	-2.061983e-02
3.127862e+01	-2.030982e-02
3.145929e+01	6.012427e-03
3.164099e+01	2.373726e-03
3.182375e+01	-2.986600e-03
3.200756e+01	-8.116834e-03
3.219244e+01	6.192404e-03
3.237838e+01	-4.252351e-03
3.256540e+01	1.067832e-02
3.275349e+01	1.272082e-02
3.294268e+01	5.878330e-03
3.313295e+01	4.104184e-03
3.332433e+01	2.497736e-03
3.351681e+01	1.143480e-02
3.371040e+01	6.357359e-03
3.390511e+01	-1.662687e-02
3.410094e+01	-3.241427e-03
3.429791e+01	-1.413973e-02
