Frequency(Hz)	Magnitude(dB)
1.000000e+01	1.029072e-02
1.005776e+01	-1.555272e-02
1.011585e+01	-5.907235e-04
1.017428e+01	-1.273353e-03
1.023305e+01	7.035051e-03
1.029215e+01	-3.322649e-03
1.035160e+01	2.336971e-03
1.041139e+01	-1.417469e-04
1.047153e+01	-1.801675e-03
1.053201e+01	-1.307798e-03
1.059284e+01	2.226455e-02
1.065403e+01	4.837913e-03
1.071556e+01	-5.025254e-04
1.077746e+01	-4.350735e-03
1.083971e+01	-4.777922e-03
1.090232e+01	-1.153860e-02
1.096529e+01	8.830318e-03
1.102862e+01	5.299451e-03
1.109232e+01	-6.158097e-03
1.115639e+01	-1.362663e-02
1.122083e+01	1.097751e-02
1.128564e+01	5.534667e-03
1.135083e+01	2.228336e-03
1.141639e+01	-1.779130e-02
1.148233e+01	-1.158922e-02
1.154865e+01	6.316132e-03
1.161536e+01	1.457534e-03
1.168245e+01	-8.150152e-03
1.174992e+01	-3.447958e-04
1.181779e+01	-1.225429e-02
1.188605e+01	-4.228098e-03
1.195470e+01	-3.324326e-03
1.202375e+01	6.853097e-04
1.209320e+01	-3.430107e-03
1.216305e+01	-9.496400e-03
1.223330e+01	1.399064e-02
1.230396e+01	-6.358416e-03
1.237503e+01	5.281042e-03
1.244651e+01	-8.323815e-03
1.251840e+01	-1.674738e-03
1.259070e+01	-2.812772e-03
1.266343e+01	6.083597e-05
1.273657e+01	1.389488e-02
1.281014e+01	-1.221238e-02
1.288413e+01	-7.475916e-03
1.295855e+01	6.657495e-03
1.303339e+01	6.873608e-03
1.310867e+01	3.122014e-03
1.318439e+01	8.692270e-03
1.326054e+01	-1.336092e-03
1.333713e+01	-6.596095e-04
1.341417e+01	-1.712254e-03
1.349165e+01	1.708774e-02
1.356958e+01	-2.844032e-03
1.364795e+01	1.261784e-02
1.372678e+01	-1.140857e-02
1.380607e+01	-1.354649e-02
1.388581e+01	5.421879e-03
1.396602e+01	2.749431e-03
1.404668e+01	1.396764e-02
1.412782e+01	1.095780e-02
1.420942e+01	1.120076e-02
1.429149e+01	1.780754e-03
1.437404e+01	9.356838e-04
1.445706e+01	1.600916e-02
1.454057e+01	-1.521095e-03
1.462455e+01	4.832912e-03
1.470902e+01	-9.391554e-03
1.479398e+01	-6.669551e-04
1.487943e+01	-1.444921e-02
1.496537e+01	1.317234e-02
1.505181e+01	9.123503e-03
1.513875e+01	-4.474811e-03
1.522619e+01	-4.323351e-03
1.531414e+01	1.484754e-02
1.540259e+01	-4.739760e-03
1.549156e+01	-8.073467e-03
1.558103e+01	6.182313e-03
1.567103e+01	6.058443e-04
1.576155e+01	-9.280740e-03
1.585258e+01	7.650614e-03
1.594415e+01	6.017312e-03
1.603624e+01	4.302521e-03
1.612886e+01	-8.530553e-03
1.622202e+01	-6.457432e-03
1.631572e+01	1.139577e-02
1.640996e+01	8.426809e-03
1.650474e+01	2.402208e-04
1.660008e+01	1.008416e-02
1.669596e+01	1.095551e-03
1.679239e+01	1.961391e-03
1.688938e+01	1.282276e-02
1.698694e+01	-5.094518e-04
1.708505e+01	1.477883e-02
1.718373e+01	4.424045e-03
1.728299e+01	-2.507390e-03
1.738281e+01	-8.099706e-03
1.748322e+01	-1.166408e-02
1.758420e+01	1.888128e-02
1.768576e+01	5.169200e-04
1.778792e+01	1.055463e-03
1.789066e+01	-9.424457e-03
1.799399e+01	-7.416973e-03
1.809793e+01	-8.571965e-03
1.820246e+01	-1.631748e-02
1.830760e+01	-1.405345e-02
1.841334e+01	-3.067250e-04
1.851969e+01	1.735357e-02
1.862666e+01	1.808872e-02
1.873425e+01	9.181994e-03
1.884246e+01	1.096139e-02
1.895129e+01	-1.735657e-03
1.906075e+01	-4.519141e-04
1.917085e+01	-1.101329e-02
1.928158e+01	-1.288617e-02
1.939295e+01	1.432098e-02
1.950496e+01	6.412649e-03
1.961762e+01	4.168033e-04
1.973093e+01	-1.351362e-02
1.984490e+01	-1.182447e-02
1.995952e+01	3.254624e-03
2.007480e+01	-3.053518e-03
2.019076e+01	-3.471908e-02
2.030738e+01	4.947336e-04
2.042467e+01	1.270290e-02
2.054264e+01	-2.343749e-02
2.066130e+01	-4.847549e-03
2.078064e+01	5.541736e-03
2.090066e+01	5.946598e-03
2.102139e+01	-5.696858e-03
2.114280e+01	-2.778018e-02
2.126492e+01	7.676897e-04
2.138775e+01	1.426921e-02
2.151128e+01	3.306732e-03
2.163553e+01	-1.744488e-02
2.176050e+01	-3.681118e-03
2.188619e+01	2.439571e-03
2.201260e+01	5.545667e-03
2.213974e+01	1.023321e-02
2.226762e+01	1.954334e-03
2.239624e+01	1.569627e-03
2.252560e+01	-1.344900e-02
2.265571e+01	-8.087112e-03
2.278656e+01	-6.323222e-03
2.291818e+01	2.976669e-04
2.305055e+01	1.195184e-02
2.318369e+01	1.583605e-02
2.331760e+01	-8.126630e-05
2.345228e+01	1.071021e-03
2.358774e+01	-1.356498e-03
2.372398e+01	1.008265e-02
2.386101e+01	7.886281e-03
2.399883e+01	-5.329131e-03
2.413745e+01	-1.739864e-03
2.427686e+01	9.787881e-03
2.441709e+01	1.648008e-02
2.455812e+01	4.883512e-03
2.469997e+01	-5.469043e-04
2.484263e+01	7.711336e-03
2.498612e+01	-1.662152e-03
2.513044e+01	-1.414362e-03
2.527559e+01	1.122400e-02
2.542158e+01	3.666571e-03
2.556842e+01	4.740912e-03
2.571610e+01	4.769903e-03
2.586463e+01	1.479022e-02
2.601403e+01	2.373259e-03
2.616428e+01	-1.745421e-02
2.631541e+01	1.721386e-02
2.646740e+01	7.284026e-03
2.662028e+01	-9.070449e-03
2.677404e+01	1.331501e-03
2.692868e+01	-1.123742e-02
2.708422e+01	6.913666e-03
2.724066e+01	1.353301e-02
2.739800e+01	1.367047e-02
2.755625e+01	6.859974e-04
2.771541e+01	1.028462e-02
2.787550e+01	1.563295e-02
2.803650e+01	6.874230e-03
2.819844e+01	3.261668e-03
2.836131e+01	2.686419e-03
