Frequency(Hz)	Magnitude(dB)
1.000000e+01	-1.506227e-05
1.005776e+01	-1.523677e-05
1.011585e+01	-1.541329e-05
1.017428e+01	-1.559186e-05
1.023305e+01	-1.577249e-05
1.029215e+01	-1.595522e-05
1.035160e+01	-1.614007e-05
1.041139e+01	-1.632705e-05
1.047153e+01	-1.651621e-05
1.053201e+01	-1.670755e-05
1.059284e+01	-1.690111e-05
1.065403e+01	-1.709692e-05
1.071556e+01	-1.729499e-05
1.077746e+01	-1.749536e-05
1.083971e+01	-1.769804e-05
1.090232e+01	-1.790308e-05
1.096529e+01	-1.811049e-05
1.102862e+01	-1.832031e-05
1.109232e+01	-1.853255e-05
1.115639e+01	-1.874726e-05
1.122083e+01	-1.896445e-05
1.128564e+01	-1.918416e-05
1.135083e+01	-1.940641e-05
1.141639e+01	-1.963124e-05
1.148233e+01	-1.985867e-05
1.154865e+01	-2.008874e-05
1.161536e+01	-2.032147e-05
1.168245e+01	-2.055690e-05
1.174992e+01	-2.079506e-05
1.181779e+01	-2.103597e-05
1.188605e+01	-2.127968e-05
1.195470e+01	-2.152621e-05
1.202375e+01	-2.177560e-05
1.209320e+01	-2.202787e-05
1.216305e+01	-2.228307e-05
1.223330e+01	-2.254123e-05
1.230396e+01	-2.280237e-05
1.237503e+01	-2.306654e-05
1.244651e+01	-2.333378e-05
1.251840e+01	-2.360410e-05
1.259070e+01	-2.387756e-05
1.266343e+01	-2.415419e-05
1.273657e+01	-2.443402e-05
1.281014e+01	-2.471710e-05
1.288413e+01	-2.500345e-05
1.295855e+01	-2.529312e-05
1.303339e+01	-2.558615e-05
1.310867e+01	-2.588257e-05
1.318439e+01	-2.618243e-05
1.326054e+01	-2.648576e-05
1.333713e+01	-2.679260e-05
1.341417e+01	-2.710300e-05
1.349165e+01	-2.741699e-05
1.356958e+01	-2.773463e-05
1.364795e+01	-2.805594e-05
1.372678e+01	-2.838097e-05
1.380607e+01	-2.870977e-05
1.388581e+01	-2.904238e-05
1.396602e+01	-2.937885e-05
1.404668e+01	-2.971921e-05
1.412782e+01	-3.006351e-05
1.420942e+01	-3.041181e-05
1.429149e+01	-3.076413e-05
1.437404e+01	-3.112054e-05
1.445706e+01	-3.148108e-05
1.454057e+01	-3.184580e-05
1.462455e+01	-3.221474e-05
1.470902e+01	-3.258796e-05
1.479398e+01	-3.296549e-05
1.487943e+01	-3.334741e-05
1.496537e+01	-3.373374e-05
1.505181e+01	-3.412456e-05
1.513875e+01	-3.451990e-05
1.522619e+01	-3.491982e-05
1.531414e+01	-3.532437e-05
1.540259e+01	-3.573362e-05
1.549156e+01	-3.614760e-05
1.558103e+01	-3.656638e-05
1.567103e+01	-3.699001e-05
1.576155e+01	-3.741854e-05
1.585258e+01	-3.785205e-05
1.594415e+01	-3.829057e-05
1.603624e+01	-3.873418e-05
1.612886e+01	-3.918292e-05
1.622202e+01	-3.963686e-05
1.631572e+01	-4.009606e-05
1.640996e+01	-4.056059e-05
1.650474e+01	-4.103049e-05
1.660008e+01	-4.150584e-05
1.669596e+01	-4.198669e-05
1.679239e+01	-4.247312e-05
1.688938e+01	-4.296518e-05
1.698694e+01	-4.346294e-05
1.708505e+01	-4.396647e-05
1.718373e+01	-4.447583e-05
1.728299e+01	-4.499109e-05
1.738281e+01	-4.551232e-05
1.748322e+01	-4.603959e-05
1.758420e+01	-4.657297e-05
1.768576e+01	-4.711253e-05
1.778792e+01	-4.765834e-05
1.789066e+01	-4.821047e-05
1.799399e+01	-4.876900e-05
1.809793e+01	-4.933400e-05
1.820246e+01	-4.990554e-05
1.830760e+01	-5.048371e-05
1.841334e+01	-5.106857e-05
1.851969e+01	-5.166021e-05
1.862666e+01	-5.225871e-05
1.873425e+01	-5.286414e-05
1.884246e+01	-5.347658e-05
1.895129e+01	-5.409612e-05
1.906075e+01	-5.472283e-05
1.917085e+01	-5.535681e-05
1.928158e+01	-5.599813e-05
1.939295e+01	-5.664687e-05
1.950496e+01	-5.730314e-05
1.961762e+01	-5.796701e-05
1.973093e+01	-5.863857e-05
1.984490e+01	-5.931791e-05
1.995952e+01	-6.000512e-05
2.007480e+01	-6.070029e-05
2.019076e+01	-6.140351e-05
2.030738e+01	-6.211489e-05
2.042467e+01	-6.283450e-05
2.054264e+01	-6.356245e-05
2.066130e+01	-6.429883e-05
2.078064e+01	-6.504375e-05
2.090066e+01	-6.579729e-05
2.102139e+01	-6.655957e-05
2.114280e+01	-6.733067e-05
2.126492e+01	-6.811071e-05
2.138775e+01	-6.889978e-05
2.151128e+01	-6.969800e-05
2.163553e+01	-7.050547e-05
2.176050e+01	-7.132228e-05
2.188619e+01	-7.214857e-05
2.201260e+01	-7.298442e-05
2.213974e+01	-7.382996e-05
2.226762e+01	-7.468529e-05
2.239624e+01	-7.555053e-05
2.252560e+01	-7.642580e-05
2.265571e+01	-7.731121e-05
2.278656e+01	-7.820687e-05
2.291818e+01	-7.911291e-05
2.305055e+01	-8.002945e-05
2.318369e+01	-8.095660e-05
2.331760e+01	-8.189450e-05
2.345228e+01	-8.284326e-05
2.358774e+01	-8.380301e-05
2.372398e+01	-8.477388e-05
2.386101e+01	-8.575600e-05
2.399883e+01	-8.674950e-05
2.413745e+01	-8.775451e-05
2.427686e+01	-8.877116e-05
2.441709e+01	-8.979959e-05
2.455812e+01	-9.083993e-05
2.469997e+01	-9.189232e-05
2.484263e+01	-9.295691e-05
2.498612e+01	-9.403383e-05
2.513044e+01	-9.512323e-05
2.527559e+01	-9.622524e-05
2.542158e+01	-9.734003e-05
2.556842e+01	-9.846773e-05
2.571610e+01	-9.960849e-05
2.586463e+01	-1.007625e-04
2.601403e+01	-1.019298e-04
2.616428e+01	-1.031107e-04
2.631541e+01	-1.043052e-04
2.646740e+01	-1.055136e-04
2.662028e+01	-1.067360e-04
2.677404e+01	-1.079726e-04
2.692868e+01	-1.092234e-04
2.708422e+01	-1.104888e-04
2.724066e+01	-1.117688e-04
2.739800e+01	-1.130637e-04
2.755625e+01	-1.143736e-04
2.771541e+01	-1.156986e-04
2.787550e+01	-1.170390e-04
2.803650e+01	-1.183949e-04
2.819844e+01	-1.197665e-04
2.836131e+01	-1.211540e-04
2.852513e+01	-1.225576e-04
2.868989e+01	-1.239774e-04
2.885560e+01	-1.254137e-04
2.902227e+01	-1.268667e-04
2.918990e+01	-1.283364e-04
2.935850e+01	-1.298232e-04
2.952807e+01	-1.313272e-04
2.969863e+01	-1.328487e-04
2.987016e+01	-1.343877e-04
3.004269e+01	-1.359446e-04
3.021622e+01	-1.375196e-04
3.039075e+01	-1.391127e-04
3.056628e+01	-1.407244e-04
3.074283e+01	-1.423547e-04
3.092040e+01	-1.440039e-04
3.109900e+01	-1.456722e-04
3.127862e+01	-1.473598e-04
3.145929e+01	-1.490670e-04
3.164099e+01	-1.507939e-04
3.182375e+01	-1.525409e-04
3.200756e+01	-1.543081e-04
3.219244e+01	-1.560957e-04
3.237838e+01	-1.579041e-04
3.256540e+01	-1.597335e-04
3.275349e+01	-1.615840e-04
3.294268e+01	-1.634559e-04
3.313295e+01	-1.653496e-04
3.332433e+01	-1.672652e-04
3.351681e+01	-1.692029e-04
3.371040e+01	-1.711632e-04
3.390511e+01	-1.731461e-04
3.410094e+01	-1.751520e-04
3.429791e+01	-1.771812e-04
3.449601e+01	-1.792338e-04
3.469526e+01	-1.813102e-04
3.489566e+01	-1.834107e-04
3.509721e+01	-1.855355e-04
3.529993e+01	-1.876850e-04
3.550382e+01	-1.898593e-04
3.570889e+01	-1.920588e-04
3.591515e+01	-1.942838e-04
3.612259e+01	-1.965346e-04
3.633123e+01	-1.988115e-04
3.654108e+01	-2.011147e-04
3.675214e+01	-2.034446e-04
3.696442e+01	-2.058015e-04
3.717792e+01	-2.081857e-04
3.739266e+01	-2.105976e-04
3.760864e+01	-2.130373e-04
3.782587e+01	-2.155054e-04
3.804435e+01	-2.180020e-04
3.826409e+01	-2.205276e-04
3.848510e+01	-2.230824e-04
3.870739e+01	-2.256668e-04
3.893096e+01	-2.282811e-04
3.915583e+01	-2.309257e-04
3.938199e+01	-2.336010e-04
3.960946e+01	-2.363073e-04
3.983824e+01	-2.390449e-04
4.006834e+01	-2.418142e-04
4.029978e+01	-2.446156e-04
4.053255e+01	-2.474495e-04
4.076666e+01	-2.503162e-04
4.100213e+01	-2.532161e-04
4.123896e+01	-2.561495e-04
4.147715e+01	-2.591170e-04
4.171672e+01	-2.621189e-04
4.195767e+01	-2.651555e-04
4.220002e+01	-2.682273e-04
4.244377e+01	-2.713347e-04
4.268892e+01	-2.744781e-04
4.293549e+01	-2.776579e-04
4.318348e+01	-2.808745e-04
4.343291e+01	-2.841284e-04
4.368377e+01	-2.874200e-04
4.393609e+01	-2.907498e-04
4.418986e+01	-2.941181e-04
4.444510e+01	-2.975254e-04
4.470182e+01	-3.009722e-04
4.496001e+01	-3.044589e-04
4.521970e+01	-3.079860e-04
4.548089e+01	-3.115540e-04
