Frequency(Hz)	Magnitude(dB)
1.000000e+01	-3.332555e-04
1.005776e+01	-6.729304e-03
1.011585e+01	1.020343e-02
1.017428e+01	-7.295593e-03
1.023305e+01	1.103387e-02
1.029215e+01	1.833407e-03
1.035160e+01	-8.374220e-03
1.041139e+01	-5.550681e-04
1.047153e+01	-1.494249e-02
1.053201e+01	-4.054487e-03
1.059284e+01	-4.522679e-03
1.065403e+01	-9.469748e-03
1.071556e+01	-1.470836e-02
1.077746e+01	3.377896e-03
1.083971e+01	1.216104e-03
1.090232e+01	-4.410535e-03
1.096529e+01	9.362988e-03
1.102862e+01	1.184232e-02
1.109232e+01	1.889458e-02
1.115639e+01	-1.425515e-02
1.122083e+01	-4.260380e-03
1.128564e+01	7.505163e-03
1.135083e+01	-3.194153e-03
1.141639e+01	9.241506e-03
1.148233e+01	-8.561981e-03
1.154865e+01	7.529595e-03
1.161536e+01	1.145143e-02
1.168245e+01	-8.068747e-03
1.174992e+01	-1.247125e-03
1.181779e+01	1.363682e-03
1.188605e+01	1.841529e-03
1.195470e+01	8.689558e-03
1.202375e+01	-1.471702e-03
1.209320e+01	-6.225093e-04
1.216305e+01	-5.108140e-03
1.223330e+01	3.536678e-03
1.230396e+01	-3.519051e-03
1.237503e+01	3.551512e-03
1.244651e+01	-9.239281e-04
1.251840e+01	2.163526e-02
1.259070e+01	-3.071409e-04
1.266343e+01	2.514609e-02
1.273657e+01	-2.337096e-02
1.281014e+01	-1.396255e-02
1.288413e+01	-8.356580e-04
1.295855e+01	-2.676438e-03
1.303339e+01	-1.548133e-02
1.310867e+01	-1.079351e-02
1.318439e+01	-8.475185e-03
1.326054e+01	3.223385e-04
1.333713e+01	-1.533206e-02
1.341417e+01	-1.541567e-02
1.349165e+01	-6.432596e-03
1.356958e+01	-3.397411e-03
1.364795e+01	-5.367875e-03
1.372678e+01	-5.162734e-03
1.380607e+01	1.229289e-02
1.388581e+01	-1.009114e-02
1.396602e+01	1.056268e-02
1.404668e+01	1.670144e-02
1.412782e+01	-2.546317e-02
1.420942e+01	1.287356e-02
1.429149e+01	-5.794865e-03
1.437404e+01	7.465121e-03
1.445706e+01	1.004633e-02
1.454057e+01	-7.648994e-03
1.462455e+01	-1.074051e-02
1.470902e+01	-1.452270e-02
1.479398e+01	-4.586403e-03
1.487943e+01	1.306372e-02
1.496537e+01	5.904428e-03
1.505181e+01	-2.626947e-03
1.513875e+01	-8.688692e-03
1.522619e+01	-7.804838e-03
1.531414e+01	-1.044215e-03
1.540259e+01	9.042542e-03
1.549156e+01	4.591829e-03
1.558103e+01	-6.989781e-03
1.567103e+01	4.670182e-03
1.576155e+01	1.764029e-02
1.585258e+01	8.592092e-03
1.594415e+01	-5.239883e-04
1.603624e+01	9.735005e-03
1.612886e+01	-5.645440e-03
1.622202e+01	-1.597159e-04
1.631572e+01	-4.592948e-03
1.640996e+01	-8.454076e-03
1.650474e+01	7.350871e-03
1.660008e+01	-5.186413e-03
1.669596e+01	1.770508e-02
1.679239e+01	-4.408781e-03
1.688938e+01	-1.580629e-02
1.698694e+01	1.164310e-02
1.708505e+01	-4.454084e-03
1.718373e+01	-8.022312e-03
1.728299e+01	1.204287e-03
1.738281e+01	2.485752e-03
1.748322e+01	-2.063689e-03
1.758420e+01	-9.831846e-04
1.768576e+01	2.086998e-03
1.778792e+01	-7.531166e-03
1.789066e+01	-2.410322e-03
1.799399e+01	-1.651973e-02
1.809793e+01	-1.380424e-04
1.820246e+01	-5.596911e-03
1.830760e+01	-5.107952e-03
1.841334e+01	1.067871e-04
1.851969e+01	-1.537652e-02
1.862666e+01	-7.584761e-03
1.873425e+01	-1.404899e-02
1.884246e+01	1.035862e-02
1.895129e+01	-9.015780e-04
1.906075e+01	4.556612e-03
1.917085e+01	9.068590e-03
1.928158e+01	6.314119e-03
1.939295e+01	1.434538e-02
1.950496e+01	-6.088793e-04
1.961762e+01	9.296191e-03
1.973093e+01	7.199821e-03
1.984490e+01	1.039545e-02
1.995952e+01	-1.211195e-02
2.007480e+01	-1.511928e-03
2.019076e+01	1.569237e-02
2.030738e+01	-6.577300e-03
2.042467e+01	1.571994e-04
2.054264e+01	1.253734e-03
2.066130e+01	-3.010122e-03
2.078064e+01	4.401835e-03
2.090066e+01	7.404758e-03
2.102139e+01	1.427939e-02
2.114280e+01	-6.536845e-03
2.126492e+01	3.004475e-03
2.138775e+01	3.879480e-03
2.151128e+01	6.843055e-03
2.163553e+01	7.349822e-04
2.176050e+01	-1.364854e-02
2.188619e+01	1.635787e-03
2.201260e+01	8.827082e-04
2.213974e+01	5.799678e-04
2.226762e+01	1.657899e-02
2.239624e+01	1.689342e-02
2.252560e+01	-1.316920e-02
2.265571e+01	-1.421291e-02
2.278656e+01	4.785459e-03
2.291818e+01	6.656113e-03
2.305055e+01	-1.428199e-02
2.318369e+01	6.070289e-03
2.331760e+01	-9.132635e-03
2.345228e+01	-3.871414e-04
2.358774e+01	-1.058045e-04
2.372398e+01	2.058038e-03
2.386101e+01	1.442495e-02
2.399883e+01	-1.475702e-02
2.413745e+01	-1.100082e-03
2.427686e+01	1.637434e-03
2.441709e+01	1.342500e-04
2.455812e+01	1.370778e-02
2.469997e+01	2.169802e-02
2.484263e+01	1.508119e-02
2.498612e+01	-1.500730e-02
2.513044e+01	-1.593530e-02
2.527559e+01	8.856429e-04
2.542158e+01	-1.770568e-02
2.556842e+01	-1.421573e-02
2.571610e+01	3.377118e-03
2.586463e+01	-5.312999e-03
2.601403e+01	2.881097e-03
2.616428e+01	1.272704e-02
2.631541e+01	7.642832e-04
2.646740e+01	-7.408937e-03
2.662028e+01	-4.057154e-04
2.677404e+01	5.142564e-03
2.692868e+01	9.137381e-03
2.708422e+01	1.237033e-03
2.724066e+01	5.758384e-03
2.739800e+01	-1.420266e-02
2.755625e+01	-1.926006e-03
2.771541e+01	1.335228e-02
2.787550e+01	-7.664575e-04
2.803650e+01	7.718202e-03
2.819844e+01	-1.212424e-02
2.836131e+01	1.483120e-02
2.852513e+01	3.036812e-03
2.868989e+01	1.485616e-02
2.885560e+01	2.549313e-03
2.902227e+01	1.346680e-02
2.918990e+01	3.391370e-03
2.935850e+01	-1.133945e-02
2.952807e+01	1.336018e-02
2.969863e+01	2.939220e-03
2.987016e+01	-8.717236e-03
3.004269e+01	-6.666191e-03
3.021622e+01	7.514339e-04
3.039075e+01	-2.397078e-02
3.056628e+01	-4.691828e-03
3.074283e+01	-6.773717e-03
3.092040e+01	3.265585e-03
3.109900e+01	-2.392335e-04
3.127862e+01	-2.379624e-03
3.145929e+01	-2.082712e-03
3.164099e+01	-1.043935e-02
3.182375e+01	1.337814e-02
3.200756e+01	-7.893312e-03
3.219244e+01	-4.509503e-03
3.237838e+01	2.637395e-03
3.256540e+01	-5.712200e-04
3.275349e+01	-1.431944e-02
3.294268e+01	3.964645e-03
3.313295e+01	-9.273914e-03
3.332433e+01	-1.215720e-02
3.351681e+01	1.399139e-02
3.371040e+01	-6.292686e-03
3.390511e+01	-4.496424e-03
3.410094e+01	1.062550e-02
3.429791e+01	2.145626e-03
3.449601e+01	-5.316395e-03
3.469526e+01	-6.250836e-03
3.489566e+01	1.163422e-02
3.509721e+01	1.259506e-02
3.529993e+01	9.177459e-03
3.550382e+01	2.511546e-03
3.570889e+01	1.934864e-02
3.591515e+01	7.008013e-03
3.612259e+01	1.104507e-02
3.633123e+01	-8.457529e-03
3.654108e+01	-2.282851e-03
3.675214e+01	-9.907963e-04
3.696442e+01	-8.469864e-04
3.717792e+01	-5.638464e-03
3.739266e+01	-6.206482e-03
3.760864e+01	-8.035911e-03
3.782587e+01	9.827159e-03
3.804435e+01	-1.494172e-02
3.826409e+01	-3.978035e-03
3.848510e+01	9.273579e-03
3.870739e+01	1.282128e-02
3.893096e+01	-1.309794e-02
3.915583e+01	1.154973e-02
3.938199e+01	-1.210830e-03
3.960946e+01	-1.447582e-02
3.983824e+01	-1.574742e-03
4.006834e+01	6.517735e-03
4.029978e+01	1.447364e-02
4.053255e+01	-1.009800e-04
4.076666e+01	7.927686e-03
4.100213e+01	-9.813615e-03
4.123896e+01	-2.131467e-03
4.147715e+01	-2.050725e-02
4.171672e+01	8.962813e-03
4.195767e+01	6.992041e-03
4.220002e+01	-8.858731e-04
4.244377e+01	1.645267e-02
4.268892e+01	-5.079391e-04
4.293549e+01	-2.001209e-03
4.318348e+01	-1.080859e-02
4.343291e+01	-8.557556e-03
4.368377e+01	-1.128649e-02
4.393609e+01	3.488335e-03
4.418986e+01	-8.272827e-03
4.444510e+01	4.278855e-03
4.470182e+01	-6.239218e-03
4.496001e+01	-1.177221e-02
4.521970e+01	3.696742e-03
4.548089e+01	-2.450061e-03
4.574358e+01	1.290051e-03
4.600779e+01	-1.372796e-02
4.627353e+01	1.376530e-02
4.654081e+01	7.556618e-05
4.680963e+01	-1.524870e-03
4.708000e+01	-9.377791e-03
4.735193e+01	5.475600e-03
4.762543e+01	-6.466834e-03
4.790051e+01	-6.181436e-03
4.817719e+01	6.631209e-04
4.845545e+01	-9.715454e-03
4.873533e+01	1.854374e-02
4.901682e+01	1.085614e-02
4.929994e+01	-4.704119e-03
4.958470e+01	-8.037518e-03
4.987110e+01	-7.975550e-03
5.015915e+01	-1.074880e-02
5.044887e+01	-1.155273e-03
5.074026e+01	-9.914701e-03
5.103333e+01	1.359586e-03
5.132810e+01	-3.825537e-03
5.162457e+01	-2.154405e-03
5.192275e+01	-1.691091e-02
5.222265e+01	7.298701e-03
5.252429e+01	4.422348e-03
5.282767e+01	1.218505e-02
5.313280e+01	5.944368e-04
5.343969e+01	-4.065346e-03
5.374836e+01	-3.151061e-03
5.405880e+01	5.665444e-03
5.437105e+01	1.898898e-03
5.468509e+01	1.248071e-02
5.500095e+01	-3.967467e-03
5.531863e+01	-9.852903e-03
5.563815e+01	-4.311431e-03
5.595951e+01	-1.336144e-02
5.628273e+01	-4.024749e-03
5.660782e+01	-5.848462e-03
5.693479e+01	-4.688613e-03
5.726364e+01	4.695655e-03
5.759439e+01	-1.304965e-03
5.792705e+01	-5.534493e-03
5.826164e+01	3.778865e-03
5.859815e+01	-1.422413e-02
5.893662e+01	-7.839283e-03
5.927703e+01	9.630759e-04
5.961941e+01	-9.988680e-04
5.996377e+01	1.891131e-02
6.031012e+01	-1.897970e-02
6.065847e+01	-9.067837e-03
6.100883e+01	-3.792342e-03
6.136121e+01	-5.108381e-03
6.171563e+01	3.294312e-03
6.207210e+01	-2.726342e-03
6.243063e+01	6.812586e-03
6.279122e+01	-9.446977e-03
6.315390e+01	-2.046895e-03
6.351868e+01	2.861372e-03
6.388556e+01	4.038071e-03
6.425456e+01	-8.935629e-03
6.462569e+01	-1.405739e-02
6.499897e+01	1.421065e-02
6.537440e+01	1.026869e-02
6.575200e+01	-9.423318e-03
6.613178e+01	7.360066e-03
6.651375e+01	3.550419e-04
6.689793e+01	-2.510741e-03
6.728433e+01	-5.945872e-05
6.767297e+01	2.486566e-02
6.806384e+01	8.018646e-03
6.845698e+01	-2.232694e-02
6.885238e+01	-1.587042e-02
6.925007e+01	-1.765945e-02
