Frequency(Hz)	Magnitude(dB)
1.000000e+01	-6.584204e-03
1.005776e+01	-1.809009e-02
1.011585e+01	1.252472e-02
1.017428e+01	9.672231e-03
1.023305e+01	-1.220768e-02
1.029215e+01	-3.104545e-03
1.035160e+01	-3.307836e-03
1.041139e+01	2.782222e-04
1.047153e+01	1.001895e-02
1.053201e+01	1.229092e-02
1.059284e+01	-2.475493e-03
1.065403e+01	-1.298085e-02
1.071556e+01	-6.920145e-03
1.077746e+01	3.422163e-03
1.083971e+01	5.158003e-03
1.090232e+01	1.409007e-03
1.096529e+01	5.968533e-03
1.102862e+01	-9.631606e-03
1.109232e+01	4.562751e-03
1.115639e+01	-5.204782e-03
1.122083e+01	1.649164e-02
1.128564e+01	-5.160067e-03
1.135083e+01	-7.662738e-03
1.141639e+01	9.868587e-03
1.148233e+01	2.522844e-03
1.154865e+01	1.477812e-02
1.161536e+01	2.915080e-03
1.168245e+01	-6.462430e-03
1.174992e+01	2.741410e-03
1.181779e+01	1.027882e-02
1.188605e+01	-9.946859e-03
1.195470e+01	1.130890e-02
1.202375e+01	-5.620214e-03
1.209320e+01	-8.885322e-03
1.216305e+01	6.077065e-03
1.223330e+01	1.428966e-02
1.230396e+01	2.044861e-02
1.237503e+01	-2.870870e-03
1.244651e+01	-1.525645e-02
1.251840e+01	9.702896e-03
1.259070e+01	8.614100e-03
1.266343e+01	-1.410793e-03
1.273657e+01	5.962947e-03
1.281014e+01	3.442132e-04
1.288413e+01	2.672296e-03
1.295855e+01	-2.642395e-03
1.303339e+01	-5.080387e-03
1.310867e+01	-9.380734e-03
1.318439e+01	1.443388e-02
1.326054e+01	-6.639757e-03
1.333713e+01	-2.519573e-03
1.341417e+01	9.864903e-03
1.349165e+01	1.170527e-03
1.356958e+01	1.802943e-02
1.364795e+01	-9.305346e-03
1.372678e+01	1.173112e-02
1.380607e+01	6.327269e-03
1.388581e+01	6.810982e-03
1.396602e+01	2.660284e-03
1.404668e+01	2.144403e-02
1.412782e+01	-1.144612e-02
1.420942e+01	-7.443054e-03
1.429149e+01	7.730985e-03
1.437404e+01	9.520161e-03
1.445706e+01	1.322505e-02
1.454057e+01	-5.475548e-03
1.462455e+01	1.331569e-03
1.470902e+01	7.019790e-03
1.479398e+01	-2.861952e-03
1.487943e+01	9.185581e-03
1.496537e+01	1.718938e-02
1.505181e+01	-1.417046e-02
1.513875e+01	6.311045e-04
1.522619e+01	-6.340682e-03
1.531414e+01	1.200882e-02
1.540259e+01	-3.313168e-03
1.549156e+01	-1.545152e-02
1.558103e+01	4.715444e-03
1.567103e+01	-1.610862e-02
1.576155e+01	5.406754e-04
1.585258e+01	1.979044e-03
1.594415e+01	9.147140e-03
1.603624e+01	1.005542e-02
1.612886e+01	1.690033e-02
1.622202e+01	5.938250e-03
1.631572e+01	-1.020368e-02
1.640996e+01	5.975306e-03
1.650474e+01	-8.097103e-03
1.660008e+01	5.697403e-03
