Frequency(Hz)	Magnitude(dB)
1.000000e+01	1.198269e-02
1.005776e+01	1.059923e-03
1.011585e+01	-1.703180e-02
1.017428e+01	1.389658e-02
1.023305e+01	-3.442853e-03
1.029215e+01	-7.442167e-03
1.035160e+01	-1.179635e-02
1.041139e+01	9.055073e-03
1.047153e+01	1.223322e-02
1.053201e+01	2.387988e-03
1.059284e+01	1.283408e-02
1.065403e+01	1.688835e-02
1.071556e+01	-6.284220e-03
1.077746e+01	-3.848145e-03
1.083971e+01	1.244382e-02
1.090232e+01	2.042749e-02
1.096529e+01	4.703425e-03
1.102862e+01	1.060259e-02
1.109232e+01	9.165339e-03
1.115639e+01	1.144707e-02
1.122083e+01	1.567154e-02
1.128564e+01	-2.198612e-02
1.135083e+01	-1.484536e-02
1.141639e+01	-1.943093e-03
1.148233e+01	1.256685e-04
1.154865e+01	6.117499e-03
1.161536e+01	3.255822e-04
1.168245e+01	-1.569281e-02
1.174992e+01	-3.227739e-03
1.181779e+01	7.691513e-04
1.188605e+01	2.140886e-02
1.195470e+01	6.312804e-03
1.202375e+01	8.498734e-03
1.209320e+01	-8.324862e-03
1.216305e+01	1.039352e-04
1.223330e+01	-8.002580e-03
1.230396e+01	9.074765e-03
1.237503e+01	1.362286e-02
1.244651e+01	-3.235134e-03
1.251840e+01	5.737002e-03
1.259070e+01	1.317693e-02
1.266343e+01	-6.174755e-03
1.273657e+01	-1.320890e-02
1.281014e+01	-1.728172e-02
1.288413e+01	5.640890e-03
1.295855e+01	-8.994802e-03
1.303339e+01	9.459296e-03
1.310867e+01	-4.738756e-03
1.318439e+01	3.190702e-03
1.326054e+01	-9.242931e-03
1.333713e+01	7.570913e-03
1.341417e+01	-7.272898e-03
1.349165e+01	1.688540e-02
1.356958e+01	7.414696e-03
1.364795e+01	-7.055632e-04
1.372678e+01	-4.460093e-04
1.380607e+01	-2.321649e-02
1.388581e+01	1.621778e-02
1.396602e+01	-2.258102e-02
1.404668e+01	-1.497513e-02
1.412782e+01	-2.978863e-03
1.420942e+01	1.382654e-02
1.429149e+01	-1.186532e-03
1.437404e+01	-6.396223e-03
1.445706e+01	-8.542441e-03
1.454057e+01	-6.408686e-03
1.462455e+01	1.162111e-02
1.470902e+01	1.938651e-03
1.479398e+01	-1.150039e-02
1.487943e+01	-1.598640e-02
1.496537e+01	-8.853466e-03
1.505181e+01	1.419234e-02
1.513875e+01	-7.040042e-03
1.522619e+01	-1.216700e-02
1.531414e+01	5.691231e-03
1.540259e+01	-1.537673e-02
1.549156e+01	-3.976207e-03
1.558103e+01	-3.249338e-03
1.567103e+01	2.988373e-02
1.576155e+01	-1.181750e-03
1.585258e+01	-1.649047e-02
1.594415e+01	5.150143e-03
1.603624e+01	-9.016351e-03
1.612886e+01	-1.442978e-02
1.622202e+01	-1.986215e-02
1.631572e+01	-2.763057e-03
1.640996e+01	7.076104e-03
1.650474e+01	-3.614618e-03
1.660008e+01	7.610993e-03
1.669596e+01	1.996618e-02
1.679239e+01	5.856409e-03
1.688938e+01	-1.360981e-02
