Frequency(Hz)	Magnitude(dB)
1.000000e+01	-1.442021e-05
1.005776e+01	-1.458728e-05
1.011585e+01	-1.475627e-05
1.017428e+01	-1.492723e-05
1.023305e+01	-1.510016e-05
1.029215e+01	-1.527510e-05
1.035160e+01	-1.545207e-05
1.041139e+01	-1.563109e-05
1.047153e+01	-1.581218e-05
1.053201e+01	-1.599536e-05
1.059284e+01	-1.618067e-05
1.065403e+01	-1.636813e-05
1.071556e+01	-1.655776e-05
1.077746e+01	-1.674959e-05
1.083971e+01	-1.694364e-05
1.090232e+01	-1.713993e-05
1.096529e+01	-1.733850e-05
1.102862e+01	-1.753937e-05
1.109232e+01	-1.774257e-05
1.115639e+01	-1.794812e-05
1.122083e+01	-1.815606e-05
1.128564e+01	-1.836640e-05
1.135083e+01	-1.857918e-05
1.141639e+01	-1.879442e-05
1.148233e+01	-1.901216e-05
1.154865e+01	-1.923242e-05
1.161536e+01	-1.945524e-05
1.168245e+01	-1.968063e-05
1.174992e+01	-1.990863e-05
1.181779e+01	-2.013928e-05
1.188605e+01	-2.037260e-05
1.195470e+01	-2.060862e-05
1.202375e+01	-2.084738e-05
1.209320e+01	-2.108890e-05
1.216305e+01	-2.133322e-05
1.223330e+01	-2.158037e-05
1.230396e+01	-2.183038e-05
1.237503e+01	-2.208329e-05
1.244651e+01	-2.233913e-05
1.251840e+01	-2.259794e-05
1.259070e+01	-2.285974e-05
1.266343e+01	-2.312458e-05
1.273657e+01	-2.339248e-05
1.281014e+01	-2.366349e-05
1.288413e+01	-2.393764e-05
1.295855e+01	-2.421496e-05
1.303339e+01	-2.449550e-05
1.310867e+01	-2.477928e-05
1.318439e+01	-2.506636e-05
1.326054e+01	-2.535676e-05
1.333713e+01	-2.565052e-05
1.341417e+01	-2.594769e-05
1.349165e+01	-2.624830e-05
1.356958e+01	-2.655239e-05
1.364795e+01	-2.686001e-05
1.372678e+01	-2.717119e-05
1.380607e+01	-2.748597e-05
1.388581e+01	-2.780440e-05
1.396602e+01	-2.812653e-05
1.404668e+01	-2.845238e-05
1.412782e+01	-2.878201e-05
1.420942e+01	-2.911545e-05
1.429149e+01	-2.945276e-05
1.437404e+01	-2.979398e-05
1.445706e+01	-3.013915e-05
1.454057e+01	-3.048832e-05
1.462455e+01	-3.084153e-05
1.470902e+01	-3.119884e-05
1.479398e+01	-3.156029e-05
1.487943e+01	-3.192592e-05
1.496537e+01	-3.229579e-05
1.505181e+01	-3.266994e-05
1.513875e+01	-3.304843e-05
1.522619e+01	-3.343131e-05
1.531414e+01	-3.381861e-05
1.540259e+01	-3.421041e-05
1.549156e+01	-3.460675e-05
1.558103e+01	-3.500767e-05
1.567103e+01	-3.541325e-05
1.576155e+01	-3.582352e-05
1.585258e+01	-3.623854e-05
1.594415e+01	-3.665837e-05
1.603624e+01	-3.708307e-05
1.612886e+01	-3.751268e-05
1.622202e+01	-3.794728e-05
1.631572e+01	-3.838691e-05
1.640996e+01	-3.883163e-05
1.650474e+01	-3.928150e-05
1.660008e+01	-3.973658e-05
1.669596e+01	-4.019694e-05
1.679239e+01	-4.066263e-05
1.688938e+01	-4.113372e-05
1.698694e+01	-4.161026e-05
1.708505e+01	-4.209233e-05
1.718373e+01	-4.257997e-05
1.728299e+01	-4.307327e-05
1.738281e+01	-4.357229e-05
1.748322e+01	-4.407708e-05
1.758420e+01	-4.458772e-05
1.768576e+01	-4.510428e-05
1.778792e+01	-4.562683e-05
1.789066e+01	-4.615542e-05
1.799399e+01	-4.669014e-05
1.809793e+01	-4.723106e-05
1.820246e+01	-4.777824e-05
1.830760e+01	-4.833176e-05
1.841334e+01	-4.889170e-05
1.851969e+01	-4.945812e-05
1.862666e+01	-5.003110e-05
1.873425e+01	-5.061072e-05
1.884246e+01	-5.119706e-05
1.895129e+01	-5.179018e-05
1.906075e+01	-5.239018e-05
1.917085e+01	-5.299714e-05
1.928158e+01	-5.361112e-05
1.939295e+01	-5.423221e-05
1.950496e+01	-5.486051e-05
1.961762e+01	-5.549608e-05
1.973093e+01	-5.613901e-05
1.984490e+01	-5.678939e-05
1.995952e+01	-5.744731e-05
2.007480e+01	-5.811285e-05
2.019076e+01	-5.878610e-05
2.030738e+01	-5.946714e-05
2.042467e+01	-6.015608e-05
2.054264e+01	-6.085300e-05
2.066130e+01	-6.155800e-05
2.078064e+01	-6.227116e-05
2.090066e+01	-6.299258e-05
2.102139e+01	-6.372236e-05
2.114280e+01	-6.446060e-05
2.126492e+01	-6.520739e-05
2.138775e+01	-6.596283e-05
2.151128e+01	-6.672702e-05
2.163553e+01	-6.750007e-05
2.176050e+01	-6.828207e-05
2.188619e+01	-6.907313e-05
2.201260e+01	-6.987335e-05
2.213974e+01	-7.068285e-05
2.226762e+01	-7.150172e-05
2.239624e+01	-7.233008e-05
2.252560e+01	-7.316804e-05
2.265571e+01	-7.401570e-05
2.278656e+01	-7.487319e-05
2.291818e+01	-7.574061e-05
2.305055e+01	-7.661808e-05
2.318369e+01	-7.750571e-05
2.331760e+01	-7.840363e-05
2.345228e+01	-7.931195e-05
2.358774e+01	-8.023079e-05
2.372398e+01	-8.116028e-05
2.386101e+01	-8.210053e-05
2.399883e+01	-8.305168e-05
2.413745e+01	-8.401385e-05
2.427686e+01	-8.498716e-05
2.441709e+01	-8.597175e-05
2.455812e+01	-8.696775e-05
2.469997e+01	-8.797529e-05
2.484263e+01	-8.899450e-05
2.498612e+01	-9.002551e-05
2.513044e+01	-9.106847e-05
2.527559e+01	-9.212351e-05
2.542158e+01	-9.319078e-05
2.556842e+01	-9.427041e-05
2.571610e+01	-9.536254e-05
2.586463e+01	-9.646733e-05
2.601403e+01	-9.758492e-05
2.616428e+01	-9.871546e-05
2.631541e+01	-9.985909e-05
2.646740e+01	-1.010160e-04
2.662028e+01	-1.021863e-04
2.677404e+01	-1.033701e-04
2.692868e+01	-1.045677e-04
2.708422e+01	-1.057791e-04
2.724066e+01	-1.070046e-04
2.739800e+01	-1.082442e-04
2.755625e+01	-1.094982e-04
2.771541e+01	-1.107668e-04
2.787550e+01	-1.120500e-04
2.803650e+01	-1.133482e-04
2.819844e+01	-1.146613e-04
2.836131e+01	-1.159897e-04
2.852513e+01	-1.173334e-04
2.868989e+01	-1.186927e-04
2.885560e+01	-1.200678e-04
2.902227e+01	-1.214588e-04
2.918990e+01	-1.228659e-04
2.935850e+01	-1.242893e-04
2.952807e+01	-1.257293e-04
2.969863e+01	-1.271858e-04
2.987016e+01	-1.286593e-04
3.004269e+01	-1.301498e-04
3.021622e+01	-1.316576e-04
3.039075e+01	-1.331829e-04
3.056628e+01	-1.347258e-04
3.074283e+01	-1.362866e-04
3.092040e+01	-1.378655e-04
3.109900e+01	-1.394627e-04
3.127862e+01	-1.410784e-04
3.145929e+01	-1.427128e-04
3.164099e+01	-1.443662e-04
3.182375e+01	-1.460387e-04
3.200756e+01	-1.477305e-04
3.219244e+01	-1.494420e-04
3.237838e+01	-1.511733e-04
3.256540e+01	-1.529246e-04
3.275349e+01	-1.546963e-04
3.294268e+01	-1.564885e-04
3.313295e+01	-1.583014e-04
3.332433e+01	-1.601353e-04
3.351681e+01	-1.619905e-04
3.371040e+01	-1.638672e-04
3.390511e+01	-1.657656e-04
3.410094e+01	-1.676860e-04
3.429791e+01	-1.696286e-04
3.449601e+01	-1.715938e-04
3.469526e+01	-1.735817e-04
3.489566e+01	-1.755927e-04
3.509721e+01	-1.776269e-04
3.529993e+01	-1.796847e-04
3.550382e+01	-1.817664e-04
3.570889e+01	-1.838721e-04
3.591515e+01	-1.860023e-04
3.612259e+01	-1.881572e-04
3.633123e+01	-1.903370e-04
3.654108e+01	-1.925420e-04
3.675214e+01	-1.947726e-04
3.696442e+01	-1.970291e-04
3.717792e+01	-1.993116e-04
3.739266e+01	-2.016207e-04
3.760864e+01	-2.039565e-04
3.782587e+01	-2.063193e-04
3.804435e+01	-2.087095e-04
3.826409e+01	-2.111274e-04
3.848510e+01	-2.135733e-04
3.870739e+01	-2.160475e-04
3.893096e+01	-2.185505e-04
3.915583e+01	-2.210824e-04
3.938199e+01	-2.236436e-04
3.960946e+01	-2.262345e-04
3.983824e+01	-2.288554e-04
4.006834e+01	-2.315067e-04
4.029978e+01	-2.341887e-04
4.053255e+01	-2.369018e-04
4.076666e+01	-2.396463e-04
4.100213e+01	-2.424226e-04
4.123896e+01	-2.452310e-04
4.147715e+01	-2.480720e-04
4.171672e+01	-2.509459e-04
4.195767e+01	-2.538531e-04
4.220002e+01	-2.567940e-04
4.244377e+01	-2.597689e-04
4.268892e+01	-2.627783e-04
4.293549e+01	-2.658226e-04
4.318348e+01	-2.689021e-04
4.343291e+01	-2.720173e-04
4.368377e+01	-2.751686e-04
4.393609e+01	-2.783564e-04
4.418986e+01	-2.815811e-04
4.444510e+01	-2.848432e-04
4.470182e+01	-2.881431e-04
4.496001e+01	-2.914812e-04
4.521970e+01	-2.948580e-04
4.548089e+01	-2.982739e-04
4.574358e+01	-3.017294e-04
4.600779e+01	-3.052249e-04
4.627353e+01	-3.087608e-04
4.654081e+01	-3.123378e-04
4.680963e+01	-3.159562e-04
4.708000e+01	-3.196165e-04
4.735193e+01	-3.233192e-04
4.762543e+01	-3.270648e-04
4.790051e+01	-3.308538e-04
4.817719e+01	-3.346867e-04
4.845545e+01	-3.385640e-04
4.873533e+01	-3.424862e-04
4.901682e+01	-3.464538e-04
4.929994e+01	-3.504674e-04
4.958470e+01	-3.545275e-04
4.987110e+01	-3.586346e-04
5.015915e+01	-3.627893e-04
5.044887e+01	-3.669922e-04
5.074026e+01	-3.712437e-04
5.103333e+01	-3.755445e-04
5.132810e+01	-3.798951e-04
5.162457e+01	-3.842961e-04
5.192275e+01	-3.887480e-04
5.222265e+01	-3.932516e-04
5.252429e+01	-3.978073e-04
