Frequency(Hz)	Magnitude(dB)
1.000000e+01	-2.077817e-02
1.005776e+01	-1.447539e-02
1.011585e+01	-2.497967e-03
1.017428e+01	1.840130e-03
1.023305e+01	5.281090e-03
1.029215e+01	4.007013e-03
1.035160e+01	-3.763531e-04
1.041139e+01	6.825412e-03
1.047153e+01	-9.261871e-03
1.053201e+01	-1.182995e-02
1.059284e+01	-2.743334e-03
1.065403e+01	1.848681e-02
1.071556e+01	3.398655e-03
1.077746e+01	-2.078647e-03
1.083971e+01	-5.759315e-03
1.090232e+01	-9.322155e-03
1.096529e+01	-1.944002e-02
1.102862e+01	-7.535809e-03
1.109232e+01	8.947913e-03
1.115639e+01	-1.928675e-03
1.122083e+01	-9.796311e-04
1.128564e+01	5.863756e-03
1.135083e+01	1.744320e-03
1.141639e+01	-7.606436e-03
1.148233e+01	-6.007233e-03
1.154865e+01	8.420944e-04
1.161536e+01	1.155300e-04
1.168245e+01	-1.244569e-02
1.174992e+01	-2.958515e-03
1.181779e+01	3.298824e-03
1.188605e+01	-7.781426e-03
1.195470e+01	-9.456816e-03
1.202375e+01	-1.709719e-03
1.209320e+01	2.153945e-04
1.216305e+01	-8.327120e-03
1.223330e+01	-1.236064e-02
1.230396e+01	7.461870e-03
1.237503e+01	6.927222e-04
1.244651e+01	-3.320999e-03
1.251840e+01	6.120435e-04
1.259070e+01	1.821625e-03
1.266343e+01	-1.656222e-02
1.273657e+01	-3.652809e-03
1.281014e+01	2.297286e-02
1.288413e+01	-3.467661e-03
1.295855e+01	1.161090e-02
1.303339e+01	8.689665e-04
1.310867e+01	-1.775030e-03
1.318439e+01	7.263285e-03
1.326054e+01	-1.494990e-04
1.333713e+01	-6.708921e-04
1.341417e+01	-6.571725e-03
1.349165e+01	-4.931360e-03
1.356958e+01	9.171445e-03
1.364795e+01	-4.063997e-03
1.372678e+01	-8.112048e-03
1.380607e+01	1.794393e-02
1.388581e+01	-1.636874e-02
1.396602e+01	-8.189939e-03
1.404668e+01	5.371095e-03
1.412782e+01	2.119123e-02
1.420942e+01	5.844396e-03
1.429149e+01	-8.596081e-03
1.437404e+01	-7.585030e-03
1.445706e+01	1.262727e-02
1.454057e+01	-4.726504e-03
1.462455e+01	-8.370947e-03
1.470902e+01	1.620128e-02
1.479398e+01	-2.400854e-03
1.487943e+01	8.579727e-04
1.496537e+01	-7.375205e-03
1.505181e+01	9.040339e-03
1.513875e+01	-3.286931e-03
1.522619e+01	2.190599e-03
1.531414e+01	-2.100936e-03
1.540259e+01	4.524935e-03
1.549156e+01	1.880423e-02
1.558103e+01	5.634746e-03
1.567103e+01	-1.117216e-03
1.576155e+01	9.992488e-03
1.585258e+01	-7.906745e-03
1.594415e+01	-3.244276e-03
1.603624e+01	1.378995e-02
1.612886e+01	9.710154e-03
1.622202e+01	-1.804814e-02
1.631572e+01	-1.189013e-02
1.640996e+01	-3.603086e-03
1.650474e+01	2.104080e-04
1.660008e+01	5.519257e-03
1.669596e+01	1.546534e-03
1.679239e+01	2.123799e-03
1.688938e+01	2.785672e-03
1.698694e+01	1.203461e-02
1.708505e+01	8.222449e-04
1.718373e+01	-1.156057e-02
1.728299e+01	2.798531e-03
1.738281e+01	-1.956077e-02
1.748322e+01	-1.338161e-02
1.758420e+01	1.706615e-02
1.768576e+01	-1.723326e-02
1.778792e+01	6.311858e-03
1.789066e+01	-3.587930e-03
1.799399e+01	-2.417610e-03
1.809793e+01	-2.386250e-02
1.820246e+01	1.013897e-02
1.830760e+01	2.155065e-02
1.841334e+01	5.997795e-03
1.851969e+01	1.186131e-02
1.862666e+01	-1.478554e-02
1.873425e+01	-1.086734e-02
1.884246e+01	-1.815511e-02
1.895129e+01	-5.776350e-03
1.906075e+01	-5.391800e-03
1.917085e+01	1.251069e-02
1.928158e+01	-4.489957e-03
1.939295e+01	6.599295e-04
1.950496e+01	-2.116495e-02
1.961762e+01	-7.484663e-04
1.973093e+01	2.994933e-03
1.984490e+01	-5.976538e-03
1.995952e+01	-4.753036e-04
2.007480e+01	-4.245458e-03
2.019076e+01	-1.873381e-03
2.030738e+01	-1.404662e-02
2.042467e+01	1.367056e-03
2.054264e+01	-3.953958e-03
2.066130e+01	-1.088898e-03
2.078064e+01	-7.376310e-03
2.090066e+01	6.994559e-03
2.102139e+01	1.699790e-03
2.114280e+01	-9.664193e-03
2.126492e+01	4.936041e-03
2.138775e+01	1.545275e-02
2.151128e+01	-1.457690e-03
2.163553e+01	-4.583987e-03
2.176050e+01	-1.037225e-02
2.188619e+01	4.306361e-03
2.201260e+01	-7.716570e-04
2.213974e+01	1.257126e-03
2.226762e+01	-1.118150e-02
2.239624e+01	-2.794964e-02
2.252560e+01	1.217471e-02
2.265571e+01	6.693444e-03
2.278656e+01	-4.913981e-03
2.291818e+01	6.680018e-03
2.305055e+01	7.614233e-03
2.318369e+01	2.156331e-02
2.331760e+01	-8.621369e-04
2.345228e+01	-1.561668e-02
2.358774e+01	1.254630e-02
2.372398e+01	7.802417e-03
2.386101e+01	5.036301e-03
2.399883e+01	8.310682e-03
2.413745e+01	5.242229e-03
2.427686e+01	-1.406889e-02
2.441709e+01	9.346892e-04
2.455812e+01	2.270258e-03
2.469997e+01	6.084661e-03
2.484263e+01	4.760365e-03
2.498612e+01	8.714470e-03
2.513044e+01	-2.113464e-02
2.527559e+01	1.988798e-02
2.542158e+01	1.472653e-03
2.556842e+01	9.206593e-03
2.571610e+01	-3.598409e-02
2.586463e+01	-4.461973e-03
2.601403e+01	-4.567671e-03
2.616428e+01	-1.056880e-02
2.631541e+01	5.633334e-03
2.646740e+01	1.443090e-03
2.662028e+01	1.259829e-02
2.677404e+01	7.536496e-03
2.692868e+01	-1.078611e-02
2.708422e+01	2.445789e-03
2.724066e+01	-1.011892e-02
2.739800e+01	-1.547500e-03
2.755625e+01	-2.833010e-03
2.771541e+01	7.535370e-03
2.787550e+01	-6.171282e-03
2.803650e+01	-2.725676e-03
2.819844e+01	-9.810305e-03
2.836131e+01	6.918865e-03
2.852513e+01	-9.038094e-03
2.868989e+01	-5.890893e-03
2.885560e+01	-5.220717e-03
2.902227e+01	3.088241e-03
2.918990e+01	-7.757771e-03
2.935850e+01	-1.234483e-03
2.952807e+01	-1.452046e-02
2.969863e+01	4.168976e-03
2.987016e+01	-7.308759e-03
3.004269e+01	2.578559e-05
3.021622e+01	-3.289174e-04
3.039075e+01	-7.142894e-03
3.056628e+01	-4.574129e-03
3.074283e+01	-5.389728e-03
3.092040e+01	-6.152377e-03
3.109900e+01	2.511156e-04
3.127862e+01	-8.403158e-03
3.145929e+01	7.408736e-03
3.164099e+01	1.972371e-02
3.182375e+01	-5.251189e-04
3.200756e+01	-7.719025e-03
3.219244e+01	-8.643353e-03
3.237838e+01	6.017384e-03
3.256540e+01	1.932959e-02
3.275349e+01	8.018294e-03
3.294268e+01	1.494554e-03
3.313295e+01	6.233564e-03
3.332433e+01	-8.602042e-03
3.351681e+01	1.265516e-03
3.371040e+01	2.162693e-03
3.390511e+01	5.821399e-03
3.410094e+01	5.886109e-03
3.429791e+01	-1.026349e-02
