Frequency(Hz)	Magnitude(dB)
1.000000e+01	-1.962807e-02
1.005776e+01	-2.145414e-03
1.011585e+01	-5.671949e-03
1.017428e+01	-1.276466e-02
1.023305e+01	-3.633086e-03
1.029215e+01	-6.387209e-03
1.035160e+01	-1.531086e-02
1.041139e+01	1.490783e-03
1.047153e+01	2.093865e-04
1.053201e+01	2.530051e-03
1.059284e+01	1.134012e-02
1.065403e+01	-5.265159e-03
1.071556e+01	2.218472e-03
1.077746e+01	1.800099e-02
1.083971e+01	1.051439e-02
1.090232e+01	-8.048319e-03
1.096529e+01	9.197517e-04
1.102862e+01	2.210653e-02
1.109232e+01	4.326339e-03
1.115639e+01	-1.395939e-02
1.122083e+01	7.541696e-03
1.128564e+01	-9.962737e-03
1.135083e+01	1.103455e-02
1.141639e+01	-7.205129e-03
1.148233e+01	1.818354e-02
1.154865e+01	-1.796594e-03
1.161536e+01	-7.749715e-03
1.168245e+01	-1.031796e-02
1.174992e+01	1.282690e-02
1.181779e+01	1.326710e-02
1.188605e+01	-1.102423e-02
1.195470e+01	1.177160e-02
1.202375e+01	-2.850671e-03
1.209320e+01	2.480471e-02
1.216305e+01	-2.939228e-04
1.223330e+01	1.112700e-02
1.230396e+01	8.729093e-03
1.237503e+01	4.839584e-04
1.244651e+01	-6.174164e-03
1.251840e+01	-3.291987e-02
1.259070e+01	6.204682e-03
1.266343e+01	8.216719e-04
1.273657e+01	1.919221e-02
1.281014e+01	7.664298e-03
1.288413e+01	-9.354959e-03
1.295855e+01	6.553996e-03
1.303339e+01	4.167066e-04
1.310867e+01	-5.842145e-03
1.318439e+01	4.087422e-04
1.326054e+01	-1.904066e-02
1.333713e+01	2.767993e-03
1.341417e+01	8.052473e-03
1.349165e+01	8.757969e-04
1.356958e+01	1.648908e-03
1.364795e+01	-5.942027e-03
1.372678e+01	-8.587681e-03
1.380607e+01	-1.992966e-03
1.388581e+01	-4.135345e-03
1.396602e+01	-8.693101e-03
1.404668e+01	-7.087223e-03
1.412782e+01	-7.952273e-03
1.420942e+01	1.994854e-02
1.429149e+01	-1.127521e-02
1.437404e+01	1.981077e-02
1.445706e+01	8.308867e-03
1.454057e+01	1.155730e-02
1.462455e+01	-5.808984e-03
1.470902e+01	-1.113650e-03
1.479398e+01	1.748855e-03
1.487943e+01	-7.126508e-03
1.496537e+01	-2.370199e-04
1.505181e+01	1.437046e-02
1.513875e+01	1.176089e-02
1.522619e+01	1.618255e-02
1.531414e+01	1.224403e-03
1.540259e+01	-1.837562e-02
1.549156e+01	1.796485e-02
1.558103e+01	-5.371658e-03
1.567103e+01	-2.657354e-02
1.576155e+01	8.453277e-03
1.585258e+01	-7.043374e-04
1.594415e+01	7.602414e-03
1.603624e+01	-3.045069e-03
1.612886e+01	7.641867e-03
1.622202e+01	-1.145686e-02
1.631572e+01	-2.655700e-03
1.640996e+01	3.525759e-03
1.650474e+01	-2.289237e-02
1.660008e+01	1.492236e-02
1.669596e+01	7.215056e-03
1.679239e+01	1.140125e-02
1.688938e+01	-1.652747e-02
1.698694e+01	-1.183118e-02
1.708505e+01	-3.680442e-03
1.718373e+01	-2.650098e-03
1.728299e+01	-2.034809e-02
1.738281e+01	5.049171e-03
1.748322e+01	1.358833e-02
1.758420e+01	-6.978359e-03
1.768576e+01	1.790907e-03
1.778792e+01	4.297215e-03
1.789066e+01	-1.231715e-02
1.799399e+01	-2.611848e-02
1.809793e+01	-4.727536e-03
1.820246e+01	-1.084727e-02
1.830760e+01	-1.512844e-02
1.841334e+01	-8.804436e-04
1.851969e+01	-8.880421e-03
1.862666e+01	8.165042e-03
1.873425e+01	1.023840e-02
1.884246e+01	-5.685936e-03
1.895129e+01	2.662110e-03
1.906075e+01	-8.819309e-03
1.917085e+01	-3.752910e-03
1.928158e+01	-2.512755e-03
1.939295e+01	1.295438e-02
1.950496e+01	-1.398982e-02
1.961762e+01	8.808032e-03
1.973093e+01	-5.804907e-03
1.984490e+01	-1.867134e-03
1.995952e+01	1.549418e-02
2.007480e+01	2.173569e-02
2.019076e+01	-2.215446e-02
2.030738e+01	-3.527092e-03
2.042467e+01	-1.108955e-02
2.054264e+01	1.747623e-02
2.066130e+01	8.310918e-03
2.078064e+01	-1.871513e-03
2.090066e+01	6.553993e-03
2.102139e+01	1.341803e-02
2.114280e+01	-7.544149e-03
2.126492e+01	-3.764510e-03
2.138775e+01	-6.873513e-03
2.151128e+01	-3.598055e-03
2.163553e+01	2.470945e-02
2.176050e+01	1.932923e-03
2.188619e+01	1.052150e-03
2.201260e+01	-1.749320e-02
2.213974e+01	1.835513e-02
2.226762e+01	2.401723e-03
2.239624e+01	-6.034614e-03
2.252560e+01	1.075718e-02
2.265571e+01	-3.577650e-03
2.278656e+01	-5.434815e-03
