Frequency(Hz)	Magnitude(dB)
1.000000e+01	-1.577407e+00
1.005776e+01	3.501827e-01
1.011585e+01	1.923868e-01
1.017428e+01	5.073408e-02
1.023305e+01	-5.687641e-01
1.029215e+01	1.594992e-02
1.035160e+01	-3.402092e-01
1.041139e+01	8.076996e-01
1.047153e+01	1.977105e-02
1.053201e+01	-1.162812e-01
1.059284e+01	-7.941231e-01
1.065403e+01	-6.007440e-01
1.071556e+01	7.228829e-02
1.077746e+01	1.668684e-01
1.083971e+01	3.558918e-01
1.090232e+01	-1.270827e+00
1.096529e+01	2.222382e-01
1.102862e+01	-8.260942e-02
1.109232e+01	1.969270e-01
1.115639e+01	-1.313098e+00
1.122083e+01	6.490623e-01
1.128564e+01	4.561707e-01
1.135083e+01	-7.877376e-01
1.141639e+01	4.571422e-01
1.148233e+01	-3.468741e-01
1.154865e+01	6.055562e-01
1.161536e+01	4.879905e-01
1.168245e+01	3.084136e-02
1.174992e+01	-1.369067e-01
1.181779e+01	-9.078277e-01
1.188605e+01	-6.219540e-01
1.195470e+01	2.960196e-01
1.202375e+01	-5.755636e-02
1.209320e+01	2.212106e-01
1.216305e+01	1.427938e-01
1.223330e+01	-1.936804e-01
1.230396e+01	-4.559417e-02
1.237503e+01	-8.703085e-01
1.244651e+01	-4.848356e-02
1.251840e+01	-2.267945e-01
1.259070e+01	3.582608e-01
1.266343e+01	-3.761398e-02
1.273657e+01	-5.597578e-02
1.281014e+01	1.209984e-01
1.288413e+01	-9.934262e-02
1.295855e+01	2.496677e-01
1.303339e+01	1.073638e+00
1.310867e+01	-4.243692e-01
1.318439e+01	-2.267128e-01
1.326054e+01	2.354026e-01
1.333713e+01	-3.515551e-02
1.341417e+01	-1.050732e+00
1.349165e+01	2.766670e-02
1.356958e+01	-1.339068e-02
1.364795e+01	8.183766e-02
1.372678e+01	9.967486e-02
1.380607e+01	-7.515062e-01
1.388581e+01	5.500832e-01
1.396602e+01	2.700551e-01
1.404668e+01	3.993465e-01
1.412782e+01	-2.483115e-01
1.420942e+01	1.665193e-01
1.429149e+01	1.614431e-01
1.437404e+01	-1.589509e-01
1.445706e+01	-1.225144e-02
1.454057e+01	-1.867920e-01
1.462455e+01	-7.103434e-01
1.470902e+01	-5.311819e-01
1.479398e+01	2.457919e-01
1.487943e+01	-7.304754e-02
1.496537e+01	3.197474e-01
1.505181e+01	-8.164662e-01
1.513875e+01	-6.090284e-01
1.522619e+01	-3.158027e-01
1.531414e+01	-4.120798e-01
1.540259e+01	1.259142e-01
1.549156e+01	-4.954207e-01
1.558103e+01	-1.948844e-01
1.567103e+01	3.297638e-01
1.576155e+01	6.255123e-01
1.585258e+01	-5.276764e-01
1.594415e+01	7.006938e-01
1.603624e+01	8.552190e-01
1.612886e+01	-3.922737e-01
1.622202e+01	-2.908990e-01
1.631572e+01	-5.121379e-02
1.640996e+01	2.900118e-01
1.650474e+01	-7.270598e-02
1.660008e+01	-9.037105e-01
1.669596e+01	6.876323e-01
1.679239e+01	-5.817459e-01
1.688938e+01	-6.713899e-01
1.698694e+01	-5.459362e-01
1.708505e+01	2.066255e-02
1.718373e+01	-7.049280e-01
1.728299e+01	-1.276921e-01
1.738281e+01	3.157190e-01
1.748322e+01	7.323494e-01
1.758420e+01	1.816714e-01
1.768576e+01	5.736230e-01
1.778792e+01	-1.367955e-01
1.789066e+01	1.530182e-01
1.799399e+01	9.317310e-02
1.809793e+01	1.064858e+00
1.820246e+01	-1.307860e-01
1.830760e+01	-6.402841e-02
1.841334e+01	-4.073264e-01
1.851969e+01	7.435329e-01
1.862666e+01	2.082191e-01
1.873425e+01	-3.998648e-01
1.884246e+01	5.973815e-01
1.895129e+01	-4.510924e-02
1.906075e+01	3.879957e-01
1.917085e+01	-5.844147e-01
1.928158e+01	4.984868e-02
1.939295e+01	6.845325e-01
1.950496e+01	-2.110668e-01
1.961762e+01	4.995242e-03
1.973093e+01	2.235979e-01
1.984490e+01	-1.278821e-02
1.995952e+01	2.099771e-01
2.007480e+01	3.413550e-01
2.019076e+01	3.185497e-01
2.030738e+01	-6.559477e-02
2.042467e+01	3.989244e-02
2.054264e+01	7.543095e-01
2.066130e+01	-3.181690e-01
2.078064e+01	2.368692e-01
2.090066e+01	-6.802663e-01
2.102139e+01	-1.266054e+00
2.114280e+01	1.071539e+00
2.126492e+01	-3.132540e-01
2.138775e+01	-4.214280e-01
2.151128e+01	-1.482466e-01
2.163553e+01	-4.520137e-02
2.176050e+01	1.038435e-01
2.188619e+01	-2.019063e-01
2.201260e+01	2.388654e-01
2.213974e+01	-1.045494e-01
2.226762e+01	-1.556255e+00
2.239624e+01	-3.325268e-01
2.252560e+01	6.009579e-01
2.265571e+01	-4.648656e-01
2.278656e+01	9.040563e-02
2.291818e+01	-1.180845e-01
2.305055e+01	6.114198e-01
2.318369e+01	-3.838580e-01
2.331760e+01	2.849005e-01
2.345228e+01	-4.260433e-01
2.358774e+01	5.037644e-01
