Frequency(Hz)	Magnitude(dB)
1.000000e+01	-5.168654e-01
1.005776e+01	-1.856939e-01
1.011585e+01	-2.253406e-02
1.017428e+01	3.345949e-01
1.023305e+01	3.409067e-01
1.029215e+01	-8.402238e-01
1.035160e+01	-8.151474e-01
1.041139e+01	2.990572e-01
1.047153e+01	-5.795695e-01
1.053201e+01	-1.832546e-01
1.059284e+01	1.499481e-01
1.065403e+01	-2.553988e-01
1.071556e+01	-3.053433e-03
1.077746e+01	1.882756e-01
1.083971e+01	-2.578040e-01
1.090232e+01	-8.999487e-02
1.096529e+01	2.061419e-02
1.102862e+01	5.998720e-01
1.109232e+01	6.467783e-01
1.115639e+01	5.853252e-01
1.122083e+01	-1.833652e-01
1.128564e+01	-1.215632e-01
1.135083e+01	4.056810e-02
1.141639e+01	-1.847742e-02
1.148233e+01	-3.504858e-01
1.154865e+01	-3.027649e-01
1.161536e+01	3.209387e-01
1.168245e+01	1.239319e-01
1.174992e+01	-2.675608e-01
1.181779e+01	-6.877764e-01
1.188605e+01	6.460661e-02
1.195470e+01	-2.491017e-01
1.202375e+01	1.765278e-01
1.209320e+01	-1.090939e-01
1.216305e+01	-6.051880e-01
1.223330e+01	-4.889689e-01
1.230396e+01	1.744288e-01
1.237503e+01	6.955416e-02
1.244651e+01	-4.438313e-01
1.251840e+01	-1.299987e+00
1.259070e+01	-2.445123e-01
1.266343e+01	-7.102355e-01
1.273657e+01	6.471038e-02
1.281014e+01	-4.034514e-01
1.288413e+01	1.158140e+00
1.295855e+01	1.483885e-01
1.303339e+01	-7.255002e-02
1.310867e+01	-1.173857e+00
1.318439e+01	2.022091e-01
1.326054e+01	1.606510e-02
1.333713e+01	1.226657e-01
1.341417e+01	1.767804e-01
1.349165e+01	2.509211e-01
1.356958e+01	1.922854e-01
1.364795e+01	7.896183e-01
1.372678e+01	-3.196691e-01
1.380607e+01	-1.044180e-01
1.388581e+01	6.464060e-01
1.396602e+01	2.535290e-01
1.404668e+01	-3.539191e-02
1.412782e+01	-2.868604e-01
1.420942e+01	-1.272199e-01
1.429149e+01	-4.891289e-01
1.437404e+01	4.838485e-01
1.445706e+01	7.841894e-01
1.454057e+01	3.464264e-01
1.462455e+01	3.424562e-01
1.470902e+01	6.307526e-02
1.479398e+01	-4.549274e-01
1.487943e+01	-4.300549e-01
1.496537e+01	-5.154768e-02
1.505181e+01	6.352484e-01
1.513875e+01	8.485041e-02
1.522619e+01	9.501238e-01
1.531414e+01	2.345898e-02
1.540259e+01	7.607583e-01
1.549156e+01	-1.933832e-01
1.558103e+01	2.952925e-01
1.567103e+01	3.433667e-01
1.576155e+01	-5.504297e-01
1.585258e+01	-8.832055e-01
1.594415e+01	1.234790e-01
1.603624e+01	-3.331098e-02
1.612886e+01	-2.235205e-02
1.622202e+01	1.338932e-01
1.631572e+01	-8.036847e-01
1.640996e+01	8.042942e-01
1.650474e+01	1.398705e-01
1.660008e+01	-4.435109e-01
1.669596e+01	1.871248e-01
1.679239e+01	-6.970318e-01
1.688938e+01	-6.137439e-01
1.698694e+01	3.536830e-02
1.708505e+01	9.740815e-01
1.718373e+01	-5.284141e-01
1.728299e+01	6.607982e-01
1.738281e+01	1.956982e-01
1.748322e+01	4.774291e-01
1.758420e+01	7.203521e-01
1.768576e+01	-6.380985e-01
1.778792e+01	3.101823e-02
1.789066e+01	-1.619159e-01
1.799399e+01	1.863540e-01
1.809793e+01	-4.902286e-02
1.820246e+01	8.583246e-01
1.830760e+01	9.614095e-01
1.841334e+01	-1.276577e-01
1.851969e+01	-1.525939e-02
1.862666e+01	3.421236e-01
1.873425e+01	1.206815e+00
1.884246e+01	4.256609e-01
1.895129e+01	-1.684677e-01
1.906075e+01	-4.504275e-01
1.917085e+01	-6.910429e-01
1.928158e+01	-4.730823e-01
1.939295e+01	2.640806e-01
1.950496e+01	-1.277442e-01
1.961762e+01	-2.310065e-01
1.973093e+01	3.859580e-01
1.984490e+01	1.541851e-01
1.995952e+01	1.642965e-01
2.007480e+01	-4.336282e-01
2.019076e+01	-1.082899e+00
2.030738e+01	-3.521682e-01
2.042467e+01	-3.120792e-01
2.054264e+01	4.986372e-02
2.066130e+01	2.460768e-01
2.078064e+01	-3.562281e-01
2.090066e+01	5.638423e-01
2.102139e+01	3.591739e-01
2.114280e+01	5.379764e-01
2.126492e+01	-3.179391e-01
2.138775e+01	-1.146047e-01
2.151128e+01	5.627493e-02
2.163553e+01	-5.053203e-02
2.176050e+01	8.845870e-01
2.188619e+01	2.741033e-01
2.201260e+01	-6.458524e-01
2.213974e+01	-8.618027e-02
2.226762e+01	-1.814182e-01
2.239624e+01	-6.646321e-01
2.252560e+01	2.925739e-01
2.265571e+01	3.458403e-01
2.278656e+01	3.793948e-01
2.291818e+01	-4.360251e-01
2.305055e+01	-2.686138e-01
2.318369e+01	-1.355019e-01
2.331760e+01	-5.835401e-01
2.345228e+01	2.371278e-01
2.358774e+01	-2.729954e-01
2.372398e+01	-4.500309e-02
2.386101e+01	-2.040213e-01
2.399883e+01	3.655128e-01
2.413745e+01	-3.886153e-02
2.427686e+01	7.028799e-01
2.441709e+01	2.535716e-01
2.455812e+01	-8.420798e-02
2.469997e+01	-4.518031e-01
2.484263e+01	-1.735160e-01
2.498612e+01	2.530612e-01
2.513044e+01	-6.830801e-01
2.527559e+01	7.674163e-01
2.542158e+01	9.876706e-01
2.556842e+01	5.532920e-01
2.571610e+01	7.588387e-02
2.586463e+01	-5.761037e-01
2.601403e+01	1.189584e-01
2.616428e+01	8.892268e-01
2.631541e+01	-2.416495e-01
2.646740e+01	1.799086e-01
2.662028e+01	3.873601e-01
2.677404e+01	-1.223488e-01
2.692868e+01	-1.776840e-01
2.708422e+01	1.027285e+00
2.724066e+01	2.992326e-01
2.739800e+01	-8.044234e-02
2.755625e+01	1.973184e-01
2.771541e+01	-9.902267e-01
2.787550e+01	4.382763e-01
2.803650e+01	2.006981e-01
2.819844e+01	5.802373e-01
2.836131e+01	-3.198401e-01
2.852513e+01	-1.368597e-01
2.868989e+01	4.760466e-02
2.885560e+01	3.787609e-01
2.902227e+01	-2.976379e-01
2.918990e+01	-7.429068e-02
2.935850e+01	-6.317106e-01
2.952807e+01	-3.778716e-01
2.969863e+01	7.345484e-01
2.987016e+01	-6.906621e-02
3.004269e+01	4.952738e-02
3.021622e+01	-8.112559e-01
3.039075e+01	-4.534084e-02
3.056628e+01	5.480056e-01
3.074283e+01	-7.951972e-01
3.092040e+01	2.933817e-01
3.109900e+01	9.890705e-01
3.127862e+01	-6.667922e-01
3.145929e+01	1.872780e-01
3.164099e+01	3.374725e-01
3.182375e+01	-3.678948e-01
3.200756e+01	1.803144e-01
3.219244e+01	2.556154e-01
3.237838e+01	-9.495816e-01
3.256540e+01	-2.603288e-01
3.275349e+01	5.380865e-02
3.294268e+01	8.658721e-02
3.313295e+01	7.807360e-02
3.332433e+01	6.134143e-02
3.351681e+01	4.431874e-01
3.371040e+01	-4.846094e-01
3.390511e+01	-1.367352e-01
3.410094e+01	-1.816338e-01
3.429791e+01	-2.995250e-01
3.449601e+01	8.233152e-02
3.469526e+01	6.780258e-01
3.489566e+01	1.298505e-01
3.509721e+01	9.171462e-01
3.529993e+01	-2.399673e-01
3.550382e+01	4.741313e-01
3.570889e+01	-2.659920e-03
3.591515e+01	-1.414374e-01
3.612259e+01	1.131776e-01
3.633123e+01	-2.699953e-01
3.654108e+01	8.927285e-01
3.675214e+01	2.402516e-01
3.696442e+01	-6.064817e-02
3.717792e+01	-1.643913e-01
3.739266e+01	-7.120294e-02
3.760864e+01	8.803450e-01
3.782587e+01	-4.861146e-01
3.804435e+01	-3.973422e-01
3.826409e+01	1.786170e-01
3.848510e+01	1.964435e-01
3.870739e+01	2.610131e-01
3.893096e+01	-3.735437e-01
3.915583e+01	3.737822e-02
3.938199e+01	-1.216811e-01
3.960946e+01	2.012894e-02
3.983824e+01	-3.303112e-01
