Frequency(Hz)	Magnitude(dB)
1.000000e+01	-6.011736e-01
1.005776e+01	5.789321e-02
1.011585e+01	2.800112e-01
1.017428e+01	-1.280486e+00
1.023305e+01	-2.935937e-01
1.029215e+01	5.484253e-01
1.035160e+01	-5.657369e-02
1.041139e+01	9.233783e-01
1.047153e+01	7.435856e-01
1.053201e+01	2.737090e-01
1.059284e+01	-2.795534e-01
1.065403e+01	-2.853920e-01
1.071556e+01	2.257711e-01
1.077746e+01	-6.972870e-01
1.083971e+01	-3.691761e-01
1.090232e+01	4.746416e-01
1.096529e+01	-3.240274e-01
1.102862e+01	9.984675e-02
1.109232e+01	3.175673e-01
1.115639e+01	7.542860e-01
1.122083e+01	-5.144330e-01
1.128564e+01	-3.212769e-01
1.135083e+01	5.919975e-01
1.141639e+01	2.441398e-01
1.148233e+01	1.504969e+00
1.154865e+01	1.684129e-01
1.161536e+01	-1.187418e-01
1.168245e+01	-3.376708e-02
1.174992e+01	-3.279937e-01
1.181779e+01	2.264854e-01
1.188605e+01	-2.561033e-02
1.195470e+01	4.884423e-01
1.202375e+01	-2.690619e-01
1.209320e+01	3.229927e-02
1.216305e+01	-6.053021e-02
1.223330e+01	1.080669e+00
1.230396e+01	4.725495e-01
1.237503e+01	-9.239194e-01
1.244651e+01	-8.500992e-02
1.251840e+01	-1.627050e-01
1.259070e+01	-6.780165e-01
1.266343e+01	-1.296335e+00
1.273657e+01	6.727401e-01
1.281014e+01	-1.228108e-01
1.288413e+01	1.858633e-01
1.295855e+01	4.512351e-01
1.303339e+01	3.682080e-01
1.310867e+01	1.575759e-01
1.318439e+01	8.450264e-01
1.326054e+01	9.452451e-02
1.333713e+01	4.701943e-01
1.341417e+01	-3.744982e-01
1.349165e+01	-2.555735e-01
1.356958e+01	9.940546e-01
1.364795e+01	4.388128e-01
1.372678e+01	-4.865489e-01
1.380607e+01	3.512350e-01
1.388581e+01	7.773932e-02
1.396602e+01	2.962281e-01
1.404668e+01	5.133265e-01
1.412782e+01	9.744232e-02
1.420942e+01	-2.822255e-01
1.429149e+01	-1.280747e-01
1.437404e+01	-3.950027e-01
1.445706e+01	-3.855998e-01
1.454057e+01	5.629781e-01
1.462455e+01	-9.910471e-01
1.470902e+01	6.971200e-01
1.479398e+01	-1.018848e+00
1.487943e+01	2.055960e-01
1.496537e+01	-2.067122e-02
1.505181e+01	-3.084398e-01
1.513875e+01	1.902122e-01
1.522619e+01	2.905682e-01
1.531414e+01	-2.166081e-01
1.540259e+01	6.988384e-01
1.549156e+01	-7.069248e-01
1.558103e+01	3.175236e-01
1.567103e+01	7.178777e-01
1.576155e+01	2.947136e-01
1.585258e+01	9.632999e-01
1.594415e+01	4.331172e-01
1.603624e+01	-2.630295e-01
1.612886e+01	5.731128e-01
1.622202e+01	-3.681215e-03
1.631572e+01	-6.150271e-02
1.640996e+01	-1.616132e-01
1.650474e+01	1.365088e-01
1.660008e+01	7.779462e-02
1.669596e+01	3.795036e-02
1.679239e+01	-4.207348e-01
1.688938e+01	3.668303e-01
1.698694e+01	-7.770283e-01
1.708505e+01	4.661913e-01
1.718373e+01	-1.600939e-01
1.728299e+01	-2.624228e-01
1.738281e+01	8.907069e-01
1.748322e+01	-4.575439e-01
1.758420e+01	1.102601e-01
1.768576e+01	4.974319e-01
1.778792e+01	2.307844e-01
1.789066e+01	-4.272146e-01
1.799399e+01	-1.739923e-01
1.809793e+01	-3.362836e-02
1.820246e+01	1.273863e-01
1.830760e+01	3.516643e-01
1.841334e+01	1.995266e-01
1.851969e+01	-8.191809e-02
1.862666e+01	-3.353057e-01
1.873425e+01	4.574850e-01
1.884246e+01	2.126634e-01
1.895129e+01	-3.881700e-01
1.906075e+01	4.922502e-01
1.917085e+01	-8.879392e-01
1.928158e+01	1.248339e+00
1.939295e+01	-4.230025e-01
1.950496e+01	-3.106608e-01
1.961762e+01	1.807215e-01
1.973093e+01	6.230988e-01
