Frequency(Hz)	Magnitude(dB)
1.000000e+01	1.902922e-01
1.005776e+01	-5.399666e-01
1.011585e+01	-6.998546e-01
1.017428e+01	-8.318438e-01
1.023305e+01	-5.397747e-01
1.029215e+01	4.485984e-01
1.035160e+01	2.780502e-01
1.041139e+01	1.382827e-01
1.047153e+01	-6.928366e-02
1.053201e+01	-2.730331e-01
1.059284e+01	4.962641e-01
1.065403e+01	1.231622e+00
1.071556e+01	2.675911e-02
1.077746e+01	-3.837714e-01
1.083971e+01	-1.146618e-01
1.090232e+01	7.014483e-02
1.096529e+01	-4.149078e-01
1.102862e+01	-1.333454e-01
1.109232e+01	6.701502e-02
1.115639e+01	1.206934e-01
1.122083e+01	-3.265716e-02
1.128564e+01	-1.128413e-01
1.135083e+01	3.825793e-01
1.141639e+01	9.702286e-01
1.148233e+01	1.276982e-02
1.154865e+01	-1.300546e-01
1.161536e+01	-7.138521e-02
1.168245e+01	-2.582258e-01
1.174992e+01	4.287781e-01
1.181779e+01	-6.590493e-01
1.188605e+01	-3.250275e-01
1.195470e+01	-5.817911e-03
1.202375e+01	-2.545963e-01
1.209320e+01	-8.887391e-02
1.216305e+01	-3.143190e-01
1.223330e+01	2.582569e-01
1.230396e+01	-5.648265e-01
1.237503e+01	1.303087e+00
1.244651e+01	1.043453e-01
1.251840e+01	-1.317641e-01
1.259070e+01	-4.591181e-01
1.266343e+01	8.094349e-02
1.273657e+01	-2.642765e-01
1.281014e+01	-4.087902e-01
1.288413e+01	-5.191775e-01
1.295855e+01	5.141043e-02
1.303339e+01	-6.881277e-01
1.310867e+01	-7.125650e-01
1.318439e+01	1.234424e-01
1.326054e+01	9.584792e-01
1.333713e+01	7.286018e-01
1.341417e+01	-3.727805e-01
1.349165e+01	8.497927e-01
1.356958e+01	3.275760e-01
1.364795e+01	9.954820e-01
1.372678e+01	1.191470e+00
1.380607e+01	-8.226386e-04
1.388581e+01	6.175241e-01
1.396602e+01	2.486724e-01
1.404668e+01	8.656732e-01
1.412782e+01	-1.131204e-01
1.420942e+01	-1.746972e-01
1.429149e+01	5.274310e-01
1.437404e+01	8.540788e-01
1.445706e+01	-9.523209e-02
1.454057e+01	1.422330e-01
1.462455e+01	2.890095e-01
1.470902e+01	-6.778904e-02
1.479398e+01	1.005755e+00
1.487943e+01	-6.075678e-01
1.496537e+01	3.963763e-01
1.505181e+01	4.217036e-01
1.513875e+01	2.345623e-01
1.522619e+01	-7.831808e-01
1.531414e+01	-4.555622e-01
1.540259e+01	-3.432237e-01
1.549156e+01	-2.022052e-01
1.558103e+01	-3.264235e-01
1.567103e+01	-3.475901e-01
1.576155e+01	-2.621573e-01
1.585258e+01	-4.553232e-01
1.594415e+01	-2.131927e-01
1.603624e+01	-3.888373e-01
1.612886e+01	2.644200e-01
1.622202e+01	9.607144e-01
1.631572e+01	4.677864e-01
1.640996e+01	-4.583818e-02
1.650474e+01	-2.068114e-02
1.660008e+01	2.359587e-01
1.669596e+01	3.732278e-01
1.679239e+01	1.877335e-01
1.688938e+01	-1.093962e+00
1.698694e+01	7.374280e-02
