Frequency(Hz)	Magnitude(dB)
1.000000e+01	-3.015435e-01
1.005776e+01	9.507382e-01
1.011585e+01	-4.749319e-01
1.017428e+01	1.277666e-01
1.023305e+01	-5.948541e-02
1.029215e+01	-8.835367e-01
1.035160e+01	4.372570e-01
1.041139e+01	-2.869718e-01
1.047153e+01	5.150213e-01
1.053201e+01	-4.606229e-01
1.059284e+01	-1.838047e-01
1.065403e+01	1.724540e-01
1.071556e+01	2.078353e-01
1.077746e+01	8.713401e-01
1.083971e+01	3.877747e-01
1.090232e+01	2.137385e-02
1.096529e+01	-6.940826e-01
1.102862e+01	5.599164e-01
1.109232e+01	3.067580e-01
1.115639e+01	-5.627645e-01
1.122083e+01	1.619447e-01
1.128564e+01	-9.592227e-01
1.135083e+01	9.257103e-02
1.141639e+01	-2.306354e-01
1.148233e+01	-1.050930e-02
1.154865e+01	6.268420e-02
1.161536e+01	2.390767e-01
1.168245e+01	1.953079e-01
1.174992e+01	1.130579e+00
1.181779e+01	1.078288e-02
1.188605e+01	-1.697494e-01
1.195470e+01	1.056324e-02
1.202375e+01	-4.901176e-01
1.209320e+01	-7.042053e-02
1.216305e+01	-5.601255e-01
1.223330e+01	-5.999161e-01
1.230396e+01	-3.036408e-01
1.237503e+01	8.923576e-02
1.244651e+01	-9.304102e-01
1.251840e+01	-7.479095e-01
1.259070e+01	-3.421320e-01
1.266343e+01	-3.293377e-01
1.273657e+01	1.294393e-01
1.281014e+01	9.446096e-01
1.288413e+01	3.779738e-01
1.295855e+01	-5.097835e-01
1.303339e+01	-6.770441e-02
1.310867e+01	-2.014803e-01
1.318439e+01	-2.109815e-02
1.326054e+01	-4.171908e-01
1.333713e+01	-9.395915e-01
1.341417e+01	-1.029571e+00
1.349165e+01	-1.854170e-01
1.356958e+01	-1.419278e-01
1.364795e+01	-4.348673e-01
1.372678e+01	4.008502e-01
1.380607e+01	5.010489e-01
1.388581e+01	-3.213894e-02
1.396602e+01	4.512097e-01
1.404668e+01	-2.261247e-01
1.412782e+01	-1.301055e-01
1.420942e+01	-8.386195e-01
1.429149e+01	-2.358454e-01
1.437404e+01	7.784832e-01
1.445706e+01	2.170886e-01
1.454057e+01	-3.983603e-01
1.462455e+01	-4.425729e-01
1.470902e+01	3.160487e-01
1.479398e+01	-4.308237e-01
1.487943e+01	3.308673e-01
1.496537e+01	6.480087e-01
1.505181e+01	9.654882e-01
1.513875e+01	7.199012e-01
1.522619e+01	-1.992185e-01
1.531414e+01	2.565000e-01
1.540259e+01	6.192791e-01
1.549156e+01	-5.047353e-01
1.558103e+01	-3.647078e-01
1.567103e+01	2.328636e-01
1.576155e+01	-4.955978e-02
1.585258e+01	7.198353e-03
1.594415e+01	2.667466e-01
1.603624e+01	-4.236196e-01
1.612886e+01	-2.984779e-01
1.622202e+01	-6.144996e-01
1.631572e+01	3.038907e-01
