Frequency(Hz)	Magnitude(dB)
1.000000e+01	1.476501e-01
1.005776e+01	2.938929e-01
1.011585e+01	3.929793e-01
1.017428e+01	2.899775e-01
1.023305e+01	-7.577915e-01
1.029215e+01	8.283256e-01
1.035160e+01	-2.920615e-01
1.041139e+01	9.789503e-02
1.047153e+01	1.992585e-01
1.053201e+01	-1.523291e-01
1.059284e+01	9.883300e-02
1.065403e+01	3.137342e-01
1.071556e+01	-3.533448e-01
1.077746e+01	-1.074454e+00
1.083971e+01	-5.703172e-01
1.090232e+01	-7.581400e-01
1.096529e+01	-6.652441e-01
1.102862e+01	2.974511e-01
1.109232e+01	-1.813031e-01
1.115639e+01	-1.020693e+00
1.122083e+01	9.554369e-02
1.128564e+01	2.419990e-01
1.135083e+01	2.965789e-01
1.141639e+01	6.987422e-01
1.148233e+01	3.071970e-01
1.154865e+01	-4.867768e-01
1.161536e+01	-1.890913e-01
1.168245e+01	-2.270175e-01
1.174992e+01	-2.010482e-01
1.181779e+01	4.342557e-01
1.188605e+01	-4.227682e-01
1.195470e+01	-2.427186e-01
1.202375e+01	-2.278063e-01
1.209320e+01	-2.499114e-01
1.216305e+01	2.230114e-01
1.223330e+01	-2.506011e-02
1.230396e+01	-1.170982e-01
1.237503e+01	-1.354139e-01
1.244651e+01	3.414842e-01
1.251840e+01	2.572336e-01
1.259070e+01	7.308892e-01
1.266343e+01	1.204771e-01
1.273657e+01	-3.241171e-01
1.281014e+01	-2.078677e-01
1.288413e+01	-7.664789e-01
1.295855e+01	-4.764460e-01
1.303339e+01	-4.008263e-01
1.310867e+01	-3.394041e-01
1.318439e+01	1.105675e-01
1.326054e+01	2.210647e-01
1.333713e+01	-2.847849e-01
1.341417e+01	6.195342e-02
1.349165e+01	8.672694e-02
1.356958e+01	1.024862e+00
1.364795e+01	-1.467992e+00
1.372678e+01	-5.462548e-03
1.380607e+01	9.209362e-01
1.388581e+01	9.453930e-01
1.396602e+01	-6.964920e-01
1.404668e+01	8.600096e-01
1.412782e+01	4.263770e-01
1.420942e+01	6.816251e-01
1.429149e+01	2.425251e-01
1.437404e+01	7.415039e-01
1.445706e+01	-5.232984e-01
1.454057e+01	5.242142e-01
1.462455e+01	-2.177459e-01
1.470902e+01	7.775231e-01
1.479398e+01	3.944066e-01
1.487943e+01	9.808244e-01
1.496537e+01	-1.105835e-01
1.505181e+01	5.788523e-01
1.513875e+01	-4.924418e-01
1.522619e+01	-5.770914e-01
1.531414e+01	-2.659701e-01
1.540259e+01	2.051714e-01
1.549156e+01	2.537525e-01
1.558103e+01	-2.006230e-01
1.567103e+01	-1.728957e-02
1.576155e+01	2.897845e-01
1.585258e+01	-2.606025e-03
1.594415e+01	6.978449e-01
1.603624e+01	2.965173e-01
1.612886e+01	5.519022e-01
1.622202e+01	-3.008552e-01
1.631572e+01	1.055460e-01
1.640996e+01	-9.651127e-01
1.650474e+01	-1.036404e+00
1.660008e+01	-5.853290e-01
1.669596e+01	1.617369e-01
1.679239e+01	2.768613e-01
1.688938e+01	2.783580e-01
1.698694e+01	-6.097845e-01
1.708505e+01	1.742565e-01
1.718373e+01	1.283223e-01
1.728299e+01	3.988979e-01
1.738281e+01	-5.990376e-01
1.748322e+01	3.052502e-01
1.758420e+01	-5.193099e-01
1.768576e+01	1.900389e-01
1.778792e+01	-3.732476e-02
1.789066e+01	2.765881e-01
1.799399e+01	1.375108e-01
1.809793e+01	6.359515e-01
1.820246e+01	-1.748506e-01
1.830760e+01	1.141019e-01
1.841334e+01	1.690024e-01
1.851969e+01	6.764045e-01
1.862666e+01	-1.245204e-01
1.873425e+01	-4.757611e-01
1.884246e+01	6.300801e-01
1.895129e+01	-2.958146e-01
1.906075e+01	2.778939e-01
1.917085e+01	6.450580e-01
1.928158e+01	-2.615430e-01
1.939295e+01	-6.766311e-01
1.950496e+01	2.011537e-01
1.961762e+01	2.199143e-02
1.973093e+01	6.300808e-01
1.984490e+01	5.975376e-01
1.995952e+01	1.981232e-02
2.007480e+01	-4.603259e-01
2.019076e+01	-3.724537e-01
2.030738e+01	-2.955259e-01
2.042467e+01	-1.468617e-01
2.054264e+01	2.937935e-02
2.066130e+01	-1.874084e-01
2.078064e+01	-3.531369e-01
2.090066e+01	-9.232030e-02
2.102139e+01	1.641277e-01
2.114280e+01	6.992897e-02
2.126492e+01	-6.358303e-01
2.138775e+01	6.887291e-01
2.151128e+01	2.935445e-01
2.163553e+01	2.774736e-01
2.176050e+01	3.930861e-01
2.188619e+01	-1.483639e-01
2.201260e+01	-3.531667e-01
2.213974e+01	3.415105e-01
2.226762e+01	-1.635167e-01
2.239624e+01	-1.359239e-01
