Frequency(Hz)	Magnitude(dB)
1.000000e+01	-1.906262e-05
1.005776e+01	-1.928347e-05
1.011585e+01	-1.950687e-05
1.017428e+01	-1.973286e-05
1.023305e+01	-1.996147e-05
1.029215e+01	-2.019273e-05
1.035160e+01	-2.042667e-05
1.041139e+01	-2.066332e-05
1.047153e+01	-2.090271e-05
1.053201e+01	-2.114487e-05
1.059284e+01	-2.138984e-05
1.065403e+01	-2.163765e-05
1.071556e+01	-2.188832e-05
1.077746e+01	-2.214190e-05
1.083971e+01	-2.239842e-05
1.090232e+01	-2.265792e-05
1.096529e+01	-2.292041e-05
1.102862e+01	-2.318595e-05
1.109232e+01	-2.345457e-05
1.115639e+01	-2.372629e-05
1.122083e+01	-2.400117e-05
1.128564e+01	-2.427923e-05
1.135083e+01	-2.456051e-05
1.141639e+01	-2.484505e-05
1.148233e+01	-2.513289e-05
1.154865e+01	-2.542406e-05
1.161536e+01	-2.571860e-05
1.168245e+01	-2.601656e-05
1.174992e+01	-2.631796e-05
1.181779e+01	-2.662286e-05
1.188605e+01	-2.693130e-05
1.195470e+01	-2.724330e-05
1.202375e+01	-2.755892e-05
1.209320e+01	-2.787820e-05
1.216305e+01	-2.820118e-05
1.223330e+01	-2.852789e-05
1.230396e+01	-2.885840e-05
1.237503e+01	-2.919273e-05
1.244651e+01	-2.953093e-05
1.251840e+01	-2.987305e-05
1.259070e+01	-3.021914e-05
1.266343e+01	-3.056924e-05
1.273657e+01	-3.092339e-05
1.281014e+01	-3.128164e-05
1.288413e+01	-3.164405e-05
1.295855e+01	-3.201065e-05
1.303339e+01	-3.238150e-05
1.310867e+01	-3.275665e-05
1.318439e+01	-3.313614e-05
1.326054e+01	-3.352003e-05
1.333713e+01	-3.390837e-05
1.341417e+01	-3.430121e-05
1.349165e+01	-3.469860e-05
1.356958e+01	-3.510059e-05
1.364795e+01	-3.550724e-05
1.372678e+01	-3.591860e-05
1.380607e+01	-3.633472e-05
1.388581e+01	-3.675567e-05
1.396602e+01	-3.718149e-05
1.404668e+01	-3.761225e-05
1.412782e+01	-3.804799e-05
1.420942e+01	-3.848879e-05
1.429149e+01	-3.893469e-05
1.437404e+01	-3.938576e-05
1.445706e+01	-3.984205e-05
1.454057e+01	-4.030363e-05
1.462455e+01	-4.077055e-05
1.470902e+01	-4.124289e-05
1.479398e+01	-4.172070e-05
1.487943e+01	-4.220404e-05
1.496537e+01	-4.269298e-05
1.505181e+01	-4.318759e-05
1.513875e+01	-4.368793e-05
1.522619e+01	-4.419406e-05
1.531414e+01	-4.470606e-05
1.540259e+01	-4.522399e-05
1.549156e+01	-4.574792e-05
1.558103e+01	-4.627792e-05
1.567103e+01	-4.681406e-05
1.576155e+01	-4.735641e-05
1.585258e+01	-4.790505e-05
1.594415e+01	-4.846004e-05
1.603624e+01	-4.902146e-05
1.612886e+01	-4.958938e-05
1.622202e+01	-5.016388e-05
1.631572e+01	-5.074504e-05
1.640996e+01	-5.133294e-05
1.650474e+01	-5.192764e-05
1.660008e+01	-5.252923e-05
1.669596e+01	-5.313779e-05
1.679239e+01	-5.375341e-05
1.688938e+01	-5.437615e-05
1.698694e+01	-5.500611e-05
1.708505e+01	-5.564337e-05
1.718373e+01	-5.628801e-05
1.728299e+01	-5.694011e-05
1.738281e+01	-5.759978e-05
1.748322e+01	-5.826708e-05
1.758420e+01	-5.894212e-05
1.768576e+01	-5.962497e-05
1.778792e+01	-6.031574e-05
1.789066e+01	-6.101451e-05
1.799399e+01	-6.172138e-05
1.809793e+01	-6.243643e-05
1.820246e+01	-6.315977e-05
1.830760e+01	-6.389149e-05
1.841334e+01	-6.463168e-05
1.851969e+01	-6.538045e-05
1.862666e+01	-6.613790e-05
1.873425e+01	-6.690412e-05
1.884246e+01	-6.767922e-05
1.895129e+01	-6.846329e-05
1.906075e+01	-6.925645e-05
1.917085e+01	-7.005880e-05
1.928158e+01	-7.087044e-05
1.939295e+01	-7.169149e-05
1.950496e+01	-7.252205e-05
1.961762e+01	-7.336223e-05
1.973093e+01	-7.421215e-05
1.984490e+01	-7.507191e-05
1.995952e+01	-7.594163e-05
2.007480e+01	-7.682143e-05
2.019076e+01	-7.771142e-05
2.030738e+01	-7.861172e-05
2.042467e+01	-7.952245e-05
2.054264e+01	-8.044373e-05
2.066130e+01	-8.137568e-05
2.078064e+01	-8.231843e-05
2.090066e+01	-8.327211e-05
2.102139e+01	-8.423683e-05
2.114280e+01	-8.521273e-05
2.126492e+01	-8.619993e-05
2.138775e+01	-8.719857e-05
2.151128e+01	-8.820878e-05
2.163553e+01	-8.923069e-05
2.176050e+01	-9.026444e-05
2.188619e+01	-9.131017e-05
2.201260e+01	-9.236801e-05
2.213974e+01	-9.343811e-05
2.226762e+01	-9.452061e-05
2.239624e+01	-9.561564e-05
2.252560e+01	-9.672336e-05
2.265571e+01	-9.784392e-05
2.278656e+01	-9.897745e-05
2.291818e+01	-1.001241e-04
2.305055e+01	-1.012841e-04
2.318369e+01	-1.024575e-04
2.331760e+01	-1.036445e-04
2.345228e+01	-1.048452e-04
2.358774e+01	-1.060598e-04
2.372398e+01	-1.072885e-04
2.386101e+01	-1.085315e-04
2.399883e+01	-1.097889e-04
2.413745e+01	-1.110608e-04
2.427686e+01	-1.123474e-04
2.441709e+01	-1.136490e-04
2.455812e+01	-1.149656e-04
2.469997e+01	-1.162975e-04
2.484263e+01	-1.176448e-04
2.498612e+01	-1.190078e-04
2.513044e+01	-1.203865e-04
2.527559e+01	-1.217812e-04
2.542158e+01	-1.231920e-04
2.556842e+01	-1.246192e-04
2.571610e+01	-1.260629e-04
2.586463e+01	-1.275234e-04
2.601403e+01	-1.290008e-04
2.616428e+01	-1.304953e-04
2.631541e+01	-1.320071e-04
2.646740e+01	-1.335364e-04
2.662028e+01	-1.350834e-04
2.677404e+01	-1.366484e-04
2.692868e+01	-1.382314e-04
2.708422e+01	-1.398329e-04
2.724066e+01	-1.414528e-04
2.739800e+01	-1.430916e-04
2.755625e+01	-1.447493e-04
2.771541e+01	-1.464262e-04
2.787550e+01	-1.481226e-04
2.803650e+01	-1.498386e-04
2.819844e+01	-1.515745e-04
2.836131e+01	-1.533305e-04
2.852513e+01	-1.551069e-04
2.868989e+01	-1.569038e-04
2.885560e+01	-1.587215e-04
2.902227e+01	-1.605603e-04
2.918990e+01	-1.624204e-04
2.935850e+01	-1.643021e-04
2.952807e+01	-1.662055e-04
2.969863e+01	-1.681310e-04
2.987016e+01	-1.700788e-04
3.004269e+01	-1.720492e-04
3.021622e+01	-1.740424e-04
3.039075e+01	-1.760587e-04
3.056628e+01	-1.780983e-04
3.074283e+01	-1.801616e-04
3.092040e+01	-1.822488e-04
3.109900e+01	-1.843602e-04
3.127862e+01	-1.864960e-04
3.145929e+01	-1.886565e-04
3.164099e+01	-1.908421e-04
3.182375e+01	-1.930530e-04
3.200756e+01	-1.952896e-04
3.219244e+01	-1.975520e-04
3.237838e+01	-1.998406e-04
3.256540e+01	-2.021558e-04
3.275349e+01	-2.044978e-04
3.294268e+01	-2.068669e-04
3.313295e+01	-2.092634e-04
3.332433e+01	-2.116877e-04
3.351681e+01	-2.141401e-04
3.371040e+01	-2.166209e-04
3.390511e+01	-2.191305e-04
3.410094e+01	-2.216691e-04
3.429791e+01	-2.242372e-04
3.449601e+01	-2.268349e-04
3.469526e+01	-2.294628e-04
3.489566e+01	-2.321211e-04
3.509721e+01	-2.348102e-04
3.529993e+01	-2.375305e-04
3.550382e+01	-2.402823e-04
3.570889e+01	-2.430660e-04
3.591515e+01	-2.458819e-04
3.612259e+01	-2.487304e-04
3.633123e+01	-2.516119e-04
3.654108e+01	-2.545268e-04
3.675214e+01	-2.574755e-04
3.696442e+01	-2.604583e-04
3.717792e+01	-2.634757e-04
3.739266e+01	-2.665281e-04
3.760864e+01	-2.696158e-04
3.782587e+01	-2.727393e-04
3.804435e+01	-2.758989e-04
3.826409e+01	-2.790952e-04
3.848510e+01	-2.823285e-04
3.870739e+01	-2.855992e-04
3.893096e+01	-2.889079e-04
3.915583e+01	-2.922548e-04
3.938199e+01	-2.956406e-04
3.960946e+01	-2.990655e-04
3.983824e+01	-3.025302e-04
4.006834e+01	-3.060349e-04
4.029978e+01	-3.095803e-04
4.053255e+01	-3.131667e-04
4.076666e+01	-3.167947e-04
4.100213e+01	-3.204648e-04
4.123896e+01	-3.241773e-04
4.147715e+01	-3.279328e-04
4.171672e+01	-3.317319e-04
4.195767e+01	-3.355749e-04
4.220002e+01	-3.394625e-04
4.244377e+01	-3.433951e-04
4.268892e+01	-3.473733e-04
4.293549e+01	-3.513975e-04
4.318348e+01	-3.554684e-04
4.343291e+01	-3.595864e-04
4.368377e+01	-3.637522e-04
4.393609e+01	-3.679662e-04
4.418986e+01	-3.722290e-04
4.444510e+01	-3.765412e-04
4.470182e+01	-3.809033e-04
4.496001e+01	-3.853160e-04
4.521970e+01	-3.897798e-04
4.548089e+01	-3.942953e-04
4.574358e+01	-3.988631e-04
4.600779e+01	-4.034838e-04
4.627353e+01	-4.081581e-04
4.654081e+01	-4.128865e-04
4.680963e+01	-4.176696e-04
4.708000e+01	-4.225082e-04
4.735193e+01	-4.274029e-04
4.762543e+01	-4.323542e-04
4.790051e+01	-4.373629e-04
4.817719e+01	-4.424296e-04
4.845545e+01	-4.475550e-04
4.873533e+01	-4.527398e-04
4.901682e+01	-4.579846e-04
4.929994e+01	-4.632902e-04
4.958470e+01	-4.686573e-04
4.987110e+01	-4.740865e-04
5.015915e+01	-4.795786e-04
5.044887e+01	-4.851344e-04
5.074026e+01	-4.907545e-04
5.103333e+01	-4.964397e-04
5.132810e+01	-5.021907e-04
5.162457e+01	-5.080084e-04
5.192275e+01	-5.138935e-04
5.222265e+01	-5.198467e-04
5.252429e+01	-5.258689e-04
5.282767e+01	-5.319609e-04
5.313280e+01	-5.381234e-04
5.343969e+01	-5.443573e-04
5.374836e+01	-5.506635e-04
5.405880e+01	-5.570426e-04
5.437105e+01	-5.634957e-04
5.468509e+01	-5.700235e-04
5.500095e+01	-5.766270e-04
5.531863e+01	-5.833069e-04
5.563815e+01	-5.900642e-04
5.595951e+01	-5.968998e-04
5.628273e+01	-6.038146e-04
5.660782e+01	-6.108094e-04
5.693479e+01	-6.178853e-04
5.726364e+01	-6.250432e-04
5.759439e+01	-6.322840e-04
5.792705e+01	-6.396086e-04
5.826164e+01	-6.470181e-04
5.859815e+01	-6.545134e-04
5.893662e+01	-6.620955e-04
5.927703e+01	-6.697655e-04
5.961941e+01	-6.775243e-04
5.996377e+01	-6.853730e-04
6.031012e+01	-6.933126e-04
6.065847e+01	-7.013442e-04
6.100883e+01	-7.094688e-04
6.136121e+01	-7.176875e-04
6.171563e+01	-7.260014e-04
6.207210e+01	-7.344116e-04
6.243063e+01	-7.429193e-04
6.279122e+01	-7.515254e-04
6.315390e+01	-7.602313e-04
6.351868e+01	-7.690380e-04
6.388556e+01	-7.779467e-04
6.425456e+01	-7.869586e-04
6.462569e+01	-7.960749e-04
6.499897e+01	-8.052968e-04
6.537440e+01	-8.146255e-04
6.575200e+01	-8.240623e-04
6.613178e+01	-8.336084e-04
6.651375e+01	-8.432650e-04
6.689793e+01	-8.530335e-04
6.728433e+01	-8.629152e-04
6.767297e+01	-8.729113e-04
6.806384e+01	-8.830232e-04
6.845698e+01	-8.932522e-04
6.885238e+01	-9.035997e-04
6.925007e+01	-9.140670e-04
6.965005e+01	-9.246556e-04
7.005235e+01	-9.353668e-04
7.045697e+01	-9.462021e-04
7.086393e+01	-9.571629e-04
7.127323e+01	-9.682507e-04
7.168490e+01	-9.794669e-04
7.209895e+01	-9.908130e-04
7.251539e+01	-1.002290e-03
7.293424e+01	-1.013901e-03
7.335551e+01	-1.025646e-03
7.377920e+01	-1.037527e-03
7.420535e+01	-1.049545e-03
7.463396e+01	-1.061703e-03
7.506504e+01	-1.074002e-03
7.549861e+01	-1.086443e-03
7.593469e+01	-1.099028e-03
7.637328e+01	-1.111759e-03
7.681441e+01	-1.124637e-03
7.725809e+01	-1.137665e-03
7.770433e+01	-1.150843e-03
7.815315e+01	-1.164174e-03
7.860456e+01	-1.177660e-03
7.905857e+01	-1.191301e-03
7.951521e+01	-1.205101e-03
7.997449e+01	-1.219060e-03
8.043642e+01	-1.233182e-03
8.090102e+01	-1.247466e-03
8.136830e+01	-1.261916e-03
8.183828e+01	-1.276534e-03
8.231097e+01	-1.291321e-03
8.278640e+01	-1.306279e-03
8.326457e+01	-1.321410e-03
8.374550e+01	-1.336717e-03
8.422921e+01	-1.352200e-03
8.471572e+01	-1.367863e-03
8.520503e+01	-1.383708e-03
8.569717e+01	-1.399736e-03
8.619215e+01	-1.415950e-03
8.669000e+01	-1.432351e-03
8.719071e+01	-1.448943e-03
8.769432e+01	-1.465726e-03
8.820084e+01	-1.482704e-03
8.871029e+01	-1.499879e-03
8.922267e+01	-1.517252e-03
8.973802e+01	-1.534827e-03
9.025634e+01	-1.552605e-03
9.077766e+01	-1.570589e-03
9.130199e+01	-1.588781e-03
9.182935e+01	-1.607185e-03
9.235975e+01	-1.625801e-03
9.289321e+01	-1.644632e-03
9.342976e+01	-1.663682e-03
9.396941e+01	-1.682953e-03
9.451217e+01	-1.702446e-03
9.505807e+01	-1.722166e-03
9.560712e+01	-1.742114e-03
9.615934e+01	-1.762292e-03
9.671476e+01	-1.782705e-03
9.727338e+01	-1.803354e-03
9.783522e+01	-1.824242e-03
9.840032e+01	-1.845371e-03
9.896867e+01	-1.866746e-03
9.954031e+01	-1.888368e-03
1.001153e+02	-1.910240e-03
1.006935e+02	-1.932366e-03
1.012751e+02	-1.954748e-03
1.018601e+02	-1.977389e-03
1.024484e+02	-2.000292e-03
1.030402e+02	-2.023461e-03
1.036353e+02	-2.046898e-03
1.042339e+02	-2.070606e-03
1.048360e+02	-2.094589e-03
1.054415e+02	-2.118849e-03
1.060505e+02	-2.143390e-03
1.066631e+02	-2.168216e-03
1.072791e+02	-2.193329e-03
1.078988e+02	-2.218733e-03
1.085220e+02	-2.244431e-03
1.091488e+02	-2.270426e-03
1.097793e+02	-2.296723e-03
1.104133e+02	-2.323324e-03
1.110511e+02	-2.350233e-03
1.116925e+02	-2.377454e-03
1.123376e+02	-2.404989e-03
1.129865e+02	-2.432844e-03
1.136391e+02	-2.461021e-03
1.142955e+02	-2.489525e-03
1.149556e+02	-2.518358e-03
1.156196e+02	-2.547525e-03
1.162874e+02	-2.577030e-03
1.169591e+02	-2.606877e-03
1.176347e+02	-2.637069e-03
1.183141e+02	-2.667611e-03
1.189975e+02	-2.698506e-03
1.196848e+02	-2.729759e-03
1.203761e+02	-2.761374e-03
1.210714e+02	-2.793355e-03
1.217707e+02	-2.825706e-03
1.224740e+02	-2.858432e-03
1.231814e+02	-2.891537e-03
1.238929e+02	-2.925025e-03
1.246085e+02	-2.958900e-03
1.253283e+02	-2.993168e-03
1.260522e+02	-3.027833e-03
1.267802e+02	-3.062898e-03
1.275125e+02	-3.098370e-03
1.282490e+02	-3.134253e-03
1.289898e+02	-3.170551e-03
1.297348e+02	-3.207269e-03
1.304842e+02	-3.244412e-03
1.312378e+02	-3.281985e-03
1.319959e+02	-3.319993e-03
1.327583e+02	-3.358441e-03
1.335251e+02	-3.397334e-03
1.342963e+02	-3.436678e-03
1.350720e+02	-3.476477e-03
1.358522e+02	-3.516736e-03
1.366368e+02	-3.557462e-03
1.374260e+02	-3.598659e-03
1.382198e+02	-3.640333e-03
1.390182e+02	-3.682489e-03
1.398211e+02	-3.725133e-03
1.406287e+02	-3.768271e-03
1.414410e+02	-3.811908e-03
1.422579e+02	-3.856051e-03
1.430796e+02	-3.900704e-03
1.439060e+02	-3.945874e-03
1.447372e+02	-3.991567e-03
1.455732e+02	-4.037789e-03
1.464141e+02	-4.084546e-03
1.472597e+02	-4.131843e-03
1.481103e+02	-4.179689e-03
1.489658e+02	-4.228088e-03
1.498262e+02	-4.277047e-03
1.506916e+02	-4.326573e-03
1.515620e+02	-4.376673e-03
1.524374e+02	-4.427352e-03
1.533179e+02	-4.478617e-03
1.542034e+02	-4.530476e-03
1.550941e+02	-4.582935e-03
1.559899e+02	-4.636001e-03
1.568909e+02	-4.689681e-03
1.577971e+02	-4.743983e-03
1.587085e+02	-4.798912e-03
1.596252e+02	-4.854478e-03
1.605472e+02	-4.910686e-03
1.614745e+02	-4.967545e-03
1.624072e+02	-5.025062e-03
1.633453e+02	-5.083245e-03
1.642887e+02	-5.142101e-03
