Frequency(Hz)	Magnitude(dB)
1.000000e+01	-5.474760e-01
1.005776e+01	1.900669e-02
1.011585e+01	4.774775e-01
1.017428e+01	-2.645795e-01
1.023305e+01	-1.739398e-01
1.029215e+01	-9.366719e-01
1.035160e+01	-5.213228e-01
1.041139e+01	7.805447e-01
1.047153e+01	1.060810e-01
1.053201e+01	-4.204441e-01
1.059284e+01	-1.330437e+00
1.065403e+01	-5.316830e-02
1.071556e+01	2.399219e-01
1.077746e+01	-6.473373e-01
1.083971e+01	2.767880e-02
1.090232e+01	-4.294361e-01
1.096529e+01	3.284072e-01
1.102862e+01	-2.125991e-02
1.109232e+01	3.857670e-01
1.115639e+01	-4.437491e-01
1.122083e+01	-4.043779e-01
1.128564e+01	-7.276250e-02
1.135083e+01	-5.003312e-01
1.141639e+01	1.044608e+00
1.148233e+01	-4.460555e-01
1.154865e+01	-8.304148e-01
1.161536e+01	2.478446e-01
1.168245e+01	-4.527298e-01
1.174992e+01	-2.411762e-01
1.181779e+01	-3.808813e-01
1.188605e+01	5.143336e-01
1.195470e+01	1.336390e-01
1.202375e+01	-8.487173e-01
1.209320e+01	-2.902404e-01
1.216305e+01	2.240936e-01
1.223330e+01	3.112001e-01
1.230396e+01	2.947196e-01
1.237503e+01	1.246664e-01
1.244651e+01	2.872937e-01
1.251840e+01	-3.639988e-01
1.259070e+01	-5.048355e-01
1.266343e+01	-8.040140e-01
1.273657e+01	-2.462548e-01
1.281014e+01	-2.805498e-01
1.288413e+01	-2.743338e-01
1.295855e+01	2.146211e-02
1.303339e+01	-5.229660e-01
1.310867e+01	-4.433197e-01
1.318439e+01	6.818863e-01
1.326054e+01	2.691567e-01
1.333713e+01	-8.423582e-01
1.341417e+01	4.120321e-01
1.349165e+01	-2.384259e-02
1.356958e+01	-2.635668e-01
1.364795e+01	5.726843e-01
1.372678e+01	8.945935e-01
1.380607e+01	-3.914367e-01
1.388581e+01	-4.783032e-01
1.396602e+01	-2.016307e-02
1.404668e+01	2.769999e-01
1.412782e+01	-5.186436e-01
1.420942e+01	5.351793e-01
1.429149e+01	-2.711847e-01
1.437404e+01	1.185487e+00
1.445706e+01	9.604184e-01
1.454057e+01	6.860760e-01
1.462455e+01	4.929938e-03
1.470902e+01	5.388815e-01
1.479398e+01	2.633215e-01
1.487943e+01	-1.078030e+00
1.496537e+01	3.345446e-01
1.505181e+01	4.563991e-01
1.513875e+01	-3.006930e-01
1.522619e+01	5.841502e-01
1.531414e+01	1.259195e-03
1.540259e+01	-1.832015e-01
1.549156e+01	2.114943e-01
1.558103e+01	2.399708e-01
1.567103e+01	-8.868183e-02
1.576155e+01	-2.001478e-01
1.585258e+01	1.982541e-01
1.594415e+01	6.918350e-02
1.603624e+01	-1.095484e-01
1.612886e+01	3.420972e-01
1.622202e+01	5.788030e-01
1.631572e+01	-4.417545e-01
1.640996e+01	-4.671679e-01
1.650474e+01	-4.216043e-01
1.660008e+01	-4.689815e-01
1.669596e+01	-6.415681e-01
1.679239e+01	-9.952625e-01
1.688938e+01	7.541656e-01
1.698694e+01	2.519204e-01
1.708505e+01	-2.050705e-01
1.718373e+01	-8.783927e-01
1.728299e+01	-4.631622e-01
1.738281e+01	-1.093568e+00
1.748322e+01	3.511960e-01
1.758420e+01	-1.021217e-01
1.768576e+01	4.428141e-01
1.778792e+01	1.066094e+00
1.789066e+01	1.719798e-01
1.799399e+01	-9.948480e-01
1.809793e+01	1.236606e-01
1.820246e+01	5.915393e-04
1.830760e+01	-5.807816e-03
1.841334e+01	-1.939278e-01
1.851969e+01	1.139651e-01
1.862666e+01	-5.812170e-03
1.873425e+01	-5.287874e-02
1.884246e+01	-2.764951e-01
1.895129e+01	-3.671029e-01
1.906075e+01	3.176818e-01
1.917085e+01	4.236511e-01
