Frequency(Hz)	Magnitude(dB)
1.000000e+01	-2.311808e-01
1.005776e+01	-5.527791e-01
1.011585e+01	-2.620781e-01
1.017428e+01	-2.448001e-01
1.023305e+01	-3.965513e-01
1.029215e+01	4.131154e-01
1.035160e+01	-1.072884e-01
1.041139e+01	2.701422e-01
1.047153e+01	5.460612e-01
1.053201e+01	-3.741304e-01
1.059284e+01	6.469022e-02
1.065403e+01	-2.597163e-01
1.071556e+01	-7.138180e-02
1.077746e+01	1.166986e-01
1.083971e+01	3.893990e-01
1.090232e+01	4.290673e-01
1.096529e+01	3.646338e-01
1.102862e+01	-1.909784e-01
1.109232e+01	1.051249e-01
1.115639e+01	-3.155430e-02
1.122083e+01	3.484867e-01
1.128564e+01	-4.727063e-01
1.135083e+01	-2.218834e-01
1.141639e+01	-1.125994e+00
1.148233e+01	1.306682e+00
1.154865e+01	5.113970e-01
1.161536e+01	2.006207e-01
1.168245e+01	6.118106e-01
1.174992e+01	-1.888123e-01
1.181779e+01	-2.615381e-01
1.188605e+01	8.014295e-01
1.195470e+01	-5.888262e-01
1.202375e+01	-9.074037e-01
1.209320e+01	7.357840e-01
1.216305e+01	1.759960e-01
1.223330e+01	-2.728377e-01
1.230396e+01	2.832611e-01
1.237503e+01	7.598866e-01
1.244651e+01	1.037265e+00
1.251840e+01	-1.093855e+00
1.259070e+01	-9.885532e-01
1.266343e+01	-2.860283e-01
1.273657e+01	-3.001101e-01
1.281014e+01	2.759139e-01
1.288413e+01	-1.832271e-01
1.295855e+01	7.871016e-02
1.303339e+01	-2.937654e-02
1.310867e+01	-1.502602e-01
1.318439e+01	-4.019075e-01
1.326054e+01	9.784848e-01
1.333713e+01	6.606847e-01
1.341417e+01	3.853144e-01
1.349165e+01	-5.938751e-02
1.356958e+01	-2.876447e-01
1.364795e+01	1.630986e-01
1.372678e+01	2.138679e-01
1.380607e+01	-1.757558e-01
1.388581e+01	8.840466e-01
1.396602e+01	4.509426e-01
1.404668e+01	1.100441e+00
1.412782e+01	5.656349e-01
1.420942e+01	-4.039093e-01
1.429149e+01	2.281494e-01
1.437404e+01	-8.040610e-01
1.445706e+01	4.823937e-03
1.454057e+01	1.222527e-01
1.462455e+01	-3.970059e-01
1.470902e+01	-3.018139e-01
1.479398e+01	-1.526586e-01
1.487943e+01	-5.370043e-02
1.496537e+01	-2.153912e-01
1.505181e+01	-1.758968e-01
1.513875e+01	-6.025672e-01
1.522619e+01	8.952593e-03
1.531414e+01	6.205063e-01
1.540259e+01	4.041471e-01
1.549156e+01	3.376663e-02
1.558103e+01	-3.596656e-01
1.567103e+01	8.111024e-01
1.576155e+01	-9.077681e-02
1.585258e+01	5.633295e-01
1.594415e+01	-8.898915e-01
1.603624e+01	3.781315e-01
1.612886e+01	3.006485e-01
1.622202e+01	6.731959e-01
1.631572e+01	-9.795285e-02
1.640996e+01	-6.987234e-02
1.650474e+01	-6.572121e-01
1.660008e+01	7.793623e-01
1.669596e+01	3.361406e-01
1.679239e+01	2.767881e-01
1.688938e+01	6.762128e-01
1.698694e+01	-1.020551e+00
1.708505e+01	-5.572545e-01
1.718373e+01	-1.524309e-01
1.728299e+01	5.517686e-01
1.738281e+01	2.652193e-01
1.748322e+01	7.846203e-02
1.758420e+01	-5.933263e-01
1.768576e+01	3.334133e-01
1.778792e+01	4.152094e-02
1.789066e+01	3.073166e-02
1.799399e+01	2.999124e-01
