Frequency(Hz)	Magnitude(dB)
1.000000e+01	-2.634877e-01
1.005776e+01	-2.275655e-01
1.011585e+01	-3.667200e-01
1.017428e+01	2.131465e-01
1.023305e+01	-4.858620e-01
1.029215e+01	-2.224476e-01
1.035160e+01	1.783233e-01
1.041139e+01	5.770691e-02
1.047153e+01	-3.839132e-01
1.053201e+01	-6.743896e-02
1.059284e+01	-3.194280e-01
1.065403e+01	-4.494519e-01
1.071556e+01	3.237562e-01
1.077746e+01	-4.154567e-01
1.083971e+01	-5.362337e-01
1.090232e+01	-6.415113e-01
1.096529e+01	8.206651e-02
1.102862e+01	1.040089e+00
1.109232e+01	3.740019e-01
1.115639e+01	-5.834503e-01
1.122083e+01	5.915211e-02
1.128564e+01	7.640345e-01
1.135083e+01	1.084677e+00
1.141639e+01	-2.101536e-01
1.148233e+01	-9.951346e-03
1.154865e+01	5.132384e-01
1.161536e+01	3.569389e-01
1.168245e+01	2.885295e-02
1.174992e+01	8.604682e-01
1.181779e+01	-9.329099e-02
1.188605e+01	-8.531342e-02
1.195470e+01	2.448444e-01
1.202375e+01	-7.440071e-01
1.209320e+01	-1.303443e+00
1.216305e+01	3.630094e-02
1.223330e+01	3.002932e-01
1.230396e+01	4.303501e-02
1.237503e+01	-4.852483e-01
1.244651e+01	-2.235166e-01
1.251840e+01	3.217841e-02
1.259070e+01	1.020148e+00
1.266343e+01	9.748186e-03
1.273657e+01	2.962686e-01
1.281014e+01	-6.564414e-01
1.288413e+01	-1.087344e+00
1.295855e+01	-2.783181e-01
1.303339e+01	1.022703e+00
1.310867e+01	-2.611136e-01
1.318439e+01	3.954085e-01
1.326054e+01	4.971135e-01
1.333713e+01	-7.462257e-01
1.341417e+01	-1.131753e+00
1.349165e+01	-1.816475e-01
1.356958e+01	4.535595e-01
1.364795e+01	-3.770167e-01
1.372678e+01	5.614557e-02
1.380607e+01	-3.861762e-01
1.388581e+01	-2.977957e-01
1.396602e+01	-3.579688e-01
1.404668e+01	1.105736e+00
1.412782e+01	5.566929e-01
1.420942e+01	1.105195e-01
1.429149e+01	-9.883834e-01
1.437404e+01	-3.126897e-02
1.445706e+01	1.124541e+00
1.454057e+01	-1.332677e+00
1.462455e+01	1.226842e-01
1.470902e+01	-3.297939e-01
1.479398e+01	-9.311956e-01
1.487943e+01	-1.027581e+00
1.496537e+01	1.281575e-01
1.505181e+01	3.554491e-01
1.513875e+01	-4.056414e-01
1.522619e+01	2.797298e-01
1.531414e+01	-1.211357e-01
1.540259e+01	-4.178355e-01
1.549156e+01	-9.723500e-01
1.558103e+01	-1.169763e-01
1.567103e+01	-1.801487e-01
1.576155e+01	-1.653921e-01
1.585258e+01	-1.199235e-01
1.594415e+01	5.280295e-01
1.603624e+01	-1.445527e-01
1.612886e+01	-3.399400e-01
1.622202e+01	4.355652e-01
1.631572e+01	-1.102811e+00
1.640996e+01	1.264552e+00
1.650474e+01	3.015380e-02
1.660008e+01	-4.967068e-01
1.669596e+01	1.568973e-01
1.679239e+01	-7.069224e-02
1.688938e+01	1.247185e+00
1.698694e+01	-2.879978e-01
1.708505e+01	-5.935526e-01
1.718373e+01	7.233567e-01
1.728299e+01	2.981411e-01
1.738281e+01	2.678180e-01
1.748322e+01	-6.044626e-01
1.758420e+01	2.838365e-02
1.768576e+01	-3.358235e-02
1.778792e+01	-4.226111e-01
1.789066e+01	-5.190918e-01
1.799399e+01	1.176887e+00
1.809793e+01	1.576319e-02
1.820246e+01	-3.507052e-01
1.830760e+01	1.733291e-02
1.841334e+01	-5.578848e-01
1.851969e+01	6.697835e-01
1.862666e+01	4.303321e-01
1.873425e+01	-3.044146e-01
1.884246e+01	4.612584e-01
1.895129e+01	-9.826898e-02
1.906075e+01	-8.300487e-01
1.917085e+01	3.607209e-01
1.928158e+01	-1.043243e-01
1.939295e+01	5.665155e-01
1.950496e+01	-1.969618e-01
1.961762e+01	1.144227e+00
1.973093e+01	9.063287e-01
1.984490e+01	-6.481044e-01
1.995952e+01	-1.299500e-01
2.007480e+01	-3.478108e-01
2.019076e+01	-2.483943e-01
2.030738e+01	-9.202160e-04
2.042467e+01	8.431493e-01
2.054264e+01	5.809416e-01
2.066130e+01	-1.880541e-04
2.078064e+01	2.641861e-01
2.090066e+01	4.069341e-01
2.102139e+01	-2.626105e-01
2.114280e+01	4.873513e-02
2.126492e+01	3.862030e-01
2.138775e+01	6.375949e-02
2.151128e+01	-2.056160e-01
2.163553e+01	-2.347480e-01
2.176050e+01	1.540794e-01
2.188619e+01	-1.460858e-01
2.201260e+01	4.293620e-02
2.213974e+01	5.736083e-02
2.226762e+01	-8.287405e-01
2.239624e+01	9.113948e-01
2.252560e+01	-6.615919e-01
2.265571e+01	4.939558e-01
2.278656e+01	7.797204e-01
2.291818e+01	4.495959e-01
2.305055e+01	-2.359757e-01
2.318369e+01	-3.344214e-01
2.331760e+01	2.299934e-01
2.345228e+01	-2.699109e-01
2.358774e+01	5.391996e-01
2.372398e+01	-1.497187e+00
2.386101e+01	-4.662546e-01
2.399883e+01	9.247565e-01
2.413745e+01	-3.422283e-01
2.427686e+01	-5.126560e-01
2.441709e+01	-3.660822e-01
2.455812e+01	-1.402031e-01
2.469997e+01	-2.651960e-02
2.484263e+01	2.202076e-01
2.498612e+01	-6.254285e-01
2.513044e+01	-7.352192e-01
2.527559e+01	-8.875472e-01
2.542158e+01	1.466650e-01
2.556842e+01	2.548256e-02
2.571610e+01	-6.121006e-02
2.586463e+01	1.382987e-02
2.601403e+01	-5.964124e-01
2.616428e+01	-7.739918e-01
2.631541e+01	6.090742e-01
2.646740e+01	1.015416e-01
2.662028e+01	-1.662588e-05
2.677404e+01	4.418694e-01
2.692868e+01	-5.533591e-01
2.708422e+01	-3.937750e-01
2.724066e+01	-5.943490e-01
2.739800e+01	1.717690e-01
2.755625e+01	-4.653981e-01
2.771541e+01	7.524521e-01
2.787550e+01	9.422055e-01
2.803650e+01	-3.745392e-01
2.819844e+01	1.322322e-01
2.836131e+01	-1.442541e-03
2.852513e+01	-4.309327e-02
2.868989e+01	-3.133152e-01
2.885560e+01	-2.767364e-01
2.902227e+01	-1.186158e-01
2.918990e+01	3.983152e-01
2.935850e+01	-2.490666e-01
2.952807e+01	-3.806943e-01
2.969863e+01	-1.072991e-01
2.987016e+01	-5.424950e-02
3.004269e+01	-1.309734e-01
3.021622e+01	-7.027037e-01
3.039075e+01	2.022765e-02
3.056628e+01	-5.336423e-01
3.074283e+01	-3.987250e-02
3.092040e+01	-9.310729e-01
3.109900e+01	-7.875638e-01
3.127862e+01	-5.292919e-01
3.145929e+01	-8.839135e-01
3.164099e+01	2.542123e-01
3.182375e+01	2.886563e-01
3.200756e+01	3.330986e-01
3.219244e+01	-3.493197e-01
3.237838e+01	-3.789889e-01
3.256540e+01	-7.196856e-01
3.275349e+01	1.079530e+00
3.294268e+01	-2.426512e-01
3.313295e+01	-9.606996e-01
3.332433e+01	-1.105934e-01
3.351681e+01	1.633249e-01
3.371040e+01	-1.247800e-01
3.390511e+01	-4.617407e-01
3.410094e+01	1.120867e-01
3.429791e+01	4.540274e-01
3.449601e+01	7.322700e-02
3.469526e+01	-9.775095e-02
3.489566e+01	-1.151984e-01
3.509721e+01	9.003923e-01
3.529993e+01	-4.206189e-01
3.550382e+01	-1.580325e-01
3.570889e+01	2.648189e-01
3.591515e+01	-1.699917e-01
3.612259e+01	1.095630e+00
3.633123e+01	5.939371e-01
3.654108e+01	-6.275987e-02
3.675214e+01	6.732013e-01
3.696442e+01	8.447102e-01
3.717792e+01	1.186667e+00
3.739266e+01	5.927242e-01
3.760864e+01	1.779279e-01
3.782587e+01	-1.088373e-01
3.804435e+01	-1.773502e-01
3.826409e+01	-2.466210e-01
3.848510e+01	-3.999767e-01
3.870739e+01	5.622806e-01
3.893096e+01	6.247881e-01
3.915583e+01	1.145924e-01
3.938199e+01	-6.255935e-01
3.960946e+01	1.092656e+00
3.983824e+01	5.283752e-02
4.006834e+01	6.661457e-01
4.029978e+01	-3.787497e-01
4.053255e+01	2.684732e-01
4.076666e+01	3.870919e-01
4.100213e+01	-2.214149e-01
4.123896e+01	-2.069758e-01
4.147715e+01	-7.729959e-01
4.171672e+01	3.603474e-01
4.195767e+01	1.378060e-01
4.220002e+01	-2.074376e-01
4.244377e+01	-9.836796e-02
4.268892e+01	-9.294263e-01
4.293549e+01	6.986770e-01
4.318348e+01	5.273789e-01
4.343291e+01	-4.228804e-01
4.368377e+01	-4.785882e-01
4.393609e+01	4.929135e-01
4.418986e+01	8.070691e-01
4.444510e+01	-2.111736e-01
4.470182e+01	2.498370e-01
4.496001e+01	-1.382147e-01
4.521970e+01	-2.635695e-01
4.548089e+01	5.349194e-01
4.574358e+01	-9.575242e-02
4.600779e+01	-6.306819e-01
4.627353e+01	-2.364831e-01
4.654081e+01	-3.142922e-01
4.680963e+01	2.058146e-01
4.708000e+01	-4.626501e-01
4.735193e+01	1.893052e-01
4.762543e+01	-8.670751e-01
4.790051e+01	4.240875e-01
4.817719e+01	-4.558132e-01
4.845545e+01	-7.313744e-01
4.873533e+01	-2.060644e-01
4.901682e+01	-2.935732e-01
4.929994e+01	6.309622e-01
4.958470e+01	1.323817e-01
4.987110e+01	7.622897e-02
5.015915e+01	6.076222e-01
5.044887e+01	1.552011e-01
5.074026e+01	-4.176118e-01
5.103333e+01	-1.546194e-03
5.132810e+01	-2.795950e-01
5.162457e+01	-9.745917e-01
5.192275e+01	-2.860608e-02
5.222265e+01	-5.853817e-01
5.252429e+01	9.006441e-01
5.282767e+01	6.376294e-01
5.313280e+01	-1.524228e+00
5.343969e+01	4.628131e-01
5.374836e+01	3.115346e-01
5.405880e+01	-2.925867e-01
5.437105e+01	-3.881165e-01
5.468509e+01	-2.048195e-01
5.500095e+01	-3.355275e-01
5.531863e+01	-2.454742e-01
5.563815e+01	-2.041647e-01
5.595951e+01	-4.991817e-01
5.628273e+01	1.670895e-01
5.660782e+01	1.340155e-01
5.693479e+01	-2.639769e-01
5.726364e+01	-5.806282e-03
5.759439e+01	1.165269e-02
5.792705e+01	1.495993e-01
5.826164e+01	1.303190e+00
5.859815e+01	-6.732019e-01
5.893662e+01	-2.386313e-02
5.927703e+01	-7.421727e-01
5.961941e+01	6.423792e-02
5.996377e+01	3.191406e-01
6.031012e+01	-1.642032e-01
6.065847e+01	1.584819e-01
6.100883e+01	1.766542e-01
6.136121e+01	-7.081088e-01
6.171563e+01	5.992173e-01
6.207210e+01	5.874319e-01
6.243063e+01	1.500336e-02
6.279122e+01	-7.705465e-01
6.315390e+01	1.966506e-01
6.351868e+01	-8.056966e-01
6.388556e+01	-3.521238e-01
6.425456e+01	-2.176387e-01
6.462569e+01	-4.386302e-01
6.499897e+01	5.398008e-01
6.537440e+01	2.695324e-01
6.575200e+01	-6.616169e-01
6.613178e+01	2.692314e-01
6.651375e+01	-6.196630e-01
6.689793e+01	-9.038979e-02
6.728433e+01	4.703297e-01
6.767297e+01	-5.216505e-01
6.806384e+01	-4.895405e-01
6.845698e+01	-7.817007e-02
6.885238e+01	-5.258655e-01
6.925007e+01	-5.084154e-01
6.965005e+01	-8.499161e-01
7.005235e+01	8.525301e-01
7.045697e+01	4.579466e-01
7.086393e+01	1.253093e-01
7.127323e+01	-3.296616e-01
7.168490e+01	2.173308e-03
7.209895e+01	2.465203e-01
7.251539e+01	-2.639135e-01
7.293424e+01	-1.023157e-01
7.335551e+01	5.457574e-01
7.377920e+01	7.715129e-01
7.420535e+01	4.211584e-01
7.463396e+01	1.102301e+00
7.506504e+01	2.132952e-01
7.549861e+01	4.058894e-01
7.593469e+01	-2.906782e-02
7.637328e+01	2.466599e-01
7.681441e+01	1.944535e-01
7.725809e+01	-3.791436e-01
7.770433e+01	3.602859e-02
7.815315e+01	-4.138522e-01
7.860456e+01	-4.465709e-01
7.905857e+01	-5.013610e-01
7.951521e+01	2.777233e-01
7.997449e+01	4.953082e-01
8.043642e+01	-1.738854e-01
8.090102e+01	3.186313e-01
8.136830e+01	4.408486e-01
8.183828e+01	5.059535e-01
8.231097e+01	-7.187311e-01
8.278640e+01	1.781652e-01
8.326457e+01	5.353075e-01
8.374550e+01	-2.197029e-01
8.422921e+01	-6.880815e-01
8.471572e+01	3.706708e-01
8.520503e+01	-4.765031e-02
8.569717e+01	1.260776e-01
8.619215e+01	-3.833969e-01
8.669000e+01	-1.061240e-01
8.719071e+01	1.101345e+00
8.769432e+01	-7.615899e-01
8.820084e+01	-1.957478e-02
8.871029e+01	5.878168e-01
8.922267e+01	3.590534e-01
8.973802e+01	-1.993956e-01
9.025634e+01	7.778610e-01
9.077766e+01	6.756664e-01
9.130199e+01	-1.538906e-01
9.182935e+01	-5.443347e-02
9.235975e+01	8.742678e-01
9.289321e+01	1.997486e-01
9.342976e+01	-8.831653e-01
9.396941e+01	5.267048e-01
9.451217e+01	-1.448794e+00
9.505807e+01	-2.242673e-01
9.560712e+01	-7.123504e-01
9.615934e+01	2.364256e-01
9.671476e+01	-1.233203e+00
9.727338e+01	1.914956e-01
9.783522e+01	2.015935e-01
9.840032e+01	9.495790e-01
9.896867e+01	-8.429868e-02
9.954031e+01	7.922491e-02
1.001153e+02	3.775258e-02
1.006935e+02	1.901680e-01
1.012751e+02	7.385189e-01
1.018601e+02	3.160431e-01
1.024484e+02	-1.278632e-01
1.030402e+02	4.550430e-01
1.036353e+02	-4.504675e-02
1.042339e+02	1.276452e-01
1.048360e+02	5.527023e-01
1.054415e+02	8.697516e-01
1.060505e+02	-1.740670e-01
1.066631e+02	-6.325966e-01
1.072791e+02	4.994791e-01
1.078988e+02	1.319701e-01
1.085220e+02	-6.098885e-02
1.091488e+02	5.897359e-01
1.097793e+02	-1.002618e+00
1.104133e+02	-5.666911e-01
1.110511e+02	-2.422440e-01
1.116925e+02	-2.143476e-01
1.123376e+02	4.090902e-02
1.129865e+02	1.901767e-01
1.136391e+02	-6.603220e-01
1.142955e+02	-1.906143e-01
1.149556e+02	1.142589e-01
1.156196e+02	-7.710425e-01
1.162874e+02	5.891250e-01
1.169591e+02	1.443726e-01
1.176347e+02	3.504325e-01
1.183141e+02	1.760683e-01
1.189975e+02	4.419170e-01
1.196848e+02	-3.815837e-01
1.203761e+02	1.085253e-02
1.210714e+02	7.344705e-01
1.217707e+02	-1.798305e+00
1.224740e+02	-8.918515e-02
1.231814e+02	2.011341e-01
1.238929e+02	-8.307216e-01
1.246085e+02	9.587319e-02
1.253283e+02	3.141521e-01
1.260522e+02	6.298843e-02
1.267802e+02	-5.566349e-01
1.275125e+02	-4.455364e-02
1.282490e+02	9.033477e-01
1.289898e+02	3.687491e-01
1.297348e+02	-5.650026e-01
1.304842e+02	1.760756e-02
1.312378e+02	-4.216091e-01
1.319959e+02	-6.012799e-01
1.327583e+02	1.061776e+00
1.335251e+02	-4.883815e-02
1.342963e+02	3.239354e-01
1.350720e+02	4.998945e-01
1.358522e+02	1.948635e-01
1.366368e+02	-3.554531e-01
1.374260e+02	-4.085456e-01
1.382198e+02	-2.781090e-01
1.390182e+02	-2.710366e-01
1.398211e+02	-1.056832e-01
1.406287e+02	7.473125e-01
1.414410e+02	-1.718780e-01
1.422579e+02	1.410944e+00
1.430796e+02	-1.327570e-01
1.439060e+02	-1.274507e-01
1.447372e+02	-5.764041e-01
1.455732e+02	-1.003641e-01
1.464141e+02	4.484645e-01
1.472597e+02	-2.272677e-01
1.481103e+02	5.795594e-01
1.489658e+02	1.917508e-01
1.498262e+02	-5.092567e-01
1.506916e+02	7.298824e-02
1.515620e+02	-1.935553e-01
1.524374e+02	-2.705565e-01
1.533179e+02	-3.878851e-01
1.542034e+02	6.367818e-01
1.550941e+02	2.998497e-01
1.559899e+02	-7.288713e-01
1.568909e+02	-4.985763e-01
1.577971e+02	-5.019404e-01
1.587085e+02	2.676155e-01
1.596252e+02	-1.094751e+00
1.605472e+02	1.282980e-01
1.614745e+02	2.919971e-01
1.624072e+02	1.108988e+00
1.633453e+02	-5.075597e-02
1.642887e+02	3.403346e-01
1.652377e+02	1.059630e-01
1.661921e+02	-3.069919e-01
1.671520e+02	-2.395543e-01
1.681175e+02	7.536721e-01
1.690885e+02	-3.893056e-02
1.700651e+02	-4.584993e-01
1.710474e+02	-1.087228e+00
1.720354e+02	-1.111826e+00
1.730291e+02	-3.624478e-01
1.740285e+02	-1.013170e+00
1.750337e+02	-4.039758e-01
1.760446e+02	1.705947e-02
1.770615e+02	-6.465072e-01
1.780842e+02	-5.711538e-01
1.791128e+02	-9.392680e-01
1.801473e+02	3.032385e-01
1.811878e+02	6.868197e-01
1.822344e+02	-3.828503e-01
1.832870e+02	5.665971e-01
1.843456e+02	-2.540367e-01
1.854104e+02	-4.692612e-01
1.864813e+02	2.293991e-01
1.875584e+02	-6.024041e-01
1.886418e+02	9.003839e-01
1.897313e+02	-6.225348e-01
1.908272e+02	-6.342224e-01
1.919294e+02	-2.891522e-01
1.930380e+02	-4.227210e-01
1.941530e+02	-4.440476e-01
1.952744e+02	-1.302421e-01
1.964023e+02	6.948580e-02
1.975367e+02	4.949161e-01
1.986777e+02	5.107716e-01
1.998252e+02	9.166132e-01
2.009794e+02	1.987039e-01
2.021403e+02	8.874599e-02
2.033078e+02	-6.030709e-01
2.044821e+02	2.963908e-01
2.056632e+02	1.681338e-01
2.068511e+02	-3.247055e-01
2.080459e+02	1.049792e-01
2.092475e+02	4.098759e-02
2.104561e+02	-3.747121e-01
2.116717e+02	4.222067e-01
2.128943e+02	-6.584719e-01
2.141240e+02	1.422571e-01
2.153608e+02	2.072693e-02
2.166047e+02	-7.234698e-01
2.178558e+02	-1.271389e-01
2.191141e+02	5.754644e-01
2.203797e+02	-1.181540e+00
2.216526e+02	-8.715528e-01
2.229329e+02	8.743031e-01
2.242205e+02	3.015302e-01
2.255156e+02	1.767305e-01
2.268182e+02	1.069586e-01
2.281283e+02	-2.119268e-01
2.294459e+02	7.455704e-01
2.307712e+02	4.973486e-01
2.321041e+02	8.593133e-01
2.334447e+02	-1.627322e-01
2.347931e+02	2.982539e-01
2.361493e+02	6.443421e-01
2.375133e+02	-8.067129e-02
2.388851e+02	7.023531e-01
2.402649e+02	-4.066794e-01
2.416527e+02	-3.520036e-01
2.430484e+02	-3.058675e-01
2.444523e+02	1.564808e-01
2.458642e+02	1.593930e-01
2.472843e+02	-2.190763e-01
2.487126e+02	-5.078479e-01
2.501492e+02	-7.011071e-01
2.515940e+02	-7.669537e-01
2.530472e+02	7.534027e-01
2.545088e+02	1.044901e-01
2.559789e+02	-8.411627e-01
2.574574e+02	5.976591e-01
2.589444e+02	1.960229e-01
2.604401e+02	-7.470067e-01
2.619444e+02	3.010062e-01
2.634574e+02	5.392268e-01
2.649791e+02	3.063488e-01
2.665096e+02	5.444868e-01
2.680489e+02	-2.030750e-01
2.695972e+02	1.331642e-01
2.711544e+02	-7.991772e-01
2.727205e+02	-4.870480e-01
2.742958e+02	-1.259164e-01
2.758801e+02	3.774164e-01
2.774736e+02	-1.508751e+00
2.790762e+02	-1.055972e+00
2.806882e+02	-5.012856e-01
2.823094e+02	7.113770e-01
2.839400e+02	-1.021522e+00
2.855800e+02	-8.362552e-01
2.872295e+02	8.765075e-01
2.888886e+02	-3.145456e-02
2.905572e+02	-3.065576e-01
2.922354e+02	-3.452603e-01
2.939234e+02	-1.072632e-01
2.956211e+02	-1.731564e-01
2.973286e+02	2.503530e-01
2.990459e+02	5.243517e-01
3.007732e+02	6.792370e-01
3.025104e+02	-1.170703e-01
3.042577e+02	5.792381e-02
3.060151e+02	-6.958693e-02
3.077826e+02	-2.057614e-01
3.095604e+02	6.366981e-01
3.113484e+02	3.256351e-01
3.131467e+02	5.162611e-02
3.149554e+02	-2.000255e-01
3.167746e+02	-2.382272e-02
3.186043e+02	-5.020163e-02
3.204445e+02	-1.924537e-01
3.222954e+02	-1.561445e-01
3.241570e+02	1.884998e-01
3.260293e+02	7.201568e-01
3.279124e+02	1.423691e-02
3.298064e+02	5.498817e-01
3.317114e+02	1.778133e-01
3.336273e+02	6.334680e-01
3.355544e+02	2.078306e-01
3.374925e+02	-4.904928e-02
3.394418e+02	1.905269e-02
3.414024e+02	3.118825e-01
3.433744e+02	3.525800e-01
3.453577e+02	5.197957e-01
3.473525e+02	4.627163e-01
3.493588e+02	-8.092281e-01
3.513766e+02	-7.624894e-02
3.534062e+02	5.728486e-01
3.554474e+02	6.671739e-01
3.575005e+02	1.317319e-01
3.595654e+02	3.670206e-01
3.616422e+02	4.762986e-01
3.637311e+02	2.226207e-01
3.658320e+02	-2.456737e-01
3.679450e+02	-1.308801e-02
3.700702e+02	7.702044e-01
3.722077e+02	-2.962153e-01
3.743576e+02	4.266643e-01
3.765199e+02	-2.517121e-01
3.786946e+02	-1.877387e-01
3.808820e+02	-6.013105e-01
3.830819e+02	-1.362412e-01
3.852946e+02	3.754948e-02
3.875200e+02	1.227530e+00
3.897583e+02	-7.233530e-01
3.920096e+02	-4.993650e-01
3.942738e+02	-7.210509e-01
3.965511e+02	-5.359515e-01
3.988416e+02	-2.593734e-01
4.011452e+02	4.342820e-01
4.034622e+02	-8.573836e-01
4.057926e+02	-2.161321e-01
4.081365e+02	7.195551e-01
4.104938e+02	5.978466e-01
4.128648e+02	3.315578e-02
4.152495e+02	-1.741193e-01
4.176480e+02	1.520276e-01
4.200603e+02	1.480616e-01
4.224866e+02	1.951193e-01
4.249268e+02	-2.501209e-01
4.273812e+02	5.707093e-02
4.298497e+02	-4.969753e-01
4.323325e+02	1.025558e-01
4.348297e+02	-1.187690e+00
4.373412e+02	1.152578e+00
4.398673e+02	3.963474e-01
4.424079e+02	-3.791982e-01
4.449633e+02	-6.852790e-01
4.475334e+02	-1.872040e-01
4.501183e+02	1.346769e-01
4.527182e+02	9.708753e-01
4.553330e+02	1.453263e-01
4.579630e+02	-4.514844e-01
4.606082e+02	8.108954e-02
4.632687e+02	1.271107e-02
4.659445e+02	2.536544e-01
4.686358e+02	2.881891e-01
4.713426e+02	9.090155e-01
4.740650e+02	9.636341e-01
4.768032e+02	1.545506e-01
4.795572e+02	-3.225039e-01
4.823271e+02	8.719618e-02
4.851130e+02	-4.454408e-01
4.879150e+02	1.093154e+00
4.907332e+02	-7.971063e-01
4.935676e+02	-3.023993e-01
4.964185e+02	-3.957797e-02
4.992858e+02	6.102941e-01
5.021696e+02	-2.530484e-01
5.050701e+02	-2.514970e-01
5.079874e+02	-1.163619e-01
5.109215e+02	1.161185e-01
5.138726e+02	-5.478435e-02
5.168407e+02	-6.143773e-01
5.198259e+02	2.745733e-01
5.228284e+02	-3.061018e-01
5.258482e+02	-3.316587e-01
5.288855e+02	-8.957189e-02
5.319403e+02	-4.224148e-02
5.350128e+02	-5.990143e-01
5.381030e+02	-3.255705e-02
5.412111e+02	-1.182019e-01
5.443371e+02	-1.854504e-01
5.474812e+02	6.193599e-01
5.506434e+02	3.847594e-01
5.538239e+02	3.792840e-01
5.570228e+02	9.816943e-05
5.602401e+02	-4.767921e-01
5.634760e+02	-4.374235e-01
5.667306e+02	-2.695279e-01
5.700040e+02	8.794393e-01
5.732964e+02	-1.542380e-01
5.766077e+02	3.124611e-02
5.799382e+02	-2.489936e-01
5.832879e+02	4.490710e-02
5.866569e+02	-5.270140e-01
5.900454e+02	-1.054342e+00
5.934535e+02	-2.479204e-01
5.968813e+02	-8.081912e-02
6.003288e+02	-3.855479e-01
6.037963e+02	-3.279183e-01
6.072838e+02	9.026350e-02
6.107914e+02	-1.776637e-01
6.143194e+02	-3.533172e-01
6.178676e+02	-3.481055e-01
6.214364e+02	2.042281e-01
6.250258e+02	1.232870e-01
6.286359e+02	-4.933683e-01
6.322669e+02	4.454281e-01
6.359189e+02	3.836946e-01
6.395919e+02	6.195540e-01
6.432862e+02	5.077747e-01
6.470017e+02	-1.852493e-01
6.507388e+02	-3.302213e-01
6.544974e+02	1.518267e-01
6.582778e+02	-7.912735e-02
6.620800e+02	-3.184224e-01
6.659041e+02	2.480257e-01
6.697504e+02	-7.253188e-02
6.736188e+02	-2.002079e-01
6.775096e+02	-4.368684e-01
6.814229e+02	-1.148828e+00
6.853587e+02	-1.169473e-01
6.893173e+02	-7.782193e-01
6.932988e+02	-5.633361e-01
6.973033e+02	-1.280611e-01
7.013309e+02	-3.074782e-01
7.053817e+02	7.330506e-03
7.094560e+02	8.831040e-01
7.135538e+02	-4.511270e-01
7.176752e+02	2.999885e-02
7.218205e+02	4.241690e-02
7.259897e+02	2.365726e-01
7.301830e+02	7.416249e-02
7.344005e+02	2.987253e-01
7.386424e+02	1.706574e-02
7.429087e+02	-1.064994e-01
7.471998e+02	-3.186247e-01
7.515155e+02	-5.066401e-01
7.558563e+02	5.898042e-01
7.602221e+02	-6.309527e-01
7.646131e+02	1.426267e-01
7.690295e+02	9.228496e-01
7.734713e+02	-5.426871e-01
7.779389e+02	-5.735731e-01
7.824322e+02	-8.039305e-01
7.869515e+02	-4.913641e-01
7.914969e+02	4.489613e-01
7.960686e+02	-5.589217e-01
8.006666e+02	3.568218e-01
8.052912e+02	5.696986e-01
8.099426e+02	-7.043508e-01
