Frequency(Hz)	Magnitude(dB)
1.000000e+01	-8.959221e-01
1.005776e+01	9.684513e-01
1.011585e+01	-1.448846e-02
1.017428e+01	3.038459e-01
1.023305e+01	-6.093264e-01
1.029215e+01	2.562242e-01
1.035160e+01	6.899874e-01
1.041139e+01	1.083208e+00
1.047153e+01	3.070669e-01
1.053201e+01	-9.058225e-01
1.059284e+01	4.346229e-01
1.065403e+01	4.701993e-01
1.071556e+01	-3.003935e-01
1.077746e+01	1.031344e+00
1.083971e+01	-6.222944e-01
1.090232e+01	-1.095330e+00
1.096529e+01	-1.493454e-02
1.102862e+01	6.718399e-02
1.109232e+01	2.188386e-01
1.115639e+01	2.893113e-02
1.122083e+01	3.897020e-01
1.128564e+01	-3.994348e-01
1.135083e+01	7.274473e-01
1.141639e+01	1.915508e-01
1.148233e+01	2.820332e-01
1.154865e+01	-2.210514e-01
1.161536e+01	-4.772910e-02
1.168245e+01	-5.207497e-01
1.174992e+01	-1.270574e+00
1.181779e+01	2.536091e-02
1.188605e+01	-1.208894e+00
1.195470e+01	9.229691e-02
1.202375e+01	-7.247652e-02
1.209320e+01	-3.540482e-01
1.216305e+01	1.781501e-01
1.223330e+01	-2.196897e-01
1.230396e+01	-4.381126e-01
1.237503e+01	-1.123374e-01
1.244651e+01	-2.025215e-01
1.251840e+01	3.335283e-02
1.259070e+01	4.684178e-03
1.266343e+01	2.654216e-01
1.273657e+01	-8.651464e-02
1.281014e+01	3.833203e-01
1.288413e+01	4.419074e-01
1.295855e+01	9.764901e-03
1.303339e+01	2.259719e-01
1.310867e+01	7.434062e-01
1.318439e+01	3.401307e-01
1.326054e+01	-3.014308e-01
1.333713e+01	3.044861e-01
1.341417e+01	2.248901e-01
1.349165e+01	2.293058e-01
1.356958e+01	-7.782352e-02
1.364795e+01	7.535384e-01
1.372678e+01	4.547877e-01
1.380607e+01	1.733273e-01
1.388581e+01	-6.915136e-01
1.396602e+01	7.865419e-01
1.404668e+01	3.812039e-01
1.412782e+01	1.120528e-02
1.420942e+01	4.066657e-01
1.429149e+01	7.786521e-01
1.437404e+01	-4.295276e-01
1.445706e+01	4.501143e-01
1.454057e+01	7.092175e-01
1.462455e+01	-5.771888e-01
1.470902e+01	7.461551e-01
1.479398e+01	-1.808048e-01
1.487943e+01	-4.845694e-02
1.496537e+01	-2.490121e-01
1.505181e+01	-5.789368e-01
1.513875e+01	1.708226e-01
1.522619e+01	-7.184324e-01
1.531414e+01	7.022144e-01
1.540259e+01	3.752598e-01
1.549156e+01	-6.635697e-01
1.558103e+01	-2.314710e-01
1.567103e+01	2.563597e-01
1.576155e+01	-5.604229e-02
1.585258e+01	3.366927e-01
1.594415e+01	-6.025080e-01
1.603624e+01	2.839436e-01
1.612886e+01	2.348990e-01
1.622202e+01	2.094816e-01
1.631572e+01	-3.254551e-01
1.640996e+01	-3.820616e-01
1.650474e+01	-5.181105e-01
1.660008e+01	3.404444e-01
1.669596e+01	3.750123e-01
1.679239e+01	-9.658583e-01
1.688938e+01	3.416157e-01
1.698694e+01	5.191418e-01
1.708505e+01	3.972502e-01
1.718373e+01	-7.588855e-02
1.728299e+01	4.805781e-01
1.738281e+01	-6.542478e-01
1.748322e+01	3.505298e-01
1.758420e+01	-5.878221e-01
1.768576e+01	4.939189e-01
