Frequency(Hz)	Magnitude(dB)
1.000000e+01	1.124432e-01
1.005776e+01	2.585364e-01
1.011585e+01	3.229092e-01
1.017428e+01	3.568372e-01
1.023305e+01	-7.923994e-01
1.029215e+01	1.958586e-01
1.035160e+01	4.145921e-01
1.041139e+01	8.207283e-01
1.047153e+01	2.335806e-01
1.053201e+01	-7.440748e-02
1.059284e+01	-5.815079e-01
1.065403e+01	9.596912e-01
1.071556e+01	5.877914e-01
1.077746e+01	1.579604e-01
1.083971e+01	-2.042465e-01
1.090232e+01	5.431198e-01
1.096529e+01	4.146166e-01
1.102862e+01	5.865775e-01
1.109232e+01	3.896212e-01
1.115639e+01	2.144043e-01
1.122083e+01	-4.954762e-01
1.128564e+01	4.501908e-01
1.135083e+01	1.202942e-01
1.141639e+01	-6.976859e-02
1.148233e+01	3.236239e-02
1.154865e+01	-1.056966e+00
1.161536e+01	-5.527628e-01
1.168245e+01	-9.919049e-02
1.174992e+01	1.419338e-01
1.181779e+01	-3.087831e-01
1.188605e+01	4.714629e-01
1.195470e+01	1.301515e-02
1.202375e+01	1.927142e-01
1.209320e+01	-2.139988e-01
1.216305e+01	-1.974227e-01
1.223330e+01	-1.949886e-01
1.230396e+01	5.053817e-01
1.237503e+01	5.124423e-01
1.244651e+01	6.388851e-01
1.251840e+01	-4.620579e-01
1.259070e+01	-1.351068e-01
1.266343e+01	-1.651337e+00
1.273657e+01	2.602073e-01
1.281014e+01	-4.426930e-01
1.288413e+01	1.104234e+00
1.295855e+01	4.530524e-01
1.303339e+01	-6.591496e-01
1.310867e+01	1.497530e-01
1.318439e+01	4.499287e-01
1.326054e+01	3.499965e-01
1.333713e+01	-1.305581e-02
1.341417e+01	6.497874e-01
1.349165e+01	7.085033e-01
1.356958e+01	-3.620720e-01
1.364795e+01	-7.546849e-02
1.372678e+01	1.363585e-01
1.380607e+01	3.977869e-01
1.388581e+01	-3.362489e-01
1.396602e+01	-5.928784e-01
1.404668e+01	1.339165e+00
1.412782e+01	1.862449e-01
1.420942e+01	8.350537e-02
1.429149e+01	1.796872e-01
1.437404e+01	-6.690252e-01
1.445706e+01	6.902711e-01
1.454057e+01	7.939568e-01
1.462455e+01	-3.127183e-01
1.470902e+01	-4.588840e-01
1.479398e+01	-4.059310e-01
1.487943e+01	-2.442129e-01
1.496537e+01	1.064524e+00
1.505181e+01	-2.710543e-01
1.513875e+01	-2.538210e-01
1.522619e+01	3.247399e-01
1.531414e+01	2.837401e-04
1.540259e+01	5.447456e-01
